,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP
Nick Foligno 2020,Nick Foligno,2020,L,31.919,72,210,72.0,79.0,72.0,73,79,5.0
Nick Foligno 2021,Nick Foligno,2021,L,32.921,72,210,79.0,72.0,73.0,79,71,-4.75
Nick Foligno 2022,Nick Foligno,2022,L,33.92,72,210,72.0,73.0,79.0,71,64,-9.75
Nick Foligno 2023,Nick Foligno,2023,L,34.92,72,210,73.0,79.0,71.0,64,60,-11.75
Kyle Okposo 2018,Kyle Okposo,2018,R,29.46,72,218,71.0,60.0,79.0,65,76,7.25
Kyle Okposo 2019,Kyle Okposo,2019,R,30.459,72,218,60.0,79.0,65.0,76,78,8.0
Kyle Okposo 2020,Kyle Okposo,2020,R,31.459,72,218,79.0,65.0,76.0,78,61,-13.5
Kyle Okposo 2021,Kyle Okposo,2021,R,32.461,72,218,65.0,76.0,78.0,61,51,-19.0
Trevor Lewis 2018,Trevor Lewis,2018,C,30.73,73,201,73.0,73.0,75.0,82,68,-7.75
Milan Lucic 2018,Milan Lucic,2018,L,29.318,75,240,80.0,81.0,81.0,82,82,1.0
Milan Lucic 2019,Milan Lucic,2019,L,30.317,75,240,81.0,81.0,82.0,82,79,-2.5
Milan Lucic 2020,Milan Lucic,2020,L,31.316,75,240,81.0,82.0,82.0,79,80,-1.0
Milan Lucic 2021,Milan Lucic,2021,L,32.318,75,240,82.0,82.0,79.0,80,82,1.25
Milan Lucic 2022,Milan Lucic,2022,L,33.318,75,240,82.0,79.0,80.0,82,82,1.25
Milan Lucic 2023,Milan Lucic,2023,L,34.317,75,240,79.0,80.0,82.0,82,77,-3.75
Cal Clutterbuck 2018,Cal Clutterbuck,2018,R,29.871,72,212,73.0,76.0,77.0,66,76,3.0
Cal Clutterbuck 2019,Cal Clutterbuck,2019,R,30.87,72,212,76.0,77.0,66.0,76,73,-0.75
Claude Giroux 2018,Claude Giroux,2018,R,29.72,71,190,82.0,81.0,78.0,82,82,1.25
Claude Giroux 2019,Claude Giroux,2019,R,30.72,71,190,81.0,78.0,82.0,82,82,1.25
Claude Giroux 2020,Claude Giroux,2020,R,31.719,71,190,78.0,82.0,82.0,82,81,0.0
Claude Giroux 2021,Claude Giroux,2021,R,32.721,71,190,82.0,82.0,82.0,81,79,-2.75
Claude Giroux 2022,Claude Giroux,2022,R,33.72,71,190,82.0,82.0,81.0,79,75,-6.0
Claude Giroux 2023,Claude Giroux,2023,R,34.72,71,190,82.0,81.0,79.0,75,82,2.75
Derick Brassard 2018,Derick Brassard,2018,C,30.027,73,200,81.0,80.0,80.0,81,72,-8.5
Derick Brassard 2019,Derick Brassard,2019,C,31.026,73,200,80.0,80.0,81.0,72,70,-8.25
Derick Brassard 2020,Derick Brassard,2020,C,32.026,73,200,80.0,81.0,72.0,70,77,1.25
Derick Brassard 2021,Derick Brassard,2021,C,33.028,73,200,81.0,72.0,70.0,77,77,2.0
Phil Kessel 2012,Phil Kessel,2012,"C, R",23.998,71,208,82.0,70.0,70.0,82,82,6.0
Phil Kessel 2018,Phil Kessel,2018,"C, R",29.999,71,208,82.0,82.0,82.0,82,82,0.0
Phil Kessel 2019,Phil Kessel,2019,"C, R",30.999,71,208,82.0,82.0,82.0,82,82,0.0
Phil Kessel 2020,Phil Kessel,2020,"C, R",31.998,71,208,82.0,82.0,82.0,82,82,0.0
Phil Kessel 2021,Phil Kessel,2021,"C, R",33.0,71,208,82.0,82.0,82.0,82,82,0.0
Phil Kessel 2022,Phil Kessel,2022,"C, R",34.0,71,208,82.0,82.0,82.0,82,82,0.0
Phil Kessel 2023,Phil Kessel,2023,"C, R",34.999,71,208,82.0,82.0,82.0,82,82,0.0
Nicklas Backstrom 2018,Nicklas Backstrom,2018,C,29.857,73,202,82.0,82.0,75.0,82,81,0.75
Nicklas Backstrom 2019,Nicklas Backstrom,2019,C,30.856,73,202,82.0,75.0,82.0,81,80,0.0
Nicklas Backstrom 2020,Nicklas Backstrom,2020,C,31.856,73,202,75.0,82.0,81.0,80,71,-8.5
Nicklas Backstrom 2021,Nicklas Backstrom,2021,C,32.858,73,202,82.0,81.0,80.0,71,80,1.5
Jonathan Toews 2012,Jonathan Toews,2012,C,23.423,74,201,64.0,82.0,76.0,80,59,-16.5
Jonathan Toews 2018,Jonathan Toews,2018,C,29.424,74,201,76.0,81.0,80.0,72,74,-3.25
Jonathan Toews 2019,Jonathan Toews,2019,C,30.424,74,201,81.0,80.0,72.0,74,82,5.25
Jonathan Toews 2020,Jonathan Toews,2020,C,31.423,74,201,80.0,72.0,74.0,82,82,5.0
Alex Killorn 2018,Alex Killorn,2018,L,28.047,73,194,82.0,71.0,81.0,81,82,3.25
Alex Killorn 2019,Alex Killorn,2019,L,29.047,73,194,71.0,81.0,81.0,82,82,3.25
Alex Killorn 2020,Alex Killorn,2020,L,30.046,73,194,81.0,81.0,82.0,82,80,-1.5
Alex Killorn 2021,Alex Killorn,2021,L,31.048,73,194,81.0,82.0,82.0,80,82,0.75
Alex Killorn 2022,Alex Killorn,2022,L,32.047,73,194,82.0,82.0,80.0,82,82,0.5
Alex Killorn 2023,Alex Killorn,2023,L,33.047,73,194,82.0,80.0,82.0,82,82,0.5
Jamie Benn 2018,Jamie Benn,2018,L,28.206,74,205,81.0,82.0,82.0,77,82,1.5
Jamie Benn 2019,Jamie Benn,2019,L,29.205,74,205,82.0,82.0,77.0,82,78,-2.75
Jamie Benn 2020,Jamie Benn,2020,L,30.205,74,205,82.0,77.0,82.0,78,81,1.25
Jamie Benn 2021,Jamie Benn,2021,L,31.207,74,205,77.0,82.0,78.0,81,76,-3.5
Jamie Benn 2022,Jamie Benn,2022,L,32.206,74,205,82.0,78.0,81.0,76,82,2.75
Jamie Benn 2023,Jamie Benn,2023,L,33.206,74,205,78.0,81.0,76.0,82,82,2.75
Nick Bonino 2018,Nick Bonino,2018,C,29.449,73,195,77.0,75.0,63.0,80,71,-2.75
Nick Bonino 2019,Nick Bonino,2019,C,30.448,73,195,75.0,63.0,80.0,71,81,8.75
Nick Bonino 2020,Nick Bonino,2020,C,31.448,73,195,63.0,80.0,71.0,81,79,5.25
Nick Bonino 2021,Nick Bonino,2021,C,32.45,73,195,80.0,71.0,81.0,79,80,2.25
Nick Bonino 2022,Nick Bonino,2022,C,33.449,73,195,71.0,81.0,79.0,80,80,2.25
Nick Bonino 2023,Nick Bonino,2023,C,34.449,73,195,81.0,79.0,80.0,80,62,-18.0
Pat Maroon 2023,Pat Maroon,2023,L,34.44,75,234,74.0,75.0,80.0,81,80,2.5
James van Riemsdyk 2021,James van Riemsdyk,2021,L,31.412,75,208,82.0,81.0,66.0,77,82,5.5
James van Riemsdyk 2022,James van Riemsdyk,2022,L,32.412,75,208,81.0,66.0,77.0,82,82,5.5
James van Riemsdyk 2023,James van Riemsdyk,2023,L,33.411,75,208,66.0,77.0,82.0,82,61,-15.75
Sam Gagner 2012,Sam Gagner,2012,C,22.142,71,201,79.0,76.0,68.0,68,75,2.25
Logan Couture 2021,Logan Couture,2021,C,31.514,73,206,73.0,78.0,81.0,61,77,3.75
