,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP
Logan Couture 2022,Logan Couture,2022,C,32.513,73,206,78.0,81.0,61.0,77,77,2.75
Logan Couture 2023,Logan Couture,2023,C,33.512,73,206,81.0,61.0,77.0,77,82,8.0
David Perron 2018,David Perron,2018,L,29.345,73,196,78.0,81.0,71.0,82,70,-8.0
David Perron 2019,David Perron,2019,L,30.344,73,196,81.0,71.0,82.0,70,57,-19.0
Patrick Kane 2012,Patrick Kane,2012,R,22.864,70,177,82.0,80.0,82.0,73,82,2.75
Patrick Kane 2018,Patrick Kane,2018,R,28.866,70,177,69.0,61.0,82.0,82,82,8.5
Patrick Kane 2019,Patrick Kane,2019,R,29.865,70,177,61.0,82.0,82.0,82,81,4.25
Patrick Kane 2020,Patrick Kane,2020,R,30.865,70,177,82.0,82.0,82.0,81,82,0.25
Patrick Kane 2021,Patrick Kane,2021,R,31.867,70,177,82.0,82.0,81.0,82,80,-1.75
Patrick Kane 2022,Patrick Kane,2022,R,32.866,70,177,82.0,81.0,82.0,80,78,-3.25
Patrick Kane 2023,Patrick Kane,2023,R,33.865,70,177,81.0,82.0,80.0,78,73,-7.25
Evgenii Dadonov 2022,Evgenii Dadonov,2022,R,32.557,71,189,74.0,82.0,81.0,80,78,-1.25
Evgenii Dadonov 2023,Evgenii Dadonov,2023,R,33.556,71,189,82.0,81.0,80.0,78,73,-7.25
Mikael Backlund 2020,Mikael Backlund,2020,C,30.542,72,206,82.0,81.0,82.0,77,82,1.5
Mikael Backlund 2021,Mikael Backlund,2021,C,31.544,72,206,81.0,82.0,77.0,82,79,-1.5
Mikael Backlund 2022,Mikael Backlund,2022,C,32.543,72,206,82.0,77.0,82.0,79,82,2.0
Mikael Backlund 2023,Mikael Backlund,2023,C,33.542,72,206,77.0,82.0,79.0,82,82,2.0
Max Pacioretty 2018,Max Pacioretty,2018,L,28.863,74,217,73.0,80.0,82.0,81,64,-15.0
Max Pacioretty 2019,Max Pacioretty,2019,L,29.863,74,217,80.0,82.0,81.0,64,66,-10.75
Max Pacioretty 2020,Max Pacioretty,2020,L,30.862,74,217,82.0,81.0,64.0,66,83,9.75
Max Pacioretty 2021,Max Pacioretty,2021,L,31.864,74,217,81.0,64.0,66.0,83,70,-3.5
Jakub Voracek 2018,Jakub Voracek,2018,R,28.129,74,216,82.0,82.0,73.0,82,82,2.25
Jakub Voracek 2019,Jakub Voracek,2019,R,29.129,74,216,82.0,73.0,82.0,82,78,-1.75
Jakub Voracek 2020,Jakub Voracek,2020,R,30.128,74,216,73.0,82.0,82.0,78,81,2.25
Jakub Voracek 2021,Jakub Voracek,2021,R,31.13,74,216,82.0,82.0,78.0,81,77,-3.75
Jakub Voracek 2022,Jakub Voracek,2022,R,32.13,74,216,82.0,78.0,81.0,77,79,-0.5
Lars Eller 2018,Lars Eller,2018,C,28.401,74,205,77.0,77.0,79.0,81,81,2.5
Lars Eller 2019,Lars Eller,2019,C,29.4,74,205,77.0,79.0,81.0,81,81,1.5
Lars Eller 2020,Lars Eller,2020,C,30.399,74,205,79.0,81.0,81.0,81,81,0.5
Lars Eller 2021,Lars Eller,2021,C,31.401,74,205,81.0,81.0,81.0,81,64,-17.0
Lars Eller 2022,Lars Eller,2022,C,32.401,74,205,81.0,81.0,81.0,64,72,-4.75
Lars Eller 2023,Lars Eller,2023,C,33.4,74,205,81.0,81.0,64.0,72,84,9.5
Wayne Simmonds 2018,Wayne Simmonds,2018,R,29.099,74,184,82.0,75.0,81.0,82,75,-5.0
Wayne Simmonds 2019,Wayne Simmonds,2019,R,30.098,74,184,75.0,81.0,82.0,75,79,0.75
Wayne Simmonds 2020,Wayne Simmonds,2020,R,31.097,74,184,81.0,82.0,75.0,79,80,0.75
Wayne Simmonds 2021,Wayne Simmonds,2021,R,32.099,74,184,82.0,75.0,79.0,80,55,-24.0
Josh Bailey 2018,Josh Bailey,2018,R,27.998,73,200,77.0,70.0,81.0,82,76,-1.5
Josh Bailey 2019,Josh Bailey,2019,R,28.997,73,200,70.0,81.0,82.0,76,82,4.75
Josh Bailey 2020,Josh Bailey,2020,R,29.997,73,200,81.0,82.0,76.0,82,80,-0.25
Josh Bailey 2021,Josh Bailey,2021,R,30.999,73,200,82.0,76.0,82.0,80,79,-1.0
Josh Bailey 2022,Josh Bailey,2022,R,31.998,73,200,76.0,82.0,80.0,79,74,-5.25
Josh Bailey 2023,Josh Bailey,2023,R,32.997,73,200,82.0,80.0,79.0,74,64,-14.75
Jordan Eberle 2018,Jordan Eberle,2018,R,27.382,71,190,80.0,81.0,69.0,82,81,3.0
Jordan Eberle 2019,Jordan Eberle,2019,R,28.381,71,190,81.0,69.0,82.0,81,78,-0.25
Jordan Eberle 2020,Jordan Eberle,2020,R,29.381,71,190,69.0,82.0,81.0,78,68,-9.5
Jordan Eberle 2021,Jordan Eberle,2021,R,30.383,71,190,82.0,81.0,78.0,68,80,2.75
Jordan Eberle 2022,Jordan Eberle,2022,R,31.382,71,190,81.0,78.0,68.0,80,79,2.25
Jordan Eberle 2023,Jordan Eberle,2023,R,32.381,71,190,78.0,68.0,80.0,79,82,5.75
Derek Stepan 2018,Derek Stepan,2018,C,27.289,71,196,82.0,68.0,72.0,81,82,6.25
Derek Stepan 2019,Derek Stepan,2019,C,28.288,71,196,68.0,72.0,81.0,82,72,-3.75
Derek Stepan 2020,Derek Stepan,2020,C,29.288,71,196,72.0,81.0,82.0,72,82,5.25
Adam Henrique 2018,Adam Henrique,2018,C,27.65,72,195,77.0,75.0,80.0,82,81,2.5
Adam Henrique 2019,Adam Henrique,2019,C,28.65,72,195,75.0,80.0,82.0,81,82,2.5
Adam Henrique 2020,Adam Henrique,2020,C,29.649,72,195,80.0,82.0,81.0,82,83,1.75
Adam Henrique 2021,Adam Henrique,2021,C,30.651,72,195,82.0,81.0,82.0,83,65,-17.0
Adam Henrique 2022,Adam Henrique,2022,C,31.65,72,195,81.0,82.0,83.0,65,58,-19.75
Gustav Nyquist 2019,Gustav Nyquist,2019,"C, L",29.082,71,180,82.0,82.0,76.0,82,81,0.5
Gustav Nyquist 2020,Gustav Nyquist,2020,"C, L",30.082,71,180,82.0,76.0,82.0,81,82,1.75
Matt Martin 2018,Matt Martin,2018,L,28.401,75,220,79.0,78.0,80.0,82,50,-29.75
Matt Martin 2023,Matt Martin,2023,L,33.4,75,220,67.0,64.0,79.0,71,81,10.75
Tyler Johnson 2018,Tyler Johnson,2018,C,27.177,68,185,82.0,77.0,69.0,66,81,7.5
Tyler Johnson 2019,Tyler Johnson,2019,C,28.176,68,185,77.0,69.0,66.0,81,80,6.75
Tyler Johnson 2020,Tyler Johnson,2020,C,29.175,68,185,69.0,66.0,81.0,80,76,2.0
Tyler Johnson 2021,Tyler Johnson,2021,C,30.177,68,185,66.0,81.0,80.0,76,80,4.25
Mike Hoffman 2019,Mike Hoffman,2019,L,28.852,72,190,79.0,78.0,74.0,82,82,3.75
Mike Hoffman 2020,Mike Hoffman,2020,L,29.852,72,190,78.0,74.0,82.0,82,81,2.0
Mike Hoffman 2021,Mike Hoffman,2021,L,30.854,72,190,74.0,82.0,82.0,81,76,-3.75
Mike Hoffman 2022,Mike Hoffman,2022,L,31.853,72,190,82.0,82.0,81.0,76,67,-13.25
Mike Hoffman 2023,Mike Hoffman,2023,L,32.852,72,190,82.0,81.0,76.0,67,67,-9.5
Kyle Palmieri 2020,Kyle Palmieri,2020,C,28.663,71,198,82.0,80.0,62.0,74,76,1.5
Kyle Palmieri 2021,Kyle Palmieri,2021,C,29.665,71,198,80.0,62.0,74.0,76,74,1.0
Kyle Palmieri 2022,Kyle Palmieri,2022,C,30.665,71,198,62.0,74.0,76.0,74,69,-2.5
Kyle Palmieri 2023,Kyle Palmieri,2023,C,31.664,71,198,74.0,76.0,74.0,69,55,-18.25
Ryan O'Reilly 2018,Ryan O'Reilly,2018,C,26.648,73,207,80.0,82.0,71.0,72,81,4.75
Ryan O'Reilly 2019,Ryan O'Reilly,2019,C,27.648,73,207,82.0,71.0,72.0,81,82,5.5
Ryan O'Reilly 2020,Ryan O'Reilly,2020,C,28.647,73,207,71.0,72.0,81.0,82,83,6.5
Ryan O'Reilly 2021,Ryan O'Reilly,2021,C,29.649,73,207,72.0,81.0,82.0,83,82,2.5
Ryan O'Reilly 2022,Ryan O'Reilly,2022,C,30.648,73,207,81.0,82.0,83.0,82,78,-4.0
Ryan O'Reilly 2023,Ryan O'Reilly,2023,C,31.648,73,207,82.0,83.0,82.0,78,53,-28.25
Alex Chiasson 2018,Alex Chiasson,2018,R,27.001,76,208,79.0,76.0,77.0,81,61,-17.25
Alex Chiasson 2019,Alex Chiasson,2019,R,28.001,76,208,76.0,77.0,81.0,61,73,-0.75
Alex Chiasson 2020,Alex Chiasson,2020,R,29.0,76,208,77.0,81.0,61.0,73,76,3.0
Alex Chiasson 2021,Alex Chiasson,2021,R,30.002,76,208,81.0,61.0,73.0,76,65,-7.75
Alex Chiasson 2022,Alex Chiasson,2022,R,31.002,76,208,61.0,73.0,76.0,65,67,-1.75
Jakob Silfverberg 2019,Jakob Silfverberg,2019,R,27.968,73,207,81.0,82.0,79.0,77,73,-6.75
Jakob Silfverberg 2020,Jakob Silfverberg,2020,R,28.967,73,207,82.0,79.0,77.0,73,77,-0.75
Jakob Silfverberg 2021,Jakob Silfverberg,2021,R,29.969,73,207,79.0,77.0,73.0,77,68,-8.5
Jakob Silfverberg 2022,Jakob Silfverberg,2022,R,30.969,73,207,77.0,73.0,77.0,68,53,-20.75
John Tavares 2019,John Tavares,2019,C,28.031,73,216,82.0,78.0,77.0,82,82,2.25
John Tavares 2020,John Tavares,2020,C,29.03,73,216,78.0,77.0,82.0,82,74,-5.75
John Tavares 2021,John Tavares,2021,C,30.032,73,216,77.0,82.0,82.0,74,82,3.25
John Tavares 2022,John Tavares,2022,C,31.032,73,216,82.0,82.0,74.0,82,79,-1.0
John Tavares 2023,John Tavares,2023,C,32.031,73,216,82.0,74.0,82.0,79,80,0.75
Matt Duchene 2018,Matt Duchene,2018,C,26.708,71,195,71.0,82.0,76.0,77,82,5.5
Matt Duchene 2019,Matt Duchene,2019,C,27.708,71,195,82.0,76.0,77.0,82,73,-6.25
Matt Duchene 2020,Matt Duchene,2020,C,28.707,71,195,76.0,77.0,82.0,73,77,0.0
Evander Kane 2020,Evander Kane,2020,L,28.165,74,210,65.0,70.0,78.0,75,75,3.0
Evander Kane 2021,Evander Kane,2021,L,29.167,74,210,70.0,78.0,75.0,75,82,7.5
Brayden Schenn 2018,Brayden Schenn,2018,C,26.112,73,199,82.0,82.0,80.0,79,82,1.25
Brayden Schenn 2019,Brayden Schenn,2019,C,27.111,73,199,82.0,80.0,79.0,82,72,-8.75
Brayden Schenn 2020,Brayden Schenn,2020,C,28.11,73,199,80.0,79.0,82.0,72,83,4.75
Brayden Schenn 2021,Brayden Schenn,2021,C,29.112,73,199,79.0,82.0,72.0,83,82,3.0
Brayden Schenn 2022,Brayden Schenn,2022,C,30.112,73,199,82.0,72.0,83.0,82,62,-17.75
Brayden Schenn 2023,Brayden Schenn,2023,C,31.111,73,199,72.0,83.0,82.0,62,82,7.25
Nazem Kadri 2018,Nazem Kadri,2018,C,26.988,72,185,78.0,73.0,76.0,82,80,2.75
Nazem Kadri 2019,Nazem Kadri,2019,C,27.987,72,185,73.0,76.0,82.0,80,73,-4.75
Nazem Kadri 2020,Nazem Kadri,2020,C,28.986,72,185,76.0,82.0,80.0,73,60,-17.75
Nazem Kadri 2021,Nazem Kadri,2021,C,29.989,72,185,82.0,80.0,73.0,60,82,8.25
Nazem Kadri 2022,Nazem Kadri,2022,C,30.988,72,185,80.0,73.0,60.0,82,71,-2.75
Nazem Kadri 2023,Nazem Kadri,2023,C,31.987,72,185,73.0,60.0,82.0,71,82,10.5
Chris Kreider 2018,Chris Kreider,2018,L,26.424,75,230,66.0,80.0,79.0,75,58,-17.0
Chris Kreider 2023,Chris Kreider,2023,L,31.423,75,230,79.0,74.0,73.0,81,79,2.25
Reilly Smith 2018,Reilly Smith,2018,R,26.503,73,185,82.0,81.0,82.0,80,67,-14.25
Reilly Smith 2019,Reilly Smith,2019,R,27.502,73,185,81.0,82.0,80.0,67,74,-3.5
Reilly Smith 2020,Reilly Smith,2020,R,28.502,73,185,82.0,80.0,67.0,74,83,7.25
Reilly Smith 2021,Reilly Smith,2021,R,29.504,73,185,80.0,67.0,74.0,83,77,1.0
Reilly Smith 2022,Reilly Smith,2022,R,30.503,73,185,67.0,74.0,83.0,77,56,-19.25
Tomas Tatar 2018,Tomas Tatar,2018,L,26.834,70,173,73.0,82.0,81.0,82,82,2.5
Tomas Tatar 2019,Tomas Tatar,2019,L,27.834,70,173,82.0,81.0,82.0,82,80,-1.75
Tomas Tatar 2020,Tomas Tatar,2020,L,28.833,70,173,81.0,82.0,82.0,80,80,-1.25
Tomas Tatar 2021,Tomas Tatar,2021,L,29.835,70,173,82.0,82.0,80.0,80,73,-8.0
Tomas Tatar 2022,Tomas Tatar,2022,L,30.835,70,173,82.0,80.0,80.0,73,76,-2.75
Tomas Tatar 2023,Tomas Tatar,2023,L,31.834,70,173,80.0,80.0,73.0,76,82,4.75
Marcus Foligno 2020,Marcus Foligno,2020,L,28.143,75,226,75.0,80.0,77.0,82,69,-9.5
Marcus Foligno 2021,Marcus Foligno,2021,L,29.145,75,226,80.0,77.0,82.0,69,57,-20.0
Craig Smith 2018,Craig Smith,2018,C,28.072,72,204,79.0,82.0,82.0,78,79,-1.25
Craig Smith 2019,Craig Smith,2019,C,29.071,72,204,82.0,82.0,78.0,79,76,-4.25
Craig Smith 2020,Craig Smith,2020,C,30.071,72,204,82.0,78.0,79.0,76,81,2.25
Craig Smith 2021,Craig Smith,2021,C,31.073,72,204,78.0,79.0,76.0,81,79,0.5
Craig Smith 2022,Craig Smith,2022,C,32.072,72,204,79.0,76.0,81.0,79,74,-4.75
Craig Smith 2023,Craig Smith,2023,C,33.071,72,204,76.0,81.0,79.0,74,64,-13.5
Anders Lee 2019,Anders Lee,2019,L,28.247,75,235,76.0,80.0,81.0,82,82,2.25
Anders Lee 2020,Anders Lee,2020,L,29.247,75,235,80.0,81.0,82.0,82,80,-1.25
Nic Dowd 2023,Nic Dowd,2023,C,32.349,73,193,64.0,66.0,82.0,64,65,-4.0
Mats Zuccarello 2018,Mats Zuccarello,2018,R,30.084,68,181,77.0,78.0,81.0,80,80,1.0
Calle Jarnkrok 2019,Calle Jarnkrok,2019,C,27.018,72,192,74.0,81.0,81.0,68,79,3.0
Calle Jarnkrok 2020,Calle Jarnkrok,2020,C,28.017,72,192,81.0,81.0,68.0,79,75,-2.25
Calle Jarnkrok 2021,Calle Jarnkrok,2021,C,29.019,72,192,81.0,68.0,79.0,75,70,-5.75
Calle Jarnkrok 2022,Calle Jarnkrok,2022,C,30.019,72,192,68.0,79.0,75.0,70,66,-7.0
Calle Jarnkrok 2023,Calle Jarnkrok,2023,C,31.018,72,192,79.0,75.0,70.0,66,73,0.5
Jason Zucker 2020,Jason Zucker,2020,L,27.708,71,192,71.0,79.0,82.0,81,70,-8.25
Jason Zucker 2021,Jason Zucker,2021,L,28.71,71,192,79.0,82.0,81.0,70,55,-23.0
Tyler Toffoli 2018,Tyler Toffoli,2018,R,25.438,72,203,62.0,76.0,82.0,63,82,11.25
Tyler Toffoli 2019,Tyler Toffoli,2019,R,26.437,72,203,76.0,82.0,63.0,82,82,6.25
Tyler Toffoli 2020,Tyler Toffoli,2020,R,27.437,72,203,82.0,63.0,82.0,82,80,2.75
Tyler Toffoli 2021,Tyler Toffoli,2021,R,28.439,72,203,63.0,82.0,82.0,80,76,-0.75
Tyler Toffoli 2022,Tyler Toffoli,2022,R,29.438,72,203,82.0,82.0,80.0,76,74,-6.0
Tyler Toffoli 2023,Tyler Toffoli,2023,R,30.438,72,203,82.0,80.0,76.0,74,82,4.0
Evgeny Kuznetsov 2019,Evgeny Kuznetsov,2019,C,26.369,74,207,80.0,82.0,82.0,79,76,-4.75
Evgeny Kuznetsov 2020,Evgeny Kuznetsov,2020,C,27.368,74,207,82.0,82.0,79.0,76,74,-5.75
Evgeny Kuznetsov 2021,Evgeny Kuznetsov,2021,C,28.37,74,207,82.0,79.0,76.0,74,60,-17.75
Evgeny Kuznetsov 2022,Evgeny Kuznetsov,2022,C,29.37,74,207,79.0,76.0,74.0,60,79,6.75
Evgeny Kuznetsov 2023,Evgeny Kuznetsov,2023,C,30.369,74,207,76.0,74.0,60.0,79,81,8.75
Charlie Coyle 2018,Charlie Coyle,2018,C,25.583,75,223,70.0,82.0,82.0,82,66,-13.0
Charlie Coyle 2019,Charlie Coyle,2019,C,26.583,75,223,82.0,82.0,82.0,66,81,3.0
Charlie Coyle 2020,Charlie Coyle,2020,C,27.582,75,223,82.0,82.0,66.0,81,82,4.25
Charlie Coyle 2021,Charlie Coyle,2021,C,28.584,75,223,82.0,66.0,81.0,82,74,-3.75
Charlie Coyle 2022,Charlie Coyle,2022,C,29.583,75,223,66.0,81.0,82.0,74,82,6.25
Charlie Coyle 2023,Charlie Coyle,2023,C,30.583,75,223,81.0,82.0,74.0,82,82,2.25
Brock Nelson 2018,Brock Nelson,2018,C,25.964,76,210,72.0,82.0,81.0,81,82,3.0
Brock Nelson 2019,Brock Nelson,2019,C,26.963,76,210,82.0,81.0,81.0,82,82,0.5
Brock Nelson 2020,Brock Nelson,2020,C,27.962,76,210,81.0,81.0,82.0,82,80,-1.5
Brock Nelson 2021,Brock Nelson,2021,C,28.965,76,210,81.0,82.0,82.0,80,82,0.75
Brock Nelson 2022,Brock Nelson,2022,C,29.964,76,210,82.0,82.0,80.0,82,72,-9.5
Brock Nelson 2023,Brock Nelson,2023,C,30.963,76,210,82.0,80.0,82.0,72,82,3.0
Kevin Hayes 2019,Kevin Hayes,2019,C,26.399,77,216,79.0,79.0,76.0,76,71,-6.5
Kevin Hayes 2020,Kevin Hayes,2020,C,27.398,77,216,79.0,76.0,76.0,71,81,5.5
Kevin Hayes 2021,Kevin Hayes,2021,C,28.401,77,216,76.0,76.0,71.0,81,80,4.0
Vladimir Tarasenko 2018,Vladimir Tarasenko,2018,R,25.802,73,228,64.0,77.0,80.0,82,80,4.25
Vladimir Tarasenko 2019,Vladimir Tarasenko,2019,R,26.802,73,228,77.0,80.0,82.0,80,76,-3.75
Jaden Schwartz 2021,Jaden Schwartz,2021,C,28.269,70,185,78.0,62.0,69.0,83,58,-15.0
Riley Sheahan 2019,Riley Sheahan,2019,C,26.818,74,214,79.0,81.0,80.0,81,82,1.75
Riley Sheahan 2020,Riley Sheahan,2020,C,27.817,74,214,81.0,80.0,81.0,82,77,-4.0
Riley Sheahan 2021,Riley Sheahan,2021,C,28.819,74,214,80.0,81.0,82.0,77,77,-3.0
Riley Sheahan 2022,Riley Sheahan,2022,C,29.819,74,214,81.0,82.0,77.0,77,69,-10.25
Jeff Skinner 2018,Jeff Skinner,2018,L,25.378,71,197,71.0,77.0,82.0,79,82,4.75
