Player,Position,Age,Year 1,Year 2,Year 3,Year 4
Jan Rutta,D,32,14.43,13.86,14.36,15.13
Andy Greene,D,40,16.63,16.11,15.57,15.60
Ryan O'Reilly,C,32,15.90,15.50,16.06,14.58
Yegor Sharangovich,C,24,,,13.96,14.26
Sam Reinhart,C,27,15.67,17.10,16.43,13.75
William Karlsson,C,30,14.89,14.91,14.20,14.74
Ryan Merkley,D,22,,,,13.87
Robby Fabbri,C,27,11.70,13.57,,14.48
Dylan Strome,C,26,13.14,13.27,12.34,14.68
Pavel Buchnevich,"L, R",27,13.21,14.53,14.20,14.41
Will Borgen,D,26,,,,14.27
Brock Nelson,C,31,14.72,15.17,14.67,14.69
Andrew Copp,C,28,10.76,14.13,13.88,14.61
Mark Pysyk,D,31,16.43,11.93,10.79,15.72
Thomas Harley,D,21,,,,13.60
Cole Caufield,R,22,,,,13.78
Claude Giroux,C,35,16.20,14.82,14.73,15.01
Mats Zuccarello,R,35,15.33,13.37,14.28,15.38
Kaapo Kakko,R,22,,11.98,12.99,13.74
Adam Henrique,C,33,13.03,13.82,13.30,15.14
Trevor van Riemsdyk,D,31,13.93,13.54,,14.64
Tage Thompson,"C, R",25,11.26,,12.53,14.39
Jack Johnson,D,36,16.66,17.11,,14.63
Carter Verhaeghe,C,27,,8.96,16.09,14.62
Max Pacioretty,L,34,14.23,15.33,15.03,14.70
Roope Hintz,L,26,12.02,12.34,14.15,14.31
Erik Johnson,D,35,18.37,17.53,,14.44
Jonathan Drouin,L,28,13.99,,13.69,14.29
Valeri Nichushkin,R,28,11.28,11.87,11.74,14.93
Phillip Danault,L,30,14.78,14.78,14.10,14.35
Tom Wilson,R,29,14.48,14.30,13.26,14.44
Robert Hagg,D,28,15.12,14.35,13.91,14.05
Pavel Zacha,C,26,12.19,12.47,13.08,14.25
Josh Mahura,D,24,,,,13.80
Zach Bogosian,D,32,18.62,,13.03,14.87
Ian Cole,D,34,16.40,15.17,14.37,14.60
Alex Iafallo,"C, L",29,14.80,14.91,15.05,14.09
Joel Farabee,L,23,,12.39,12.51,13.72
Joe Pavelski,C,38,15.35,13.41,15.17,15.21
Michael Bunting,L,27,,,,14.14
Jani Hakanpaa,D,31,,,15.93,13.86
Nazem Kadri,C,32,13.59,13.41,13.38,14.87
Dylan Cozens,C,22,,,12.55,13.48
Yanni Gourde,C,31,12.66,11.81,13.64,14.88
Alex Tuch,R,26,14.24,12.66,14.00,14.03
Ryan Hartman,L,28,12.42,11.01,12.49,14.82
Viktor Arvidsson,L,30,14.95,13.09,14.32,14.30
Anders Lee,L,32,14.17,15.92,,14.19
Pius Suter,C,26,,,14.39,13.81
Matthew Benning,D,28,13.13,12.47,14.20,14.05
David Perron,L,34,14.72,15.23,15.78,14.26
Marc-Edouard Vlasic,D,36,17.66,17.13,15.01,14.26
Logan Couture,C,34,14.12,14.02,14.69,14.49
Kevin Fiala,L,26,13.40,12.83,13.39,14.00
Evgeni Malkin,C,36,15.32,15.78,14.58,14.54
Erik Gustafsson,D,34,19.41,17.36,,14.13
Andre Burakovsky,L,28,10.83,12.69,12.89,14.23
Adrian Kempe,"C, L",26,12.59,12.54,12.69,14.14
Kevin Hayes,C,30,14.40,13.96,13.67,14.29
Nicholas Paul,L,28,,,,13.91
Luke Schenn,D,33,,,10.41,15.26
Ryan Nugent-Hopkins,C,30,15.16,14.86,14.65,13.82
Vladimir Tarasenko,R,31,15.40,,,14.16
Steven Stamkos,C,33,14.08,14.54,13.91,14.34
Jonathan Huberdeau,L,29,15.27,15.05,14.03,13.89
Martin Necas,C,24,,12.28,14.49,13.20
Jeff Skinner,L,30,15.43,13.99,13.19,14.25
Joel Eriksson Ek,C,26,11.95,13.51,14.10,13.41
Gustav Nyquist,R,33,15.35,14.77,,14.19
Reilly Smith,R,32,14.29,14.03,13.83,14.20
Anthony Mantha,R,28,15.47,15.73,15.47,13.28
Scott Laughton,C,28,12.44,12.62,13.40,14.07
Chris Kreider,L,31,14.73,13.72,13.36,14.28
Simon Benoit,D,24,,,,13.34
Ondrej Palat,L,32,12.74,13.97,14.14,14.04
Paul Stastny,C,37,14.98,13.63,14.37,14.66
Rudolfs Balcers,L,26,10.67,,13.11,13.55
Jakub Voracek,R,33,15.36,13.96,14.24,14.18
Josh Bailey,R,33,14.32,13.57,14.53,14.18
Radek Faksa,C,29,13.93,12.90,13.86,13.79
Sam Bennett,C,26,11.54,11.60,12.24,13.94
Ryan Murray,D,29,18.31,,16.77,12.94
Lawson Crouse,L,25,11.56,12.08,11.98,13.76
Brandon Hagel,L,24,,,12.52,13.43
Matt Boldy,L,22,,,,12.99
Taylor Hall,L,31,16.24,15.42,15.23,13.48
Isac Lundestrom,C,23,,,13.36,13.10
Barrett Hayton,C,22,,,,13.10
Logan Stanley,D,24,,,12.87,13.15
Kris Russell,D,35,18.25,14.33,16.19,13.65
Tanner Pearson,L,30,12.54,13.74,14.11,13.74
Noah Gregor,C,24,,,,13.27
Jean-Gabriel Pageau,C,30,14.93,15.13,13.58,13.63
Brad Marchand,L,34,14.89,14.08,14.06,14.11
Brad Hunt,D,34,12.47,12.70,,14.09
Jamie Benn,L,33,15.22,13.66,14.63,13.92
Victor Olofsson,L,27,,14.92,14.37,13.08
Cam Atkinson,R,33,15.36,13.94,14.88,13.80
Christian Dvorak,"C, L",27,,13.62,13.61,13.21
Mike Hoffman,L,33,14.38,13.04,13.09,14.25
Alexis Lafrenière,L,21,,,12.56,12.75
Charlie Coyle,C,31,14.00,13.95,12.96,13.80
Nicklas Backstrom,C,35,15.31,14.95,15.18,13.71
Kyle Palmieri,R,32,14.58,13.63,13.68,13.73
Barclay Goodrow,R,30,9.51,12.80,12.53,13.80
Alexandre Texier,C,23,,12.08,13.68,12.71
Mikael Backlund,C,34,14.85,14.79,14.12,13.65
Travis Boyd,C,29,8.99,,9.67,14.20
Casey Mittelstadt,C,24,11.68,10.97,13.39,13.08
Phil Kessel,R,35,14.71,13.92,14.20,13.91
Ivan Barbashev,C,27,9.87,11.66,11.26,13.85
Vincent Trocheck,C,29,15.56,14.19,14.30,13.20
Anton Lundell,C,21,,,,12.69
Andrej Sustr,D,32,,,,13.58
Jordie Benn,D,35,15.37,13.82,13.37,14.00
Cole Sillinger,C,19,,,,12.37
