,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
440,Matt Dumba,D,28.2,72,181,0.6526258186694057,0.1016801809132659,0.05124369295891074,0.13268324893713318,0.01891327344499523,0.07250285429641433,2.613970349870098,0.2149150607200654,0.18415763939889274,0.05792868468268915,0.09973513771942956,,0.05434572470287321,2.8965780570394504,3.2305973405488686,3.356339458457476,5.4856119237221375
441,Markus Nutivaara,D,28.3,73,187,0.229036857830213,0.1704235814342616,0.020366348976897607,,,0.03227439016778204,3.104541512043284,0.3940062751997122,,,0.04175471160320596,,,3.1333362906564246,3.16454478822483,3.198056816565517,5.482673383396704
442,Auston Matthews,C,25.0,75,208,0.19099892589847905,0.0496743647447614,0.18125941301470694,0.2153079910654697,0.1638559745882853,0.0854118379444365,1.8609118732492405,0.2554643754493385,0.1759003017417509,0.09576864954943907,0.057385129878820405,0.2502220370789188,0.07620170056324288,4.1140400931887156,2.6548683741647428,2.4540154022382,5.476846133216331
443,Mika Zibanejad,C,29.5,74,202,0.18196179452550193,0.0666526092938184,0.05466508830689646,0.6977859990648169,0.2173234148612744,0.13083316413020177,1.924646094740537,0.16660244487890366,0.14449228409091516,0.15284381835951988,0.03910418012735404,0.27252713958737057,0.14113616433820445,3.723391872100345,3.1846820418740713,2.4303467211835748,5.469225898262557
444,Elias Lindholm,C,27.8,73,202,0.06990065040453464,0.1487613089401049,0.2000411171953446,0.24816652473643414,0.07359506865333955,0.1267922835273771,1.8616902293346222,0.3996578605703499,0.13223462439790062,0.11265649351015891,0.033365700538228696,0.19196980096019428,0.1222589240014676,4.036568608123396,2.985298335321877,2.155176371111175,5.463577350926657
445,Andrej Sekera,D,36.3,72,200,0.0621800175034222,0.2238578777838754,0.0183666001374887,0.17826085230314,0.0727546062393818,0.04459465968101001,3.101373274857446,0.4906438794324791,0.14439353577265843,0.02155480890343498,0.03162840413526421,,0.11180020233575783,3.1172776072776816,3.1812036273429167,3.1520975299285765,5.456481928645639
446,Cal Foote,D,23.8,77,224,0.087595686945429,0.2098065574347138,0.0239833383068246,0.114737383767351,0.034491084640527,0.0623141994757944,3.0519333069384067,0.4803179855858968,0.1796185819925978,0.10160454394578038,0.04601384354348606,,0.004555444075773515,3.081000768589335,3.21527931584081,3.147411931940382,5.453144843504756
447,Brandon Biro,L,24.6,71,170,0.09115458959158283,0.0409761673490957,0.05634669909814567,0.19324018967185375,,0.048487804517864615,3.047878073348735,0.37280030141785075,0.15808977341295782,,0.04301832189268101,0.17853153904011052,,3.1825801842379438,3.1443193593169547,3.1172911858204113,5.452803425731854
448,James Neal,L,35.1,75,212,0.23173071723933433,0.0898711840430351,0.06419569000861686,0.2501581272442667,,0.03908832111939328,3.031364529382767,0.4390406697550466,0.12359740575846336,,0.029274679461762803,0.18863694337038794,,3.2171057145279764,3.1081490899061013,3.106760931302313,5.446312828675847
449,Calle Rosen,D,28.7,73,188,0.2469226770598934,0.2301225362136868,0.0223529452298595,0.1553668183580712,0.0185293435936921,0.04209409191049218,3.061976485866605,0.5177423324147349,0.18701514528465035,0.08557411381347128,0.04832968992927904,,0.06420644136088582,3.0952119731216405,3.163489995784076,3.165462500717146,5.441337974747382
450,Mikko Rantanen,R,25.9,76,215,0.18460709709464948,0.0148462929832702,0.0757509694082026,0.2562301750201835,0.09150429456494957,0.10294573781738489,2.041622580204285,0.5932352361437816,0.531201521916212,0.07925703609953542,0.05482652198763447,0.21694939943221048,0.0023495169237378586,3.0031632178062795,3.704417970217103,2.617418497220858,5.439906377911835
451,Jeff Skinner,L,30.4,71,197,0.33965043677726653,0.0141362968360316,0.12035052965493744,0.18091886220008427,0.13108300365657774,0.16927879959773923,1.6561005374070739,0.1630014522435927,0.4558972103814101,0.10468167916899111,0.10715866169686257,0.25461504462218454,0.038638793836676504,2.906968964059919,3.7419141627834196,2.6587456259969313,5.433352414799224
452,Blake Comeau,L,36.6,73,200,0.05270930702789686,0.2344715482323163,0.060902890780452634,0.24396501469145723,0.09639419842835004,0.04070635365495011,3.041961761758356,0.3867273392224172,0.19941573382418035,0.12228781896587125,0.03160338436240629,0.18206335251664116,0.08828844339220747,3.197189009126247,3.118607854382706,3.088162916975621,5.429961575488224
453,Mattias Janmark,C,29.8,73,205,0.25848245710718926,0.2674252124497961,0.02972517870821456,0.28506761183040086,0.3952998552577291,0.06634488720015753,2.9943893718085497,0.19382348692485718,0.12913522339585606,0.11542935889267979,0.022183293594605906,0.16036578207522345,0.03294041493962558,3.172310690317737,3.1746815677791034,3.05523408091543,5.429236913405763
454,Nikolaj Ehlers,L,26.6,72,169,0.3631508394643256,0.0212527271573767,0.07303845286490247,0.48989253674964767,0.12540767985817886,0.10821824616676934,2.2360436042260012,0.9747524534026425,0.09659716547069883,0.1474101529943689,0.05364905752552849,0.2321793111931763,0.14946127650709667,3.446378411671971,3.1840627175099594,2.7297232579499444,5.428367029822908
455,Anthony Mantha,R,28.0,77,234,0.1264261124616129,0.0243518780085315,0.061237253092752054,0.21710236403793706,0.12432842933124075,0.09017419173422832,2.8182345608554304,0.24828611372456236,0.622007531852792,0.10959660876340319,0.03939735813616139,0.295970756688019,0.04188567238194836,3.0789889627951506,3.3411723478644735,2.9699660074467267,5.428103147190334
456,Scott Harrington,D,29.6,74,204,0.0200416212412469,0.1720411164544685,0.018798222684073,0.1577707059020587,0.0242320729199051,0.026020255394309636,3.0986804594859403,0.36816422233457535,0.19540904495752084,0.05151669528960394,0.02905964216579144,,0.08140560044833342,3.1165438555966665,3.1351267654976893,3.1431308434124308,5.42412545378588
457,Jordan Kyrou,C,24.4,73,196,0.38112637791537674,0.368299679147997,0.08202553972029779,0.3218455320053313,0.09436538431087109,0.10359748528908201,2.2978935984940647,0.47521571777389815,0.1378015077388072,0.0791662736433718,0.06863491686549834,0.19366067412708346,0.03214496262986877,3.296218850449439,3.2103823871389263,2.8660466136713043,5.420870499601222
458,Oliver Kylington,D,25.4,72,183,0.2924527977861892,0.1254155033862795,0.05518650160322021,0.12641668084222848,0.023333660243904153,0.0421881215714115,2.939106277425164,0.4702251761558231,0.18017614311114705,0.06550993576074164,0.04031028164924364,,0.03220182610514882,3.1631012364399727,3.1412847802059187,3.0740405476676864,5.415035068309944
459,Brett Leason,R,23.4,77,218,0.13815375253419646,0.096620859446649,0.059240156965904504,0.21184303486121717,0.11310819776484449,0.05432670011481546,3.0538887651648343,0.4504423339560038,0.23128684913127387,0.1914730227005136,0.041315466190248916,0.18438310203850317,0.0058326861699477765,3.14326877845486,3.1212541066000266,3.0996212206938005,5.406479216953669
460,Johnathan Kovacevic,D,25.2,76,208,0.0158190549711921,0.2165453953956469,0.0162134529282444,,0.0366571629966791,0.017882309300814598,3.0926172346412346,0.4502186645304814,,0.04743807592584674,0.028053512753687223,,0.07665307610118124,3.106835904902314,3.1132974968914375,3.138717642439587,5.4033877413250835
461,Kyle Rau,C,29.9,69,171,0.05106864229518837,0.1267532981374621,0.04511610630352479,,0.13377815816311903,0.053671734589204496,3.0305097986972425,0.5031810262446997,,0.43378944931789065,0.03479373728974082,,0.11848847148207448,3.118269060379144,3.156940984145098,3.078357426074536,5.40057059512799
462,Jakub Zboril,D,25.6,73,201,0.1203084536871371,0.1763496691541041,0.051673211365598874,0.13848770305782004,0.0244415434521442,0.031995879424573236,3.0187759042366826,0.4682748775463019,0.2631611130866771,0.09035294032584532,0.03500861659920846,,0.10341971504621976,3.1551242903814343,3.0961048369065325,3.101738220376607,5.400134668377818
463,Sheldon Rempal,R,27.2,70,165,0.0408991678220963,0.0768383949879459,0.11555158228078068,,,0.06295744632609979,2.9387251164408013,0.4500872383704613,,,0.025038521385918538,,,3.3174519255992703,3.056269665659386,2.968269177956095,5.399712349810515
464,Joey Anderson,R,24.3,72,207,0.07489423219309407,0.1224219786146933,0.04946519045130967,,0.17840115475987772,0.07061123584267891,3.016920376808112,0.3433102210282915,,0.10870969934277366,0.042942547663379266,,0.004322003169954878,3.1268304890016,3.141226533323475,3.0734813374626144,5.393575861368447
465,Sami Niku,D,26.0,73,176,0.1684208442559517,0.3744822595528785,0.03035156644898957,0.14134373658741858,0.05913781230878431,0.046926209534938944,3.038965302533085,0.4646009560100938,0.17604836215706518,0.09647294247938995,0.029384242980698787,,0.09944381181625556,3.0893103035461067,3.154017201420242,3.0959235831562353,5.39225421240448
466,Michael Rasmussen,C,23.5,78,211,0.27262344427278096,0.2271734989351559,0.10345197167648976,0.30177590941423327,0.16112652175111558,0.2051045248230332,2.3052832797727913,0.28077068782158116,0.14100778751638435,0.09967493581164569,0.05446887346414218,0.3291875574424547,0.06724869408539,2.8285903859469363,3.818893496166866,2.5433063379796983,5.390109297161304
467,Josh Leivo,L,29.4,74,192,0.06639955004142419,0.1573727294936104,0.06847365586129445,0.12007529253056297,,0.05159976024647283,3.0238467950608876,0.3333483847102002,0.147313714621052,,0.04769368126195088,0.13511200528813766,,3.144272626176734,3.1034929077430777,3.0833553947426404,5.387503973680619
468,Joel Hanley,D,31.3,71,190,0.0229442528737024,0.2395101991800091,0.0200235972639783,0.1873811679498072,0.0576989989517417,0.029730801517254803,3.0598593170275006,0.578393728321573,0.1679681260830114,0.030937452552762007,0.03399726227562396,,0.07322729311212137,3.0805827492962563,3.109518213761349,3.1294480703997447,5.380756342959969
