,Player,Position,Age,Height,Weight,GP
908,Vince Dunn,D,26,72,200,77.95060205459595
909,Vincent Desharnais,D,27,78,215,61.971744537353516
910,Vincent Iorio,D,20,76,200,51.85028839111328
911,Vincent Trocheck,C,30,71,184,77.29880106449127
912,Vinni Lettieri,C,28,70,184,48.36050796508789
913,Vinnie Hinostroza,C,29,70,183,57.18497276306152
914,Vitali Kravtsov,R,23,75,186,73.47173881530762
915,Vladimir Tarasenko,R,31,73,228,74.38161277770996
916,Vladislav Gavrikov,D,27,75,221,78.32826994359493
917,Vladislav Kolyachonok,D,22,73,193,47.779052734375
918,Vladislav Namestnikov,C,30,72,179,76.90245544910431
919,Wade Allison,R,25,74,205,75.05004215240479
920,Walker Duehr,R,25,74,210,59.6863899230957
921,Warren Foegele,L,27,74,198,76.99009895324707
922,Wayne Simmonds,R,35,74,184,42.288827896118164
923,Will Borgen,D,26,75,204,82.0
924,Will Cuylle,L,21,75,211,57.512168884277344
925,William Bitten,C,25,71,180,54.670345306396484
926,William Carrier,L,28,74,218,73.20260524749756
927,William Dufour,R,21,74,215,55.74236297607422
928,William Eklund,L,20,71,181,64.90275955200195
929,William Karlsson,C,30,72,190,77.262730717659
930,William Lockwood,R,25,71,172,59.987220764160156
931,William Nylander,R,27,72,204,79.4141285866499
932,Wyatt Johnston,C,20,73,185,82.0
933,Wyatt Kaiser,D,21,72,173,53.38984680175781
934,Yakov Trenin,C,26,74,201,77.98853937784831
935,Yanni Gourde,C,31,69,174,79.78907447308302
936,Yegor Chinakhov,R,22,73,204,68.10934829711914
937,Yegor Sharangovich,C,25,74,196,79.6091198126475
938,Zac Dalpe,C,33,74,197,42.62444877624512
939,Zac Jones,D,22,70,178,54.809722900390625
940,Zach Aston-Reese,C,29,73,205,72.88930082321167
941,Zach Bogosian,D,33,74,222,57.333617210388184
942,Zach Hyman,L,31,73,211,73.44677257537842
943,Zach Parise,L,39,71,195,77.48128724470735
944,Zach Sanford,L,28,76,206,50.39547348022461
945,Zach Werenski,D,26,74,213,49.170433044433594
946,Zach Whitecloud,D,26,74,207,72.3591480255127
947,Zack Kassian,R,32,75,211,68.07406520843506
948,Zack MacEwen,C,27,75,205,73.97999668121338
949,Zemgus Girgensons,L,29,74,200,77.03483295440674
