,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
60,Andrew Copp,C,28.2,73,199,2.0177262000000007,2.2770101600000023,0.5804362100000003,1.0775635799999994,0.36139947,0.8538582199999997,78.25429999999997,14.005809430000001,1.3701094800000002,0.16830811999999995,0.49219563999999955
61,Andrew Ladd,L,36.8,75,205,1.4160927500000002,1.0667871000000004,0.6863075399999998,1.3765477800000008,0.27047669,0.4021883200000001,67.09280000000001,10.866900220000007,1.04200761,0.22276737999999996,0.31486637999999995
62,Andrew Mangiapane,L,26.5,70,184,1.771795889999998,1.137144420000001,1.15058037,1.3694042399999993,0.43123589,0.6148394200000004,74.70110000000004,13.256870509999999,0.8963856099999999,0.7364930800000009,0.4400637000000001
63,Andrew Peeke,D,24.5,75,210,0.07734877,2.9126475599999986,0.2198931899999998,0.6695322699999999,0.01135404,0.1486559100000001,78.09300000000002,18.118768100000008,1.24531413,0.005678099999999999,0.22527512000000016
64,Andrew Poturalski,C,28.7,70,183,0.40413056999999986,0.0624286499999999,0.5304045199999999,1.1362441099999996,,0.3990553799999998,69.26879999999998,10.57404339,1.20259025,,0.31155257999999997
65,Andy Andreoff,C,31.4,73,208,0.14831503,0.16040733,0.50043833,,0.17301765,0.3413159999999999,68.76039999999998,9.388442659999997,,0.33941085000000015,0.2789650599999998
66,Andy Greene,D,39.9,71,190,0.13838513,1.6748457,0.0954701299999999,0.7523187299999999,0.07507586,0.23334253999999993,70.70550000000004,15.121123989999994,1.40039255,0.03377054999999998,0.30420147
67,Anthony Angello,R,26.6,77,210,1.0827522800000002,0.0411888699999999,0.4570002199999996,,,0.3393434700000001,72.48299999999999,9.186138280000002,,,0.28360130999999994
68,Anthony Beauvillier,L,25.3,71,180,1.8831043099999976,0.4596378399999997,0.7619731999999989,1.4416859200000014,0.5814561099999999,0.6533867500000003,75.90280000000001,14.239970229999999,0.7647603400000003,0.10536717000000001,0.41934330999999986
69,Anthony Cirelli,C,25.2,72,189,1.0936707300000001,2.1301268,0.7029681599999997,1.1691878500000004,0.67968263,0.7509493100000006,67.7911,13.980425550000017,1.2913877999999999,0.17207585000000006,0.4736074799999996
70,Anthony Duclair,L,27.1,71,197,2.2917454,0.30510759,1.0975474599999997,2.02510233,1.3491323799999992,0.8515783299999999,72.94470000000001,12.96225354,1.6194081800000004,0.59047324,0.44361903999999996
71,Anthony Greco,R,29.0,70,179,0.10834216000000003,0.05055053,0.6463533499999999,,,0.4778264699999999,71.02009999999999,10.908035750000002,,,0.35923945
72,Anthony Mantha,R,28.0,77,234,1.7700280599999993,0.04241776,0.8115854400000002,1.247988419999999,0.2361662299999999,0.65487312,65.51140000000004,14.513018119999993,0.7046346199999998,0.16821341999999986,0.3352107
73,Antoine Roussel,L,32.9,71,200,0.39758761,1.357605320000001,0.50078299,1.3010560399999995,0.19415277,0.49477824,65.5238,10.247071280000009,0.9151415800000006,0.19720627000000002,0.36487429000000005
74,Anton Blidh,L,27.6,73,197,0.16012912,0.83119979,0.4486915800000001,1.2837839099999997,0.2418028100000001,0.4354437900000001,67.05790000000002,10.462195270000002,0.8967797300000001,0.13660254000000005,0.2993936499999999
75,Anton Lundell,C,21.0,73,185,1.455841329999999,1.8695581299999984,0.7566927300000001,1.2228882599999995,0.5713842800000003,0.7493756299999994,73.21339999999998,13.144415630000003,1.1415734899999999,0.10442683999999997,0.47520141000000005
76,Anton Stralman,D,36.2,71,193,0.2419798099999999,2.026757520000002,0.2237661900000001,0.5446800099999998,0.02130393,0.2643326500000001,69.90710000000001,16.741849460000015,1.1830874100000006,0.008882700000000002,0.34428684000000004
77,Anze Kopitar,C,35.1,75,225,3.089618560000001,1.7399979700000003,0.8375865599999996,1.4083114000000014,0.1617968099999999,0.8330771399999993,77.9438,15.459380190000013,1.715012210000001,0.11954708999999995,0.60268702
78,Artem Zub,D,27.0,74,200,0.22117615,1.7770602800000008,0.1691760600000001,0.8562967599999997,0.00787989,0.18723768999999993,65.00700000000003,18.13624626000001,0.99695426,0.11661281999999998,0.3572868400000001
79,Artemi Kniazev,D,21.7,71,178,0.3334823199999999,0.8693625800000001,0.1346707499999999,,0.0492689999999999,0.30683003,69.54700000000001,16.815562500000006,,0.05592248999999998,0.3506410100000002
80,Artemi Panarin,L,30.9,72,173,3.4089155100000017,0.0262177199999999,0.9150553000000002,1.875962020000001,0.36728979,1.1326760499999995,76.5389,16.041597940000017,2.616385670000001,0.66262035,0.6750683799999996
81,Arthur Kaliyev,R,21.3,74,210,2.133359539999998,0.1028165799999999,0.7072595800000009,2.660597869999998,0.24398554,0.6670935100000009,65.6274,10.21625686999999,1.2017286299999987,0.3707413600000004,0.49988800000000033
82,Arttu Ruotsalainen,C,24.9,68,187,0.8760828600000002,0.4730114500000003,0.63142789,1.27956437,0.3555878299999998,0.5530417400000002,68.61970000000002,11.914098390000003,0.9790282,0.22698510000000013,0.36216558999999987
83,Artturi Lehkonen,L,27.2,71,179,2.369862080000002,1.6970091900000006,0.8154111400000005,1.82403399,0.6413522799999999,0.5601945500000004,70.76400000000001,13.830135100000009,0.8784528800000004,0.10711456999999998,0.5363179100000003
84,Austin Czarnik,C,29.8,69,170,1.1756260000000003,0.4709743299999997,0.66345329,1.2317808200000002,0.41996507,0.6330059099999997,72.13670000000002,10.975469510000003,1.1590414900000001,0.9560768799999997,0.4197167899999998
85,Austin Poganski,R,26.6,73,198,0.10999281999999998,0.2027818500000001,0.44063625,1.3233594599999998,,0.3104427799999998,64.66380000000001,10.41879345,0.92962092,,0.29580604999999993
86,Austin Strand,D,25.6,75,215,0.1121400299999999,1.5259119599999993,0.1529305899999999,0.7398099100000002,0.00516818,0.25989373999999993,67.51740000000001,14.68736727,1.22254443,0.13617495999999993,0.33476528
87,Austin Watson,L,30.7,76,204,0.10259129999999995,1.805191149999999,0.7079378199999998,1.4000111899999998,0.7270208100000007,0.4209567099999997,70.4891,9.391519109999999,0.8233471400000002,0.21276524999999988,0.3422069800000001
88,Auston Matthews,C,25.0,75,208,3.378971129999998,0.0899813799999999,1.4764057699999995,3.0654675399999967,0.5340142799999998,0.9760671099999996,72.22099999999999,16.74735797999999,1.7144931199999993,0.18255886999999998,0.4516092000000006
89,Axel Jonsson-Fjallby,L,24.6,73,189,0.14223191000000007,0.7023216299999998,0.6912083400000003,1.29967811,0.3027991799999998,0.5263143500000002,66.21309999999998,11.274324680000007,0.9017858800000002,0.2045560100000001,0.3675999000000001
90,Barclay Goodrow,C,29.6,74,204,0.4325115499999995,1.96703642,0.5939117199999995,1.47964699,0.17131991,0.630130309999999,76.9608,12.78503419,0.9814559800000003,0.3420085499999999,0.46839289000000034
91,Barrett Hayton,C,22.3,73,207,1.839023790000002,1.340567159999999,0.7063006799999999,1.47793812,0.34446263,0.5415159500000004,77.41689999999998,13.42534329,1.16813501,0.31013309999999994,0.37628569
92,Beck Malenstyn,L,24.7,75,200,0.22008464,0.8235326800000001,0.62576513,,0.4442991599999999,0.4021283099999999,68.6722,11.087621960000003,,0.29209660999999987,0.3387104
