,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP
Mark Giordano 2023,Mark Giordano,2023,D,38.996,72,205,78.0,70.0,82.0,75,78,1.75
Alex Goligoski 2018,Alex Goligoski,2018,D,32.173,71,173,81.0,81.0,82.0,82,78,-3.5
Alex Goligoski 2019,Alex Goligoski,2019,D,33.173,71,173,81.0,82.0,82.0,78,76,-4.75
Alex Goligoski 2020,Alex Goligoski,2020,D,34.172,71,173,82.0,82.0,78.0,76,82,2.5
Alex Goligoski 2021,Alex Goligoski,2021,D,35.174,71,173,82.0,78.0,76.0,82,82,2.5
Alex Goligoski 2022,Alex Goligoski,2022,D,36.173,71,173,78.0,76.0,82.0,82,72,-7.5
Jack Johnson 2018,Jack Johnson,2018,D,30.717,73,227,82.0,79.0,60.0,82,77,1.25
Jack Johnson 2019,Jack Johnson,2019,D,31.716,73,227,79.0,60.0,82.0,77,82,7.5
Jack Johnson 2020,Jack Johnson,2020,D,32.715,73,227,60.0,82.0,77.0,82,79,3.75
Marc Staal 2018,Marc Staal,2018,D,30.717,76,208,72.0,80.0,77.0,72,72,-3.25
Marc Staal 2019,Marc Staal,2019,D,31.716,76,208,80.0,77.0,72.0,72,79,3.75
Marc Staal 2020,Marc Staal,2020,D,32.715,76,208,77.0,72.0,72.0,79,61,-14.0
Marc Staal 2021,Marc Staal,2021,D,33.718,76,208,72.0,72.0,79.0,61,82,11.0
Marc Staal 2022,Marc Staal,2022,D,34.717,76,208,72.0,79.0,61.0,82,71,-2.5
Marc Staal 2023,Marc Staal,2023,D,35.716,76,208,79.0,61.0,82.0,71,82,8.75
Marc-Edouard Vlasic 2012,Marc-Edouard Vlasic,2012,D,24.507,73,205,82.0,82.0,64.0,80,82,5.0
Marc-Edouard Vlasic 2018,Marc-Edouard Vlasic,2018,D,30.509,73,205,81.0,70.0,67.0,75,81,7.75
Marc-Edouard Vlasic 2019,Marc-Edouard Vlasic,2019,D,31.508,73,205,70.0,67.0,75.0,81,72,-1.25
Marc-Edouard Vlasic 2020,Marc-Edouard Vlasic,2020,D,32.507,73,205,67.0,75.0,81.0,72,82,8.25
Marc-Edouard Vlasic 2021,Marc-Edouard Vlasic,2021,D,33.509,73,205,75.0,81.0,72.0,82,74,-3.5
Marc-Edouard Vlasic 2022,Marc-Edouard Vlasic,2022,D,34.509,73,205,81.0,72.0,82.0,74,75,-2.25
Marc-Edouard Vlasic 2023,Marc-Edouard Vlasic,2023,D,35.508,73,205,72.0,82.0,74.0,75,78,2.25
Kris Letang 2012,Kris Letang,2012,D,24.439,72,201,63.0,74.0,73.0,82,51,-22.0
Kris Letang 2022,Kris Letang,2022,D,34.44,72,201,79.0,65.0,71.0,80,78,4.25
Kris Letang 2023,Kris Letang,2023,D,35.44,72,201,65.0,71.0,80.0,78,64,-9.5
Anton Stralman 2018,Anton Stralman,2018,D,31.169,71,193,81.0,82.0,73.0,73,80,2.75
Jeff Petry 2021,Jeff Petry,2021,D,32.814,75,209,80.0,82.0,82.0,83,80,-1.75
Jeff Petry 2022,Jeff Petry,2022,D,33.813,75,209,82.0,82.0,83.0,80,68,-13.75
Jeff Petry 2023,Jeff Petry,2023,D,34.813,75,209,82.0,83.0,80.0,68,61,-17.25
Ian Cole 2019,Ian Cole,2019,D,29.608,73,225,74.0,70.0,81.0,67,71,-2.0
Ian Cole 2020,Ian Cole,2020,D,30.607,73,225,70.0,81.0,67.0,71,76,3.75
Ian Cole 2021,Ian Cole,2021,D,31.609,73,225,81.0,67.0,71.0,76,79,5.25
Ian Cole 2022,Ian Cole,2022,D,32.609,73,225,67.0,71.0,76.0,79,75,1.75
Ian Cole 2023,Ian Cole,2023,D,33.608,73,225,71.0,76.0,79.0,75,78,2.75
Justin Braun 2018,Justin Braun,2018,D,30.64,74,205,82.0,70.0,80.0,81,81,2.75
Justin Braun 2019,Justin Braun,2019,D,31.639,74,205,70.0,80.0,81.0,81,78,0.0
Justin Braun 2020,Justin Braun,2020,D,32.639,74,205,80.0,81.0,81.0,78,73,-7.0
Justin Braun 2021,Justin Braun,2021,D,33.641,74,205,81.0,81.0,78.0,73,77,-1.25
Justin Braun 2022,Justin Braun,2022,D,34.64,74,205,81.0,78.0,73.0,77,69,-8.25
Justin Braun 2023,Justin Braun,2023,D,35.64,74,205,78.0,73.0,77.0,69,51,-23.25
Kevin Shattenkirk 2023,Kevin Shattenkirk,2023,D,33.671,72,212,73.0,82.0,80.0,82,75,-4.25
Ryan McDonagh 2018,Ryan McDonagh,2018,D,28.302,73,215,77.0,71.0,73.0,77,63,-11.5
Ryan McDonagh 2019,Ryan McDonagh,2019,D,29.301,73,215,71.0,73.0,77.0,63,82,11.0
Ryan McDonagh 2020,Ryan McDonagh,2020,D,30.301,73,215,73.0,77.0,63.0,82,58,-15.75
Jake Muzzin 2018,Jake Muzzin,2018,D,28.609,75,227,76.0,76.0,82.0,82,74,-5.0
Jake Muzzin 2019,Jake Muzzin,2019,D,29.608,75,227,76.0,82.0,82.0,74,80,1.5
Jake Muzzin 2020,Jake Muzzin,2020,D,30.607,75,227,82.0,82.0,74.0,80,62,-17.5
Jake Muzzin 2021,Jake Muzzin,2021,D,31.609,75,227,82.0,74.0,80.0,62,77,2.5
Alec Martinez 2020,Alec Martinez,2020,D,32.184,73,210,78.0,82.0,77.0,60,60,-14.25
Alec Martinez 2021,Alec Martinez,2021,D,33.186,73,210,82.0,77.0,60.0,60,77,7.25
Nick Holden 2019,Nick Holden,2019,D,31.382,76,210,78.0,82.0,80.0,73,61,-17.25
Nick Holden 2020,Nick Holden,2020,D,32.381,76,210,82.0,80.0,73.0,61,71,-3.0
Jason Demers 2018,Jason Demers,2018,D,29.312,73,195,75.0,81.0,62.0,81,69,-5.75
Drew Doughty 2018,Drew Doughty,2018,D,27.815,73,210,78.0,82.0,82.0,82,82,1.0
Drew Doughty 2019,Drew Doughty,2019,D,28.814,73,210,82.0,82.0,82.0,82,82,0.0
Drew Doughty 2020,Drew Doughty,2020,D,29.813,73,210,82.0,82.0,82.0,82,79,-3.0
Drew Doughty 2021,Drew Doughty,2021,D,30.815,73,210,82.0,82.0,82.0,79,82,0.75
Alex Pietrangelo 2018,Alex Pietrangelo,2018,D,27.702,75,215,81.0,81.0,73.0,80,78,-0.75
Alex Pietrangelo 2019,Alex Pietrangelo,2019,D,28.702,75,215,81.0,73.0,80.0,78,71,-7.0
Alex Pietrangelo 2020,Alex Pietrangelo,2020,D,29.701,75,215,73.0,80.0,78.0,71,82,6.5
Alex Pietrangelo 2021,Alex Pietrangelo,2021,D,30.703,75,215,80.0,78.0,71.0,82,60,-17.75
Alex Pietrangelo 2022,Alex Pietrangelo,2022,D,31.702,75,215,78.0,71.0,82.0,60,80,7.25
Alex Pietrangelo 2023,Alex Pietrangelo,2023,D,32.702,75,215,71.0,82.0,60.0,80,73,-0.25
Tyler Myers 2022,Tyler Myers,2022,D,31.664,80,229,82.0,80.0,80.0,80,82,1.5
Tyler Myers 2023,Tyler Myers,2023,D,32.663,80,229,80.0,80.0,80.0,82,78,-2.5
Erik Karlsson 2018,Erik Karlsson,2018,D,27.338,72,190,82.0,82.0,82.0,77,71,-9.75
Erik Karlsson 2019,Erik Karlsson,2019,D,28.338,72,190,82.0,82.0,77.0,71,53,-25.0
John Carlson 2021,John Carlson,2021,D,30.725,75,215,72.0,82.0,80.0,81,76,-2.75
John Carlson 2022,John Carlson,2022,D,31.724,75,215,82.0,80.0,81.0,76,78,-1.75
Roman Josi 2018,Roman Josi,2018,D,27.335,73,201,72.0,81.0,81.0,72,75,-1.5
Roman Josi 2019,Roman Josi,2019,D,28.335,73,201,81.0,81.0,72.0,75,82,4.75
Roman Josi 2020,Roman Josi,2020,D,29.334,73,201,81.0,72.0,75.0,82,81,3.5
Roman Josi 2021,Roman Josi,2021,D,30.336,73,201,72.0,75.0,82.0,81,68,-9.5
Roman Josi 2022,Roman Josi,2022,D,31.336,73,201,75.0,82.0,81.0,68,80,3.5
Roman Josi 2023,Roman Josi,2023,D,32.335,73,201,82.0,81.0,68.0,80,67,-10.75
Justin Schultz 2018,Justin Schultz,2018,D,27.24,74,190,74.0,81.0,63.0,78,63,-11.0
Marco Scandella 2018,Marco Scandella,2018,D,27.604,75,212,76.0,64.0,73.0,71,82,11.0
Marco Scandella 2019,Marco Scandella,2019,D,28.603,75,212,64.0,73.0,71.0,82,63,-9.5
Marco Scandella 2020,Marco Scandella,2020,D,29.602,75,212,73.0,71.0,82.0,63,73,0.75
Marco Scandella 2021,Marco Scandella,2021,D,30.605,75,212,71.0,82.0,63.0,73,71,-1.25
Marco Scandella 2022,Marco Scandella,2022,D,31.604,75,212,82.0,63.0,73.0,71,70,-2.25
Michael Stone 2018,Michael Stone,2018,D,27.319,75,210,70.0,81.0,75.0,64,82,9.5
TJ Brodie 2018,TJ Brodie,2018,D,27.319,74,187,81.0,81.0,70.0,82,73,-5.5
TJ Brodie 2019,TJ Brodie,2019,D,28.318,74,187,81.0,70.0,82.0,73,79,2.5
TJ Brodie 2020,TJ Brodie,2020,D,29.318,74,187,70.0,82.0,73.0,79,75,-1.0
TJ Brodie 2021,TJ Brodie,2021,D,30.32,74,187,82.0,73.0,79.0,75,82,4.75
TJ Brodie 2022,TJ Brodie,2022,D,31.319,74,187,73.0,79.0,75.0,82,82,4.75
TJ Brodie 2023,TJ Brodie,2023,D,32.318,74,187,79.0,75.0,82.0,82,58,-21.5
Jared Spurgeon 2018,Jared Spurgeon,2018,D,27.839,69,166,67.0,66.0,77.0,76,61,-10.5
Jared Spurgeon 2019,Jared Spurgeon,2019,D,28.839,69,166,66.0,77.0,76.0,61,82,12.0
Jared Spurgeon 2020,Jared Spurgeon,2020,D,29.838,69,166,77.0,76.0,61.0,82,73,-1.0
Jared Spurgeon 2021,Jared Spurgeon,2021,D,30.84,69,166,76.0,61.0,82.0,73,79,6.0
Jared Spurgeon 2022,Jared Spurgeon,2022,D,31.839,69,166,61.0,82.0,73.0,79,65,-8.75
Jared Spurgeon 2023,Jared Spurgeon,2023,D,32.839,69,166,82.0,73.0,79.0,65,79,4.25
Jordie Benn 2018,Jordie Benn,2018,D,30.186,74,201,78.0,73.0,64.0,71,77,5.5
Jordie Benn 2019,Jordie Benn,2019,D,31.185,74,201,73.0,64.0,71.0,77,81,9.75
Jordie Benn 2020,Jordie Benn,2020,D,32.184,74,201,64.0,71.0,77.0,81,51,-22.25
Victor Hedman 2020,Victor Hedman,2020,D,28.787,79,244,78.0,79.0,77.0,70,77,1.0
Victor Hedman 2021,Victor Hedman,2021,D,29.789,79,244,79.0,77.0,70.0,77,79,3.25
Victor Hedman 2022,Victor Hedman,2022,D,30.788,79,244,77.0,70.0,77.0,79,82,6.25
Victor Hedman 2023,Victor Hedman,2023,D,31.787,79,244,70.0,77.0,79.0,82,76,-1.0
Oliver Ekman-Larsson 2018,Oliver Ekman-Larsson,2018,D,26.21,74,200,80.0,82.0,75.0,79,82,3.0
Oliver Ekman-Larsson 2019,Oliver Ekman-Larsson,2019,D,27.21,74,200,82.0,75.0,79.0,82,81,1.5
Oliver Ekman-Larsson 2020,Oliver Ekman-Larsson,2020,D,28.209,74,200,75.0,79.0,82.0,81,77,-2.25
Oliver Ekman-Larsson 2021,Oliver Ekman-Larsson,2021,D,29.211,74,200,79.0,82.0,81.0,77,67,-12.75
Oliver Ekman-Larsson 2022,Oliver Ekman-Larsson,2022,D,30.21,74,200,82.0,81.0,77.0,67,79,2.25
Oliver Ekman-Larsson 2023,Oliver Ekman-Larsson,2023,D,31.21,74,200,81.0,77.0,67.0,79,54,-22.0
Nick Leddy 2018,Nick Leddy,2018,D,26.536,72,205,82.0,78.0,81.0,81,80,-0.5
Nick Leddy 2019,Nick Leddy,2019,D,27.535,72,205,78.0,81.0,81.0,80,82,2.0
Nick Leddy 2020,Nick Leddy,2020,D,28.535,72,205,81.0,81.0,80.0,82,70,-11.0
Nick Leddy 2021,Nick Leddy,2021,D,29.537,72,205,81.0,80.0,82.0,70,82,3.75
Nick Leddy 2022,Nick Leddy,2022,D,30.536,72,205,80.0,82.0,70.0,82,75,-3.5
Nick Leddy 2023,Nick Leddy,2023,D,31.535,72,205,82.0,70.0,82.0,75,78,0.75
Brayden McNabb 2022,Brayden McNabb,2022,D,30.695,76,215,76.0,81.0,83.0,60,69,-6.0
Brayden McNabb 2023,Brayden McNabb,2023,D,31.694,76,215,81.0,83.0,60.0,69,82,8.75
Tyson Barrie 2018,Tyson Barrie,2018,D,26.186,71,197,64.0,80.0,78.0,74,68,-6.0
Tyson Barrie 2019,Tyson Barrie,2019,D,27.185,71,197,80.0,78.0,74.0,68,78,3.0
Tyson Barrie 2020,Tyson Barrie,2020,D,28.184,71,197,78.0,74.0,68.0,78,82,7.5
Tyson Barrie 2021,Tyson Barrie,2021,D,29.186,71,197,74.0,68.0,78.0,82,82,6.5
Tyson Barrie 2022,Tyson Barrie,2022,D,30.186,71,197,68.0,78.0,82.0,82,73,-4.5
Tyson Barrie 2023,Tyson Barrie,2023,D,31.185,71,197,78.0,82.0,82.0,73,85,6.25
Dmitry Orlov 2020,Dmitry Orlov,2020,D,28.192,71,214,82.0,82.0,82.0,82,81,-1.0
Dmitry Orlov 2021,Dmitry Orlov,2021,D,29.195,71,214,82.0,82.0,82.0,81,74,-7.75
Dmitry Orlov 2022,Dmitry Orlov,2022,D,30.194,71,214,82.0,82.0,81.0,74,76,-3.75
Dmitry Orlov 2023,Dmitry Orlov,2023,D,31.193,71,214,82.0,81.0,74.0,76,66,-12.25
Mattias Ekholm 2018,Mattias Ekholm,2018,D,27.357,76,215,62.0,80.0,82.0,82,81,4.5
Mattias Ekholm 2019,Mattias Ekholm,2019,D,28.357,76,215,80.0,82.0,82.0,81,80,-1.25
Mattias Ekholm 2020,Mattias Ekholm,2020,D,29.356,76,215,82.0,82.0,81.0,80,80,-1.25
Mattias Ekholm 2021,Mattias Ekholm,2021,D,30.358,76,215,82.0,81.0,80.0,80,68,-12.75
Mattias Ekholm 2022,Mattias Ekholm,2022,D,31.357,76,215,81.0,80.0,80.0,68,76,-1.25
Mattias Ekholm 2023,Mattias Ekholm,2023,D,32.357,76,215,80.0,80.0,68.0,76,78,2.0
David Savard 2018,David Savard,2018,D,26.944,73,235,70.0,82.0,65.0,74,81,8.25
David Savard 2019,David Savard,2019,D,27.943,73,235,82.0,65.0,74.0,81,82,6.5
David Savard 2020,David Savard,2020,D,28.943,73,235,65.0,74.0,81.0,82,80,4.5
David Savard 2021,David Savard,2021,D,29.945,73,235,74.0,81.0,82.0,80,79,-0.25
David Savard 2022,David Savard,2022,D,30.944,73,235,81.0,82.0,80.0,79,62,-18.5
David Savard 2023,David Savard,2023,D,31.943,73,235,82.0,80.0,79.0,62,62,-13.75
Ben Chiarot 2023,Ben Chiarot,2023,D,31.399,75,232,78.0,81.0,60.0,74,76,2.75
Nick Jensen 2022,Nick Jensen,2022,D,31.029,73,205,81.0,80.0,80.0,77,76,-3.5
Nick Jensen 2023,Nick Jensen,2023,D,32.028,73,205,80.0,80.0,77.0,76,77,-1.25
Brenden Dillon 2018,Brenden Dillon,2018,D,26.884,76,224,80.0,80.0,76.0,81,81,1.75
Brenden Dillon 2019,Brenden Dillon,2019,D,27.883,76,224,80.0,76.0,81.0,81,82,2.5
Brenden Dillon 2020,Brenden Dillon,2020,D,28.882,76,224,76.0,81.0,81.0,82,81,1.0
Brenden Dillon 2021,Brenden Dillon,2021,D,29.884,76,224,81.0,81.0,82.0,81,82,0.75
Brenden Dillon 2022,Brenden Dillon,2022,D,30.884,76,224,81.0,82.0,81.0,82,79,-2.5
Brenden Dillon 2023,Brenden Dillon,2023,D,31.883,76,224,82.0,81.0,82.0,79,82,1.0
Radko Gudas 2020,Radko Gudas,2020,D,29.323,72,208,76.0,67.0,70.0,77,74,1.5
Radko Gudas 2021,Radko Gudas,2021,D,30.325,72,208,67.0,70.0,77.0,74,79,7.0
Radko Gudas 2022,Radko Gudas,2022,D,31.325,72,208,70.0,77.0,74.0,79,77,2.0
Radko Gudas 2023,Radko Gudas,2023,D,32.324,72,208,77.0,74.0,79.0,77,72,-4.75
Patrik Nemeth 2022,Patrik Nemeth,2022,D,29.646,76,230,68.0,74.0,75.0,76,63,-10.25
Patrik Nemeth 2023,Patrik Nemeth,2023,D,30.646,76,230,74.0,75.0,76.0,63,75,3.0
Justin Faulk 2018,Justin Faulk,2018,D,25.534,72,214,76.0,82.0,64.0,75,76,1.75
Justin Faulk 2019,Justin Faulk,2019,D,26.533,72,214,82.0,64.0,75.0,76,82,7.75
Justin Faulk 2020,Justin Faulk,2020,D,27.533,72,214,64.0,75.0,76.0,82,81,6.75
Justin Faulk 2021,Justin Faulk,2021,D,28.535,72,214,75.0,76.0,82.0,81,82,3.5
Justin Faulk 2022,Justin Faulk,2022,D,29.534,72,214,76.0,82.0,81.0,82,76,-4.25
Justin Faulk 2023,Justin Faulk,2023,D,30.533,72,214,82.0,81.0,82.0,76,82,1.75
Cam Fowler 2018,Cam Fowler,2018,D,25.824,74,215,70.0,80.0,69.0,80,67,-7.75
Cam Fowler 2019,Cam Fowler,2019,D,26.823,74,215,80.0,69.0,80.0,67,59,-15.0
Erik Gudbranson 2023,Erik Gudbranson,2023,D,30.733,77,222,76.0,60.0,64.0,78,70,0.5
John Klingberg 2019,John Klingberg,2019,D,26.131,75,190,65.0,76.0,80.0,82,64,-11.75
John Klingberg 2020,John Klingberg,2020,D,27.13,75,190,76.0,80.0,82.0,64,68,-7.5
John Klingberg 2021,John Klingberg,2021,D,28.132,75,190,80.0,82.0,64.0,68,77,3.5
John Klingberg 2022,John Klingberg,2022,D,29.132,75,190,82.0,64.0,68.0,77,74,1.25
John Klingberg 2023,John Klingberg,2023,D,30.131,75,190,64.0,68.0,77.0,74,67,-3.75
Josh Manson 2020,Josh Manson,2020,D,27.984,75,218,71.0,82.0,80.0,74,58,-18.75
Dylan DeMelo 2022,Dylan DeMelo,2022,D,28.42,72,195,63.0,77.0,69.0,76,76,4.75
Dylan DeMelo 2023,Dylan DeMelo,2023,D,29.419,72,195,77.0,69.0,76.0,76,75,0.5
Scott Mayfield 2023,Scott Mayfield,2023,D,29.964,77,220,79.0,79.0,82.0,61,82,6.75
Joel Edmundson 2020,Joel Edmundson,2020,D,26.259,77,221,67.0,69.0,69.0,64,80,12.75
Joel Edmundson 2021,Joel Edmundson,2021,D,27.262,77,221,69.0,69.0,64.0,80,80,9.5
Adam Larsson 2019,Adam Larsson,2019,D,25.884,75,209,64.0,82.0,79.0,63,82,10.0
Adam Larsson 2020,Adam Larsson,2020,D,26.884,75,209,82.0,79.0,63.0,82,57,-19.5
Dougie Hamilton 2018,Dougie Hamilton,2018,D,24.291,78,230,64.0,72.0,82.0,81,82,7.25
Dougie Hamilton 2019,Dougie Hamilton,2019,D,25.29,78,230,72.0,82.0,81.0,82,82,2.75
Dougie Hamilton 2020,Dougie Hamilton,2020,D,26.29,78,230,82.0,81.0,82.0,82,55,-26.75
Jonas Brodin 2018,Jonas Brodin,2018,D,24.222,74,196,79.0,71.0,68.0,68,73,1.5
Jonas Brodin 2019,Jonas Brodin,2019,D,25.222,74,196,71.0,68.0,68.0,73,82,12.0
Jonas Brodin 2020,Jonas Brodin,2020,D,26.221,74,196,68.0,68.0,73.0,82,81,8.25
Jonas Brodin 2021,Jonas Brodin,2021,D,27.223,74,196,68.0,73.0,82.0,81,77,1.0
Jonas Brodin 2022,Jonas Brodin,2022,D,28.223,74,196,73.0,82.0,81.0,77,73,-5.25
Jonas Brodin 2023,Jonas Brodin,2023,D,29.222,74,196,82.0,81.0,77.0,73,60,-18.25
Connor Murphy 2019,Connor Murphy,2019,D,25.517,76,212,73.0,78.0,77.0,76,52,-24.0
Colin Miller 2021,Colin Miller,2021,D,27.924,73,200,61.0,82.0,65.0,60,70,3.0
Torey Krug 2018,Torey Krug,2018,D,26.473,69,194,79.0,78.0,81.0,81,76,-3.75
Torey Krug 2019,Torey Krug,2019,D,27.472,69,194,78.0,81.0,81.0,76,64,-15.0
Torey Krug 2020,Torey Krug,2020,D,28.472,69,194,81.0,81.0,76.0,64,71,-4.5
Torey Krug 2021,Torey Krug,2021,D,29.474,69,194,81.0,76.0,64.0,71,74,1.0
Torey Krug 2022,Torey Krug,2022,D,30.473,69,194,76.0,64.0,71.0,74,64,-7.25
Torey Krug 2023,Torey Krug,2023,D,31.472,69,194,64.0,71.0,74.0,64,63,-5.25
Morgan Rielly 2018,Morgan Rielly,2018,D,23.565,73,222,73.0,81.0,82.0,76,76,-2.0
Morgan Rielly 2019,Morgan Rielly,2019,D,24.565,73,222,81.0,82.0,76.0,76,82,3.25
Morgan Rielly 2020,Morgan Rielly,2020,D,25.564,73,222,82.0,76.0,76.0,82,55,-24.0
Hampus Lindholm 2018,Hampus Lindholm,2018,D,23.697,76,215,78.0,78.0,80.0,66,69,-6.5
Hampus Lindholm 2019,Hampus Lindholm,2019,D,24.696,76,215,78.0,80.0,66.0,69,76,2.75
Hampus Lindholm 2020,Hampus Lindholm,2020,D,25.695,76,215,80.0,66.0,69.0,76,64,-8.75
Brady Skjei 2021,Brady Skjei,2021,D,26.52,75,210,80.0,82.0,78.0,79,76,-3.75
Brady Skjei 2022,Brady Skjei,2022,D,27.519,75,210,82.0,78.0,79.0,76,82,3.25
Brady Skjei 2023,Brady Skjei,2023,D,28.518,75,210,78.0,79.0,76.0,82,81,2.25
Olli Maatta 2022,Olli Maatta,2022,D,27.111,74,207,82.0,60.0,76.0,60,66,-3.5
Olli Maatta 2023,Olli Maatta,2023,D,28.11,74,207,60.0,76.0,60.0,66,78,12.5
Mike Matheson 2022,Mike Matheson,2022,D,27.593,74,193,81.0,75.0,69.0,64,74,1.75
Cody Ceci 2019,Cody Ceci,2019,D,24.778,74,210,81.0,75.0,79.0,82,74,-5.25
Cody Ceci 2020,Cody Ceci,2020,D,25.778,74,210,75.0,79.0,82.0,74,66,-11.5
Cody Ceci 2021,Cody Ceci,2021,D,26.78,74,210,79.0,82.0,74.0,66,77,1.75
Cody Ceci 2022,Cody Ceci,2022,D,27.779,74,210,82.0,74.0,66.0,77,78,3.25
Cody Ceci 2023,Cody Ceci,2023,D,28.778,74,210,74.0,66.0,77.0,78,80,6.25
Jacob Trouba 2018,Jacob Trouba,2018,D,23.595,75,203,65.0,65.0,81.0,60,55,-12.75
Colton Parayko 2020,Colton Parayko,2020,D,26.388,78,228,79.0,81.0,82.0,80,75,-5.5
Esa Lindell 2021,Esa Lindell,2021,D,26.361,75,220,73.0,80.0,82.0,81,82,3.0
Esa Lindell 2022,Esa Lindell,2022,D,27.36,75,220,80.0,82.0,81.0,82,76,-5.25
Esa Lindell 2023,Esa Lindell,2023,D,28.359,75,220,82.0,81.0,82.0,76,82,1.75
Damon Severson 2020,Damon Severson,2020,D,25.151,74,205,72.0,80.0,76.0,82,81,3.5
Damon Severson 2021,Damon Severson,2021,D,26.153,74,205,80.0,76.0,82.0,81,82,2.25
Damon Severson 2022,Damon Severson,2022,D,27.152,74,205,76.0,82.0,81.0,82,80,-0.25
Damon Severson 2023,Damon Severson,2023,D,28.151,74,205,82.0,81.0,82.0,80,81,-0.25
Jaccob Slavin 2020,Jaccob Slavin,2020,D,25.419,75,207,63.0,82.0,82.0,82,80,2.75
Jaccob Slavin 2021,Jaccob Slavin,2021,D,26.421,75,207,82.0,82.0,82.0,80,76,-5.5
Jaccob Slavin 2022,Jaccob Slavin,2022,D,27.42,75,207,82.0,82.0,80.0,76,79,-1.0
Jaccob Slavin 2023,Jaccob Slavin,2023,D,28.42,75,207,82.0,80.0,76.0,79,76,-3.25
Ben Hutton 2020,Ben Hutton,2020,D,26.448,75,201,75.0,71.0,61.0,69,76,7.0
Ben Hutton 2021,Ben Hutton,2021,D,27.45,75,201,71.0,61.0,69.0,76,55,-14.25
Nate Schmidt 2020,Nate Schmidt,2020,D,28.212,72,195,72.0,60.0,76.0,61,69,1.75
Nate Schmidt 2021,Nate Schmidt,2021,D,29.214,72,195,60.0,76.0,61.0,69,79,12.5
Nate Schmidt 2022,Nate Schmidt,2022,D,30.213,72,195,76.0,61.0,69.0,79,77,5.75
Nate Schmidt 2023,Nate Schmidt,2023,D,31.212,72,195,61.0,69.0,79.0,77,71,-0.5
Shea Theodore 2022,Shea Theodore,2022,D,26.164,74,197,61.0,79.0,83.0,77,78,3.0
Shea Theodore 2023,Shea Theodore,2023,D,27.163,74,197,79.0,83.0,77.0,78,55,-24.25
Brett Pesce 2020,Brett Pesce,2020,D,24.877,75,206,69.0,82.0,65.0,73,71,-1.25
Brett Pesce 2021,Brett Pesce,2021,D,25.879,75,206,82.0,65.0,73.0,71,80,7.25
Brett Pesce 2022,Brett Pesce,2022,D,26.878,75,206,65.0,73.0,71.0,80,70,-2.25
Brett Pesce 2023,Brett Pesce,2023,D,27.878,75,206,73.0,71.0,80.0,70,82,8.5
Seth Jones 2018,Seth Jones,2018,D,22.996,76,213,77.0,82.0,81.0,75,78,-0.75
Seth Jones 2019,Seth Jones,2019,D,23.995,76,213,82.0,81.0,75.0,78,75,-4.0
Seth Jones 2020,Seth Jones,2020,D,24.995,76,213,81.0,75.0,78.0,75,66,-11.25
Seth Jones 2021,Seth Jones,2021,D,25.997,76,213,75.0,78.0,75.0,66,82,8.5
Seth Jones 2022,Seth Jones,2022,D,26.996,76,213,78.0,75.0,66.0,82,78,2.75
Seth Jones 2023,Seth Jones,2023,D,27.995,76,213,75.0,66.0,82.0,78,72,-3.25
Darnell Nurse 2022,Darnell Nurse,2022,D,26.656,76,221,82.0,82.0,83.0,82,71,-11.25
Darnell Nurse 2023,Darnell Nurse,2023,D,27.656,76,221,82.0,83.0,82.0,71,82,2.5
