,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
220,Justin Faulk,D,30.5,72,214,1.7009321200000005,1.7875314399999989,0.39198561053829173,0.8921465426699627,0.017617604345279102,0.4894396166083524,77.54390000000001,19.087926490000015,1.371073187848275,0.0732474364990709,0.5233631573340339,0.0,0.05010785879507989,12.499699954902136,16.253655761333142,13.538429876577801,42.29178559281308
221,Calle Jarnkrok,C,31.0,72,192,1.52492618,1.2354327399999985,1.0265181655204891,1.9533547214887543,0.48264900938657357,0.6115457852325129,72.2275,12.205437030000011,1.1055615368603813,0.6439116278660387,0.47159750202298767,1.85183847978475,0.021633586654038202,20.229511433441125,12.0,10.0,42.229511433441125
222,Eeli Tolvanen,R,23.4,70,191,2.0356184000000024,0.2867134899999998,1.0593861686030432,1.916978355605639,0.3776629414174259,0.5615954480392643,71.8938,12.172255340000007,0.953776458764863,0.28657834069075494,0.3270867931872024,1.5083321515693293,0.031391903988292905,21.56676230114845,12.012349389297729,8.545059543145804,42.12417123359199
223,Nicolas Roy,C,25.7,76,202,1.5307541700000005,1.2395151000000002,0.7850771193850654,1.639321331382469,0.34497725402163104,0.7721816769236428,70.29930000000002,12.926085699999987,1.2079745443921317,0.6344933028757999,0.36855622153048145,1.7932107962814738,0.029615872429045037,16.379049211792466,16.0197963894908,9.565961553007838,41.96480715429111
224,Thomas Chabot,D,25.7,74,195,3.5858375599999976,0.29444389,0.30434258802129427,0.9096693544948077,0.02119579199262952,0.3884445543531595,69.27739999999999,21.44180257999999,1.4267197306498336,0.29482065422182635,0.4263500598759522,0.0,0.11902295142881603,12.397544992641825,17.706833908875076,11.840416310072868,41.94479521158977
225,Dustin Brown,R,37.9,72,205,1.890284460000001,0.2675967599999999,0.6446544750834532,2.3738310723900873,0.2530404427549562,0.6174940268385573,72.91829999999999,12.337447169999997,1.0739705480390964,0.26955182178449194,0.4596593805151993,2.0115593766648,0.08616120980805886,17.002686718775156,12.0,12.774970897667663,41.777657616442816
226,Darnell Nurse,D,27.7,76,221,0.8508405400000002,2.754252249999999,0.3719263028338221,0.3971881745439202,0.3110315754992994,0.48477774698297277,77.80920000000002,20.286550929999994,0.9883646828127941,0.16327676524344675,0.5179354763203436,0.0,0.10829215358232853,12.215261613287476,14.484900297590443,15.04038090877897,41.74054281965689
227,Charlie McAvoy,D,24.8,73,209,2.40277215,2.1868735700000017,0.2679972420305056,0.6348419095196871,0.06260135921293679,0.6905632208889021,68.2935,18.431649060000012,1.8347766558112062,0.1963737164817149,0.5855570353351368,0.0,0.07513522802910513,7.514462233100459,20.98419144543875,12.843355564968828,41.34200924350804
228,Conor Sheary,L,30.3,69,179,1.2812078299999996,1.0848143499999987,0.8350971736926307,1.4763600530829817,0.5123083984223672,0.6487555522112346,78.0505,12.620380879999988,1.2660019473032338,0.4109314043319044,0.35644737605986826,1.862961207141553,0.007341365338019705,17.843628349914667,13.79496899513565,9.555647964752472,41.19424530980279
229,Yegor Sharangovich,C,24.3,74,196,0.6122224800000002,1.4600150700000014,0.8825795285653198,1.6954434100996065,0.8837291719106698,0.7309378090306186,73.74680000000004,13.322256680000002,1.104211788245962,0.5005530306266427,0.4461686740709768,1.501395387660032,0.0037744953752079963,18.498829510224127,14.667305721212916,8.0,41.16613523143704
230,Ross Colton,C,26.1,72,194,1.3649409800000007,0.0511029899999999,1.2988730928821979,1.9157136573324287,0.3583869020546445,0.6649411027802388,70.86289999999998,11.322961850000004,1.0800349596433498,0.19807532822121676,0.3870787412708166,1.3134190276320699,0.004241946273856739,21.88696055305796,11.709034000557786,7.43551761256648,41.031512166182225
231,Scott Laughton,C,28.3,73,190,1.1743110800000007,1.9671691699999985,0.7447016209031341,1.1923664443894175,0.9283049347299103,0.5659669274914607,70.47280000000002,13.969718959999998,0.9890543269751252,0.9216131016119513,0.5052787608289114,1.4570115992354018,0.011182366627365164,17.18414428618059,13.487391928217997,10.337116326457917,41.0086525408565
232,Evan Rodrigues,C,29.2,71,184,1.6907693300000006,0.6084883700000002,0.6374135643914587,2.269452164196664,0.2785255185157308,0.6589157893984038,68.63379999999997,13.960880360000006,1.2376109419180614,0.1110651922839099,0.4424242707245467,1.7415145418810831,0.029307660625479123,15.619452628319642,14.445660006501623,10.767644574443231,40.8327572092645
233,Jonathan Toews,C,34.4,74,201,2.4642740200000017,1.0985679200000007,0.579902653767006,2.5131177981838193,0.12238508843778279,0.7739515407769384,64.9734,13.232546019999996,1.0963740983425154,0.10761327815483628,0.37670699453303136,1.5871871320206132,0.007868033954906798,15.161594635249063,14.724419824150772,10.892736717636868,40.7787511770367
234,Frederick Gaudreau,C,29.4,72,184,1.3248735800000013,1.79826893,0.6793889564688196,1.382765995009733,0.9326550170438164,0.6589506474884317,77.32119999999999,12.68961838999999,0.936742202308711,0.3946722484299773,0.4616438512156081,1.7276941414487905,0.07132768069419382,16.729413875223145,13.0,11.0,40.729413875223145
235,Morgan Rielly,D,28.6,73,222,2.7838182399999964,1.343885349999999,0.21736459970071978,0.4144563412306871,0.011920002052468728,0.5895395295466298,72.83970000000001,18.291717889999994,2.670033226711031,0.04721902163972048,0.4963185104085692,0.0,0.05031099423743427,6.2475983214338076,23.274907339195032,11.0,40.52250566062884
236,Josh Anderson,R,28.4,75,218,1.8417739699999995,0.626053699999999,1.0235232543578268,1.9837546868567728,1.0676632433377184,0.49357680732482817,70.58339999999997,14.17007935999999,0.4736283625676199,0.24807867691308239,0.2954312845303803,1.1547074274636253,0.09324983423009765,24.51710696346706,9.0,7.0,40.51710696346706
237,Colin White,C,25.7,73,194,2.4441854699999994,0.3387777400000001,0.8089487781813697,1.4022879603197171,0.2756251026455456,0.6143576714155772,65.58319999999999,12.695924489999998,1.3663182866271737,0.05914886629226684,0.4295709033123356,1.727582005718089,0.0070934611770249985,16.117261127254338,13.341843084883802,11.0,40.45910421213814
238,Jason Zucker,L,30.7,71,192,1.442519699999999,0.0411134899999999,0.8961890837553803,1.9544351456592184,0.5194566640821086,0.5796682386285426,70.40090000000001,13.55055121999999,1.1295101348242158,0.286173094740159,0.3740560731625716,1.6761920178584218,0.005974680583982847,19.47974067621897,11.633081359179874,9.33612336097047,40.44894539636931
239,Gustav Nyquist,"C, L",33.1,71,180,1.559568149999998,1.644252689999998,0.6167046756961247,0.6224483061271613,0.9920926805174235,0.8318087095542762,63.09830000000001,14.15169332,1.1772592194468616,0.09741777224886078,0.5874779184539953,1.7277569250390739,0.009141245567468861,12.987030983296338,14.500400326273704,12.8854832326011,40.372914542171145
