,Player,Position,Age,Height,Weight,GP
714,Owen Tippett,R,24.6,73,207,71.6251
715,Parker Kelly,L,24.4,72,190,70.41980000000002
716,Parker Wotherspoon,D,26.1,73,190,
717,Pat Maroon,L,35.4,75,234,73.371
718,Patric Hornqvist,R,36.7,71,189,67.80749999999999
719,Patrice Bergeron,C,38.2,73,196,74.8157
720,Patrick Brown,C,31.3,73,210,71.8878
721,Patrick Kane,R,34.9,70,177,74.54470000000003
722,Patrik Laine,L,25.5,77,205,73.09169999999999
723,Patrik Nemeth,D,31.6,76,230,
724,Paul Cotter,C,23.9,74,212,72.96879999999997
725,Paul Stastny,C,37.8,72,193,71.0316
726,Pavel Buchnevich,L,28.5,73,196,74.1556
727,Pavel Dorofeyev,L,22.9,73,194,64.5332
728,Pavel Zacha,C,26.5,76,199,74.25639999999996
729,Pavol Regenda,L,23.8,76,212,69.97449999999999
730,Peyton Krebs,C,22.7,72,187,70.07359999999998
731,Phil Kessel,"C, R",36.0,71,208,76.67470000000002
732,Philip Broberg,D,22.3,75,199,
733,Philip Tomasino,C,22.2,72,179,69.3545
734,Philipp Kurashev,C,24.0,72,190,74.44459999999998
735,Philippe Myers,D,26.7,78,219,
736,Phillip Danault,C,30.6,73,200,73.3013
737,Phillip Di Giuseppe,L,30.0,72,193,68.24749999999997
738,Pierre Engvall,L,27.3,77,219,70.0514
739,Pierre-Edouard Bellemare,L,38.6,71,198,70.0728
740,Pierre-Luc Dubois,L,25.3,76,214,74.29759999999999
741,Pierre-Olivier Joseph,D,24.3,74,185,
742,Pius Suter,C,27.4,71,179,75.1315
743,Pontus Holmberg,R,24.6,72,202,67.05220000000003
744,Quinn Hughes,D,24.0,70,180,
745,Quinton Byfield,C,21.1,77,220,70.00939999999999
746,Radek Faksa,C,29.7,75,225,75.43169999999996
747,Radim Simek,D,31.0,72,204,
748,Radim Zohorna,L,27.4,78,220,66.9455
749,Radko Gudas,D,33.3,72,208,
750,Rafael Harvey-Pinard,L,24.7,69,181,70.45389999999998
751,Rasmus Andersson,D,26.9,73,202,
752,Rasmus Asplund,C,25.8,71,185,74.30289999999998
753,Rasmus Dahlin,D,23.5,75,202,
754,Rasmus Kupari,C,23.5,74,200,72.4317
755,Rasmus Ristolainen,D,28.9,76,221,
756,Rasmus Sandin,D,23.6,71,182,
757,Reese Johnson,C,25.2,73,193,70.4023
758,Reilly Smith,R,32.5,73,185,71.73329999999997
759,Rem Pitlick,C,26.5,71,186,70.98849999999999
760,Rickard Rakell,R,30.4,73,195,76.57049999999998
761,Ridly Greig,C,21.1,72,183,69.4909
762,Riley Sheahan,C,31.8,74,214,66.45549999999997
763,Riley Stillman,D,25.6,73,196,
764,Riley Tufte,L,25.5,78,230,62.33939999999997
765,Robby Fabbri,C,27.7,71,185,68.98229999999998
766,Robert Bortuzzo,D,34.5,76,216,
767,Robert Hagg,D,28.6,74,210,
768,Robert Thomas,C,24.2,72,218,72.09969999999998
769,Robin Salo,D,25.0,74,190,
770,Roland McKeown,D,27.7,73,195,
771,Roman Josi,D,33.3,73,201,
772,Ronnie Attard,D,24.5,75,208,
773,Roope Hintz,C,26.9,75,215,69.8108
774,Ross Colton,C,27.1,72,194,73.72860000000001
775,Ross Johnston,L,29.6,77,230,63.627400000000016
776,Rourke Chartier,C,27.5,71,190,68.3793
777,Rudolfs Balcers,L,26.5,71,182,70.388
778,Ryan Carpenter,C,32.7,73,198,68.73499999999999
779,Ryan Donato,C,27.5,72,190,71.33220000000001
780,Ryan Graves,D,28.4,77,220,
781,Ryan Hartman,R,29.0,72,197,74.47039999999998
782,Ryan Johansen,C,31.2,75,218,69.446
783,Ryan Lindgren,D,25.6,72,190,
784,Ryan Lomberg,L,29.1,69,187,69.49969999999999
785,Ryan McDonagh,D,34.3,73,215,
