,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
283,Dylan DeMelo,D,29.4,72,195,0.0247222761366566,0.0992940021063339,0.0530551919702529,0.0973778475849877,0.0929354761824241,0.05821426283399874,1.9262383445461781,0.3659659451053638,0.18450246221345018,0.08565633390335141,0.05245429779188749
284,Dylan Gambrell,C,26.1,71,185,0.16362978738840026,0.2910611524441198,0.0469047216696347,0.2175451524389306,0.3390248695015805,0.0460446768636721,2.1562274717663716,0.7991087914744471,0.11562796552953797,0.2517726985404673,0.07504807453286137
285,Dylan Larkin,C,26.2,73,198,0.24176025158615555,0.4210806874400927,0.0766038053923403,0.6085555147074417,0.3754066724389541,0.0793961537362722,2.5938369474583403,0.9667989306985794,0.15115262864575604,0.08991723613669177,0.07548100923345659
286,Dylan Samberg,D,23.7,76,219,0.0215505557181804,0.1402288290408488,0.0171984332476653,0.1510270315706679,0.0267874271598151,0.02291722814058235,2.727523380284759,0.5045755951451282,0.18149611793664858,0.026014171360262465,0.023528053360775514
287,Dylan Sikura,C,27.3,71,170,0.05373815212215992,0.0809920821228661,0.0724959937311538,0.1465972252535306,,0.0720061939792431,2.4861372025694797,0.27968656048612245,0.1405715380620843,,0.037217458069420846
288,Dylan Strome,C,25.6,75,200,0.09241842943510557,0.0671184665962289,0.1586666853274942,0.2581856098641579,0.1403198908949899,0.0341793647970979,1.9114983233055685,0.2969095361486598,0.6216294172015852,0.1080885949876194,0.08403776295724338
289,Dysin Mayo,D,26.1,74,183,0.0597910357420667,0.3723608770918044,0.0278697210390972,0.1307092429143004,0.0116907469569057,0.03656968650044868,2.7168034065791375,0.3520808592562642,0.18644994657542815,0.042892340127328094,0.02391814464606319
290,Eeli Tolvanen,R,23.4,70,191,0.24005815352110085,0.1560807628677214,0.130905431627759,0.1739119629378181,0.128296217412103,0.0332651221008957,2.1978966217727343,0.26160608374688726,0.3729261424838878,0.09528614732625676,0.029330177032842658
291,Eetu Luostarinen,C,24.1,75,190,0.2638174801733442,0.207383727652181,0.1133256920210503,0.1205490090178114,0.230494803736477,0.0313276144315185,2.725795801229432,0.3247626748769358,0.16263843188640595,0.10343201304913491,0.13291980903309472
292,Egor Sokolov,L,22.3,75,222,0.1397867207110833,0.0877111486855371,0.0586043767272198,0.1511649777533394,,0.0500248531045319,4.397771175265942,0.43716301896015053,0.17016839764728667,,0.03448386167519379
293,Egor Zamula,D,22.5,75,177,0.2103111282605692,0.1913709067998832,0.0154693071641363,0.1579856089447045,0.017364965806275,0.05749934155721787,3.887917533847651,0.5542820804464278,0.16914142836519866,0.0334474631414641,0.02876374499242232
294,Elias Lindholm,C,27.8,73,202,0.06990065040453464,0.1487613089401049,0.1863567828312701,0.2311900463500059,0.068560606033258,0.1191926742889721,1.8616902293346222,0.3996578605703499,0.12430881499330612,0.10590414782296056,0.030550398667858403
295,Elias Pettersson,C,23.9,74,176,0.2569656873405629,0.3551800286677139,0.1339826117441698,0.3191923778788816,0.2094595734810141,0.1583588559258915,1.5575581241160799,0.34390232694159034,0.15639587106547498,0.44008455455639695,0.1434061454612651
296,Emil Bemstrom,R,23.3,72,195,0.1332752805285902,0.027270854981278,0.0714633770553133,0.1822622331985801,0.1066246646893198,0.0468441460733313,4.48623834743541,0.3262893738710066,0.12386555815588894,0.08757729015662162,0.029133027199003892
297,Eric Robinson,L,27.3,74,205,0.027937978386552945,0.1864840510964963,0.0442331987323217,0.1542516386499073,0.1986806103419906,0.1081339515325776,1.7740769543624662,0.303741261594352,0.164640513293205,0.20194785982742577,0.02689627888577884
298,Erik Brannstrom,D,23.1,70,185,0.527456172025422,0.1735361690331366,0.0282413508163189,0.2361896856206932,0.1062642032218018,0.026555137524499846,2.469419818499884,1.117026454682249,0.19317135979875902,0.06843558547137885,0.028448579898799876
299,Erik Cernak,D,25.3,76,224,0.0140035151411922,0.1761132776616534,0.0826490251455218,0.1176733881701363,0.0953983336729581,0.055239738676908096,2.222323061573182,0.4148415153487543,0.23601672620289033,0.08385535349384614,0.026556660059764658
300,Erik Gudbranson,D,30.7,77,222,0.0343714346667039,0.1526041326480834,0.0411521534639574,0.145716138435827,0.0208587212625774,0.01963223019814864,1.4560321802762475,1.6322803227697358,0.2017732396481681,0.05220761697826861,0.017973763057776822
301,Erik Gustafsson,D,30.6,72,197,0.17807935712016,0.2050881226549211,0.0298315610642755,0.2522048026690562,0.0097424182280171,0.03410013963774345,2.7432345433812264,1.0883616693012201,0.4235298264933403,0.04217205029396959,0.03006396631239964
302,Erik Haula,L,31.5,71,191,0.1498819294810763,0.3909068666611498,0.0234927939256681,0.0943381364030603,0.1237931500572515,0.0455153524982505,2.0127512414603053,0.350258229233642,0.20819609014080306,0.08334063745439617,0.026380677585117064
303,Erik Johnson,D,34.5,76,225,0.0728912822990898,0.1771373676394589,0.0853186635208704,0.1762563386041986,0.0300755142634319,0.048123162712124225,3.4653162900376064,0.7900123758521861,0.2359579259324264,0.14079264883088818,0.08862622297629308
304,Erik Karlsson,D,32.3,72,190,0.2428150602669167,0.4471953813418977,0.1301409357860669,0.1402405032336418,0.0450057994763519,0.24578204098829928,2.1625192045390023,1.158084964351515,0.1669070269519761,0.04299690442075452,0.07049832172298819
305,Esa Lindell,D,28.4,75,220,0.2287984025110536,0.3698376084658825,0.0752060813931499,0.1188583411740762,0.0226165203081199,0.02478215340645584,1.7446257449665235,0.9110962645074371,0.15503940532267108,0.05314800756673672,0.023230069061238052
306,Ethan Bear,D,25.3,71,197,0.2776972341307889,0.1532086602455143,0.0382865454894482,0.0862968848388885,0.1218213340468947,0.026490259362133464,2.7378404829354106,0.4115106625992011,0.21840366450007287,0.03181682844145689,0.026487869442339104
307,Ethan Prow,D,29.9,71,182,0.0368287516679713,0.2146848977595982,0.0201920027925315,,0.0252137867422249,0.02626747648627673,3.6861227258462246,0.565108270280139,,0.02879837446797302,0.025859297393974197
308,Evan Bouchard,D,22.9,75,194,0.4555782304591506,0.502924454525775,0.0548697827062175,0.1568660559650417,0.0668716172866964,0.04954437580845976,3.6067490777707296,0.4327211047816501,0.2326826852235646,0.042296783358884385,0.05572477555868986
309,Evan Rodrigues,C,29.2,71,184,0.22079643038722632,0.1031921415275072,0.0398183096930283,0.3738685732383554,0.0699615521262814,0.030814850831784,1.9486270961884933,1.0490392272135984,0.1821146410174969,0.10916651358318404,0.03260280879896108
