,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI
32,Alex Pietrangelo,D,33.7,75,215,71.02179276891331,19.210983679634275,2.1749466982023167,2.171298735177007
33,Alex Steeves,C,23.8,72,196,40.94533104485036,10.95950606274442,0.7738669478295184,0.20085783253885126
34,Alex Tuch,R,27.4,76,219,70.48766699533864,14.877501509802752,3.1960485907295024,1.2824775471887628
35,Alex Turcotte,C,22.6,71,185,39.704156370614896,10.428740489944945,0.5824308833291287,0.05138957151036849
36,Alex Vlasic,D,22.3,78,199,38.32312265484775,14.24743672206918,0.4432768566031209,0.7300006495815852
37,Alex Wennberg,C,29.0,74,190,78.25532282242507,14.498637557936958,2.2214978873705973,2.203889014199738
38,Alexander Alexeyev,D,23.9,76,213,51.59863262308616,14.87939023158519,0.3602719464288111,1.0580753220994699
39,Alexander Barabanov,L,29.3,70,195,71.22605637494453,14.919415563772976,2.464061371615112,0.16507708445115754
40,Alexander Edler,D,37.4,76,210,63.03506969088558,14.000990164006954,0.0,1.443573988190333
41,Alexander Holtz,R,21.7,72,195,44.568503198259776,9.02313328451719,1.1662446718831485,0.0
42,Alexander Kerfoot,C,29.1,71,186,78.6185409675459,12.904914660647018,0.6535115173899089,1.5818872995850313
43,Alexander Romanov,D,23.7,73,215,74.18182913699616,18.183101519610727,0.3262604579759873,2.176432397324614
44,Alexandre Carrier,D,27.0,71,174,64.27592957361955,16.034415649358845,0.6634167961914934,2.244743203858416
45,Alexey Toropchenko,R,24.3,78,222,69.20733643422219,10.718285417105513,0.2359544237891535,0.943745273875122
46,Alexis Lafreni��re,L,22.0,73,195,75.34216572937811,14.676922803566924,1.607174168066528,0.3021255037333692
47,Aliaksei Protas,C,22.7,78,225,62.58300084569123,10.515032984295852,0.0667002612116522,0.05765896290004047
48,Anders Bjork,L,27.2,72,190,48.65166935698481,11.803399928749638,0.2474311672495357,0.7545554758486723
49,Anders Lee,L,33.2,75,235,76.28369383357341,13.512980960709768,2.627217413678052,0.081030255471226
50,Andre Burakovsky,L,28.6,75,209,69.62144430381346,14.284194682257338,2.4738383542477456,0.1447272039012235
51,Andreas Athanasiou,C,29.2,74,190,77.66705441891187,13.79359497049315,1.837619078371283,0.22585499675435727
52,Andreas Englund,D,27.7,75,189,61.23811687315192,12.51852097745942,0.0150222159311494,1.0136212833147789
53,Andreas Johnsson,L,28.9,70,195,49.02845480562607,12.959927680230953,1.089907698183531,0.244530234040239
54,Andrei Kuzmenko,L,27.7,71,194,77.06775887939557,13.201061669898053,2.916880215306243,0.20182513310259953
55,Andrei Svechnikov,R,23.5,74,195,71.92376875543594,15.71823710825502,3.2356852474099087,0.27696295872472676
56,Andrew Agozzino,L,32.7,70,187,45.38394471737553,8.767941499262578,0.2773381928674701,0.15725352550990623
57,Andrew Cogliano,C,36.3,70,179,73.43211187829021,10.654609530589088,0.0,1.6111831624690458
58,Andrew Copp,C,29.2,73,199,76.50449626509939,14.410417046775024,1.809442524772237,2.3618444484553294
59,Andrew Mangiapane,L,27.5,70,184,78.58535069460014,14.059925318253994,2.085593494530728,1.2008768632332631
60,Andrew Peeke,D,25.5,75,210,75.72928421312555,18.203184565777807,0.1942739192513347,2.9862466757529535
61,Andy Andreoff,C,32.4,73,208,45.03983534850081,9.153553655883403,0.0330488363731265,0.13400378357680864
62,Anthony Beauvillier,L,26.3,71,180,74.76584038387314,14.808364060890431,2.011169579570672,0.48688036827570935
63,Anthony Cirelli,C,26.2,72,189,69.97198178825474,14.514225699631211,0.9894882363773824,2.260719921095022
64,Anthony Duclair,L,28.1,71,197,51.67274766205275,12.592292652771498,2.2433546049906266,0.2721975741502314
65,Anthony Mantha,R,29.0,77,234,71.75694414349076,13.141274216667933,0.931194558011877,0.21042121006099068
66,Anthony Richard,C,26.8,71,183,47.9891086073232,11.221442185907453,0.8383384891805468,0.3350995483663368
67,Anton Blidh,L,28.6,73,197,49.34019619662016,9.22712213130675,0.1640333037519437,0.6809530622679287
68,Anton Levtchi,L,27.8,72,185,43.99385324326949,11.809965207075305,0.9570809064164404,0.41184684078461775
69,Anton Lundell,C,22.0,73,185,67.55110089881765,13.325279238801564,1.6649616532843854,1.9444736862505199
70,Anton Stralman,D,37.2,71,193,45.05159426655003,15.067912915682424,0.0,1.7647441116737594
71,Anze Kopitar,C,36.1,75,225,76.06349722074525,15.091862594502992,2.730003571983428,1.6916203013482378
72,Arber Xhekaj,D,22.7,76,238,58.2467598864081,13.400254941476138,0.8777381962844626,0.16867717016174621
73,Arnaud Durandeau,L,24.7,72,185,42.40932945776812,11.678813147425226,0.9512639927892168,0.28655507707705485
74,Artem Zub,D,28.0,74,200,67.94265333993722,18.910561395853826,0.1549218690246592,1.8117706763636705
75,Artemi Panarin,L,31.9,72,173,73.18324479338762,16.010424329608036,3.3421850610817465,0.08198616117723578
76,Arthur Kaliyev,R,22.3,74,210,66.81570122383359,10.58515417353785,2.237223785884508,0.25761546511764477
77,Artturi Lehkonen,L,28.2,71,179,70.54239553418384,14.799746621306646,2.8400826728913406,1.641284296388625
78,Austin Czarnik,C,30.8,69,170,56.082454459134325,10.109630010993156,0.4617798675757918,0.291015546980279
79,Austin Strand,D,26.6,75,215,42.42041048560417,14.95180677700298,0.3300283709669307,1.0588268219859567
80,Austin Wagner,L,26.3,73,195,45.10160811756343,10.832325272804963,0.3016441413315296,0.18434015007748827
81,Austin Watson,L,31.7,76,204,68.03366876123162,8.94645425290217,0.0291922302860005,1.956949314022002
82,Auston Matthews,C,26.0,75,208,73.70350340582233,17.504084103870262,3.572513723296937,0.2647799047411703
83,Axel Jonsson-Fjallby,L,25.6,73,189,62.62763518912496,9.813136018979645,0.240561111547344,0.8652645809646153
84,Barclay Goodrow,C,30.6,74,204,77.61139921720438,12.680142405099437,0.3211377563542497,1.8627214717206937
85,Barrett Hayton,C,23.3,73,207,70.11432462042585,13.992541120817725,2.2814805707950017,1.4383298196750016
86,Beck Malenstyn,L,25.7,75,200,45.42765244572101,10.40551998221942,0.565371785364237,0.5126408466731692
87,Ben Chiarot,D,32.4,75,232,70.78089880168893,18.081109739656068,0.3503254813720948,2.4563409895002626
88,Ben Harpur,D,28.7,78,231,59.64512574874068,14.11488860479538,0.0,0.9487886471419917
89,Ben Hutton,D,30.4,75,201,55.65423558426475,15.119245818968023,0.0,0.8940122670165831
90,Ben Meyers,C,24.9,71,194,57.27673788796305,9.632956864996803,0.3805397716207586,0.10182940637349114
91,Benoit-Olivier Groulx,C,23.6,74,200,40.32515897710999,10.491193797688304,0.5390904197623383,0.793036722698752
92,Billy Sweezey,D,27.6,73,206,44.81898496674101,16.04114402693474,0.4184969110643251,1.6320369028995543
93,Blake Coleman,C,31.8,71,199,77.66641860112844,13.58860469815731,0.1215955562399762,1.4800633646549093
94,Blake Lizotte,C,25.8,69,170,71.91559034907625,12.195700264061438,0.3352346079683439,1.3972063675195874
95,Blake Wheeler,R,37.1,77,220,68.62852114158044,13.88447242441802,2.4339007237920622,0.27442367289949776
96,Bo Horvat,C,28.5,72,215,75.70353247923464,16.003633647651075,3.4311224760195405,1.312764555479094
97,Bobby McMann,C,27.3,74,208,47.05586341784307,11.652465548140256,0.8553543098852097,0.3658359244715311
98,Bokondji Imama,L,27.2,73,221,44.87600849158216,10.920125509107963,0.8501659540031039,0.36878126184674864
99,Boone Jenner,C,30.3,74,203,67.02014922445125,16.253440238078333,2.8322976625335534,0.9921352618305539
100,Boris Katchouk,L,25.3,74,206,64.22012399347936,10.760372699238893,0.6018413316312776,1.0206587637196431
101,Bowen Byram,D,22.3,73,190,53.81938108735855,16.789060684322664,1.217332712633075,0.45242162647227047
102,Brad Hunt,D,35.1,69,177,58.88319935160314,11.84804419417108,0.0546634077756644,0.23622282032538622
103,Brad Malone,C,34.4,74,217,47.38115075263532,8.352228754297442,0.0,0.42206242495329516
104,Brad Marchand,L,35.4,69,176,71.48495523084115,13.481276513045438,3.056923867607352,1.3690340030716335
105,Braden Schneider,D,22.0,75,208,63.11816858760285,15.71335456128882,0.3226780488682574,1.047925251156197
106,Brady Skjei,D,29.5,75,210,76.37980749836714,18.82516324102737,0.6941608319933459,2.418285961082478
107,Brady Tkachuk,L,24.0,76,221,76.95618452060239,15.553606607837455,4.016225225550079,0.29383264005492027
108,Brandon Carlo,D,26.8,78,218,73.99502728875592,16.18300217309265,0.129486743077154,2.9599819966269556
109,Brandon Duhaime,R,26.4,74,200,68.23493610506729,10.18446506840312,0.25078824075158,0.8878607083201958
110,Brandon Hagel,L,25.1,74,179,75.54236104018987,14.752897521197664,2.206029088671373,1.7860986102454288
111,Brandon Montour,D,29.5,72,194,75.3809689469455,18.835676802628093,3.276734672477567,1.2090649362279065
112,Brandon Saad,L,30.9,73,215,71.8962484546475,13.64516447971368,1.7623163722152708,0.9602607739720013
113,Brandon Tanev,L,31.8,72,189,78.29839470124473,11.006172255279935,0.0,2.1673254380442444
114,Brandt Clarke,D,20.6,74,185,36.57381910573112,12.941497298005988,0.5458023382410879,0.3437515706019052
115,Brayden McNabb,D,32.7,76,215,71.28000158940172,17.671360968616142,0.0,2.124833029181123
116,Brayden Pachal,D,24.1,74,203,42.364569272731686,15.198972129597692,0.582168772691332,1.09028684698914
117,Brayden Point,C,27.6,71,180,75.6316634343751,16.176659400024214,3.715082941585984,0.21366131692004986
118,Brayden Schenn,C,32.1,73,199,74.32530376799532,15.215103507246276,2.413273333808668,0.6944366153425977
119,Brendan Gallagher,R,31.4,69,186,59.432545084211135,11.917705059060191,1.8350993928853765,0.12269409820822341
120,Brendan Gaunce,C,29.5,75,219,45.84899282160176,9.329475929748654,0.2666060887423394,0.22859723513567243
121,Brendan Lemieux,L,27.5,73,215,62.03927128453361,10.591089308646112,0.2950853504140716,0.34308779398545663
122,Brendan Smith,D,34.6,74,200,63.46396944589198,14.154349432812516,0.0,1.4419068805171178
123,Brenden Dillon,D,32.9,76,224,77.3997766637433,17.08056032805005,0.0,2.2812698833606664
124,Brent Burns,D,38.6,77,230,74.42280137827309,17.898326386903257,2.445400518356445,1.8218589857120335
125,Brett Howden,C,25.5,74,203,61.382392729465536,12.556957618259188,0.2674473425270454,1.0725874502629196
126,Brett Kulak,D,29.7,73,197,73.47142212489992,16.404044060029374,0.0974028279368388,1.5975315546582376
127,Brett Leason,R,24.4,77,218,63.083614047145886,10.689872021691418,0.1917065850704509,0.10034352728217844
128,Brett Pesce,D,28.9,75,206,75.23569347165447,18.94022199113259,0.9513298867423964,2.5770988659240457
129,Brett Ritchie,R,30.3,76,215,57.08422202726938,10.418769498903671,0.2061164350398634,0.10477040277167649
130,Brett Seney,L,27.6,69,156,45.96309830895483,11.764669035588536,0.8774882638352179,0.364233181197371
131,Brian Dumoulin,D,32.1,76,207,72.55586330768682,18.195326032219928,0.0,2.722089020531355
132,Brock Boeser,R,26.6,73,208,74.49940710485782,15.31033735456552,3.031055292975686,0.20938027078599764
133,Brock Faber,D,21.1,73,200,34.50338071264568,13.926850188859936,0.5632695380715305,0.6249350629987283
134,Brock McGinn,L,29.7,72,187,68.67673849880481,11.737151862557305,0.0926653795448104,2.1599737881589105
135,Brock Nelson,C,32.0,76,210,76.22190301312038,14.829423171832245,2.6242813453885,0.7239496408871577
136,Bryan Rust,R,31.4,71,192,73.92919520705837,14.657968024345468,2.2972410306875,1.2796194198383626
137,Buddy Robinson,R,32.0,78,232,47.61853452141442,8.519676128344415,0.0,0.41206465211183296
138,Byron Froese,C,32.6,73,202,47.52370254921228,9.946626711710293,0.2055615902453849,0.3897793641036639
139,CJ Suess,L,29.5,71,190,44.17435270090645,11.131236077737,0.7835769659750478,0.3770384689583408
140,Cal Clutterbuck,R,35.9,72,212,62.69968240087631,10.612283364633567,0.0,1.5452571362448628
141,Cal Foote,D,24.8,77,224,58.68846851787861,14.831179695545712,0.2820274125545534,1.2323912553997753
142,Cale Fleury,D,24.9,73,204,44.001198263944055,13.744542358207973,0.2129846502701258,0.7680216023247057
143,Cale Makar,D,24.9,71,187,67.43898135854208,20.31145281009644,3.9861319000588935,2.4385598363214482
144,Caleb Jones,D,26.3,73,194,62.91697387026355,17.311730896049752,1.2750894548873013,0.9262859792441342
145,Calen Addison,D,23.5,71,173,64.06103709949382,12.45009881274602,3.325881357664361,0.16412307465070985
146,Callahan Burke,C,26.5,70,183,43.19921140256357,11.779697810115426,0.9642863756132084,0.40046844051064556
147,Calle Jarnkrok,C,32.0,72,192,70.8865545303565,12.155358497928088,1.2238053125828554,1.537743312616347
148,Calle Rosen,D,29.7,73,188,63.10598939675222,14.9897440374805,0.0480441967996105,1.100862519697437
149,Calvin de Haan,D,32.4,73,195,65.05386174262745,14.502250490240234,0.0,1.0324344833089423
150,Cam Fowler,D,31.8,74,215,76.89028175326858,19.435415396916422,2.1979777127847675,2.106098657398231
151,Cam York,D,22.7,71,175,59.63913792148935,16.08727366977315,1.7488232599620457,0.2795189806388274
152,Carl Grundstrom,R,25.8,72,195,64.78474338794102,11.180473111307752,0.4362628326459625,0.602213602067874
153,Carson Meyer,R,26.1,71,184,47.92025058086324,10.300536800246215,0.5836033600614741,0.2850594657234313
154,Carson Soucy,D,29.2,77,208,71.81639390391086,15.299585640947798,0.2342827265472791,1.748425033111702
155,Carter Verhaeghe,C,28.1,74,180,74.30455759384553,15.732990965187312,2.003593900286581,0.23361009930397914
156,Casey Cizikas,C,32.6,71,190,76.14277150215298,12.442324375218767,0.0370749960873098,1.7273128642775224
157,Casey Fitzgerald,D,26.6,71,188,51.89539222076135,13.971542323281389,0.1286566862424409,1.4346757074970626
158,Casey Mittelstadt,C,24.9,73,195,66.26315942253113,14.117618586198477,2.338331558128494,0.5317422412793673
159,Chad Ruhwedel,D,33.4,71,191,66.93474977684951,13.091471292585789,0.0,1.7273985432482228
160,Chandler Stephenson,C,29.4,72,209,76.51265391785142,15.429183152925162,2.377127938205007,1.3944850193601837
161,Charles Hudon,L,29.3,70,190,47.46964840606701,11.02967020257132,0.9561354996772704,0.2887886305378685
162,Charlie Coyle,C,31.6,75,223,76.89695181862216,13.77576073498016,0.8666891763657154,2.2435373924373665
163,Charlie McAvoy,D,25.8,73,209,71.45880527893081,18.76936847280154,2.6568877527460333,2.2526566155545593
164,Chris Kreider,L,32.4,75,230,75.47419367348677,13.515363316109676,3.1838335686215635,1.3619593576021165
165,Chris Tanev,D,33.8,74,193,70.95878568571581,15.967737371589973,0.0,2.4414427583034537
166,Chris Tierney,C,29.3,73,191,58.80011141340664,10.533023215315682,0.9532769227238228,0.6322171547986428
167,Chris Wagner,R,32.3,72,192,44.2050311430213,9.906350950125212,0.0,1.2544250198262927
168,Chris Wideman,D,33.7,70,181,62.76171186465472,12.445241480425176,1.222988533729057,0.33488944437610746
169,Christian Dvorak,C,27.7,73,193,69.49716170403174,13.478379002243107,2.093627486294186,2.159183367424289
170,Christian Fischer,R,26.5,74,212,71.54142307687614,12.667764680103128,0.5743921347830026,2.0602081157279795
171,Christian Wolanin,D,28.5,74,190,48.33902637864952,14.121024640670882,0.8728734499815174,0.6996204032212789
172,Claude Giroux,R,35.7,71,190,74.644041477964,14.673538914719906,2.4722323132322304,0.814260139610846
173,Clayton Keller,R,25.2,70,178,75.2495953713299,17.11711681343767,3.227167223695839,0.6985011343407388
174,Cody Ceci,D,29.8,74,210,75.74905512756645,17.61920590096652,0.0556407302104418,2.77216008584713
175,Cody Glass,C,24.5,75,206,70.73031290734045,12.109415072628,2.185501887409252,0.20021591737098876
176,Cole Bardreau,C,30.2,72,186,44.282664048594285,10.788956733535525,0.6129096475232245,0.4252960041505186
177,Cole Caufield,R,22.7,67,174,60.92663855264719,14.879545678098994,3.2376235249303704,0.27723519682827347
178,Cole Guttman,C,24.5,69,167,46.36298185678761,12.019140294475,1.0377278095407885,0.2267294719995322
179,Cole Koepke,L,25.4,73,196,48.5315988217904,10.836550767473248,0.6786241265624915,0.30950848487898397
180,Cole McWard,D,22.3,73,192,37.87487036286764,14.479712202811031,0.6211041276395883,0.7677545312739333
181,Cole Perfetti,C,21.7,71,184,58.10416442481672,11.863363876201245,1.3711172658792847,0.0
182,Cole Sillinger,C,20.4,73,201,66.70822780586775,12.667022209981951,1.1504679815789047,0.8177571906121441
183,Cole Smith,L,27.9,75,195,72.16579321610884,10.882584169867844,0.2309148843884856,1.8805451380222153
184,Colin Blackwell,C,30.5,69,190,64.76217168620511,10.93946191460254,0.2148117675221952,1.2931058373744608
185,Colin Miller,D,30.9,73,200,76.52385685422486,16.085148424966004,0.0,0.8064016519168824
186,Colin White,C,26.7,73,194,71.00326989481435,9.505070088968829,0.6689849083462565,0.23208920078296746
187,Colton Parayko,D,30.4,78,228,69.87216047330195,20.42387105933389,0.5089975562597986,2.029224247072253
188,Colton Sissons,C,29.9,73,200,77.21301154835258,12.671381753767578,0.6262601603413187,2.6161832934785925
189,Colton White,D,26.4,73,187,59.95996868600669,14.214911094462977,0.1812832839320648,1.0248548541776519
190,Connor Brown,R,29.7,72,181,45.46844305066564,14.76201482504559,1.9158534004642205,2.2640719261315687
191,Connor Carrick,D,29.5,70,198,42.31523585848995,15.358384526959536,0.0317259082191982,0.8965428372543576
192,Connor Clifton,D,28.4,71,190,69.24997012107751,16.92918925446554,0.1217553830042308,1.5226220383406068
193,Connor Dewar,C,24.3,70,183,74.24217996765933,9.305380684625913,0.1971417025319743,1.3704797300770342
194,Connor Mackey,D,27.1,74,197,53.500975045963045,13.853809566869774,0.2012993686437063,1.4324248003243791
195,Connor McDavid,C,26.7,73,193,78.09721125510008,17.90483035120402,3.9373154269272175,1.1005166574557823
196,Connor McMichael,C,22.7,72,180,40.7137719174585,9.645118996305348,0.0466642855953953,0.0
197,Connor Murphy,D,30.5,76,212,70.90341903867915,18.001961390387223,0.0523061237848638,2.2875411770973786
198,Conor Garland,R,27.6,70,165,75.62521025060428,14.45649474526719,1.763229576079414,0.19227105059449778
199,Conor Sheary,L,31.3,69,179,75.44998142779261,13.134086374470373,1.145938851800202,1.2688332870205719
200,Conor Timmins,D,25.0,74,202,50.631379872742805,13.858064247366798,0.784144159471214,0.5608625465811663
201,Corey Perry,R,38.4,75,208,72.91618605788453,9.815516506762686,1.3963045097344873,0.0
202,Corey Schueneman,D,28.1,71,197,44.20592630308067,15.741393443279822,0.3642420068155227,1.175751108521824
203,Craig Smith,C,34.1,72,204,70.97200338898818,11.29575122324237,0.4499936383076435,0.0284194331360057
204,Curtis Lazar,C,28.7,72,203,66.99829114180942,11.333345323665824,0.1605674478383829,1.2978374434735807
205,Dakota Joshua,C,27.4,75,206,76.07557970992674,10.721140893021502,0.3118471196752714,0.9883527901986207
206,Dakota Mermis,D,29.7,72,195,42.863555008275306,16.212505584007815,0.1195068032653841,1.5021115743081568
207,Damien Giroux,C,23.6,70,179,39.81422552677783,11.365979808665386,0.8400431166892548,0.22199095480932318
208,Damon Severson,D,29.2,74,205,77.12609527030726,18.309874162205872,1.4407814441609592,1.5700211662776213
209,Dan Renouf,D,29.3,73,198,42.2547969007255,13.965924034951716,0.0787735311820212,1.1192887509139107
210,Daniel Sprong,R,26.5,72,202,67.49216594491784,10.807100739696144,1.8143168940808003,0.20388309282733152
211,Daniil Miromanov,D,26.2,76,200,46.01516823480557,14.730627065606935,0.7085851455955638,0.9057771041961025
212,Danil Gushchin,L,21.6,68,165,37.36706891824121,10.549640343057805,0.6867525658978253,0.0
213,Dante Fabbro,D,25.3,72,189,68.84713124832282,16.951530250223126,0.4145949984393577,1.8621364093917583
214,Danton Heinen,L,28.2,73,188,70.12046760646916,11.131336236359267,0.9285116414084392,0.3737965622575333
215,Darnell Nurse,D,28.7,76,221,75.670815541089,20.36649975197068,0.9873669429720028,2.8091258733619817
216,Darren Helm,C,36.7,72,192,46.6066706028974,5.997350822751724,0.0,1.1588915425188637
217,Darren Raddysh,D,27.6,73,200,48.23389807047388,15.815806408145214,0.3384025506622281,1.1422390524954307
218,David Gust,R,29.6,70,177,45.44786053786373,11.80201391503151,0.8941994423309805,0.3803872922194911
219,David Gustafsson,C,23.5,74,212,58.56871009577519,8.3723713972492,0.157246447188371,1.2087845978503835
220,David Jiricek,D,19.8,76,199,32.58406218493717,12.86726817061212,0.4359869072762325,0.18852079494181195
221,David Kampf,C,28.7,74,197,78.3793066686224,13.026844134224111,0.1712642121950462,2.474067795001642
222,David Krejci,C,37.4,72,192,70.91821828130092,10.83124267786332,0.926974595746226,0.0
223,David Pastrnak,R,27.4,73,195,74.65817858897721,16.00892375353992,3.7464792146785726,0.2207949403448971
224,David Perron,L,35.3,73,196,73.87384383933693,13.663872702861577,2.89082892209562,0.0
225,David Savard,D,32.9,73,235,69.06096126172159,18.6129138450588,0.0071655189433643,2.8618133073236502
226,Dawson Mercer,C,21.9,72,180,74.59880645264316,14.500540202450589,1.6288254414161485,1.2116532375656766
227,Denis Gurianov,R,26.3,75,205,72.63981315801527,12.961128579873485,1.5616265115730077,0.20665913909948164
228,Denis Malgin,C,26.7,69,182,69.76672960742651,10.577362975094273,0.7997686795754495,0.17714322777571323
229,Dennis Cholowski,D,25.6,74,210,40.36264740579337,15.424156070888213,2.0830775740771195,0.45609047902451927
230,Dennis Gilbert,D,26.9,74,216,50.39322288431136,13.251270833672066,0.1354630181674325,0.9907170181541654
231,Derek Forbort,D,31.6,76,208,70.30091483027648,15.500907124096273,0.0,2.9169750050359085
232,Derek Grant,C,33.4,75,210,64.32966509413222,11.450601579184838,0.7574967131339352,2.2524090883812526
233,Derek Ryan,C,36.8,70,185,70.76873261128101,9.53791303555644,0.0,1.1812303668953552
234,Derek Stepan,C,33.3,71,196,68.88859290515454,8.501560606205878,0.0,0.6693125418345174
235,Derick Brassard,C,36.0,73,200,64.08608251370788,10.32517772626881,1.5761953356944227,0.14912648453213728
236,Derrick Pouliot,D,29.7,72,196,45.438716587769136,15.71954450713626,0.2690014766301143,1.0564399472388726
237,Devin Shore,C,29.2,73,206,59.520913652277954,9.300151659908389,0.1289487116399748,0.5876158722194662
238,Devon Toews,D,29.6,73,191,73.57164287770605,20.24574135503048,1.855439046392474,2.98158352064924
239,Dillon Dube,C,25.2,71,185,76.19097538912199,13.176869313845229,1.4542236166622922,1.1500886989227184
240,Dillon Heatherington,D,28.4,76,215,42.65446274292418,15.037131013820105,0.3078004115498576,1.4774523545841778
241,Dmitri Samorukov,D,24.3,75,188,39.114133119497104,15.303842443154393,0.675731289342032,1.125121985142365
242,Dmitry Kulikov,D,32.9,73,201,71.7367717003032,16.629176150439296,0.0,2.597257313401081
243,Dmitry Orlov,D,32.2,71,214,71.68462347696317,18.963435733871624,1.178848855051731,1.75561776090136
244,Dominic Toninato,C,29.6,74,191,45.85850663782619,7.391258086208959,0.125094144928006,1.292860078214524
245,Dominik Kubalik,L,28.1,74,190,77.39523700892184,13.096414387808393,2.3477028634626453,0.1977733494688042
246,Dougie Hamilton,D,30.3,78,230,73.98316567834267,18.739424978447506,2.821333939163964,0.6959492338883742
247,Drake Batherson,R,25.4,75,200,71.45782629106384,15.374438466444014,3.786488149375388,0.2487742412853453
248,Drake Caggiula,C,29.3,70,176,45.37241650582365,11.460478137636647,0.2733139420766854,1.0408507855605142
249,Drew Doughty,D,33.8,73,210,77.86011839712445,19.020345771053886,1.891513453974774,2.0231718323952967
250,Drew Helleson,D,22.5,75,190,37.32201539251386,14.635412133232258,0.656734947912647,0.8459455473301427
251,Drew O'Connor,L,25.3,75,200,60.64790227693578,9.520354827039078,0.20665021463351,0.5700805551361661
252,Dryden Hunt,L,27.9,72,193,58.69433540650839,10.994266680791895,0.3248038982984833,0.20337637000748798
253,Dylan Coghlan,D,25.6,74,208,46.82430823137087,13.18867943827928,1.0866025899653389,0.5363816874008374
254,Dylan Cozens,C,22.6,75,195,71.98531868729272,13.715648154232296,2.78894819519995,1.1628487829468792
255,Dylan DeMelo,D,30.4,72,195,73.99841327087267,16.861011443354183,0.0432616262479625,2.6062976061487793
256,Dylan Gambrell,C,27.1,71,185,67.96626139150135,10.759892049140603,0.2072833215307046,2.1060500550215044
257,Dylan Guenther,R,20.5,74,175,48.26536098619164,9.3333325632179,1.115298805747618,0.0
258,Dylan Holloway,L,22.0,73,203,58.55217400330548,8.125829339777384,0.5102744041291727,0.0
259,Dylan Larkin,C,27.2,73,198,72.94126196456271,15.478247578501843,3.33905525112086,1.5323960748578682
