,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,14.2683,13.09,14.2323,14.8929,14.0165,-0.10437499999999922
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,13.09,14.2323,14.8929,14.0165,14.0588,0.0008749999999988489
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,14.2323,14.8929,14.0165,14.0588,14.6338,0.3336750000000013
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,14.8929,14.0165,14.0588,14.6338,14.3323,-0.06820000000000093
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,14.0165,14.0588,14.6338,14.3323,14.6247,0.36434999999999995
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,14.0588,14.6338,14.3323,14.6247,13.5141,-0.8983000000000008
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,14.6338,14.3323,14.6247,13.5141,13.2918,-0.9844249999999999
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,14.3323,14.6247,13.5141,13.2918,13.0873,-0.8534249999999997
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,14.6247,13.5141,13.2918,13.0873,13.3957,-0.23377499999999962
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,13.5141,13.2918,13.0873,13.3957,12.2365,-1.085725
