,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y5 dEV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 EV Rebounds Created/60,Y2 EV Rebounds Created/60,Y3 EV Rebounds Created/60,Y4 EV Rebounds Created/60,Y5 EV Rebounds Created/60,Y1 EV Rush Attempts/60,Y2 EV Rush Attempts/60,Y3 EV Rush Attempts/60,Y4 EV Rush Attempts/60,Y5 EV Rush Attempts/60,Y1 EV oixGF/60,Y2 EV oixGF/60,Y3 EV oixGF/60,Y4 EV oixGF/60,Y5 EV oixGF/60
Andrew Ladd 2012,Andrew Ladd,2012,L,25.802,75,205,63.0,82.0,82.0,81,82,10.9505,12.9933,12.9638,15.1333,15.372,0.5218,1.1826,0.508,0.6363,0.3808,-0.573175,0.5218,0.6195,0.6209,0.3426,0.2856,0.7827,0.7884,0.6209,0.7832,0.7616,0.2609,0.6195,0.6773,0.6363,2.9036,2.3613,2.6445,2.6268,2.6921,2.9036
Andrew Ladd 2013,Andrew Ladd,2013,L,26.804,75,205,82.0,82.0,81.0,82,82,12.9933,12.9638,15.1333,15.372,15.5972,1.1826,0.508,0.6363,0.3808,1.0419,0.08497500000000002,0.6195,0.6209,0.3426,0.2856,0.9617,0.7884,0.6209,0.7832,0.7616,0.4809,0.6195,0.6773,0.6363,0.7616,2.9925,2.6445,2.6268,2.6921,2.9036,2.9925
Andrew Ladd 2014,Andrew Ladd,2014,L,27.804,75,205,82.0,81.0,82.0,82,78,12.9638,15.1333,15.372,15.5972,14.9318,0.508,0.6363,0.3808,1.0419,0.5667,-0.4795750000000001,0.6209,0.3426,0.2856,0.9617,0.5152,0.6209,0.7832,0.7616,0.4809,1.2879,0.6773,0.6363,0.7616,1.0419,2.8561,2.6268,2.6921,2.9036,2.9925,2.8561
Andrew Ladd 2015,Andrew Ladd,2015,L,28.803,75,205,81.0,82.0,82.0,78,81,15.1333,15.372,15.5972,14.9318,15.0568,0.6363,0.3808,1.0419,0.5667,0.9839,-0.06719999999999993,0.3426,0.2856,0.9617,0.5152,0.3444,0.7832,0.7616,0.4809,1.2879,1.0331,0.6363,0.7616,1.0419,0.4636,2.6109,2.6921,2.9036,2.9925,2.8561,2.6109
Andrew Ladd 2016,Andrew Ladd,2016,L,29.802,75,205,82.0,82.0,78.0,81,78,15.372,15.5972,14.9318,15.0568,14.3327,0.3808,1.0419,0.5667,0.9839,0.3757,-0.6396000000000002,0.2856,0.9617,0.5152,0.3444,0.5367,0.7616,0.4809,1.2879,1.0331,0.7514,0.7616,1.0419,0.4636,0.6888,2.5278,2.9036,2.9925,2.8561,2.6109,2.5278
Andrew Ladd 2017,Andrew Ladd,2017,L,30.804,75,205,82.0,78.0,81.0,78,78,15.5972,14.9318,15.0568,14.3327,13.2558,1.0419,0.5667,0.9839,0.3757,0.2901,-0.62745,0.9617,0.5152,0.3444,0.5367,0.058,0.4809,1.2879,1.0331,0.7514,0.5803,1.0419,0.4636,0.6888,0.5904,2.4773,2.9925,2.8561,2.6109,2.5278,2.4773
Andrew Ladd 2018,Andrew Ladd,2018,L,31.804,75,205,78.0,81.0,78.0,78,73,14.9318,15.0568,14.3327,13.2558,12.9094,0.5667,0.9839,0.3757,0.2901,0.6367,-0.25597499999999995,0.5152,0.3444,0.5367,0.058,0.3183,1.2879,1.0331,0.7514,0.5803,0.4457,0.4636,0.6888,0.5904,0.3482,2.3857,2.8561,2.6109,2.5278,2.4773,2.3857
Blake Comeau 2012,Blake Comeau,2012,L,25.616,73,200,51.0,53.0,61.0,77,74,10.8719,13.1195,12.9041,13.8926,13.4836,0.5411,0.5177,0.686,0.6731,0.3007,-0.553825,0.1082,0.4314,0.2287,0.1683,0.3007,0.3246,0.4314,0.8385,0.7292,0.7216,1.1903,0.5177,0.8385,0.8413,1.9152,2.2844,2.2711,2.6092,2.1628,1.9152
Blake Comeau 2013,Blake Comeau,2013,L,26.618,73,200,53.0,61.0,77.0,74,71,13.1195,12.9041,13.8926,13.4836,10.9052,0.5177,0.686,0.6731,0.3007,0.524,-0.216325,0.4314,0.2287,0.1683,0.3007,0.262,0.4314,0.8385,0.7292,0.7216,0.786,0.5177,0.8385,0.8413,0.5412,2.1641,2.2711,2.6092,2.1628,1.9152,2.1641
Blake Comeau 2014,Blake Comeau,2014,L,27.617,73,200,61.0,77.0,74.0,71,61,12.9041,13.8926,13.4836,10.9052,11.5052,0.686,0.6731,0.3007,0.524,0.513,-0.28322500000000006,0.2287,0.1683,0.3007,0.262,0.4275,0.8385,0.7292,0.7216,0.786,0.5984,0.8385,0.8413,0.5412,0.524,1.9475,2.6092,2.1628,1.9152,2.1641,1.9475
Blake Comeau 2015,Blake Comeau,2015,L,28.617,73,200,77.0,74.0,71.0,61,61,13.8926,13.4836,10.9052,11.5052,14.0399,0.6731,0.3007,0.524,0.513,0.6305,0.032299999999999884,0.1683,0.3007,0.262,0.4275,0.3503,0.7292,0.7216,0.786,0.5984,1.4012,0.8413,0.5412,0.524,0.8549,2.6496,2.1628,1.9152,2.1641,1.9475,2.6496
Blake Comeau 2016,Blake Comeau,2016,L,29.616,73,200,74.0,71.0,61.0,61,81,13.4836,10.9052,11.5052,14.0399,13.8831,0.3007,0.524,0.513,0.6305,0.4802,-0.14582500000000004,0.3007,0.262,0.4275,0.3503,0.4802,0.7216,0.786,0.5984,1.4012,0.747,0.5412,0.524,0.8549,0.4203,2.004,1.9152,2.1641,1.9475,2.6496,2.004
Blake Comeau 2017,Blake Comeau,2017,L,30.618,73,200,71.0,61.0,61.0,81,77,10.9052,11.5052,14.0399,13.8831,12.4753,0.524,0.513,0.6305,0.4802,0.3748,-0.28274999999999995,0.262,0.4275,0.3503,0.4802,0.3748,0.786,0.5984,1.4012,0.747,0.4997,0.524,0.8549,0.4203,0.2134,2.0693,2.1641,1.9475,2.6496,2.004,2.0693
Blake Comeau 2018,Blake Comeau,2018,L,31.618,73,200,61.0,61.0,81.0,77,79,11.5052,14.0399,13.8831,12.4753,13.2506,0.513,0.6305,0.4802,0.3748,0.9171,0.345225,0.4275,0.3503,0.4802,0.3748,0.2866,0.5984,1.4012,0.747,0.4997,0.5159,0.8549,0.4203,0.2134,0.3123,2.1849,1.9475,2.6496,2.004,2.0693,2.1849
Blake Comeau 2019,Blake Comeau,2019,L,32.617,73,200,61.0,81.0,77.0,79,77,14.0399,13.8831,12.4753,13.2506,13.5983,0.6305,0.4802,0.3748,0.9171,0.2865,-0.3218000000000001,0.3503,0.4802,0.3748,0.2866,0.3438,1.4012,0.747,0.4997,0.5159,0.9742,0.4203,0.2134,0.3123,0.2293,2.4062,2.6496,2.004,2.0693,2.1849,2.4062
Blake Comeau 2020,Blake Comeau,2020,L,33.616,73,200,81.0,77.0,79.0,77,64,13.8831,12.4753,13.2506,13.5983,12.6148,0.4802,0.3748,0.9171,0.2865,0.2594,-0.16895,0.4802,0.3748,0.2866,0.3438,0.3459,0.747,0.4997,0.5159,0.9742,0.8648,0.2134,0.3123,0.2293,0.4584,2.1914,2.004,2.0693,2.1849,2.4062,2.1914
Blake Comeau 2021,Blake Comeau,2021,L,34.618,73,200,77.0,79.0,77.0,64,74,12.4753,13.2506,13.5983,12.6148,13.9255,0.3748,0.9171,0.2865,0.2594,0.3379,-0.13507500000000006,0.3748,0.2866,0.3438,0.3459,0.3379,0.4997,0.5159,0.9742,0.8648,1.0983,0.3123,0.2293,0.4584,0.3459,2.1999,2.0693,2.1849,2.4062,2.1914,2.1999
James Neal 2013,James Neal,2013,L,25.079,75,212,77.0,78.0,79.0,80,68,12.9968,14.4656,14.7726,15.1312,13.41,0.4197,0.4786,0.6169,0.7931,0.5593,-0.4756999999999999,0.2998,0.5318,0.3085,0.6939,0.3356,0.7794,0.3191,0.5655,1.5366,1.0067,0.4197,0.5849,0.7198,1.0409,2.8602,1.9857,2.3467,2.2308,3.1747,2.8602
James Neal 2014,James Neal,2014,L,26.079,75,212,78.0,79.0,80.0,68,59,14.4656,14.7726,15.1312,13.41,14.5898,0.4786,0.6169,0.7931,0.5593,0.697,-0.4487500000000001,0.5318,0.3085,0.6939,0.3356,0.6273,0.3191,0.5655,1.5366,1.0067,0.9758,0.5849,0.7198,1.0409,0.5593,2.6752,2.3467,2.2308,3.1747,2.8602,2.6752
James Neal 2015,James Neal,2015,L,27.078,75,212,79.0,80.0,68.0,59,67,14.7726,15.1312,13.41,14.5898,15.1841,0.6169,0.7931,0.5593,0.697,0.4718,-0.6336999999999999,0.3085,0.6939,0.3356,0.6273,0.2949,0.5655,1.5366,1.0067,0.9758,1.1796,0.7198,1.0409,0.5593,0.4879,2.6953,2.2308,3.1747,2.8602,2.6752,2.6953
James Neal 2016,James Neal,2016,L,28.077,75,212,80.0,68.0,59.0,67,82,15.1312,13.41,14.5898,15.1841,16.2693,0.7931,0.5593,0.697,0.4718,0.5397,-0.6422,0.6939,0.3356,0.6273,0.2949,0.2249,1.5366,1.0067,0.9758,1.1796,0.7196,1.0409,0.5593,0.4879,0.4718,2.434,3.1747,2.8602,2.6752,2.6953,2.434
James Neal 2017,James Neal,2017,L,29.08,75,212,68.0,59.0,67.0,82,70,13.41,14.5898,15.1841,16.2693,14.8998,0.5593,0.697,0.4718,0.5397,0.4602,-0.75265,0.3356,0.6273,0.2949,0.2249,0.1151,1.0067,0.9758,1.1796,0.7196,0.7479,0.5593,0.4879,0.4718,0.4947,2.5243,2.8602,2.6752,2.6953,2.434,2.5243
James Neal 2018,James Neal,2018,L,30.079,75,212,59.0,67.0,82.0,70,71,14.5898,15.1841,16.2693,14.8998,14.6735,0.697,0.4718,0.5397,0.4602,0.5183,-0.61785,0.6273,0.2949,0.2249,0.1151,0.3456,0.9758,1.1796,0.7196,0.7479,0.9215,0.4879,0.4718,0.4947,0.6903,2.4453,2.6752,2.6953,2.434,2.5243,2.4453
James Neal 2019,James Neal,2019,L,31.078,75,212,67.0,82.0,70.0,71,63,15.1841,16.2693,14.8998,14.6735,12.7249,0.4718,0.5397,0.4602,0.5183,0.4491,-0.6961999999999999,0.2949,0.2249,0.1151,0.3456,0.1497,1.1796,0.7196,0.7479,0.9215,0.5988,0.4718,0.4947,0.6903,0.6335,2.2042,2.6953,2.434,2.5243,2.4453,2.2042
James Neal 2020,James Neal,2020,L,32.078,75,212,82.0,70.0,71.0,63,64,16.2693,14.8998,14.6735,12.7249,13.1912,0.5397,0.4602,0.5183,0.4491,0.2481,-0.69585,0.2249,0.1151,0.3456,0.1497,0.3308,0.7196,0.7479,0.9215,0.5988,0.6616,0.4947,0.6903,0.6335,0.1497,2.2519,2.434,2.5243,2.4453,2.2042,2.2519
Leo Komarov 2019,Leo Komarov,2019,R,31.689,71,205,62.0,67.0,82.0,74,82,11.9927,13.9463,12.8423,12.493,12.0551,0.7262,0.3211,0.3419,0.2596,0.6677,0.10862499999999997,0.4842,0.5779,0.2849,0.4543,0.5463,0.2421,0.0642,0.3988,0.4543,0.1821,0.4842,0.3211,0.4558,0.1947,2.2094,2.2627,2.7322,2.5184,2.5642,2.2094
Leo Komarov 2020,Leo Komarov,2020,R,32.688,71,205,67.0,82.0,74.0,82,56,13.9463,12.8423,12.493,12.0551,11.109,0.3211,0.3419,0.2596,0.6677,0.3376,-0.1713,0.5779,0.2849,0.4543,0.5463,0.6751,0.0642,0.3988,0.4543,0.1821,0.6751,0.3211,0.4558,0.1947,0.4249,2.1998,2.7322,2.5184,2.5642,2.2094,2.1998
Mathieu Perreault 2016,Mathieu Perreault,2016,C,27.738,70,189,64.0,66.0,69.0,62,71,10.9857,10.441,11.6382,13.1664,13.619,0.768,1.3261,0.8966,0.882,0.4964,-0.45,0.4267,0.1473,0.5977,0.294,0.9308,0.1707,0.7367,0.6725,0.9555,0.6826,0.3414,0.2947,0.2989,0.147,2.7594,2.2905,2.362,2.7765,2.6651,2.7594
Mathieu Perreault 2017,Mathieu Perreault,2017,C,28.74,70,189,66.0,69.0,62.0,71,65,10.441,11.6382,13.1664,13.619,13.6192,1.3261,0.8966,0.882,0.4964,0.8133,0.11902500000000005,0.1473,0.5977,0.294,0.9308,0.5422,0.7367,0.6725,0.9555,0.6826,0.6778,0.2947,0.2989,0.147,0.1241,2.5884,2.362,2.7765,2.6651,2.7594,2.5884
Mathieu Perreault 2018,Mathieu Perreault,2018,C,29.739,70,189,69.0,62.0,71.0,65,70,11.6382,13.1664,13.619,13.6192,12.1898,0.8966,0.882,0.4964,0.8133,0.4922,-0.22417499999999996,0.5977,0.294,0.9308,0.5422,0.4219,0.6725,0.9555,0.6826,0.6778,0.7735,0.2989,0.147,0.1241,0.3389,2.8197,2.7765,2.6651,2.7594,2.5884,2.8197
Mathieu Perreault 2019,Mathieu Perreault,2019,C,30.739,70,189,62.0,71.0,65.0,70,82,13.1664,13.619,13.6192,12.1898,10.825,0.882,0.4964,0.8133,0.4922,0.2028,-0.44545,0.294,0.9308,0.5422,0.4219,0.6083,0.9555,0.6826,0.6778,0.7735,0.338,0.147,0.1241,0.3389,0.4219,2.3874,2.6651,2.7594,2.5884,2.8197,2.3874
Mathieu Perreault 2020,Mathieu Perreault,2020,C,31.738,70,189,71.0,65.0,70.0,82,57,13.619,13.6192,12.1898,10.825,11.5759,0.4964,0.8133,0.4922,0.2028,0.2116,-0.38364999999999994,0.9308,0.5422,0.4219,0.6083,0.6347,0.6826,0.6778,0.7735,0.338,0.952,0.1241,0.3389,0.4219,0.338,2.1029,2.7594,2.5884,2.8197,2.3874,2.1029
Mathieu Perreault 2021,Mathieu Perreault,2021,C,32.74,70,189,65.0,70.0,82.0,57,82,13.6192,12.1898,10.825,11.5759,10.0815,0.8133,0.4922,0.2028,0.2116,0.6377,-0.04322499999999996,0.5422,0.4219,0.6083,0.6347,0.2126,0.6778,0.7735,0.338,0.952,0.8502,0.3389,0.4219,0.338,0.4231,2.1234,2.5884,2.8197,2.3874,2.1029,2.1234
Paul Byron 2019,Paul Byron,2019,L,29.43,69,164,57.0,62.0,81.0,82,56,12.6594,11.761,12.5418,13.1618,12.1015,0.3326,0.3291,0.6497,0.3892,0.7968,-0.018075000000000063,0.5821,0.0823,0.3544,0.278,0.4427,0.4158,0.2469,0.8859,1.0007,0.3541,0.4989,0.0823,0.4725,0.278,2.5986,2.1137,2.234,2.6135,2.7997,2.5986
Riley Nash 2017,Riley Nash,2017,C,27.398,74,188,54.0,73.0,68.0,64,81,11.6802,11.0868,12.9233,11.0479,11.7938,0.8026,0.3707,0.4779,0.3394,0.3768,-0.21849999999999992,0.0,0.4448,0.3414,0.4243,0.1256,0.8026,0.5189,0.6828,0.9334,0.6909,0.3211,0.2965,0.2048,0.2546,2.1041,2.4545,2.425,2.3746,2.5932,2.1041
Riley Nash 2018,Riley Nash,2018,C,28.398,74,188,73.0,68.0,64.0,81,76,11.0868,12.9233,11.0479,11.7938,13.0401,0.3707,0.4779,0.3394,0.3768,0.787,0.25802500000000006,0.4448,0.3414,0.4243,0.1256,0.7265,0.5189,0.6828,0.9334,0.6909,0.787,0.2965,0.2048,0.2546,0.3768,2.5228,2.425,2.3746,2.5932,2.1041,2.5228
Riley Nash 2019,Riley Nash,2019,C,29.397,74,188,68.0,64.0,81.0,76,78,12.9233,11.0479,11.7938,13.0401,10.4581,0.4779,0.3394,0.3768,0.787,0.5149,-0.04402499999999998,0.3414,0.4243,0.1256,0.7265,0.1471,0.6828,0.9334,0.6909,0.787,0.662,0.2048,0.2546,0.3768,0.5449,2.5994,2.3746,2.5932,2.1041,2.5228,2.5994
Riley Nash 2020,Riley Nash,2020,C,30.396,74,188,64.0,81.0,76.0,78,75,11.0479,11.7938,13.0401,10.4581,10.6766,0.3394,0.3768,0.787,0.5149,0.5269,0.032275000000000054,0.4243,0.1256,0.7265,0.1471,0.2634,0.9334,0.6909,0.787,0.662,0.9659,0.2546,0.3768,0.5449,0.5149,1.873,2.5932,2.1041,2.5228,2.5994,1.873
Riley Nash 2021,Riley Nash,2021,C,31.399,74,188,81.0,76.0,78.0,75,54,11.7938,13.0401,10.4581,10.6766,11.2878,0.3768,0.787,0.5149,0.5269,0.5746,0.140675,0.1256,0.7265,0.1471,0.2634,0.1437,0.6909,0.787,0.662,0.9659,0.431,0.3768,0.5449,0.5149,0.2634,1.6593,2.1041,2.5228,2.5994,1.873,1.6593
Kyle Turris 2015,Kyle Turris,2015,C,25.131,73,190,65.0,55.0,82.0,82,82,9.7451,14.9158,15.4649,14.5622,15.4439,0.6631,0.7314,0.6466,0.8542,0.8528,-0.016774999999999984,0.5683,0.2194,0.2425,0.3015,0.4738,0.9472,1.0971,1.0508,0.7035,0.7581,0.3789,0.4388,0.2425,0.402,2.6499,2.6266,2.5671,2.8152,2.7525,2.6499
Kyle Turris 2016,Kyle Turris,2016,C,26.131,73,190,55.0,82.0,82.0,82,57,14.9158,15.4649,14.5622,15.4439,16.1351,0.7314,0.6466,0.8542,0.8528,0.3914,-0.4427499999999999,0.2194,0.2425,0.3015,0.4738,0.3262,1.0971,1.0508,0.7035,0.7581,0.5219,0.4388,0.2425,0.402,0.4738,2.3519,2.5671,2.8152,2.7525,2.6499,2.3519
Kyle Turris 2017,Kyle Turris,2017,C,27.133,73,190,82.0,82.0,82.0,57,78,15.4649,14.5622,15.4439,16.1351,15.8408,0.6466,0.8542,0.8528,0.3914,0.6313,-0.164825,0.2425,0.3015,0.4738,0.3262,0.1942,1.0508,0.7035,0.7581,0.5219,1.0198,0.2425,0.402,0.4738,0.3262,2.3076,2.8152,2.7525,2.6499,2.3519,2.3076
Kyle Turris 2018,Kyle Turris,2018,C,28.132,73,190,82.0,82.0,57.0,78,76,14.5622,15.4439,16.1351,15.8408,14.1928,0.8542,0.8528,0.3914,0.6313,0.6119,-0.2573,0.3015,0.4738,0.3262,0.1942,0.5563,0.7035,0.7581,0.5219,1.0198,0.6675,0.402,0.4738,0.3262,0.0971,2.8602,2.7525,2.6499,2.3519,2.3076,2.8602
Kyle Turris 2019,Kyle Turris,2019,C,29.132,73,190,82.0,57.0,78.0,76,55,15.4439,16.1351,15.8408,14.1928,13.4358,0.8528,0.3914,0.6313,0.6119,0.9743,0.20605000000000007,0.4738,0.3262,0.1942,0.5563,0.1624,0.7581,0.5219,1.0198,0.6675,0.8119,0.4738,0.3262,0.0971,0.2781,2.5235,2.6499,2.3519,2.3076,2.8602,2.5235
Kyle Turris 2020,Kyle Turris,2020,C,30.131,73,190,57.0,78.0,76.0,55,73,16.1351,15.8408,14.1928,13.4358,12.3935,0.3914,0.6313,0.6119,0.9743,0.7808,0.17670000000000008,0.3262,0.1942,0.5563,0.1624,0.3123,0.5219,1.0198,0.6675,0.8119,1.0151,0.3262,0.0971,0.2781,0.0812,2.4823,2.3519,2.3076,2.8602,2.5235,2.4823
Colton Sceviour 2019,Colton Sceviour,2019,C,29.449,72,190,71.0,71.0,80.0,76,59,11.354,10.4411,11.7883,11.0013,10.1997,0.3721,0.4856,0.509,0.4306,0.7976,0.16884999999999994,0.5954,0.2428,0.2545,0.3588,0.0997,1.042,1.2141,1.1452,1.2199,1.1964,0.8187,0.4856,0.2545,0.5023,2.347,2.6437,2.4767,2.0595,2.5282,2.347
Colton Sceviour 2020,Colton Sceviour,2020,C,30.448,72,190,71.0,80.0,76.0,59,81,10.4411,11.7883,11.0013,10.1997,10.6063,0.4856,0.509,0.4306,0.7976,0.5739,-0.01200000000000001,0.2428,0.2545,0.3588,0.0997,0.246,1.2141,1.1452,1.2199,1.1964,1.6397,0.4856,0.2545,0.5023,0.6979,2.4604,2.4767,2.0595,2.5282,2.347,2.4604
Colton Sceviour 2021,Colton Sceviour,2021,C,31.451,72,190,80.0,76.0,59.0,81,67,11.7883,11.0013,10.1997,10.6063,8.2453,0.509,0.4306,0.7976,0.5739,0.4746,-0.03192499999999998,0.2545,0.3588,0.0997,0.246,0.3164,1.1452,1.2199,1.1964,1.6397,0.6328,0.2545,0.5023,0.6979,0.3279,1.8445,2.0595,2.5282,2.347,2.4604,1.8445
Carl Hagelin 2016,Carl Hagelin,2016,L,27.105,72,183,64.0,82.0,72.0,82,80,14.2729,15.5691,13.6347,13.1841,13.8356,0.8539,0.7226,0.4278,0.4995,0.7047,-0.13947500000000002,0.7225,0.4014,0.5501,0.444,0.5421,0.8539,0.8832,0.8557,0.777,0.9757,0.3284,0.4014,0.3667,0.222,2.8779,2.8211,2.9249,2.9007,2.7106,2.8779
Carl Hagelin 2017,Carl Hagelin,2017,L,28.108,72,183,82.0,72.0,82.0,80,61,15.5691,13.6347,13.1841,13.8356,13.1033,0.7226,0.4278,0.4995,0.7047,0.6005,-0.23634999999999995,0.4014,0.5501,0.444,0.5421,0.5255,0.8832,0.8557,0.777,0.9757,0.7507,0.4014,0.3667,0.222,0.4879,2.7707,2.9249,2.9007,2.7106,2.8779,2.7707
Carl Hagelin 2018,Carl Hagelin,2018,L,29.107,72,183,72.0,82.0,80.0,61,81,13.6347,13.1841,13.8356,13.1033,13.3383,0.4278,0.4995,0.7047,0.6005,0.6109,-0.15790000000000004,0.5501,0.444,0.5421,0.5255,0.4998,0.8557,0.777,0.9757,0.7507,1.0552,0.3667,0.222,0.4879,0.3753,2.7101,2.9007,2.7106,2.8779,2.7707,2.7101
Carl Hagelin 2019,Carl Hagelin,2019,L,30.106,72,183,82.0,80.0,61.0,81,58,13.1841,13.8356,13.1033,13.3383,12.7213,0.4995,0.7047,0.6005,0.6109,0.4879,-0.16137500000000005,0.444,0.5421,0.5255,0.4998,0.6506,0.777,0.9757,0.7507,1.0552,0.9758,0.222,0.4879,0.3753,0.6664,2.5908,2.7106,2.8779,2.7707,2.7101,2.5908
Carl Hagelin 2020,Carl Hagelin,2020,L,31.106,72,183,80.0,61.0,81.0,58,68,13.8356,13.1033,13.3383,12.7213,11.2394,0.7047,0.6005,0.6109,0.4879,0.9204,0.391475,0.5421,0.5255,0.4998,0.6506,0.4602,0.9757,0.7507,1.0552,0.9758,1.0125,0.4879,0.3753,0.6664,0.4879,2.6084,2.8779,2.7707,2.7101,2.5908,2.6084
Carl Hagelin 2021,Carl Hagelin,2021,L,32.108,72,183,61.0,81.0,58.0,68,82,13.1033,13.3383,12.7213,11.2394,11.3798,0.6005,0.6109,0.4879,0.9204,0.7532,0.25292499999999996,0.5255,0.4998,0.6506,0.4602,0.1883,0.7507,1.0552,0.9758,1.0125,0.8474,0.3753,0.6664,0.4879,0.1841,2.5826,2.7707,2.7101,2.5908,2.6084,2.5826
Carl Hagelin 2022,Carl Hagelin,2022,L,33.107,72,183,81.0,58.0,68.0,82,53,13.3383,12.7213,11.2394,11.3798,12.3013,0.6109,0.4879,0.9204,0.7532,0.3681,-0.13727500000000004,0.4998,0.6506,0.4602,0.1883,0.5522,1.0552,0.9758,1.0125,0.8474,0.5522,0.6664,0.4879,0.1841,0.5649,2.6688,2.7101,2.5908,2.6084,2.5826,2.6688
Jay Beagle 2017,Jay Beagle,2017,C,30.96,75,210,82.0,62.0,62.0,57,81,9.841,10.2175,10.9124,11.9675,10.7669,0.3811,0.1894,0.5321,0.4398,0.7568,0.20095000000000007,0.3811,0.2841,0.266,0.3518,0.2752,1.0162,0.3789,0.7981,0.7037,0.5504,0.254,0.2841,0.3547,0.4398,2.1878,2.2101,1.9265,2.2543,2.2596,2.1878
Jay Beagle 2018,Jay Beagle,2018,C,31.96,75,210,62.0,62.0,57.0,81,79,10.2175,10.9124,11.9675,10.7669,9.8831,0.1894,0.5321,0.4398,0.7568,0.4611,-0.23764999999999997,0.2841,0.266,0.3518,0.2752,0.6916,0.3789,0.7981,0.7037,0.5504,0.6916,0.2841,0.3547,0.4398,0.1376,1.9366,1.9265,2.2543,2.2596,2.1878,1.9366
Jay Beagle 2019,Jay Beagle,2019,C,32.959,75,210,62.0,57.0,81.0,79,57,10.9124,11.9675,10.7669,9.8831,10.9608,0.5321,0.4398,0.7568,0.4611,0.5762,-0.1431,0.266,0.3518,0.2752,0.6916,0.3841,0.7981,0.7037,0.5504,0.6916,0.4802,0.3547,0.4398,0.1376,0.1537,2.0888,2.2543,2.2596,2.1878,1.9366,2.0888
Jay Beagle 2020,Jay Beagle,2020,C,33.958,75,210,57.0,81.0,79.0,57,64,11.9675,10.7669,9.8831,10.9608,9.4009,0.4398,0.7568,0.4611,0.5762,0.3481,-0.197525,0.3518,0.2752,0.6916,0.3841,0.2321,0.7037,0.5504,0.6916,0.4802,0.5802,0.4398,0.1376,0.1537,0.1921,2.2037,2.2596,2.1878,1.9366,2.0888,2.2037
Cam Atkinson 2017,Cam Atkinson,2017,R,27.324,68,176,59.0,79.0,78.0,81,82,13.5562,13.38,13.6803,13.6749,13.9752,0.7587,0.4541,0.4498,0.7042,0.6806,-0.28054999999999997,0.2529,0.2838,0.3936,0.3792,0.1571,1.0117,0.3973,0.6747,1.0834,1.3089,0.2529,0.9082,0.7872,0.65,2.7854,2.2522,2.2206,2.5944,3.1862,2.7854
Cam Atkinson 2018,Cam Atkinson,2018,R,28.324,68,176,79.0,78.0,81.0,82,65,13.38,13.6803,13.6749,13.9752,14.7215,0.4541,0.4498,0.7042,0.6806,0.6897,-0.3065,0.2838,0.3936,0.3792,0.1571,0.2508,0.3973,0.6747,1.0834,1.3089,1.7557,0.9082,0.7872,0.65,0.6283,3.1314,2.2206,2.5944,3.1862,2.7854,3.1314
Cam Atkinson 2019,Cam Atkinson,2019,R,29.323,68,176,78.0,81.0,82.0,65,80,13.6803,13.6749,13.9752,14.7215,15.3571,0.4498,0.7042,0.6806,0.6897,0.4884,-0.59425,0.3936,0.3792,0.1571,0.2508,0.586,0.6747,1.0834,1.3089,1.7557,1.0744,0.7872,0.65,0.6283,0.5643,2.9034,2.5944,3.1862,2.7854,3.1314,2.9034
Cam Atkinson 2020,Cam Atkinson,2020,R,30.323,68,176,81.0,82.0,65.0,80,51,13.6749,13.9752,14.7215,15.3571,13.9409,0.7042,0.6806,0.6897,0.4884,0.4891,-0.7386,0.3792,0.1571,0.2508,0.586,0.3913,1.0834,1.3089,1.7557,1.0744,0.9782,0.65,0.6283,0.5643,0.586,2.7193,3.1862,2.7854,3.1314,2.9034,2.7193
Cam Atkinson 2021,Cam Atkinson,2021,R,31.325,68,176,82.0,65.0,80.0,51,82,13.9752,14.7215,15.3571,13.9409,14.8801,0.6806,0.6897,0.4884,0.4891,0.504,-0.6594,0.1571,0.2508,0.586,0.3913,0.288,1.3089,1.7557,1.0744,0.9782,1.0801,0.6283,0.5643,0.586,0.5869,2.3949,2.7854,3.1314,2.9034,2.7193,2.3949
Cam Atkinson 2022,Cam Atkinson,2022,R,32.324,68,176,65.0,80.0,51.0,82,73,14.7215,15.3571,13.9409,14.8801,13.7982,0.6897,0.4884,0.4891,0.504,1.1913,0.13587499999999997,0.2508,0.586,0.3913,0.288,0.2383,1.7557,1.0744,0.9782,1.0801,1.1913,0.5643,0.586,0.5869,0.36,2.4935,3.1314,2.9034,2.7193,2.3949,2.4935
Antoine Roussel 2017,Antoine Roussel,2017,L,26.862,71,200,66.0,81.0,80.0,80,60,8.5949,11.5146,12.116,12.0973,12.36,0.716,0.4503,0.3095,0.496,0.7282,-0.19680000000000009,0.537,0.386,0.2476,0.372,0.2427,0.716,0.7076,0.4333,0.744,0.6472,0.537,0.579,0.3095,0.434,2.729,2.5615,2.6382,2.8871,2.8674,2.729
