,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y5 dEV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 EV Rebounds Created/60,Y2 EV Rebounds Created/60,Y3 EV Rebounds Created/60,Y4 EV Rebounds Created/60,Y5 EV Rebounds Created/60,Y1 EV Rush Attempts/60,Y2 EV Rush Attempts/60,Y3 EV Rush Attempts/60,Y4 EV Rush Attempts/60,Y5 EV Rush Attempts/60,Y1 EV oixGF/60,Y2 EV oixGF/60,Y3 EV oixGF/60,Y4 EV oixGF/60,Y5 EV oixGF/60
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,14.2323,14.8929,14.0165,14.0588,14.6338,1.1971,0.8633,0.7491,0.7903,0.4613,-0.45712500000000006,0.4684,0.9592,0.5886,0.3161,0.5638,0.6246,0.6715,0.5886,0.8957,0.7175,0.5205,1.1511,0.6421,0.4215,2.6179,2.9068,3.2624,2.8884,2.7298,2.6179
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,14.8929,14.0165,14.0588,14.6338,14.3323,0.8633,0.7491,0.7903,0.4613,0.6359,-0.3308,0.9592,0.5886,0.3161,0.5638,0.4239,0.6715,0.5886,0.8957,0.7175,1.0598,1.1511,0.6421,0.4215,0.7175,3.2892,3.2624,2.8884,2.7298,2.6179,3.2892
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,14.0165,14.0588,14.6338,14.3323,14.6247,0.7491,0.7903,0.4613,0.6359,0.8333,-0.11377499999999996,0.5886,0.3161,0.5638,0.4239,0.5128,0.5886,0.8957,0.7175,1.0598,0.641,0.6421,0.4215,0.7175,0.6359,2.8347,2.8884,2.7298,2.6179,3.2892,2.8347
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,14.0588,14.6338,14.3323,14.6247,13.5141,0.7903,0.4613,0.6359,0.8333,1.0929,0.15165000000000006,0.3161,0.5638,0.4239,0.5128,0.683,0.8957,0.7175,1.0598,0.641,0.9563,0.4215,0.7175,0.6359,0.641,3.2534,2.7298,2.6179,3.2892,2.8347,3.2534
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,14.6338,14.3323,14.6247,13.5141,13.2918,0.4613,0.6359,0.8333,1.0929,0.518,-0.5105999999999999,0.5638,0.4239,0.5128,0.683,0.666,0.7175,1.0598,0.641,0.9563,0.962,0.7175,0.6359,0.641,0.7514,3.4129,2.6179,3.2892,2.8347,3.2534,3.4129
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,14.3323,14.6247,13.5141,13.2918,13.0873,0.6359,0.8333,1.0929,0.518,0.5943,-0.5423499999999999,0.4239,0.5128,0.683,0.666,0.9339,1.0598,0.641,0.9563,0.962,0.5943,0.6359,0.641,0.7514,0.222,3.1005,3.2892,2.8347,3.2534,3.4129,3.1005
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,14.6247,13.5141,13.2918,13.0873,13.3957,0.8333,1.0929,0.518,0.5943,0.7976,-0.44274999999999987,0.5128,0.683,0.666,0.9339,0.5522,0.641,0.9563,0.962,0.5943,1.2885,0.641,0.7514,0.222,0.7641,3.7679,2.8347,3.2534,3.4129,3.1005,3.7679
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,13.5141,13.2918,13.0873,13.3957,12.2365,1.0929,0.518,0.5943,0.7976,0.6286,-0.58405,0.683,0.666,0.9339,0.5522,0.6915,0.9563,0.962,0.5943,1.2885,1.0058,0.7514,0.222,0.7641,0.7363,4.0314,3.2534,3.4129,3.1005,3.7679,4.0314
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,10.7878,13.7154,13.9978,14.3383,15.815,0.6783,0.6015,0.7037,0.9048,0.6477,-0.1622499999999999,0.0678,0.3828,0.2559,0.622,0.2776,1.0174,1.203,1.7274,1.3572,1.2029,0.8139,0.6562,0.5758,1.3006,2.8801,2.6019,2.8676,3.0082,3.3924,2.8801
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,13.7154,13.9978,14.3383,15.815,14.3285,0.6015,0.7037,0.9048,0.6477,0.5234,-0.37144999999999995,0.3828,0.2559,0.622,0.2776,0.1745,1.203,1.7274,1.3572,1.2029,0.7852,0.6562,0.5758,1.3006,0.8328,2.5535,2.8676,3.0082,3.3924,2.8801,2.5535
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,13.9978,14.3383,15.815,14.3285,14.7319,0.7037,0.9048,0.6477,0.5234,0.6954,-0.24795,0.2559,0.622,0.2776,0.1745,0.3973,1.7274,1.3572,1.2029,0.7852,1.192,0.5758,1.3006,0.8328,0.9596,3.1092,3.0082,3.3924,2.8801,2.5535,3.1092
