,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 PP A1/60,Y2 PP A1/60,Y3 PP A1/60,Y4 PP A1/60,Y5 PP A1/60,Y5 dPP A1/60,Y1 PP A2/60,Y2 PP A2/60,Y3 PP A2/60,Y4 PP A2/60,Y5 PP A2/60,Y5 dPP A2/60,Y1 PP Rebounds Created/60,Y2 PP Rebounds Created/60,Y3 PP Rebounds Created/60,Y4 PP Rebounds Created/60,Y5 PP Rebounds Created/60,Y1 PP oixGF/60,Y2 PP oixGF/60,Y3 PP oixGF/60,Y4 PP oixGF/60,Y5 PP oixGF/60
Brendan Gallagher 2021,Brendan Gallagher,2021,R,28.406,69,186,64.0,82.0,82.0,69,51,2.0513,2.4472,2.4628,2.0367,1.9329,0.7924,0.4348,0.4214,0.7572,0.3974,0.4322,0.3261,0.4214,0.413,0.7947,0.0,1.495,0.2971,0.4993,0.0,-0.5728500000000001,0.9141,1.196,0.5942,1.4979,0.0,-1.0505499999999999,0.457,3.887,0.5942,0.4993,0.8869,5.4843,9.2153,5.4162,5.7071,6.3149
Brendan Gallagher 2022,Brendan Gallagher,2022,R,29.405,69,186,82.0,82.0,69.0,51,56,2.4472,2.4628,2.0367,1.9329,2.386,0.4348,0.4214,0.7572,0.3974,0.9399,0.3261,0.4214,0.413,0.7947,0.3418,1.495,0.2971,0.4993,0.0,0.449,-0.12385000000000007,1.196,0.5942,1.4979,0.0,0.449,-0.373025,3.887,0.5942,0.4993,0.8869,0.8981,9.2153,5.4162,5.7071,6.3149,6.0217
Brendan Gallagher 2023,Brendan Gallagher,2023,R,30.405,69,186,82.0,69.0,51.0,56,37,2.4628,2.0367,1.9329,2.386,1.8595,0.4214,0.7572,0.3974,0.9399,0.5225,0.4214,0.413,0.7947,0.3418,0.0,0.2971,0.4993,0.0,0.449,0.8721,0.56075,0.5942,1.4979,0.0,0.449,0.8721,0.23682499999999995,0.5942,0.4993,0.8869,0.8981,0.8721,5.4162,5.7071,6.3149,6.0217,3.4273
Mark Stone 2016,Mark Stone,2016,R,23.385,75,217,,6.0,19.0,80,75,,0.4042,1.4,2.3965,2.9933,,0.0,0.7403,1.1333,0.7549,,0.0,0.2468,0.5667,0.5536,,0.0,0.0,0.6259,1.069,0.8603666666666666,,0.0,0.0,1.8778,1.6036,0.9776666666666666,,0.0,2.2556,1.2518,0.2673,,0.0,11.3684,7.0823,5.8102
Mark Stone 2017,Mark Stone,2017,R,24.387,75,217,6.0,19.0,80.0,75,71,0.4042,1.4,2.3965,2.9933,3.0594,0.0,0.7403,1.1333,0.7549,0.7122,0.0,0.2468,0.5667,0.5536,0.6026,0.0,0.0,0.6259,1.069,1.1049,0.681175,0.0,0.0,1.8778,1.6036,1.1049,0.23455000000000004,0.0,2.2556,1.2518,0.2673,1.3811,0.0,11.3684,7.0823,5.8102,6.9967
Mark Stone 2018,Mark Stone,2018,R,25.386,75,217,19.0,80.0,75.0,71,58,1.4,2.3965,2.9933,3.0594,3.1075,0.7403,1.1333,0.7549,0.7122,1.0754,0.2468,0.5667,0.5536,0.6026,0.8856,0.0,0.6259,1.069,1.1049,2.9961,2.2961500000000004,0.0,1.8778,1.6036,1.1049,0.3329,-0.8136749999999999,2.2556,1.2518,0.2673,1.3811,1.6645,11.3684,7.0823,5.8102,6.9967,7.3704
Mark Stone 2019,Mark Stone,2019,R,26.385,75,217,80.0,75.0,71.0,58,77,2.3965,2.9933,3.0594,3.1075,2.539,1.1333,0.7549,0.7122,1.0754,0.7687,0.5667,0.5536,0.6026,0.8856,0.4804,0.6259,1.069,1.1049,2.9961,2.7621,1.313125,1.8778,1.6036,1.1049,0.3329,1.5345,0.30469999999999997,1.2518,0.2673,1.3811,1.6645,2.4552,7.0823,5.8102,6.9967,7.3704,7.9765
Mark Stone 2020,Mark Stone,2020,R,27.385,75,217,75.0,71.0,58.0,77,76,2.9933,3.0594,3.1075,2.539,2.5213,0.7549,0.7122,1.0754,0.7687,1.3004,0.5536,0.6026,0.8856,0.4804,0.5573,1.069,1.1049,2.9961,2.7621,2.1967,0.21367499999999984,1.6036,1.1049,0.3329,1.5345,1.8306,0.686625,0.2673,1.3811,1.6645,2.4552,2.1967,5.8102,6.9967,7.3704,7.9765,8.2961
Mark Stone 2021,Mark Stone,2021,R,28.387,75,217,71.0,58.0,77.0,76,80,3.0594,3.1075,2.539,2.5213,2.9848,0.7122,1.0754,0.7687,1.3004,1.4779,0.6026,0.8856,0.4804,0.5573,0.6651,1.1049,2.9961,2.7621,2.1967,2.1929,-0.07205000000000039,1.1049,0.3329,1.5345,1.8306,1.8274,0.6266749999999999,1.3811,1.6645,2.4552,2.1967,0.731,6.9967,7.3704,7.9765,8.2961,8.2416
Mark Stone 2022,Mark Stone,2022,R,29.386,75,217,58.0,77.0,76.0,80,37,3.1075,2.539,2.5213,2.9848,2.6815,1.0754,0.7687,1.3004,1.4779,1.3001,0.8856,0.4804,0.5573,0.6651,0.5417,2.9961,2.7621,2.1967,2.1929,1.2095,-1.32745,0.3329,1.5345,1.8306,1.8274,0.6047,-0.7766499999999998,1.6645,2.4552,2.1967,0.731,1.2095,7.3704,7.9765,8.2961,8.2416,9.0529
Mark Stone 2023,Mark Stone,2023,R,30.385,75,217,77.0,76.0,80.0,37,43,2.539,2.5213,2.9848,2.6815,2.7109,0.7687,1.3004,1.4779,1.3001,0.8127,0.4804,0.5573,0.6651,0.5417,0.5418,2.7621,2.1967,2.1929,1.2095,2.0589,-0.031400000000000095,1.5345,1.8306,1.8274,0.6047,1.0295,-0.41979999999999995,2.4552,2.1967,0.731,1.2095,0.5147,7.9765,8.2961,8.2416,9.0529,8.5136
Ondrej Palat 2015,Ondrej Palat,2015,L,23.513,72,194,,,23.0,81,75,,,0.3869,1.6465,2.3336,,,0.0,0.9325,1.1401,,,0.811,0.4144,1.1401,,,0.0,2.6993,1.7141,0.36444999999999994,,,0.0,0.8998,1.0285,0.5786,,,0.0,2.2494,0.3428,,,0.5538,5.7946,4.2784
Ondrej Palat 2016,Ondrej Palat,2016,L,24.513,72,194,,23.0,81.0,75,62,,0.3869,1.6465,2.3336,2.725,,0.0,0.9325,1.1401,0.9136,,0.811,0.4144,1.1401,0.2811,,0.0,2.6993,1.7141,0.7103,-0.7608333333333334,,0.0,0.8998,1.0285,1.4205,0.7777333333333334,,0.0,2.2494,0.3428,1.7757,,0.5538,5.7946,4.2784,6.2752
Ondrej Palat 2017,Ondrej Palat,2017,L,25.515,72,194,23.0,81.0,75.0,62,75,0.3869,1.6465,2.3336,2.725,2.7558,0.0,0.9325,1.1401,0.9136,0.7095,0.811,0.4144,1.1401,0.2811,0.6549,0.0,2.6993,1.7141,0.7103,1.1612,-0.11972500000000008,0.0,0.8998,1.0285,1.4205,1.7418,0.9046,0.0,2.2494,0.3428,1.7757,0.8709,0.5538,5.7946,4.2784,6.2752,6.9469
Ondrej Palat 2018,Ondrej Palat,2018,L,26.514,72,194,81.0,75.0,62.0,75,56,1.6465,2.3336,2.725,2.7558,2.1161,0.9325,1.1401,0.9136,0.7095,0.7003,0.4144,1.1401,0.2811,0.6549,0.7782,2.6993,1.7141,0.7103,1.1612,1.0127,-0.5585250000000002,0.8998,1.0285,1.4205,1.7418,1.519,0.24634999999999985,2.2494,0.3428,1.7757,0.8709,1.519,5.7946,4.2784,6.2752,6.9469,7.4076
Ondrej Palat 2019,Ondrej Palat,2019,L,27.513,72,194,75.0,62.0,75.0,56,64,2.3336,2.725,2.7558,2.1161,2.013,1.1401,0.9136,0.7095,0.7003,0.5152,1.1401,0.2811,0.6549,0.7782,0.9568,1.7141,0.7103,1.1612,1.0127,1.8629,0.713325,1.0285,1.4205,1.7418,1.519,0.9314,-0.4960499999999999,0.3428,1.7757,0.8709,1.519,0.4657,4.2784,6.2752,6.9469,7.4076,6.9252
Ondrej Palat 2020,Ondrej Palat,2020,L,28.513,72,194,62.0,75.0,56.0,64,81,2.725,2.7558,2.1161,2.013,1.2862,0.9136,0.7095,0.7003,0.5152,0.8713,0.2811,0.6549,0.7782,0.9568,0.3734,0.7103,1.1612,1.0127,1.8629,2.0282,0.8414250000000001,1.4205,1.7418,1.519,0.9314,0.6761,-0.727075,1.7757,0.8709,1.519,0.4657,0.6761,6.2752,6.9469,7.4076,6.9252,6.382
Ondrej Palat 2021,Ondrej Palat,2021,L,29.515,72,194,75.0,56.0,64.0,81,80,2.7558,2.1161,2.013,1.2862,3.1703,0.7095,0.7003,0.5152,0.8713,0.7716,0.6549,0.7782,0.9568,0.3734,0.6173,1.1612,1.0127,1.8629,2.0282,2.0646,0.5483500000000001,1.7418,1.519,0.9314,0.6761,2.4087,1.1916250000000002,0.8709,1.519,0.4657,0.6761,0.6882,6.9469,7.4076,6.9252,6.382,6.7788
Ondrej Palat 2022,Ondrej Palat,2022,L,30.514,72,194,56.0,64.0,81.0,80,77,2.1161,2.013,1.2862,3.1703,2.0781,0.7003,0.5152,0.8713,0.7716,0.888,0.7782,0.9568,0.3734,0.6173,0.4995,1.0127,1.8629,2.0282,2.0646,0.375,-1.3671,1.519,0.9314,0.6761,2.4087,1.4998,0.1160000000000001,1.519,0.4657,0.6761,0.6882,0.375,7.4076,6.9252,6.382,6.7788,6.2543
Ondrej Palat 2023,Ondrej Palat,2023,L,31.514,72,194,64.0,81.0,80.0,77,49,2.013,1.2862,3.1703,2.0781,1.5524,0.5152,0.8713,0.7716,0.888,0.7063,0.9568,0.3734,0.6173,0.4995,0.4414,1.8629,2.0282,2.0646,0.375,1.5776,-0.005075000000000163,0.9314,0.6761,2.4087,1.4998,0.0,-1.379,0.4657,0.6761,0.6882,0.375,1.5776,6.9252,6.382,6.7788,6.2543,6.3418
Travis Boyd 2022,Travis Boyd,2022,C,28.047,72,190,8.0,53.0,28.0,57,74,0.0104,0.2638,0.8694,0.9846,1.65,0.8509,1.0071,1.1919,0.3181,0.5137,0.0,0.6295,0.2384,0.4772,0.3996,0.0,4.2908,0.0,0.0,0.9828,-0.08989999999999998,0.0,4.2908,2.8754,0.0,0.0,-1.79155,0.0,4.2908,0.0,0.0,0.9828,0.0,7.8093,6.9872,4.1875,5.3219
Travis Boyd 2023,Travis Boyd,2023,C,29.047,72,190,53.0,28.0,57.0,74,82,0.2638,0.8694,0.9846,1.65,2.323,1.0071,1.1919,0.3181,0.5137,0.2774,0.6295,0.2384,0.4772,0.3996,0.3329,4.2908,0.0,0.0,0.9828,1.26,-0.05840000000000001,4.2908,2.8754,0.0,0.0,1.26,-0.53155,4.2908,0.0,0.0,0.9828,1.26,7.8093,6.9872,4.1875,5.3219,5.3139
Johnny Gaudreau 2016,Johnny Gaudreau,2016,L,22.133,69,165,,,1.0,80,79,,,1.5167,2.8067,3.6019,,,0.0,0.7553,0.9364,,,0.0,0.6042,0.6086,,,0.0,2.405,2.3195,1.1170000000000002,,,0.0,1.0689,0.8434,0.30895000000000006,,,0.0,0.5344,1.2652,,,10.2857,7.6024,7.1523
Johnny Gaudreau 2017,Johnny Gaudreau,2017,L,23.135,69,165,,1.0,80.0,79,72,,1.5167,2.8067,3.6019,3.1979,,0.0,0.7553,0.9364,1.2558,,0.0,0.6042,0.6086,0.4368,,0.0,2.405,2.3195,1.8241,0.24926666666666675,,0.0,1.0689,0.8434,1.3029,0.6654666666666667,,0.0,0.5344,1.2652,1.5635,,10.2857,7.6024,7.1523,7.6508
Johnny Gaudreau 2018,Johnny Gaudreau,2018,L,24.135,69,165,1.0,80.0,79.0,72,80,1.5167,2.8067,3.6019,3.1979,3.5404,0.0,0.7553,0.9364,1.2558,1.1357,0.0,0.6042,0.6086,0.4368,0.7098,0.0,2.405,2.3195,1.8241,2.1184,0.48124999999999973,0.0,1.0689,0.8434,1.3029,2.3302,1.5264000000000002,0.0,0.5344,1.2652,1.5635,4.6605,10.2857,7.6024,7.1523,7.6508,9.8209
Johnny Gaudreau 2019,Johnny Gaudreau,2019,L,25.134,69,165,80.0,79.0,72.0,80,82,2.8067,3.6019,3.1979,3.5404,3.3498,0.7553,0.9364,1.2558,1.1357,1.2709,0.6042,0.6086,0.4368,0.7098,0.5697,2.405,2.3195,1.8241,2.1184,2.1843,0.017549999999999955,1.0689,0.8434,1.3029,2.3302,2.4028,1.01645,0.5344,1.2652,1.5635,4.6605,0.6553,7.6024,7.1523,7.6508,9.8209,8.01
Johnny Gaudreau 2020,Johnny Gaudreau,2020,L,26.134,69,165,79.0,72.0,80.0,82,82,3.6019,3.1979,3.5404,3.3498,2.8912,0.9364,1.2558,1.1357,1.2709,0.8677,0.6086,0.4368,0.7098,0.5697,0.6507,2.3195,1.8241,2.1184,2.1843,2.3717,0.26012499999999994,0.8434,1.3029,2.3302,2.4028,1.1859,-0.533925,1.2652,1.5635,4.6605,0.6553,0.5929,7.1523,7.6508,9.8209,8.01,7.382
Johnny Gaudreau 2021,Johnny Gaudreau,2021,L,27.136,69,165,72.0,80.0,82.0,82,82,3.1979,3.5404,3.3498,2.8912,3.4042,1.2558,1.1357,1.2709,0.8677,1.0104,0.4368,0.7098,0.5697,0.6507,0.2887,1.8241,2.1184,2.1843,2.3717,2.5179,0.39327500000000004,1.3029,2.3302,2.4028,1.1859,1.259,-0.5464500000000001,1.5635,4.6605,0.6553,0.5929,0.3147,7.6508,9.8209,8.01,7.382,7.3051
Johnny Gaudreau 2022,Johnny Gaudreau,2022,L,28.135,69,165,80.0,82.0,82.0,82,82,3.5404,3.3498,2.8912,3.4042,2.9589,1.1357,1.2709,0.8677,1.0104,2.026,0.7098,0.5697,0.6507,0.2887,0.6125,2.1184,2.1843,2.3717,2.5179,2.2256,-0.07247499999999985,2.3302,2.4028,1.1859,1.259,2.4729,0.6784250000000001,4.6605,0.6553,0.5929,0.3147,2.7202,9.8209,8.01,7.382,7.3051,9.5774
Johnny Gaudreau 2023,Johnny Gaudreau,2023,L,29.134,69,165,82.0,82.0,82.0,82,80,3.3498,2.8912,3.4042,2.9589,3.1685,1.2709,0.8677,1.0104,2.026,0.8777,0.5697,0.6507,0.2887,0.6125,0.6005,2.1843,2.3717,2.5179,2.2256,2.6037,0.2788249999999999,2.4028,1.1859,1.259,2.4729,2.367,0.53685,0.6553,0.5929,0.3147,2.7202,1.6569,8.01,7.382,7.3051,9.5774,8.7864
Vincent Trocheck 2017,Vincent Trocheck,2017,C,23.226,71,184,,20.0,50.0,76,82,,2.5558,0.8997,2.6928,2.7335,,0.2135,1.1053,0.7188,0.3165,,0.4271,0.2763,0.3318,0.5877,,0.0,0.0,1.1727,2.1414,1.7505,,0.0,0.0,1.4659,0.5354,0.04676666666666668,,0.0,0.0,1.1727,1.0707,,6.6436,7.0026,6.0836,6.9355
Vincent Trocheck 2018,Vincent Trocheck,2018,C,24.225,71,184,20.0,50.0,76.0,82,82,2.5558,0.8997,2.6928,2.7335,3.4768,0.2135,1.1053,0.7188,0.3165,0.7287,0.4271,0.2763,0.3318,0.5877,0.5921,0.0,0.0,1.1727,2.1414,1.0523,0.22377500000000006,0.0,0.0,1.4659,0.5354,1.8941,1.3937749999999998,0.0,0.0,1.1727,1.0707,0.6314,6.6436,7.0026,6.0836,6.9355,8.6075
Vincent Trocheck 2019,Vincent Trocheck,2019,C,25.225,71,184,50.0,76.0,82.0,82,55,0.8997,2.6928,2.7335,3.4768,2.4473,1.1053,0.7188,0.3165,0.7287,0.4908,0.2763,0.3318,0.5877,0.5921,0.4908,0.0,1.1727,2.1414,1.0523,1.7831,0.6914999999999998,0.0,1.4659,0.5354,1.8941,2.6746,1.7007499999999998,0.0,1.1727,1.0707,0.6314,1.7831,7.0026,6.0836,6.9355,8.6075,7.2749
Vincent Trocheck 2020,Vincent Trocheck,2020,C,26.224,71,184,76.0,82.0,82.0,55,73,2.6928,2.7335,3.4768,2.4473,1.9581,0.7188,0.3165,0.7287,0.4908,1.0228,0.3318,0.5877,0.5921,0.4908,0.4091,1.1727,2.1414,1.0523,1.7831,0.9885,-0.5488749999999999,1.4659,0.5354,1.8941,2.6746,1.9769,0.33440000000000025,1.1727,1.0707,0.6314,1.7831,0.9885,6.0836,6.9355,8.6075,7.2749,6.5535
Vincent Trocheck 2021,Vincent Trocheck,2021,C,27.226,71,184,82.0,82.0,55.0,73,68,2.7335,3.4768,2.4473,1.9581,2.8447,0.3165,0.7287,0.4908,1.0228,0.8034,0.5877,0.5921,0.4908,0.4091,0.5356,2.1414,1.0523,1.7831,0.9885,2.2438,0.7524749999999998,0.5354,1.8941,2.6746,1.9769,2.6926,0.9223500000000002,1.0707,0.6314,1.7831,0.9885,0.8975,6.9355,8.6075,7.2749,6.5535,8.7868
Vincent Trocheck 2022,Vincent Trocheck,2022,C,28.225,71,184,82.0,55.0,73.0,68,81,3.4768,2.4473,1.9581,2.8447,2.8879,0.7287,0.4908,1.0228,0.8034,0.6734,0.5921,0.4908,0.4091,0.5356,0.6734,1.0523,1.7831,0.9885,2.2438,1.026,-0.49092499999999983,1.8941,2.6746,1.9769,2.6926,0.513,-1.7965499999999999,0.6314,1.7831,0.9885,0.8975,0.7695,8.6075,7.2749,6.5535,8.7868,8.8211
Vincent Trocheck 2023,Vincent Trocheck,2023,C,29.225,71,184,55.0,73.0,68.0,81,82,2.4473,1.9581,2.8447,2.8879,2.9614,0.4908,1.0228,0.8034,0.6734,1.1281,0.4908,0.4091,0.5356,0.6734,0.47,1.7831,0.9885,2.2438,1.026,0.7412,-0.7691499999999999,2.6746,1.9769,2.6926,0.513,1.2354,-0.7288749999999999,1.7831,0.9885,0.8975,0.7695,3.4592,7.2749,6.5535,8.7868,8.8211,10.7629
Joseph Cramarossa 2023,Joseph Cramarossa,2023,C,29.931,73,190,,,5.0,1,4,,,0.0667,,,,,1.4019,0.0,0.0,,,0.0,8.6747,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,15.75,,
Adam Lowry 2022,Adam Lowry,2022,C,28.51,78,208,45.0,78.0,57.0,76,79,0.7989,0.1066,0.2323,0.8375,0.9078,0.8849,0.2511,0.1968,0.5685,0.1868,0.4425,0.3139,0.2953,0.5685,0.0623,0.0,0.0,0.0,1.3777,0.8366,0.49217500000000003,1.669,0.0,0.0,1.3777,0.8366,0.07492500000000002,0.0,0.0,0.0,1.3777,0.8366,4.9235,1.0822,9.3821,6.5855,6.5006
Adam Lowry 2023,Adam Lowry,2023,C,29.509,78,208,78.0,57.0,76.0,79,82,0.1066,0.2323,0.8375,0.9078,1.3624,0.2511,0.1968,0.5685,0.1868,0.6109,0.3139,0.2953,0.5685,0.0623,0.5498,0.0,0.0,1.3777,0.8366,0.5371,-0.016474999999999906,0.0,0.0,1.3777,0.8366,0.5371,-0.016474999999999906,0.0,0.0,1.3777,0.8366,2.6854,1.0822,9.3821,6.5855,6.5006,6.3804
Nick Cousins 2020,Nick Cousins,2020,C,26.199,71,192,36.0,60.0,71.0,81,76,0.4213,1.1861,0.3779,0.8786,1.5785,0.3235,0.3707,0.1359,0.5854,0.6974,0.1617,0.4634,0.3397,0.4683,0.31,0.0,0.8431,0.0,1.6862,0.5848,-0.04752500000000004,7.9121,0.0,0.0,0.0,0.5848,-1.393225,0.0,2.5293,0.0,0.0,1.1696,2.0967,3.6253,6.1714,5.0754,6.3977
Nick Cousins 2021,Nick Cousins,2021,C,27.201,71,192,60.0,71.0,81.0,76,74,1.1861,0.3779,0.8786,1.5785,1.6765,0.3707,0.1359,0.5854,0.6974,0.3031,0.4634,0.3397,0.4683,0.31,0.6061,0.8431,0.0,1.6862,0.5848,2.1053,1.3267750000000003,0.0,0.0,0.0,0.5848,0.7018,0.5556,2.5293,0.0,0.0,1.1696,0.7018,3.6253,6.1714,5.0754,6.3977,5.4596
Nick Cousins 2022,Nick Cousins,2022,C,28.201,71,192,71.0,81.0,76.0,74,68,0.3779,0.8786,1.5785,1.6765,1.6591,0.1359,0.5854,0.6974,0.3031,0.4916,0.3397,0.4683,0.31,0.6061,0.4916,0.0,1.6862,0.5848,2.1053,0.5318,-0.5622750000000001,0.0,0.0,0.5848,0.7018,0.0,-0.32165,0.0,0.0,1.1696,0.7018,1.5955,6.1714,5.0754,6.3977,5.4596,5.3822
Steven Fogarty 2019,Steven Fogarty,2019,C,25.452,75,204,,,,1,10,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Steven Fogarty 2020,Steven Fogarty,2020,C,26.451,75,204,,,1.0,10,8,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Josh Leivo 2020,Josh Leivo,2020,L,26.35,74,192,12.0,13.0,16.0,76,42,2.6639,1.9179,1.8792,2.2752,1.8042,0.0,2.1723,0.4316,0.336,0.5093,0.0,0.4345,0.8632,0.0672,0.5093,0.0,2.4064,0.0,1.041,1.8476,0.9857499999999999,0.0,2.4064,0.0,0.347,1.8476,1.15925,0.0,2.4064,0.0,1.7349,1.8476,5.2179,10.7326,7.6031,6.4852,5.127
Jean-Gabriel Pageau 2021,Jean-Gabriel Pageau,2021,C,27.889,71,185,82.0,78.0,39.0,79,79,0.3417,1.0335,0.9103,1.7876,1.8096,0.4308,0.3364,0.5153,0.2368,0.5727,0.5923,0.4485,0.3092,0.2368,0.3273,0.0,0.7443,0.0,1.5029,0.614,0.052200000000000024,0.0,0.0,0.0,1.0019,1.228,0.977525,4.2832,2.2328,1.6901,1.0019,0.614,4.2403,5.3513,6.0,6.698,6.9753
Jean-Gabriel Pageau 2022,Jean-Gabriel Pageau,2022,C,28.888,71,185,78.0,39.0,79.0,79,77,1.0335,0.9103,1.7876,1.8096,2.079,0.3364,0.5153,0.2368,0.5727,0.3431,0.4485,0.3092,0.2368,0.3273,0.4575,0.7443,0.0,1.5029,0.614,0.3748,-0.3404999999999999,0.0,0.0,1.0019,1.228,1.1244,0.5669250000000001,2.2328,1.6901,1.0019,0.614,1.1244,5.3513,6.0,6.698,6.9753,7.5598
Jean-Gabriel Pageau 2023,Jean-Gabriel Pageau,2023,C,29.887,71,185,39.0,79.0,79.0,77,70,0.9103,1.7876,1.8096,2.079,2.364,0.5153,0.2368,0.5727,0.3431,0.8379,0.3092,0.2368,0.3273,0.4575,0.6446,0.0,1.5029,0.614,0.3748,0.3626,-0.260325,0.0,1.0019,1.228,1.1244,0.7251,-0.1134750000000001,1.6901,1.0019,0.614,1.1244,1.4503,6.0,6.698,6.9753,7.5598,8.0782
Boone Jenner 2015,Boone Jenner,2015,C,21.296,74,203,,,,72,31,,,,0.9215,2.2016,,,,0.3805,0.5249,,,,0.2537,0.1312,,,,1.8086,1.7582,-0.0504,,,,0.9043,0.8791,-0.0252,,,,2.7129,3.5165,,,,8.3919,7.2879
Boone Jenner 2016,Boone Jenner,2016,C,22.295,74,203,,,72.0,31,82,,,0.9215,2.2016,2.0762,,,0.3805,0.5249,0.4666,,,0.2537,0.1312,0.2592,,,1.8086,1.7582,1.0573,-0.7261,,,0.9043,0.8791,0.7048,-0.18689999999999996,,,2.7129,3.5165,2.8194,,,8.3919,7.2879,7.5489
Boone Jenner 2017,Boone Jenner,2017,C,23.297,74,203,,72.0,31.0,82,82,,0.9215,2.2016,2.0762,1.1498,,0.3805,0.5249,0.4666,0.4164,,0.2537,0.1312,0.2592,0.3643,,1.8086,1.7582,1.0573,0.6364,-0.9049666666666666,,0.9043,0.8791,0.7048,0.0,-0.8294,,2.7129,3.5165,2.8194,0.6364,,8.3919,7.2879,7.5489,4.181
Boone Jenner 2018,Boone Jenner,2018,C,24.296,74,203,72.0,31.0,82.0,82,75,0.9215,2.2016,2.0762,1.1498,1.3187,0.3805,0.5249,0.4666,0.4164,0.6183,0.2537,0.1312,0.2592,0.3643,0.3935,1.8086,1.7582,1.0573,0.6364,0.6067,-0.7084249999999999,0.9043,0.8791,0.7048,0.0,0.0,-0.62205,2.7129,3.5165,2.8194,0.6364,1.82,8.3919,7.2879,7.5489,4.181,4.5743
Boone Jenner 2019,Boone Jenner,2019,C,25.296,74,203,31.0,82.0,82.0,75,77,2.2016,2.0762,1.1498,1.3187,1.5989,0.5249,0.4666,0.4164,0.6183,0.8902,0.1312,0.2592,0.3643,0.3935,0.2225,1.7582,1.0573,0.6364,0.6067,0.0,-1.01465,0.8791,0.7048,0.0,0.0,0.9747,0.578725,3.5165,2.8194,0.6364,1.82,0.4873,7.2879,7.5489,4.181,4.5743,4.4153
Boone Jenner 2020,Boone Jenner,2020,C,26.295,74,203,82.0,82.0,75.0,77,82,2.0762,1.1498,1.3187,1.5989,1.7429,0.4666,0.4164,0.6183,0.8902,0.2953,0.2592,0.3643,0.3935,0.2225,0.2953,1.0573,0.6364,0.6067,0.0,0.9836,0.4085000000000001,0.7048,0.0,0.0,0.9747,0.0,-0.419875,2.8194,0.6364,1.82,0.4873,1.4754,7.5489,4.181,4.5743,4.4153,5.7885
Boone Jenner 2021,Boone Jenner,2021,C,27.297,74,203,82.0,75.0,77.0,82,60,1.1498,1.3187,1.5989,1.7429,1.435,0.4164,0.6183,0.8902,0.2953,0.505,0.3643,0.3935,0.2225,0.2953,0.404,0.6364,0.6067,0.0,0.9836,0.0,-0.556675,0.0,0.0,0.9747,0.0,0.0,-0.243675,0.6364,1.82,0.4873,1.4754,0.0,4.181,4.5743,4.4153,5.7885,4.2221
Boone Jenner 2022,Boone Jenner,2022,C,28.296,74,203,75.0,77.0,82.0,60,59,1.3187,1.5989,1.7429,1.435,2.9831,0.6183,0.8902,0.2953,0.505,0.6428,0.3935,0.2225,0.2953,0.404,0.5785,0.6067,0.0,0.9836,0.0,0.3409,-0.05667500000000003,0.0,0.9747,0.0,0.0,0.3409,0.09722499999999998,1.82,0.4873,1.4754,0.0,0.6818,4.5743,4.4153,5.7885,4.2221,6.6239
Boone Jenner 2023,Boone Jenner,2023,C,29.296,74,203,77.0,82.0,60.0,59,68,1.5989,1.7429,1.435,2.9831,3.0963,0.8902,0.2953,0.505,0.6428,0.4838,0.2225,0.2953,0.404,0.5785,0.3225,0.0,0.9836,0.0,0.3409,0.5699,0.23877499999999996,0.9747,0.0,0.0,0.3409,0.5699,0.241,0.4873,1.4754,0.0,0.6818,1.9948,4.4153,5.7885,4.2221,6.6239,9.27
Brandon Saad 2014,Brandon Saad,2014,L,20.929,73,215,,,2.0,78,78,,,1.3667,1.5326,1.8179,,,0.0,1.0199,0.8945,,,0.0,0.2781,0.2236,,,0.0,0.0,1.2694,1.2694,,,0.0,2.5532,1.2694,-0.007199999999999873,,,0.0,0.8511,1.2694,,,3.2927,4.1702,5.708
Brandon Saad 2015,Brandon Saad,2015,L,21.928,73,215,,2.0,78.0,78,82,,1.3667,1.5326,1.8179,2.1864,,0.0,1.0199,0.8945,0.6271,,0.0,0.2781,0.2236,0.4704,,0.0,0.0,1.2694,1.3387,0.9155666666666666,,0.0,2.5532,1.2694,1.3387,0.0645,,0.0,0.8511,1.2694,0.3347,,3.2927,4.1702,5.708,4.9363
Brandon Saad 2016,Brandon Saad,2016,L,22.927,73,215,2.0,78.0,78.0,82,78,1.3667,1.5326,1.8179,2.1864,2.1132,0.0,1.0199,0.8945,0.6271,0.531,0.0,0.2781,0.2236,0.4704,0.4779,0.0,0.0,1.2694,1.3387,0.364,-0.2880250000000001,0.0,2.5532,1.2694,1.3387,0.364,-0.926325,0.0,0.8511,1.2694,0.3347,0.728,3.2927,4.1702,5.708,4.9363,6.3519
