,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 PP A1/60,Y2 PP A1/60,Y3 PP A1/60,Y4 PP A1/60,Y5 PP A1/60,Y5 dPP A1/60,Y1 PP A2/60,Y2 PP A2/60,Y3 PP A2/60,Y4 PP A2/60,Y5 PP A2/60,Y5 dPP A2/60,Y1 PP Rebounds Created/60,Y2 PP Rebounds Created/60,Y3 PP Rebounds Created/60,Y4 PP Rebounds Created/60,Y5 PP Rebounds Created/60,Y1 PP oixGF/60,Y2 PP oixGF/60,Y3 PP oixGF/60,Y4 PP oixGF/60,Y5 PP oixGF/60
William Karlsson 2022,William Karlsson,2022,C,28.729,72,190,82.0,82.0,74.0,82,67,2.415,2.4217,1.9632,2.7241,2.0052,0.5001,0.6878,0.894,0.679,0.6684,0.8002,0.4422,0.5109,0.6036,0.6076,0.9089,1.2086,0.9702,1.5733,0.4466,-0.7186499999999999,1.5149,0.9064,1.9404,1.1799,0.4466,-0.9388,2.1209,0.6043,0.0,3.1465,1.3398,9.3469,8.2091,8.0334,8.944,8.4451
William Karlsson 2023,William Karlsson,2023,C,29.728,72,190,82.0,74.0,82.0,67,82,2.4217,1.9632,2.7241,2.0052,1.6886,0.6878,0.894,0.679,0.6684,0.6173,0.4422,0.5109,0.6036,0.6076,0.8745,1.2086,0.9702,1.5733,0.4466,1.7333,0.6836250000000001,0.9064,1.9404,1.1799,0.4466,1.3,0.18167500000000003,0.6043,0.0,3.1465,1.3398,2.1666,8.2091,8.0334,8.944,8.4451,9.5893
Nikita Kucherov 2015,Nikita Kucherov,2015,R,21.29,71,181,,,,52,82,,,,1.1929,2.2043,,,,0.5807,0.9194,,,,0.1936,0.4022,,,,0.9672,1.9917,1.0245000000000002,,,,0.0,2.3237,2.3237,,,,0.9672,0.6639,,,,5.3487,4.883
Nikita Kucherov 2016,Nikita Kucherov,2016,R,22.289,71,181,,,52.0,82,77,,,1.1929,2.2043,3.2522,,,0.5807,0.9194,0.7827,,,0.1936,0.4022,0.2609,,,0.9672,1.9917,2.396,0.91655,,,0.0,2.3237,1.4376,0.27574999999999994,,,0.9672,0.6639,0.7188,,,5.3487,4.883,6.1002
Nikita Kucherov 2017,Nikita Kucherov,2017,R,23.292,71,181,,52.0,82.0,77,74,,1.1929,2.2043,3.2522,3.334,,0.5807,0.9194,0.7827,0.9574,,0.1936,0.4022,0.2609,0.5543,,0.9672,1.9917,2.396,2.1887,0.4037333333333333,,0.0,2.3237,1.4376,1.4592,0.20543333333333336,,0.9672,0.6639,0.7188,2.6751,,5.3487,4.883,6.1002,6.3984
Nikita Kucherov 2018,Nikita Kucherov,2018,R,24.291,71,181,52.0,82.0,77.0,74,80,1.1929,2.2043,3.2522,3.334,3.4965,0.5807,0.9194,0.7827,0.9574,0.7819,0.1936,0.4022,0.2609,0.5543,0.7359,0.9672,1.9917,2.396,2.1887,3.432,1.5461,0.0,2.3237,1.4376,1.4592,2.574,1.2688749999999998,0.9672,0.6639,0.7188,2.6751,1.716,5.3487,4.883,6.1002,6.3984,7.454
Nikita Kucherov 2019,Nikita Kucherov,2019,R,25.29,71,181,82.0,77.0,74.0,80,82,2.2043,3.2522,3.334,3.4965,3.7126,0.9194,0.7827,0.9574,0.7819,1.5355,0.4022,0.2609,0.5543,0.7359,0.9032,1.9917,2.396,2.1887,3.432,3.7447,1.2426,2.3237,1.4376,1.4592,2.574,2.7592,0.8105749999999998,0.6639,0.7188,2.6751,1.716,1.3796,4.883,6.1002,6.3984,7.454,6.5591
Nikita Kucherov 2020,Nikita Kucherov,2020,R,26.29,71,181,77.0,74.0,80.0,82,80,3.2522,3.334,3.4965,3.7126,3.51,0.7827,0.9574,0.7819,1.5355,0.8118,0.2609,0.5543,0.7359,0.9032,0.9858,2.396,2.1887,3.432,3.7447,3.2679,0.32755,1.4376,1.4592,2.574,2.7592,2.011,-0.046499999999999986,0.7188,2.6751,1.716,1.3796,1.5083,6.1002,6.3984,7.454,6.5591,6.9054
Nikita Kucherov 2023,Nikita Kucherov,2023,R,29.29,71,181,82.0,80.0,,47,82,3.7126,3.51,,3.8489,4.0037,1.5355,0.8118,,1.1928,1.0457,0.9032,0.9858,,0.6362,0.8183,3.7447,3.2679,,3.9801,4.569,0.9047666666666667,2.7592,2.011,,2.9851,3.1069,0.5217999999999998,1.3796,1.5083,,1.99,1.4621,6.5591,6.9054,,10.2488,9.0813
Ryan Nugent-Hopkins 2013,Ryan Nugent-Hopkins,2013,C,19.472,72,195,,,,62,68,,,,3.0121,3.0354,,,,0.5319,0.4813,,,,0.3989,0.5775,,,,3.5341,2.965,-0.5691000000000002,,,,2.8916,1.4825,-1.4091,,,,2.249,1.4825,,,,6.3325,6.4736
Ryan Nugent-Hopkins 2014,Ryan Nugent-Hopkins,2014,C,20.471,72,195,,,62.0,68,80,,,3.0121,3.0354,2.9979,,,0.5319,0.4813,0.6506,,,0.3989,0.5775,0.4182,,,3.5341,2.965,2.2516,-0.9979500000000003,,,2.8916,1.4825,1.2509,-0.9361500000000003,,,2.249,1.4825,1.0007,,,6.3325,6.4736,6.7747
Ryan Nugent-Hopkins 2015,Ryan Nugent-Hopkins,2015,C,21.471,72,195,,62.0,68.0,80,76,,3.0121,3.0354,2.9979,2.7184,,0.5319,0.4813,0.6506,0.5329,,0.3989,0.5775,0.4182,0.3876,,3.5341,2.965,2.2516,0.8712,-2.0457,,2.8916,1.4825,1.2509,2.6137,0.7387000000000001,,2.249,1.4825,1.0007,1.1617,,6.3325,6.4736,6.7747,7.6205
