,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Kris Letang 2021,Kris Letang,2021,D,33.441,72,201,41.0,79.0,65.0,71,80,3.7175,3.1036,3.2664,3.4571,3.073,-0.3131499999999998
Kris Letang 2022,Kris Letang,2022,D,34.44,72,201,79.0,65.0,71.0,80,78,3.1036,3.2664,3.4571,3.073,3.5019,0.276875
Kris Letang 2023,Kris Letang,2023,D,35.44,72,201,65.0,71.0,80.0,78,64,3.2664,3.4571,3.073,3.5019,3.6115,0.2868999999999997
Anton Stralman 2011,Anton Stralman,2011,D,24.168,71,193,,50.0,38.0,73,51,,1.4637,2.6728,3.6048,2.9618,0.38136666666666663
Anton Stralman 2012,Anton Stralman,2012,D,25.167,71,193,50.0,38.0,73.0,51,53,1.4637,2.6728,3.6048,2.9618,1.2116,-1.4641750000000002
Anton Stralman 2013,Anton Stralman,2013,D,26.169,71,193,38.0,73.0,51.0,53,82,2.6728,3.6048,2.9618,1.2116,1.0778,-1.53495
Anton Stralman 2014,Anton Stralman,2014,D,27.168,71,193,73.0,51.0,53.0,82,81,3.6048,2.9618,1.2116,1.0778,0.3103,-1.9037
Anton Stralman 2015,Anton Stralman,2015,D,28.168,71,193,51.0,53.0,82.0,81,82,2.9618,1.2116,1.0778,0.3103,2.4937,1.103325
Anton Stralman 2016,Anton Stralman,2016,D,29.167,71,193,53.0,82.0,81.0,82,73,1.2116,1.0778,0.3103,2.4937,2.8922,1.61885
Anton Stralman 2017,Anton Stralman,2017,D,30.169,71,193,82.0,81.0,82.0,73,73,1.0778,0.3103,2.4937,2.8922,1.6731,-0.020399999999999974
Anton Stralman 2018,Anton Stralman,2018,D,31.169,71,193,81.0,82.0,73.0,73,80,0.3103,2.4937,2.8922,1.6731,0.404,-1.4383249999999999
Anton Stralman 2019,Anton Stralman,2019,D,32.168,71,193,82.0,73.0,73.0,80,47,2.4937,2.8922,1.6731,0.404,0.0915,-1.77425
Anton Stralman 2020,Anton Stralman,2020,D,33.167,71,193,73.0,73.0,80.0,47,81,2.8922,1.6731,0.404,0.0915,0.1657,-1.0995
Anton Stralman 2021,Anton Stralman,2021,D,34.169,71,193,73.0,80.0,47.0,81,55,1.6731,0.404,0.0915,0.1657,0.7399,0.15632500000000005
Anton Stralman 2022,Anton Stralman,2022,D,35.169,71,193,80.0,47.0,81.0,55,74,0.404,0.0915,0.1657,0.7399,0.1491,-0.201175
Erik Johnson 2011,Erik Johnson,2011,D,22.53,76,225,,69.0,,79,77,,3.6964,,3.2751,2.7374,-0.7483500000000003
Erik Johnson 2012,Erik Johnson,2012,D,23.53,76,225,69.0,,79.0,77,73,3.6964,,3.2751,2.7374,2.3174,-0.9188999999999998
Erik Johnson 2013,Erik Johnson,2013,D,24.532,76,225,,79.0,77.0,73,52,,3.2751,2.7374,2.3174,1.886,-0.8906333333333334
Erik Johnson 2014,Erik Johnson,2014,D,25.531,76,225,79.0,77.0,73.0,52,80,3.2751,2.7374,2.3174,1.886,2.6477,0.09372500000000006
Erik Johnson 2015,Erik Johnson,2015,D,26.531,76,225,77.0,73.0,52.0,80,47,2.7374,2.3174,1.886,2.6477,2.6989,0.3017750000000001
Erik Johnson 2016,Erik Johnson,2016,D,27.53,76,225,73.0,52.0,80.0,47,73,2.3174,1.886,2.6477,2.6989,2.0489,-0.3386
Erik Johnson 2017,Erik Johnson,2017,D,28.532,76,225,52.0,80.0,47.0,73,46,1.886,2.6477,2.6989,2.0489,2.1264,-0.193975
Erik Johnson 2018,Erik Johnson,2018,D,29.531,76,225,80.0,47.0,73.0,46,62,2.6477,2.6989,2.0489,2.1264,1.7753,-0.605175
Erik Johnson 2019,Erik Johnson,2019,D,30.531,76,225,47.0,73.0,46.0,62,80,2.6989,2.0489,2.1264,1.7753,0.3494,-1.812975
Erik Johnson 2020,Erik Johnson,2020,D,31.53,76,225,73.0,46.0,62.0,80,69,2.0489,2.1264,1.7753,0.3494,0.3941,-1.1808999999999998
Erik Johnson 2023,Erik Johnson,2023,D,34.531,76,225,80.0,69.0,5.0,77,63,0.3494,0.3941,0.4917,0.2457,0.0161,-0.354125
Jeff Petry 2013,Jeff Petry,2013,D,24.814,75,209,,,35.0,73,82,,,2.2186,1.2888,0.6139,-1.1397999999999997
Jeff Petry 2014,Jeff Petry,2014,D,25.813,75,209,,35.0,73.0,82,80,,2.2186,1.2888,0.6139,0.8471,-0.5266666666666666
Jeff Petry 2015,Jeff Petry,2015,D,26.813,75,209,35.0,73.0,82.0,80,78,2.2186,1.2888,0.6139,0.8471,1.2863,0.04420000000000002
Jeff Petry 2016,Jeff Petry,2016,D,27.812,75,209,73.0,82.0,80.0,78,51,1.2888,0.6139,0.8471,1.2863,1.7951,0.7860749999999999
