,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK G/60,Y2 PK G/60,Y3 PK G/60,Y4 PK G/60,Y5 PK G/60,Y5 dPK G/60,Y1 PK ixG/60,Y2 PK ixG/60,Y3 PK ixG/60,Y4 PK ixG/60,Y5 PK ixG/60
Aleksander Barkov 2023,Aleksander Barkov,2023,C,27.081,75,215,82.0,77.0,73.0,67,68,2.0764,1.1015,1.4403,2.1256,2.1275,0.0,0.0,0.8331,1.6852,0.4147,-0.21487499999999998,0.5102,0.8519,0.7594,0.672,0.6894
Elias Lindholm 2020,Elias Lindholm,2020,C,24.83,73,202,82.0,72.0,81.0,81,82,0.8165,1.2523,1.3453,2.2877,2.1267,0.0,0.6654,0.0,0.3238,0.0,-0.2473,0.0942,0.8773,0.2377,0.5289,0.1975
Elias Lindholm 2021,Elias Lindholm,2021,C,25.832,73,202,72.0,81.0,81.0,82,82,1.2523,1.3453,2.2877,2.1267,2.3568,0.6654,0.0,0.3238,0.0,0.0,-0.2473,0.8773,0.2377,0.5289,0.1975,0.0583
Elias Lindholm 2022,Elias Lindholm,2022,C,26.832,73,202,81.0,81.0,82.0,82,82,1.3453,2.2877,2.1267,2.3568,2.1291,0.0,0.3238,0.0,0.0,0.3437,0.26275000000000004,0.2377,0.5289,0.1975,0.0583,0.1764
Elias Lindholm 2023,Elias Lindholm,2023,C,27.831,73,202,81.0,82.0,82.0,82,80,2.2877,2.1267,2.3568,2.1291,2.3025,0.3238,0.0,0.0,0.3437,0.3257,0.158825,0.5289,0.1975,0.0583,0.1764,0.9045
Ryan Carpenter 2022,Ryan Carpenter,2022,C,30.703,73,198,52.0,68.0,81.0,57,67,1.3468,1.2517,2.4309,2.2094,1.9209,0.8567,0.7049,0.3577,0.6963,0.0,-0.6539,0.2788,0.0417,0.0635,0.1277,0.1572
Garnet Hathaway 2022,Garnet Hathaway,2022,R,29.857,75,208,59.0,76.0,77.0,82,76,1.1037,1.6921,1.3126,1.3384,1.1579,0.9214,0.9331,0.0,0.0,0.0,-0.463625,0.1351,0.7674,0.1379,0.218,0.5072
Garnet Hathaway 2023,Garnet Hathaway,2023,R,30.856,75,208,76.0,77.0,82.0,76,84,1.6921,1.3126,1.3384,1.1579,1.473,0.9331,0.0,0.0,0.0,0.0,-0.233275,0.7674,0.1379,0.218,0.5072,0.3861
Pierre-Edouard Bellemare 2019,Pierre-Edouard Bellemare,2019,L,33.572,71,198,81.0,74.0,82.0,72,76,2.0646,2.5923,2.7634,2.1398,1.9461,0.0,0.3128,0.0,0.0,0.8114,0.7332,0.2714,0.3134,0.1502,0.2025,0.794
Pierre-Edouard Bellemare 2020,Pierre-Edouard Bellemare,2020,L,34.572,71,198,74.0,82.0,72.0,76,81,2.5923,2.7634,2.1398,1.9461,2.0971,0.3128,0.0,0.0,0.8114,0.8293,0.54825,0.3134,0.1502,0.2025,0.794,0.1569
Pierre-Edouard Bellemare 2021,Pierre-Edouard Bellemare,2021,L,35.574,71,198,82.0,72.0,76.0,81,77,2.7634,2.1398,1.9461,2.0971,2.1211,0.0,0.0,0.8114,0.8293,0.0,-0.410175,0.1502,0.2025,0.794,0.1569,0.0909
Pierre-Edouard Bellemare 2022,Pierre-Edouard Bellemare,2022,L,36.573,71,198,72.0,76.0,81.0,77,80,2.1398,1.9461,2.0971,2.1211,2.5858,0.0,0.8114,0.8293,0.0,0.29,-0.12017500000000003,0.2025,0.794,0.1569,0.0909,0.1097
Pierre-Edouard Bellemare 2023,Pierre-Edouard Bellemare,2023,L,37.573,71,198,76.0,81.0,77.0,80,73,1.9461,2.0971,2.1211,2.5858,2.287,0.8114,0.8293,0.0,0.29,0.0,-0.482675,0.794,0.1569,0.0909,0.1097,0.2413
Tomas Nosek 2022,Tomas Nosek,2022,L,29.082,75,205,67.0,68.0,79.0,55,75,1.5102,1.7078,1.292,1.3404,1.8073,0.593,0.5166,0.6931,0.0,0.0,-0.450675,0.3096,0.1672,0.2549,0.3032,0.0488
Tomas Nosek 2023,Tomas Nosek,2023,L,30.082,75,205,68.0,79.0,55.0,75,66,1.7078,1.292,1.3404,1.8073,2.5477,0.5166,0.6931,0.0,0.0,0.7136,0.411175,0.1672,0.2549,0.3032,0.0488,0.3097
Leon Draisaitl 2022,Leon Draisaitl,2022,C,25.931,74,208,78.0,82.0,83.0,82,80,1.0132,1.1596,0.973,0.639,0.9696,1.5183,1.8931,0.0,1.6768,0.7735,-0.49855000000000016,1.0779,1.7519,0.7398,1.1374,1.6108
Leon Draisaitl 2023,Leon Draisaitl,2023,C,26.93,74,208,82.0,83.0,82.0,80,80,1.1596,0.973,0.639,0.9696,0.6669,1.8931,0.0,1.6768,0.7735,1.1246,0.03875000000000006,1.7519,0.7398,1.1374,1.6108,1.4547
Ivan Barbashev 2023,Ivan Barbashev,2023,C,26.799,73,195,80.0,81.0,55.0,81,82,1.5858,1.6007,1.9658,1.071,0.7774,0.9459,1.0865,0.0,0.6916,0.0,-0.681,0.6708,0.9181,0.1709,1.3325,1.1236
Colin White 2012,Colin White,2012,C,14.667,73,194,57.0,71.0,81.0,69,54,3.3015,3.1214,2.3782,2.786,1.6241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0243,0.0295
Lawson Crouse 2023,Lawson Crouse,2023,L,25.274,76,215,81.0,77.0,74.0,65,77,1.2936,1.4149,2.0101,1.7423,2.2567,1.1452,0.6425,0.0,0.5298,0.0,-0.579375,0.7855,0.4666,0.3779,0.4763,0.2309
Mitchell Marner 2023,Mitchell Marner,2023,R,25.408,72,181,82.0,69.0,80.0,72,80,1.352,2.2322,1.9467,2.0127,2.2862,0.5412,0.0,0.0,1.2421,1.3122,0.866375,1.2235,0.6193,0.8198,1.2236,1.7208
Joel Eriksson Ek 2022,Joel Eriksson Ek,2022,C,24.671,75,207,75.0,58.0,73.0,82,77,1.0716,1.3894,2.0116,1.6577,2.1593,0.0,0.0,0.0,0.0,0.0,0.0,0.1255,0.1315,0.1456,0.1087,0.1943
