,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Alex Goligoski 2014,Alex Goligoski,2014,D,28.173,71,173,69.0,83.0,71.0,80,81,1.5493,1.3456,1.2885,1.4759,2.4794,0.0,0.0,0.6559,0.0,0.0,0.0,0.0,0.0,0.865,0.0
Alex Goligoski 2015,Alex Goligoski,2015,D,29.173,71,173,83.0,71.0,80.0,81,81,1.3456,1.2885,1.4759,2.4794,2.9455,0.0,0.6559,0.0,0.0,0.2515,0.0,0.0,0.865,0.0,0.2515
Alex Goligoski 2016,Alex Goligoski,2016,D,30.172,71,173,71.0,80.0,81.0,81,82,1.2885,1.4759,2.4794,2.9455,2.3362,0.6559,0.0,0.0,0.2515,0.0,0.0,0.865,0.0,0.2515,0.3132
Alex Goligoski 2017,Alex Goligoski,2017,D,31.174,71,173,80.0,81.0,81.0,82,82,1.4759,2.4794,2.9455,2.3362,2.489,0.0,0.0,0.2515,0.0,0.294,0.865,0.0,0.2515,0.3132,0.0
Alex Goligoski 2018,Alex Goligoski,2018,D,32.173,71,173,81.0,81.0,82.0,82,78,2.4794,2.9455,2.3362,2.489,1.9147,0.0,0.2515,0.0,0.294,0.0,0.0,0.2515,0.3132,0.0,0.0
Alex Goligoski 2019,Alex Goligoski,2019,D,33.173,71,173,81.0,82.0,82.0,78,76,2.9455,2.3362,2.489,1.9147,1.5737,0.2515,0.0,0.294,0.0,1.0033,0.2515,0.3132,0.0,0.0,0.0
Alex Goligoski 2020,Alex Goligoski,2020,D,34.172,71,173,82.0,82.0,78.0,76,82,2.3362,2.489,1.9147,1.5737,2.375,0.0,0.294,0.0,1.0033,0.0,0.3132,0.0,0.0,0.0,0.0
Alex Goligoski 2021,Alex Goligoski,2021,D,35.174,71,173,82.0,78.0,76.0,82,82,2.489,1.9147,1.5737,2.375,2.9345,0.294,0.0,1.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Goligoski 2022,Alex Goligoski,2022,D,36.173,71,173,78.0,76.0,82.0,82,72,1.9147,1.5737,2.375,2.9345,1.1551,0.0,1.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2010,Alexander Edler,2010,D,23.448,76,210,,,75.0,80,76,,,1.76,1.6431,2.2033,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alexander Edler 2011,Alexander Edler,2011,D,24.447,76,210,,75.0,80.0,76,51,,1.76,1.6431,2.2033,2.2471,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Alexander Edler 2012,Alexander Edler,2012,D,25.446,76,210,75.0,80.0,76.0,51,82,1.76,1.6431,2.2033,2.2471,2.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2013,Alexander Edler,2013,D,26.448,76,210,80.0,76.0,51.0,82,76,1.6431,2.2033,2.2471,2.2927,1.9874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2014,Alexander Edler,2014,D,27.448,76,210,76.0,51.0,82.0,76,63,2.2033,2.2471,2.2927,1.9874,2.2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2015,Alexander Edler,2015,D,28.447,76,210,51.0,82.0,76.0,63,74,2.2471,2.2927,1.9874,2.2016,2.5851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2016,Alexander Edler,2016,D,29.446,76,210,82.0,76.0,63.0,74,52,2.2927,1.9874,2.2016,2.5851,2.5837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2017,Alexander Edler,2017,D,30.448,76,210,76.0,63.0,74.0,52,68,1.9874,2.2016,2.5851,2.5837,2.5855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2018,Alexander Edler,2018,D,31.448,76,210,63.0,74.0,52.0,68,70,2.2016,2.5851,2.5837,2.5855,2.6686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2019,Alexander Edler,2019,D,32.447,76,210,74.0,52.0,68.0,70,56,2.5851,2.5837,2.5855,2.6686,2.6271,0.0,0.0,0.0,0.0,0.4078,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2020,Alexander Edler,2020,D,33.447,76,210,52.0,68.0,70.0,56,69,2.5837,2.5855,2.6686,2.6271,3.1271,0.0,0.0,0.0,0.4078,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2021,Alexander Edler,2021,D,34.449,76,210,68.0,70.0,56.0,69,76,2.5855,2.6686,2.6271,3.1271,3.4522,0.0,0.0,0.4078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Edler 2022,Alexander Edler,2022,D,35.448,76,210,70.0,56.0,69.0,76,41,2.6686,2.6271,3.1271,3.4522,1.8764,0.0,0.4078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799
Alexander Edler 2023,Alexander Edler,2023,D,36.447,76,210,56.0,69.0,76.0,41,64,2.6271,3.1271,3.4522,1.8764,1.3766,0.4078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7799,0.0
Jack Johnson 2010,Jack Johnson,2010,D,22.717,73,227,,,74.0,41,80,,,2.4968,1.5228,1.6452,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Jack Johnson 2011,Jack Johnson,2011,D,23.716,73,227,,74.0,41.0,80,82,,2.4968,1.5228,1.6452,0.9833,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.7441
Jack Johnson 2012,Jack Johnson,2012,D,24.715,73,227,74.0,41.0,80.0,82,82,2.4968,1.5228,1.6452,0.9833,1.8917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7441,0.0
Jack Johnson 2013,Jack Johnson,2013,D,25.717,73,227,41.0,80.0,82.0,82,75,1.5228,1.6452,0.9833,1.8917,2.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7441,0.0,0.0
Jack Johnson 2014,Jack Johnson,2014,D,26.717,73,227,80.0,82.0,82.0,75,82,1.6452,0.9833,1.8917,2.7845,2.9854,0.0,0.0,0.0,0.0,0.0,0.0,0.7441,0.0,0.0,0.0
Jack Johnson 2015,Jack Johnson,2015,D,27.716,73,227,82.0,82.0,75.0,82,79,0.9833,1.8917,2.7845,2.9854,3.1534,0.0,0.0,0.0,0.0,0.0,0.7441,0.0,0.0,0.0,0.0
Jack Johnson 2016,Jack Johnson,2016,D,28.715,73,227,82.0,75.0,82.0,79,60,1.8917,2.7845,2.9854,3.1534,2.8936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Johnson 2017,Jack Johnson,2017,D,29.717,73,227,75.0,82.0,79.0,60,82,2.7845,2.9854,3.1534,2.8936,2.4197,0.0,0.0,0.0,0.0,0.3024,0.0,0.0,0.0,0.0,0.0
Jack Johnson 2018,Jack Johnson,2018,D,30.717,73,227,82.0,79.0,60.0,82,77,2.9854,3.1534,2.8936,2.4197,2.0926,0.0,0.0,0.0,0.3024,0.0,0.0,0.0,0.0,0.0,0.0
Jack Johnson 2019,Jack Johnson,2019,D,31.716,73,227,79.0,60.0,82.0,77,82,3.1534,2.8936,2.4197,2.0926,2.264,0.0,0.0,0.3024,0.0,0.0,0.0,0.0,0.0,0.0,0.6464
Jack Johnson 2020,Jack Johnson,2020,D,32.715,73,227,60.0,82.0,77.0,82,79,2.8936,2.4197,2.0926,2.264,2.2256,0.0,0.3024,0.0,0.0,0.0,0.0,0.0,0.0,0.6464,0.0
Marc Staal 2010,Marc Staal,2010,D,22.717,76,208,,,80.0,82,82,,,2.16,2.9724,3.5057,,,0.0,0.0,0.0,,,0.3472,0.2462,0.0
Marc Staal 2011,Marc Staal,2011,D,23.716,76,208,,80.0,82.0,82,77,,2.16,2.9724,3.5057,3.1511,,0.0,0.0,0.0,0.4946,,0.3472,0.2462,0.0,0.0
Marc Staal 2012,Marc Staal,2012,D,24.715,76,208,80.0,82.0,82.0,77,46,2.16,2.9724,3.5057,3.1511,1.7315,0.0,0.0,0.0,0.4946,0.0,0.3472,0.2462,0.0,0.0,0.7533
Marc Staal 2013,Marc Staal,2013,D,25.717,76,208,82.0,82.0,77.0,46,35,2.9724,3.5057,3.1511,1.7315,3.1738,0.0,0.0,0.4946,0.0,0.0,0.2462,0.0,0.0,0.7533,0.0
Marc Staal 2014,Marc Staal,2014,D,26.717,76,208,82.0,77.0,46.0,35,72,3.5057,3.1511,1.7315,3.1738,2.0352,0.0,0.4946,0.0,0.0,0.0,0.0,0.0,0.7533,0.0,0.4095
Marc Staal 2015,Marc Staal,2015,D,27.716,76,208,77.0,46.0,35.0,72,80,3.1511,1.7315,3.1738,2.0352,2.2002,0.4946,0.0,0.0,0.0,0.0,0.0,0.7533,0.0,0.4095,0.6818
Marc Staal 2016,Marc Staal,2016,D,28.715,76,208,46.0,35.0,72.0,80,77,1.7315,3.1738,2.0352,2.2002,2.2628,0.0,0.0,0.0,0.0,0.0,0.7533,0.0,0.4095,0.6818,0.0
Marc Staal 2017,Marc Staal,2017,D,29.717,76,208,35.0,72.0,80.0,77,72,3.1738,2.0352,2.2002,2.2628,1.9373,0.0,0.0,0.0,0.0,0.4302,0.0,0.4095,0.6818,0.0,0.0
Marc Staal 2018,Marc Staal,2018,D,30.717,76,208,72.0,80.0,77.0,72,72,2.0352,2.2002,2.2628,1.9373,2.8063,0.0,0.0,0.0,0.4302,0.0,0.4095,0.6818,0.0,0.0,0.0
Marc Staal 2019,Marc Staal,2019,D,31.716,76,208,80.0,77.0,72.0,72,79,2.2002,2.2628,1.9373,2.8063,2.8998,0.0,0.0,0.4302,0.0,0.0,0.6818,0.0,0.0,0.0,0.0
Marc Staal 2020,Marc Staal,2020,D,32.715,76,208,77.0,72.0,72.0,79,61,2.2628,1.9373,2.8063,2.8998,2.7173,0.0,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Staal 2021,Marc Staal,2021,D,33.718,76,208,72.0,72.0,79.0,61,82,1.9373,2.8063,2.8998,2.7173,2.0812,0.4302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Staal 2022,Marc Staal,2022,D,34.717,76,208,72.0,79.0,61.0,82,71,2.8063,2.8998,2.7173,2.0812,2.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Staal 2023,Marc Staal,2023,D,35.716,76,208,79.0,61.0,82.0,71,82,2.8998,2.7173,2.0812,2.219,2.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc-Edouard Vlasic 2010,Marc-Edouard Vlasic,2010,D,22.508,73,205,,,82.0,82,64,,,3.1642,2.6638,2.9721,,,0.0,0.2747,0.0,,,0.0,0.0,0.0
Marc-Edouard Vlasic 2011,Marc-Edouard Vlasic,2011,D,23.508,73,205,,82.0,82.0,64,80,,3.1642,2.6638,2.9721,2.2883,,0.0,0.2747,0.0,0.0,,0.0,0.0,0.0,0.0
Marc-Edouard Vlasic 2012,Marc-Edouard Vlasic,2012,D,24.507,73,205,82.0,82.0,64.0,80,82,3.1642,2.6638,2.9721,2.2883,2.1262,0.0,0.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441
Marc-Edouard Vlasic 2013,Marc-Edouard Vlasic,2013,D,25.509,73,205,82.0,64.0,80.0,82,82,2.6638,2.9721,2.2883,2.1262,2.1399,0.2747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.0
Marc-Edouard Vlasic 2014,Marc-Edouard Vlasic,2014,D,26.509,73,205,64.0,80.0,82.0,82,81,2.9721,2.2883,2.1262,2.1399,2.1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.0,0.3375
Marc-Edouard Vlasic 2015,Marc-Edouard Vlasic,2015,D,27.508,73,205,80.0,82.0,82.0,81,70,2.2883,2.1262,2.1399,2.1951,2.3883,0.0,0.0,0.0,0.0,0.0,0.0,0.3441,0.0,0.3375,0.0
Marc-Edouard Vlasic 2016,Marc-Edouard Vlasic,2016,D,28.507,73,205,82.0,82.0,81.0,70,67,2.1262,2.1399,2.1951,2.3883,2.2644,0.0,0.0,0.0,0.0,0.0,0.3441,0.0,0.3375,0.0,0.7909
Marc-Edouard Vlasic 2017,Marc-Edouard Vlasic,2017,D,29.509,73,205,82.0,81.0,70.0,67,75,2.1399,2.1951,2.3883,2.2644,2.0793,0.0,0.0,0.0,0.0,0.3847,0.0,0.3375,0.0,0.7909,0.0
Marc-Edouard Vlasic 2018,Marc-Edouard Vlasic,2018,D,30.509,73,205,81.0,70.0,67.0,75,81,2.1951,2.3883,2.2644,2.0793,2.8154,0.0,0.0,0.0,0.3847,0.0,0.3375,0.0,0.7909,0.0,0.2631
Marc-Edouard Vlasic 2019,Marc-Edouard Vlasic,2019,D,31.508,73,205,70.0,67.0,75.0,81,72,2.3883,2.2644,2.0793,2.8154,2.6093,0.0,0.0,0.3847,0.0,0.0,0.0,0.7909,0.0,0.2631,0.0
Marc-Edouard Vlasic 2020,Marc-Edouard Vlasic,2020,D,32.507,73,205,67.0,75.0,81.0,72,82,2.2644,2.0793,2.8154,2.6093,2.8179,0.0,0.3847,0.0,0.0,0.0,0.7909,0.0,0.2631,0.0,0.0
Marc-Edouard Vlasic 2021,Marc-Edouard Vlasic,2021,D,33.509,73,205,75.0,81.0,72.0,82,74,2.0793,2.8154,2.6093,2.8179,2.2856,0.3847,0.0,0.0,0.0,0.0,0.0,0.2631,0.0,0.0,0.0
Marc-Edouard Vlasic 2022,Marc-Edouard Vlasic,2022,D,34.509,73,205,81.0,72.0,82.0,74,75,2.8154,2.6093,2.8179,2.2856,0.8316,0.0,0.0,0.0,0.0,0.0,0.2631,0.0,0.0,0.0,0.0
Marc-Edouard Vlasic 2023,Marc-Edouard Vlasic,2023,D,35.508,73,205,72.0,82.0,74.0,75,78,2.6093,2.8179,2.2856,0.8316,2.6511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kris Letang 2010,Kris Letang,2010,D,22.44,72,201,,,63.0,74,73,,,0.8267,1.2905,1.41,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Kris Letang 2011,Kris Letang,2011,D,23.439,72,201,,63.0,74.0,73,82,,0.8267,1.2905,1.41,2.1195,,0.0,0.0,0.0,0.3452,,0.0,0.0,0.0,0.0
Kris Letang 2012,Kris Letang,2012,D,24.439,72,201,63.0,74.0,73.0,82,51,0.8267,1.2905,1.41,2.1195,1.6859,0.0,0.0,0.0,0.3452,0.0,0.0,0.0,0.0,0.0,0.6978
Kris Letang 2013,Kris Letang,2013,D,25.441,72,201,74.0,73.0,82.0,51,59,1.2905,1.41,2.1195,1.6859,2.2248,0.0,0.0,0.3452,0.0,0.0,0.0,0.0,0.0,0.6978,0.0
Kris Letang 2014,Kris Letang,2014,D,26.44,72,201,73.0,82.0,51.0,59,37,1.41,2.1195,1.6859,2.2248,2.0149,0.0,0.3452,0.0,0.0,0.0,0.0,0.0,0.6978,0.0,0.0
Kris Letang 2015,Kris Letang,2015,D,27.439,72,201,82.0,51.0,59.0,37,69,2.1195,1.6859,2.2248,2.0149,2.78,0.3452,0.0,0.0,0.0,0.0,0.0,0.6978,0.0,0.0,0.0
Kris Letang 2016,Kris Letang,2016,D,28.439,72,201,51.0,59.0,37.0,69,71,1.6859,2.2248,2.0149,2.78,2.327,0.0,0.0,0.0,0.0,0.3632,0.6978,0.0,0.0,0.0,0.7263
Kris Letang 2017,Kris Letang,2017,D,29.441,72,201,59.0,37.0,69.0,71,41,2.2248,2.0149,2.78,2.327,2.1711,0.0,0.0,0.0,0.3632,0.674,0.0,0.0,0.0,0.7263,0.0
Kris Letang 2018,Kris Letang,2018,D,30.44,72,201,37.0,69.0,71.0,41,79,2.0149,2.78,2.327,2.1711,2.5899,0.0,0.0,0.3632,0.674,0.2933,0.0,0.0,0.7263,0.0,0.0
Kris Letang 2019,Kris Letang,2019,D,31.44,72,201,69.0,71.0,41.0,79,65,2.78,2.327,2.1711,2.5899,2.1551,0.0,0.3632,0.674,0.2933,0.4283,0.0,0.7263,0.0,0.0,0.0
Kris Letang 2020,Kris Letang,2020,D,32.439,72,201,71.0,41.0,79.0,65,71,2.327,2.1711,2.5899,2.1551,2.2164,0.3632,0.674,0.2933,0.4283,0.0,0.7263,0.0,0.0,0.0,0.0
Kris Letang 2021,Kris Letang,2021,D,33.441,72,201,41.0,79.0,65.0,71,80,2.1711,2.5899,2.1551,2.2164,1.5009,0.674,0.2933,0.4283,0.0,0.7268,0.0,0.0,0.0,0.0,0.0
Kris Letang 2022,Kris Letang,2022,D,34.44,72,201,79.0,65.0,71.0,80,78,2.5899,2.1551,2.2164,1.5009,1.4331,0.2933,0.4283,0.0,0.7268,0.0,0.0,0.0,0.0,0.0,0.0
Kris Letang 2023,Kris Letang,2023,D,35.44,72,201,65.0,71.0,80.0,78,64,2.1551,2.2164,1.5009,1.4331,0.9357,0.4283,0.0,0.7268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Stralman 2015,Anton Stralman,2015,D,28.168,71,193,51.0,53.0,82.0,81,82,0.3373,0.605,0.9691,1.6249,2.5671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Stralman 2016,Anton Stralman,2016,D,29.167,71,193,53.0,82.0,81.0,82,73,0.605,0.9691,1.6249,2.5671,2.0897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Stralman 2017,Anton Stralman,2017,D,30.169,71,193,82.0,81.0,82.0,73,73,0.9691,1.6249,2.5671,2.0897,2.6226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Stralman 2018,Anton Stralman,2018,D,31.169,71,193,81.0,82.0,73.0,73,80,1.6249,2.5671,2.0897,2.6226,2.7388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Stralman 2019,Anton Stralman,2019,D,32.168,71,193,82.0,73.0,73.0,80,47,2.5671,2.0897,2.6226,2.7388,2.9028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
