,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 PP G/60,Y2 PP G/60,Y3 PP G/60,Y4 PP G/60,Y5 PP G/60,Y5 dPP G/60,Y1 PP ixG/60,Y2 PP ixG/60,Y3 PP ixG/60,Y4 PP ixG/60,Y5 PP ixG/60,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,2.3738,2.187,2.8068,2.6952,1.3509,1.233,3.6803,1.8474,1.6865,0.838,-1.2738,1.4645,1.6302,1.7671,1.3941,1.1799,1.1325,1.4587,0.7378,0.9037,0.3406,0.9073,0.9284,0.863,0.616,0.6374
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,,2.4602,2.7518,3.0982,2.9198,,2.082,3.4567,2.8787,2.0549,-0.7509000000000001,,1.6732,1.9776,3.4535,3.1021,,1.0382,1.4032,1.1279,1.433,,0.888,0.9512,1.2,1.1754
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,2.4602,2.7518,3.0982,2.9198,3.1058,2.082,3.4567,2.8787,2.0549,3.5125,0.894425,1.6732,1.9776,3.4535,3.1021,2.7392,1.0382,1.4032,1.1279,1.433,0.7824,0.888,0.9512,1.2,1.1754,0.8589
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,2.7518,3.0982,2.9198,3.1058,2.6767,3.4567,2.8787,2.0549,3.5125,3.7359,0.7602000000000002,1.9776,3.4535,3.1021,2.7392,2.1487,1.4032,1.1279,1.433,0.7824,1.6441,0.9512,1.2,1.1754,0.8589,0.9506
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,3.0982,2.9198,3.1058,2.6767,3.285,2.8787,2.0549,3.5125,3.7359,2.0295,-1.016,3.4535,3.1021,2.7392,2.1487,2.1515,1.1279,1.433,0.7824,1.6441,1.0599,1.2,1.1754,0.8589,0.9506,1.0346
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,2.9198,3.1058,2.6767,3.285,2.7809,2.0549,3.5125,3.7359,2.0295,2.6312,-0.20199999999999996,3.1021,2.7392,2.1487,2.1515,2.0793,1.433,0.7824,1.6441,1.0599,0.9023,1.1754,0.8589,0.9506,1.0346,0.8021
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,3.1058,2.6767,3.285,2.7809,2.2786,3.5125,3.7359,2.0295,2.6312,1.3679,-1.6093750000000002,2.7392,2.1487,2.1515,2.0793,1.9757,0.7824,1.6441,1.0599,0.9023,1.0241,0.8589,0.9506,1.0346,0.8021,0.9792
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,2.6767,3.285,2.7809,2.2786,2.8815,3.7359,2.0295,2.6312,1.3679,2.5393,0.0981749999999999,2.1487,2.1515,2.0793,1.9757,1.973,1.6441,1.0599,0.9023,1.0241,1.1267,0.9506,1.0346,0.8021,0.9792,0.7981
Jeff Carter 2018,Jeff Carter,2018,C,32.748,75,219,72.0,82.0,77.0,82,27,3.285,2.7809,2.2786,2.8815,3.1673,2.0295,2.6312,1.3679,2.5393,4.2097,2.067725,2.1515,2.0793,1.9757,1.973,3.5678,1.0599,0.9023,1.0241,1.1267,0.9995,1.0346,0.8021,0.9792,0.7981,0.8913
Jeff Carter 2019,Jeff Carter,2019,C,33.748,75,219,82.0,77.0,82.0,27,76,2.7809,2.2786,2.8815,3.1673,2.4695,2.6312,1.3679,2.5393,4.2097,1.5984,-1.0886249999999997,2.0793,1.9757,1.973,3.5678,2.0381,0.9023,1.0241,1.1267,0.9995,0.383,0.8021,0.9792,0.7981,0.8913,0.6302
Jeff Carter 2020,Jeff Carter,2020,C,34.747,75,219,77.0,82.0,27.0,76,70,2.2786,2.8815,3.1673,2.4695,1.8531,1.3679,2.5393,4.2097,1.5984,1.6189,-0.8099249999999998,1.9757,1.973,3.5678,2.0381,2.1656,1.0241,1.1267,0.9995,0.383,1.025,0.9792,0.7981,0.8913,0.6302,0.8744
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,2.8815,3.1673,2.4695,1.8531,2.0185,2.5393,4.2097,1.5984,1.6189,1.1009,-1.390675,1.973,3.5678,2.0381,2.1656,1.8852,1.1267,0.9995,0.383,1.025,1.2435,0.7981,0.8913,0.6302,0.8744,0.7936
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,3.1673,2.4695,1.8531,2.0185,2.057,4.2097,1.5984,1.6189,1.1009,1.1514,-0.9805749999999998,3.5678,2.0381,2.1656,1.8852,1.9115,0.9995,0.383,1.025,1.2435,0.8381,0.8913,0.6302,0.8744,0.7936,0.7617
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,2.4695,1.8531,2.0185,2.057,1.5591,1.5984,1.6189,1.1009,1.1514,1.9486,0.5812000000000002,2.0381,2.1656,1.8852,1.9115,1.7007,0.383,1.025,1.2435,0.8381,0.6198,0.6302,0.8744,0.7936,0.7617,0.8395
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,82.0,67,74,3.4782,3.4506,3.4247,3.3373,3.2966,0.0,1.4844,2.555,3.7567,2.7055,0.7564749999999998,1.4706,1.9505,2.8431,2.6447,1.9431,0.8963,0.9559,0.8728,0.7811,1.1504,0.8301,0.6961,0.8215,0.7879,0.9632
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,3.4506,3.4247,3.3373,3.2966,3.4098,1.4844,2.555,3.7567,2.7055,1.7597,-0.8656999999999999,1.9505,2.8431,2.6447,1.9431,2.157,0.9559,0.8728,0.7811,1.1504,0.9908,0.6961,0.8215,0.7879,0.9632,0.7629
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,3.4247,3.3373,3.2966,3.4098,2.2833,2.555,3.7567,2.7055,1.7597,2.285,-0.40922499999999973,2.8431,2.6447,1.9431,2.157,1.5646,0.8728,0.7811,1.1504,0.9908,0.8015,0.8215,0.7879,0.9632,0.7629,0.8839
Zach Parise 2018,Zach Parise,2018,L,33.178,71,195,67.0,74.0,70.0,69,42,3.3373,3.2966,3.4098,2.2833,2.4139,3.7567,2.7055,1.7597,2.285,1.1836,-1.443125,2.6447,1.9431,2.157,1.5646,1.8224,0.7811,1.1504,0.9908,0.8015,1.3262,0.7879,0.9632,0.7629,0.8839,0.6436
Zach Parise 2019,Zach Parise,2019,L,34.178,71,195,74.0,70.0,69.0,42,74,3.2966,3.4098,2.2833,2.4139,2.9016,2.7055,1.7597,2.285,1.1836,2.7944,0.8109500000000001,1.9431,2.157,1.5646,1.8224,2.1722,1.1504,0.9908,0.8015,1.3262,1.0,0.9632,0.7629,0.8839,0.6436,0.7709
Zach Parise 2020,Zach Parise,2020,L,35.177,71,195,70.0,69.0,42.0,74,81,3.4098,2.2833,2.4139,2.9016,2.7865,1.7597,2.285,1.1836,2.7944,3.7448,1.739125,2.157,1.5646,1.8224,2.1722,1.9244,0.9908,0.8015,1.3262,1.0,0.7783,0.7629,0.8839,0.6436,0.7709,0.7332
Zach Parise 2021,Zach Parise,2021,L,36.179,71,195,69.0,42.0,74.0,81,65,2.2833,2.4139,2.9016,2.7865,1.5037,2.285,1.1836,2.7944,3.7448,0.0,-2.50195,1.5646,1.8224,2.1722,1.9244,1.7828,0.8015,1.3262,1.0,0.7783,0.7875,0.8839,0.6436,0.7709,0.7332,0.5905
Zach Parise 2022,Zach Parise,2022,L,37.178,71,195,42.0,74.0,81.0,65,82,2.4139,2.9016,2.7865,1.5037,1.5831,1.1836,2.7944,3.7448,0.0,0.9244,-1.0063,1.8224,2.1722,1.9244,1.7828,1.0939,1.3262,1.0,0.7783,0.7875,0.6631,0.6436,0.7709,0.7332,0.5905,0.6424
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,74.0,81.0,65.0,82,82,2.9016,2.7865,1.5037,1.5831,1.4173,2.7944,3.7448,0.0,0.9244,1.5488,-0.31710000000000016,2.1722,1.9244,1.7828,1.0939,1.8269,1.0,0.7783,0.7875,0.6631,0.9053,0.7709,0.7332,0.5905,0.6424,0.924
Corey Perry 2011,Corey Perry,2011,R,25.378,75,208,,70.0,78.0,82,82,,3.5374,3.4464,3.825,3.5091,,2.6654,2.232,1.1478,3.1277,1.1126333333333331,,1.6086,1.743,1.5228,1.8889,,1.0817,1.1252,0.8699,1.3229,,0.6395,0.8855,0.7544,0.8655
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,70.0,78.0,82.0,82,80,3.5374,3.4464,3.825,3.5091,3.5731,2.6654,2.232,1.1478,3.1277,2.9386,0.645375,1.6086,1.743,1.5228,1.8889,1.9532,1.0817,1.1252,0.8699,1.3229,0.9986,0.6395,0.8855,0.7544,0.8655,0.7218
Corey Perry 2013,Corey Perry,2013,R,27.379,75,208,78.0,82.0,82.0,80,75,3.4464,3.825,3.5091,3.5731,2.8333,2.232,1.1478,3.1277,2.9386,2.4064,0.04487500000000022,1.743,1.5228,1.8889,1.9532,1.5056,1.1252,0.8699,1.3229,0.9986,0.8903,0.8855,0.7544,0.8655,0.7218,0.7399
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,82.0,82.0,80.0,75,81,3.825,3.5091,3.5731,2.8333,3.5058,1.1478,3.1277,2.9386,2.4064,1.6903,-0.714825,1.5228,1.8889,1.9532,1.5056,2.1512,0.8699,1.3229,0.9986,0.8903,1.6402,0.7544,0.8655,0.7218,0.7399,0.9282
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,75.0,81,67,3.5091,3.5731,2.8333,3.5058,2.7818,3.1277,2.9386,2.4064,1.6903,1.2877,-1.25305,1.8889,1.9532,1.5056,2.1512,1.8118,1.3229,0.9986,0.8903,1.6402,1.7267,0.8655,0.7218,0.7399,0.9282,0.8232
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,75.0,81.0,67,82,3.5731,2.8333,3.5058,2.7818,2.8803,2.9386,2.4064,1.6903,1.2877,3.0485,0.9677500000000001,1.9532,1.5056,2.1512,1.8118,1.8543,0.9986,0.8903,1.6402,1.7267,1.0899,0.7218,0.7399,0.9282,0.8232,0.6472
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,75.0,81.0,67.0,82,82,2.8333,3.5058,2.7818,2.8803,2.863,2.4064,1.6903,1.2877,3.0485,1.2779,-0.830325,1.5056,2.1512,1.8118,1.8543,2.2034,0.8903,1.6402,1.7267,1.0899,0.6911,0.7399,0.9282,0.8232,0.6472,0.7105
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,3.5058,2.7818,2.8803,2.863,2.6488,1.6903,1.2877,3.0485,1.2779,1.2761,-0.55,2.1512,1.8118,1.8543,2.2034,1.6736,1.6402,1.7267,1.0899,0.6911,0.7276,0.9282,0.8232,0.6472,0.7105,0.6612
Corey Perry 2019,Corey Perry,2019,R,33.378,75,208,67.0,82.0,82.0,71,31,2.7818,2.8803,2.863,2.6488,1.8237,1.2877,3.0485,1.2779,1.2761,2.1226,0.4000499999999998,1.8118,1.8543,2.2034,1.6736,1.149,1.7267,1.0899,0.6911,0.7276,0.598,0.8232,0.6472,0.7105,0.6612,0.5582
Corey Perry 2020,Corey Perry,2020,R,34.377,75,208,82.0,82.0,71.0,31,67,2.8803,2.863,2.6488,1.8237,2.1494,3.0485,1.2779,1.2761,2.1226,0.4897,-1.441575,1.8543,2.2034,1.6736,1.149,1.0876,1.0899,0.6911,0.7276,0.598,0.3668,0.6472,0.7105,0.6612,0.5582,0.6001
Corey Perry 2021,Corey Perry,2021,R,35.379,75,208,82.0,71.0,31.0,67,71,2.863,2.6488,1.8237,2.1494,2.1136,1.2779,1.2761,2.1226,0.4897,0.5793,-0.7122749999999999,2.2034,1.6736,1.149,1.0876,1.2913,0.6911,0.7276,0.598,0.3668,0.8524,0.7105,0.6612,0.5582,0.6001,0.4088
Corey Perry 2022,Corey Perry,2022,R,36.379,75,208,71.0,31.0,67.0,71,82,2.6488,1.8237,2.1494,2.1136,1.7128,1.2761,2.1226,0.4897,0.5793,2.5632,1.4462750000000002,1.6736,1.149,1.0876,1.2913,1.8364,0.7276,0.598,0.3668,0.8524,0.8088,0.6612,0.5582,0.6001,0.4088,0.7968
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,31.0,67.0,71.0,82,81,1.8237,2.1494,2.1136,1.7128,1.7862,2.1226,0.4897,0.5793,2.5632,2.4882,1.0494999999999999,1.149,1.0876,1.2913,1.8364,1.6472,0.598,0.3668,0.8524,0.8088,0.4548,0.5582,0.6001,0.4088,0.7968,0.6818
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,10.0,64.0,73.0,80,81,3.8317,3.0849,2.6906,2.7167,2.5241,3.1318,0.3039,0.0,0.8282,1.4674,0.4014249999999999,0.4845,1.118,0.8612,1.0417,1.1401,0.4949,0.4472,1.0369,0.974,0.7807,0.5956,0.4805,0.6828,0.8003,0.7314
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,3.0849,2.6906,2.7167,2.5241,2.1718,0.3039,0.0,0.8282,1.4674,1.3155,0.6656249999999999,1.118,0.8612,1.0417,1.1401,1.2098,0.4472,1.0369,0.974,0.7807,0.7674,0.4805,0.6828,0.8003,0.7314,0.8352
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,2.6906,2.7167,2.5241,2.1718,2.009,0.0,0.8282,1.4674,1.3155,2.6133,1.710525,0.8612,1.0417,1.1401,1.2098,1.7328,1.0369,0.974,0.7807,0.7674,1.1772,0.6828,0.8003,0.7314,0.8352,0.8407
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,2.7167,2.5241,2.1718,2.009,2.3426,0.8282,1.4674,1.3155,2.6133,1.2648,-0.2913000000000001,1.0417,1.1401,1.2098,1.7328,2.1634,0.974,0.7807,0.7674,1.1772,0.9484,0.8003,0.7314,0.8352,0.8407,0.7399
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,2.5241,2.1718,2.009,2.3426,2.996,1.4674,1.3155,2.6133,1.2648,3.004,1.33875,1.1401,1.2098,1.7328,2.1634,2.2269,0.7807,0.7674,1.1772,0.9484,0.9738,0.7314,0.8352,0.8407,0.7399,0.6916
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,2.1718,2.009,2.3426,2.996,2.9386,1.3155,2.6133,1.2648,3.004,2.0676,0.018200000000000216,1.2098,1.7328,2.1634,2.2269,2.1192,0.7674,1.1772,0.9484,0.9738,0.6889,0.8352,0.8407,0.7399,0.6916,0.8613
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,2.009,2.3426,2.996,2.9386,2.9794,2.6133,1.2648,3.004,2.0676,3.1466,0.9091749999999998,1.7328,2.1634,2.2269,2.1192,2.0257,1.1772,0.9484,0.9738,0.6889,1.1539,0.8407,0.7399,0.6916,0.8613,0.8391
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,2.3426,2.996,2.9386,2.9794,3.2613,1.2648,3.004,2.0676,3.1466,2.5474,0.17664999999999997,2.1634,2.2269,2.1192,2.0257,1.8756,0.9484,0.9738,0.6889,1.1539,1.2978,0.7399,0.6916,0.8613,0.8391,0.9417
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,2.996,2.9386,2.9794,3.2613,3.6022,3.004,2.0676,3.1466,2.5474,3.0036,0.31220000000000026,2.2269,2.1192,2.0257,1.8756,1.9526,0.9738,0.6889,1.1539,1.2978,1.406,0.6916,0.8613,0.8391,0.9417,0.8822
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,2.9386,2.9794,3.2613,3.6022,3.291,2.0676,3.1466,2.5474,3.0036,2.3633,-0.32799999999999985,2.1192,2.0257,1.8756,1.9526,2.1531,0.6889,1.1539,1.2978,1.406,1.1037,0.8613,0.8391,0.9417,0.8822,0.7939
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,2.9794,3.2613,3.6022,3.291,3.0393,3.1466,2.5474,3.0036,2.3633,2.1635,-0.6017250000000001,2.0257,1.8756,1.9526,2.1531,2.5034,1.1539,1.2978,1.406,1.1037,1.0431,0.8391,0.9417,0.8822,0.7939,0.9265
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,3.2613,3.6022,3.291,3.0393,3.3795,2.5474,3.0036,2.3633,2.1635,2.0486,-0.47085,1.8756,1.9526,2.1531,2.5034,2.2949,1.2978,1.406,1.1037,1.0431,1.0058,0.9417,0.8822,0.7939,0.9265,1.005
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,,82.0,80.0,67,74,,2.2957,3.0256,3.0751,3.3455,,2.5498,1.9831,0.8736,2.6659,0.8637333333333335,,1.9114,2.351,1.8887,2.5308,,0.6783,0.7656,1.3435,0.4524,,0.9338,0.8717,1.0432,0.973
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,2.2957,3.0256,3.0751,3.3455,3.2124,2.5498,1.9831,0.8736,2.6659,1.8222,-0.19589999999999996,1.9114,2.351,1.8887,2.5308,1.9967,0.6783,0.7656,1.3435,0.4524,1.0179,0.9338,0.8717,1.0432,0.973,0.9853
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,3.0256,3.0751,3.3455,3.2124,3.0038,1.9831,0.8736,2.6659,1.8222,2.0807,0.24450000000000016,2.351,1.8887,2.5308,1.9967,2.6272,0.7656,1.3435,0.4524,1.0179,0.9596,0.8717,1.0432,0.973,0.9853,0.6042
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,3.0751,3.3455,3.2124,3.0038,3.5215,0.8736,2.6659,1.8222,2.0807,3.3245,1.4639,1.8887,2.5308,1.9967,2.6272,2.3289,1.3435,0.4524,1.0179,0.9596,1.192,1.0432,0.973,0.9853,0.6042,0.8494
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,3.3455,3.2124,3.0038,3.5215,3.2827,2.6659,1.8222,2.0807,3.3245,4.235,1.7616750000000003,2.5308,1.9967,2.6272,2.3289,3.0621,0.4524,1.0179,0.9596,1.192,0.8604,0.973,0.9853,0.6042,0.8494,0.8312
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,82.0,82.0,82.0,82,82,3.2124,3.0038,3.5215,3.2827,3.672,1.8222,2.0807,3.3245,4.235,2.3912,-0.47440000000000015,1.9967,2.6272,2.3289,3.0621,2.2183,1.0179,0.9596,1.192,0.8604,1.2211,0.9853,0.6042,0.8494,0.8312,0.8166
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,82.0,82.0,82.0,82,81,3.0038,3.5215,3.2827,3.672,3.322,2.0807,3.3245,4.235,2.3912,1.5609,-1.4469500000000004,2.6272,2.3289,3.0621,2.2183,2.3584,0.9596,1.192,0.8604,1.2211,1.0035,0.6042,0.8494,0.8312,0.8166,0.9705
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,82.0,82.0,82.0,81,82,3.5215,3.2827,3.672,3.322,3.1994,3.3245,4.235,2.3912,1.5609,1.6009,-1.277,2.3289,3.0621,2.2183,2.3584,1.7769,1.192,0.8604,1.2211,1.0035,0.6962,0.8494,0.8312,0.8166,0.9705,0.8146
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,82.0,82.0,81.0,82,75,3.2827,3.672,3.322,3.1994,2.9693,4.235,2.3912,1.5609,1.6009,3.233,0.786,3.0621,2.2183,2.3584,1.7769,1.8739,0.8604,1.2211,1.0035,0.6962,1.3033,0.8312,0.8166,0.9705,0.8146,0.9709
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,82.0,81.0,82.0,75,79,3.672,3.322,3.1994,2.9693,2.6346,2.3912,1.5609,1.6009,3.233,2.0395,-0.15700000000000003,2.2183,2.3584,1.7769,1.8739,2.0548,1.2211,1.0035,0.6962,1.3033,0.5341,0.8166,0.9705,0.8146,0.9709,0.7465
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,81.0,82.0,75.0,79,82,3.322,3.1994,2.9693,2.6346,3.0979,1.5609,1.6009,3.233,2.0395,4.4961,2.387525,2.3584,1.7769,1.8739,2.0548,2.664,1.0035,0.6962,1.3033,0.5341,0.8476,0.9705,0.8146,0.9709,0.7465,0.6673
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,82.0,75.0,79.0,82,82,3.1994,2.9693,2.6346,3.0979,2.737,1.6009,3.233,2.0395,4.4961,3.2081,0.36572499999999986,1.7769,1.8739,2.0548,2.664,2.6943,0.6962,1.3033,0.5341,0.8476,0.7214,0.8146,0.9709,0.7465,0.6673,0.8602
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,75.0,79.0,82.0,82,82,2.9693,2.6346,3.0979,2.737,3.0856,3.233,2.0395,4.4961,3.2081,3.0828,-0.16137500000000005,1.8739,2.0548,2.664,2.6943,2.774,1.3033,0.5341,0.8476,0.7214,0.7568,0.9709,0.7465,0.6673,0.8602,0.7647
Alex Ovechkin 2011,Alex Ovechkin,2011,L,25.038,75,238,,82.0,79.0,72,79,,5.6803,5.4042,5.0671,4.4477,,2.8339,2.6702,2.138,1.1953,-1.3520666666666665,,2.0845,3.1503,2.8254,2.2949,,1.825,1.6399,1.7996,1.0904,,1.7312,1.9992,1.583,1.5093
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,82.0,79.0,72.0,79,78,5.6803,5.4042,5.0671,4.4477,3.6338,2.8339,2.6702,2.138,1.1953,2.752,0.5426500000000001,2.0845,3.1503,2.8254,2.2949,2.5032,1.825,1.6399,1.7996,1.0904,1.1929,1.7312,1.9992,1.583,1.5093,1.1905
Alex Ovechkin 2013,Alex Ovechkin,2013,L,27.04,75,238,79.0,72.0,79.0,78,82,5.4042,5.0671,4.4477,3.6338,4.5997,2.6702,2.138,1.1953,2.752,4.3482,2.1593250000000004,3.1503,2.8254,2.2949,2.5032,3.0815,1.6399,1.7996,1.0904,1.1929,1.2335,1.9992,1.583,1.5093,1.1905,1.4702
Alex Ovechkin 2014,Alex Ovechkin,2014,L,28.039,75,238,72.0,79.0,78.0,82,78,5.0671,4.4477,3.6338,4.5997,5.0355,2.138,1.1953,2.752,4.3482,3.6663,1.057925,2.8254,2.2949,2.5032,3.0815,2.8229,1.7996,1.0904,1.1929,1.2335,1.3453,1.583,1.5093,1.1905,1.4702,1.249
