,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Anze Kopitar 2023,Anze Kopitar,2023,C,35.106,75,225,81.0,82.0,82.0,81,82,1.9658,1.7724,2.0911,1.7064,1.8722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4341,0.3908
T.J. Oshie 2013,T.J. Oshie,2013,R,25.775,72,187,57.0,76.0,49.0,80,51,2.1541,2.3761,1.9214,1.8054,1.6378,1.466,0.0,0.0,0.0,1.2212,0.0,0.0,0.0,0.4154,0.0
T.J. Oshie 2014,T.J. Oshie,2014,R,26.774,72,187,76.0,49.0,80.0,51,79,2.3761,1.9214,1.8054,1.6378,1.773,0.0,0.0,0.0,1.2212,0.4284,0.0,0.0,0.4154,0.0,0.0
T.J. Oshie 2015,T.J. Oshie,2015,R,27.774,72,187,49.0,80.0,51.0,79,72,1.9214,1.8054,1.6378,1.773,1.3306,0.0,0.0,1.2212,0.4284,0.0,0.0,0.4154,0.0,0.0,0.0
T.J. Oshie 2016,T.J. Oshie,2016,R,28.773,72,187,80.0,51.0,79.0,72,80,1.8054,1.6378,1.773,1.3306,1.4248,0.0,1.2212,0.4284,0.0,0.0,0.4154,0.0,0.0,0.0,0.0
T.J. Oshie 2017,T.J. Oshie,2017,R,29.775,72,187,51.0,79.0,72.0,80,68,1.6378,1.773,1.3306,1.4248,1.0042,1.2212,0.4284,0.0,0.0,0.8787,0.0,0.0,0.0,0.0,0.8787
T.J. Oshie 2018,T.J. Oshie,2018,R,30.774,72,187,79.0,72.0,80.0,68,74,1.773,1.3306,1.4248,1.0042,0.7856,0.4284,0.0,0.0,0.8787,0.0,0.0,0.0,0.0,0.8787,0.0
Andrew Cogliano 2014,Andrew Cogliano,2014,C,26.301,70,179,82.0,82.0,82.0,82,82,0.7683,2.7228,1.6002,1.6514,1.6148,0.0,0.5375,0.0,0.0,0.9062,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2015,Andrew Cogliano,2015,C,27.3,70,179,82.0,82.0,82.0,82,82,2.7228,1.6002,1.6514,1.6148,1.6673,0.5375,0.0,0.0,0.9062,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Cogliano 2016,Andrew Cogliano,2016,C,28.299,70,179,82.0,82.0,82.0,82,82,1.6002,1.6514,1.6148,1.6673,1.8976,0.0,0.0,0.9062,0.0,0.3856,0.0,0.0,0.0,0.0,0.0
