,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,0.74,1.2163,1.5106,1.4035,1.653,0.4354
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,1.2163,1.5106,1.4035,1.653,1.5124,0.06654999999999989
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,1.5124,1.3352,1.2539,1.3758,1.108,-0.2613249999999998
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,1.3352,1.2539,1.3758,1.108,1.4629,0.19467500000000015
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,1.2539,1.3758,1.108,1.4629,1.1188,-0.1813499999999999
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,,,81.0,82,81,,,0.1525,0.3825,0.5656,0.2981
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,81.0,13.0,82.0,82,67,0.5656,0.9308,1.9598,1.4802,1.0378,-0.19629999999999992
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,82.0,67,74,0.9308,1.9598,1.4802,1.0378,0.3653,-0.98685
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,1.9598,1.4802,1.0378,0.3653,0.2976,-0.913175
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,1.4802,1.0378,0.3653,0.2976,1.0425,0.24727500000000002
Zach Parise 2018,Zach Parise,2018,L,33.178,71,195,67.0,74.0,70.0,69,42,1.0378,0.3653,0.2976,1.0425,0.6651,-0.02069999999999994
Zach Parise 2019,Zach Parise,2019,L,34.178,71,195,74.0,70.0,69.0,42,74,0.3653,0.2976,1.0425,0.6651,1.1725,0.5798750000000001
Zach Parise 2020,Zach Parise,2020,L,35.177,71,195,70.0,69.0,42.0,74,81,0.2976,1.0425,0.6651,1.1725,0.9239,0.129475
Zach Parise 2021,Zach Parise,2021,L,36.179,71,195,69.0,42.0,74.0,81,65,1.0425,0.6651,1.1725,0.9239,0.5244,-0.4266000000000001
Zach Parise 2022,Zach Parise,2022,L,37.178,71,195,42.0,74.0,81.0,65,82,0.6651,1.1725,0.9239,0.5244,1.5159,0.694425
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,74.0,81.0,65.0,82,82,1.1725,0.9239,0.5244,1.5159,1.7919,0.757725
Corey Perry 2010,Corey Perry,2010,R,24.378,75,208,,,70.0,78,82,,,0.1321,0.1002,0.3896,0.27344999999999997
Corey Perry 2011,Corey Perry,2011,R,25.378,75,208,,70.0,78.0,82,82,,0.1321,0.1002,0.3896,1.6581,1.4507999999999999
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,70.0,78.0,82.0,82,80,0.1321,0.1002,0.3896,1.6581,1.2821,0.7121000000000001
Corey Perry 2013,Corey Perry,2013,R,27.379,75,208,78.0,82.0,82.0,80,75,0.1002,0.3896,1.6581,1.2821,0.9201,0.0626000000000001
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,82.0,82.0,80.0,75,81,0.3896,1.6581,1.2821,0.9201,0.6095,-0.452975
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,75.0,81,67,1.6581,1.2821,0.9201,0.6095,0.2784,-0.8390500000000001
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,75.0,81.0,67,82,1.2821,0.9201,0.6095,0.2784,0.0579,-0.7146250000000001
