,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Max Pacioretty 2020,Max Pacioretty,2020,L,30.862,74,217,82.0,81.0,64.0,66,83,1.1831,0.9568,1.6911,0.2449,0.0437,-0.975275
Max Pacioretty 2021,Max Pacioretty,2021,L,31.864,74,217,81.0,64.0,66.0,83,70,0.9568,1.6911,0.2449,0.0437,0.0497,-0.6844250000000001
Jakub Voracek 2011,Jakub Voracek,2011,R,21.129,74,216,,,80.0,81,80,,,0.0231,0.1549,0.0354,-0.05360000000000001
Jakub Voracek 2012,Jakub Voracek,2012,R,22.128,74,216,,80.0,81.0,80,78,,0.0231,0.1549,0.0354,0.5714,0.5002666666666666
Jakub Voracek 2013,Jakub Voracek,2013,R,23.13,74,216,80.0,81.0,80.0,78,82,0.0231,0.1549,0.0354,0.5714,0.0628,-0.13340000000000002
Jakub Voracek 2014,Jakub Voracek,2014,R,24.129,74,216,81.0,80.0,78.0,82,82,0.1549,0.0354,0.5714,0.0628,0.061,-0.145125
Jakub Voracek 2015,Jakub Voracek,2015,R,25.129,74,216,80.0,78.0,82.0,82,82,0.0354,0.5714,0.0628,0.061,0.0392,-0.14345000000000002
Jakub Voracek 2016,Jakub Voracek,2016,R,26.128,74,216,78.0,82.0,82.0,82,73,0.5714,0.0628,0.061,0.0392,0.0441,-0.1395
Jakub Voracek 2017,Jakub Voracek,2017,R,27.13,74,216,82.0,82.0,82.0,73,82,0.0628,0.061,0.0392,0.0441,0.0268,-0.024975
Jakub Voracek 2018,Jakub Voracek,2018,R,28.129,74,216,82.0,82.0,73.0,82,82,0.061,0.0392,0.0441,0.0268,0.0126,-0.030175
Jakub Voracek 2019,Jakub Voracek,2019,R,29.129,74,216,82.0,73.0,82.0,82,78,0.0392,0.0441,0.0268,0.0126,0.0551,0.024425000000000002
Jakub Voracek 2020,Jakub Voracek,2020,R,30.128,74,216,73.0,82.0,82.0,78,81,0.0441,0.0268,0.0126,0.0551,0.0461,0.011450000000000002
Jakub Voracek 2021,Jakub Voracek,2021,R,31.13,74,216,82.0,82.0,78.0,81,77,0.0268,0.0126,0.0551,0.0461,0.0248,-0.010350000000000002
Jakub Voracek 2022,Jakub Voracek,2022,R,32.13,74,216,82.0,78.0,81.0,77,79,0.0126,0.0551,0.0461,0.0248,0.0215,-0.013150000000000002
Lars Eller 2013,Lars Eller,2013,C,23.401,74,205,,7.0,77.0,79,78,,0.0048,0.0903,1.6964,1.4928,0.8956333333333333
Lars Eller 2014,Lars Eller,2014,C,24.4,74,205,7.0,77.0,79.0,78,77,0.0048,0.0903,1.6964,1.4928,1.4145,0.5934250000000001
Lars Eller 2015,Lars Eller,2015,C,25.4,74,205,77.0,79.0,78.0,77,77,0.0903,1.6964,1.4928,1.4145,1.3465,0.17300000000000004
Lars Eller 2016,Lars Eller,2016,C,26.399,74,205,79.0,78.0,77.0,77,79,1.6964,1.4928,1.4145,1.3465,1.3222,-0.16534999999999989
Lars Eller 2017,Lars Eller,2017,C,27.401,74,205,78.0,77.0,77.0,79,81,1.4928,1.4145,1.3465,1.3222,2.1708,0.7767999999999997
Lars Eller 2018,Lars Eller,2018,C,28.401,74,205,77.0,77.0,79.0,81,81,1.4145,1.3465,1.3222,2.1708,1.8191,0.25560000000000005
Lars Eller 2019,Lars Eller,2019,C,29.4,74,205,77.0,79.0,81.0,81,81,1.3465,1.3222,2.1708,1.8191,2.3379,0.6732499999999999
Lars Eller 2020,Lars Eller,2020,C,30.399,74,205,79.0,81.0,81.0,81,81,1.3222,2.1708,1.8191,2.3379,2.4193,0.5067999999999999
Lars Eller 2021,Lars Eller,2021,C,31.401,74,205,81.0,81.0,81.0,81,64,2.1708,1.8191,2.3379,2.4193,2.0102,-0.1765749999999997
Lars Eller 2022,Lars Eller,2022,C,32.401,74,205,81.0,81.0,81.0,64,72,1.8191,2.3379,2.4193,2.0102,1.6532,-0.4934249999999998
Lars Eller 2023,Lars Eller,2023,C,33.4,74,205,81.0,81.0,64.0,72,84,2.3379,2.4193,2.0102,1.6532,1.63,-0.4751500000000002
Wayne Simmonds 2011,Wayne Simmonds,2011,R,22.098,74,184,,,82.0,78,80,,,1.1561,0.6575,0.0833,-0.8234999999999999
Wayne Simmonds 2012,Wayne Simmonds,2012,R,23.097,74,184,,82.0,78.0,80,82,,1.1561,0.6575,0.0833,0.0577,-0.5746
Wayne Simmonds 2013,Wayne Simmonds,2013,R,24.099,74,184,82.0,78.0,80.0,82,76,1.1561,0.6575,0.0833,0.0577,0.0715,-0.41714999999999997
Wayne Simmonds 2014,Wayne Simmonds,2014,R,25.099,74,184,78.0,80.0,82.0,76,82,0.6575,0.0833,0.0577,0.0715,0.0498,-0.16770000000000002
Wayne Simmonds 2015,Wayne Simmonds,2015,R,26.098,74,184,80.0,82.0,76.0,82,75,0.0833,0.0577,0.0715,0.0498,0.0098,-0.05577499999999999
Wayne Simmonds 2016,Wayne Simmonds,2016,R,27.097,74,184,82.0,76.0,82.0,75,81,0.0577,0.0715,0.0498,0.0098,0.0241,-0.0231
Wayne Simmonds 2017,Wayne Simmonds,2017,R,28.099,74,184,76.0,82.0,75.0,81,82,0.0715,0.0498,0.0098,0.0241,1.5136,1.4748
Wayne Simmonds 2018,Wayne Simmonds,2018,R,29.099,74,184,82.0,75.0,81.0,82,75,0.0498,0.0098,0.0241,1.5136,0.86,0.46067499999999995
Wayne Simmonds 2019,Wayne Simmonds,2019,R,30.098,74,184,75.0,81.0,82.0,75,79,0.0098,0.0241,1.5136,0.86,0.0057,-0.596175
Wayne Simmonds 2020,Wayne Simmonds,2020,R,31.097,74,184,81.0,82.0,75.0,79,80,0.0241,1.5136,0.86,0.0057,0.0245,-0.57635
Wayne Simmonds 2021,Wayne Simmonds,2021,R,32.099,74,184,82.0,75.0,79.0,80,55,1.5136,0.86,0.0057,0.0245,,
Wayne Simmonds 2022,Wayne Simmonds,2022,R,33.099,74,184,75.0,79.0,80.0,55,72,0.86,0.0057,0.0245,,0.0083,-0.2884333333333334
Steven Stamkos 2011,Steven Stamkos,2011,C,20.647,72,182,,,79.0,82,82,,,0.131,1.3484,0.324,-0.4157
Steven Stamkos 2012,Steven Stamkos,2012,C,21.646,72,182,,79.0,82.0,82,82,,0.131,1.3484,0.324,0.5541,-0.04703333333333326
Steven Stamkos 2013,Steven Stamkos,2013,C,22.648,72,182,79.0,82.0,82.0,82,82,0.131,1.3484,0.324,0.5541,0.7278,0.13842500000000002
Steven Stamkos 2020,Steven Stamkos,2020,C,29.646,72,182,77.0,17.0,78.0,82,67,0.774,0.7225,0.4169,0.6016,0.5439,-0.08484999999999998
Steven Stamkos 2021,Steven Stamkos,2021,C,30.648,72,182,17.0,78.0,82.0,67,55,0.7225,0.4169,0.6016,0.5439,0.7026,0.13137500000000002
Steven Stamkos 2022,Steven Stamkos,2022,C,31.648,72,182,78.0,82.0,67.0,55,81,0.4169,0.6016,0.5439,0.7026,0.416,-0.15025000000000005
Steven Stamkos 2023,Steven Stamkos,2023,C,32.647,72,182,82.0,67.0,55.0,81,81,0.6016,0.5439,0.7026,0.416,0.3138,-0.252225
Josh Bailey 2011,Josh Bailey,2011,R,20.997,73,200,,,68.0,73,70,,,0.0574,0.5363,2.3769,2.08005
Josh Bailey 2012,Josh Bailey,2012,R,21.996,73,200,,68.0,73.0,70,80,,0.0574,0.5363,2.3769,1.5744,0.5842
Josh Bailey 2013,Josh Bailey,2013,R,22.999,73,200,68.0,73.0,70.0,80,64,0.0574,0.5363,2.3769,1.5744,0.9351,-0.20114999999999994
Josh Bailey 2014,Josh Bailey,2014,R,23.998,73,200,73.0,70.0,80.0,64,77,0.5363,2.3769,1.5744,0.9351,0.4448,-0.910875
Josh Bailey 2015,Josh Bailey,2015,R,24.997,73,200,70.0,80.0,64.0,77,70,2.3769,1.5744,0.9351,0.4448,0.1698,-1.163
Josh Bailey 2016,Josh Bailey,2016,R,25.997,73,200,80.0,64.0,77.0,70,81,1.5744,0.9351,0.4448,0.1698,0.5167,-0.2643249999999999
Josh Bailey 2017,Josh Bailey,2017,R,26.999,73,200,64.0,77.0,70.0,81,82,0.9351,0.4448,0.1698,0.5167,0.4171,-0.09950000000000003
Josh Bailey 2018,Josh Bailey,2018,R,27.998,73,200,77.0,70.0,81.0,82,76,0.4448,0.1698,0.5167,0.4171,0.2625,-0.12459999999999999
Josh Bailey 2019,Josh Bailey,2019,R,28.997,73,200,70.0,81.0,82.0,76,82,0.1698,0.5167,0.4171,0.2625,0.0341,-0.307425
Josh Bailey 2020,Josh Bailey,2020,R,29.997,73,200,81.0,82.0,76.0,82,80,0.5167,0.4171,0.2625,0.0341,1.4235,1.1159
Josh Bailey 2021,Josh Bailey,2021,R,30.999,73,200,82.0,76.0,82.0,80,79,0.4171,0.2625,0.0341,1.4235,0.9349,0.40059999999999996
Josh Bailey 2022,Josh Bailey,2022,R,31.998,73,200,76.0,82.0,80.0,79,74,0.2625,0.0341,1.4235,0.9349,1.0878,0.42405000000000015
Josh Bailey 2023,Josh Bailey,2023,R,32.997,73,200,82.0,80.0,79.0,74,64,0.0341,1.4235,0.9349,1.0878,1.282,0.411925
Jordan Eberle 2013,Jordan Eberle,2013,R,22.383,71,190,,,69.0,78,82,,,0.6913,0.184,0.2101,-0.22754999999999997
Jordan Eberle 2014,Jordan Eberle,2014,R,23.382,71,190,,69.0,78.0,82,80,,0.6913,0.184,0.2101,0.69,0.32819999999999994
Jordan Eberle 2015,Jordan Eberle,2015,R,24.381,71,190,69.0,78.0,82.0,80,81,0.6913,0.184,0.2101,0.69,0.0706,-0.37324999999999997
Jordan Eberle 2016,Jordan Eberle,2016,R,25.381,71,190,78.0,82.0,80.0,81,69,0.184,0.2101,0.69,0.0706,0.0254,-0.26327500000000004
Jordan Eberle 2017,Jordan Eberle,2017,R,26.383,71,190,82.0,80.0,81.0,69,82,0.2101,0.69,0.0706,0.0254,0.0142,-0.234825
Jordan Eberle 2018,Jordan Eberle,2018,R,27.382,71,190,80.0,81.0,69.0,82,81,0.69,0.0706,0.0254,0.0142,0.0272,-0.17284999999999998
Jordan Eberle 2019,Jordan Eberle,2019,R,28.381,71,190,81.0,69.0,82.0,81,78,0.0706,0.0254,0.0142,0.0272,0.0237,-0.01065
Jordan Eberle 2020,Jordan Eberle,2020,R,29.381,71,190,69.0,82.0,81.0,78,68,0.0254,0.0142,0.0272,0.0237,0.0204,-0.002224999999999998
Jordan Eberle 2021,Jordan Eberle,2021,R,30.383,71,190,82.0,81.0,78.0,68,80,0.0142,0.0272,0.0237,0.0204,0.0188,-0.0025749999999999974
Jordan Eberle 2022,Jordan Eberle,2022,R,31.382,71,190,81.0,78.0,68.0,80,79,0.0272,0.0237,0.0204,0.0188,0.0139,-0.008625
Jordan Eberle 2023,Jordan Eberle,2023,R,32.381,71,190,78.0,68.0,80.0,79,82,0.0237,0.0204,0.0188,0.0139,0.0146,-0.004600000000000002
Derek Stepan 2013,Derek Stepan,2013,C,22.289,71,196,,,82.0,82,82,,,0.4498,1.2884,2.1069,1.2378
Derek Stepan 2014,Derek Stepan,2014,C,23.289,71,196,,82.0,82.0,82,82,,0.4498,1.2884,2.1069,1.1762,-0.10550000000000015
Derek Stepan 2015,Derek Stepan,2015,C,24.288,71,196,82.0,82.0,82.0,82,68,0.4498,1.2884,2.1069,1.1762,1.5939,0.33857500000000007
Derek Stepan 2016,Derek Stepan,2016,C,25.287,71,196,82.0,82.0,82.0,68,72,1.2884,2.1069,1.1762,1.5939,1.7067,0.1653500000000001
Derek Stepan 2017,Derek Stepan,2017,C,26.29,71,196,82.0,82.0,68.0,72,81,2.1069,1.1762,1.5939,1.7067,1.364,-0.281925
Derek Stepan 2018,Derek Stepan,2018,C,27.289,71,196,82.0,68.0,72.0,81,82,1.1762,1.5939,1.7067,1.364,1.1726,-0.28759999999999986
Derek Stepan 2019,Derek Stepan,2019,C,28.288,71,196,68.0,72.0,81.0,82,72,1.5939,1.7067,1.364,1.1726,1.9317,0.47239999999999993
Derek Stepan 2020,Derek Stepan,2020,C,29.288,71,196,72.0,81.0,82.0,72,82,1.7067,1.364,1.1726,1.9317,1.9683,0.42454999999999976
Adam Henrique 2014,Adam Henrique,2014,C,23.65,72,195,,1.0,74.0,71,77,,,1.7971,1.7671,2.2004,0.41830000000000034
Adam Henrique 2015,Adam Henrique,2015,C,24.65,72,195,1.0,74.0,71.0,77,75,,1.7971,1.7671,2.2004,1.8542,-0.06733333333333325
Adam Henrique 2016,Adam Henrique,2016,C,25.649,72,195,74.0,71.0,77.0,75,80,1.7971,1.7671,2.2004,1.8542,2.6387,0.734
Adam Henrique 2017,Adam Henrique,2017,C,26.651,72,195,71.0,77.0,75.0,80,82,1.7671,2.2004,1.8542,2.6387,2.2756,0.16049999999999986
Adam Henrique 2018,Adam Henrique,2018,C,27.65,72,195,77.0,75.0,80.0,82,81,2.2004,1.8542,2.6387,2.2756,1.5794,-0.662825
Adam Henrique 2019,Adam Henrique,2019,C,28.65,72,195,75.0,80.0,82.0,81,82,1.8542,2.6387,2.2756,1.5794,1.1016,-0.9853749999999999
Adam Henrique 2020,Adam Henrique,2020,C,29.649,72,195,80.0,82.0,81.0,82,83,2.6387,2.2756,1.5794,1.1016,0.6045,-1.294325
Adam Henrique 2021,Adam Henrique,2021,C,30.651,72,195,82.0,81.0,82.0,83,65,2.2756,1.5794,1.1016,0.6045,0.91,-0.4802749999999999
Adam Henrique 2022,Adam Henrique,2022,C,31.65,72,195,81.0,82.0,83.0,65,58,1.5794,1.1016,0.6045,0.91,0.1141,-0.934775
Adam Henrique 2023,Adam Henrique,2023,C,32.65,72,195,82.0,83.0,65.0,58,62,1.1016,0.6045,0.91,0.1141,2.5024,1.8198500000000002
Gustav Nyquist 2016,Gustav Nyquist,2016,"C, L",26.081,71,180,18.0,37.0,57.0,82,82,0.0037,0.0076,0.0231,0.0278,0.0138,-0.0017499999999999998
Gustav Nyquist 2017,Gustav Nyquist,2017,"C, L",27.084,71,180,37.0,57.0,82.0,82,76,0.0076,0.0231,0.0278,0.0138,0.0186,0.0005249999999999977
Gustav Nyquist 2018,Gustav Nyquist,2018,"C, L",28.083,71,180,57.0,82.0,82.0,76,82,0.0231,0.0278,0.0138,0.0186,0.0173,-0.0035250000000000004
Gustav Nyquist 2019,Gustav Nyquist,2019,"C, L",29.082,71,180,82.0,82.0,76.0,82,81,0.0278,0.0138,0.0186,0.0173,0.0243,0.004924999999999999
Gustav Nyquist 2020,Gustav Nyquist,2020,"C, L",30.082,71,180,82.0,76.0,82.0,81,82,0.0138,0.0186,0.0173,0.0243,0.6845,0.666
Derek Grant 2019,Derek Grant,2019,C,28.45,75,210,,15.0,46.0,66,56,,0.9744,2.1826,0.8144,1.6381,0.3143
Derek Grant 2020,Derek Grant,2020,C,29.449,75,210,15.0,46.0,66.0,56,66,0.9744,2.1826,0.8144,1.6381,2.3938,0.9914250000000002
Derek Grant 2021,Derek Grant,2021,C,30.451,75,210,46.0,66.0,56.0,66,67,2.1826,0.8144,1.6381,2.3938,2.6725,0.9152749999999998
Derek Grant 2022,Derek Grant,2022,C,31.451,75,210,66.0,56.0,66.0,67,71,0.8144,1.6381,2.3938,2.6725,2.385,0.5052999999999999
Derek Grant 2023,Derek Grant,2023,C,32.45,75,210,56.0,66.0,67.0,71,46,1.6381,2.3938,2.6725,2.385,2.4058,0.1334500000000003
Matt Martin 2013,Matt Martin,2013,L,23.401,75,220,,5.0,68.0,80,82,,,0.7782,1.2706,1.6382,0.6138000000000001
Matt Martin 2014,Matt Martin,2014,L,24.4,75,220,5.0,68.0,80.0,82,79,,0.7782,1.2706,1.6382,0.6869,-0.5421000000000001
Matt Martin 2015,Matt Martin,2015,L,25.4,75,220,68.0,80.0,82.0,79,78,0.7782,1.2706,1.6382,0.6869,0.0474,-1.046075
Matt Martin 2016,Matt Martin,2016,L,26.399,75,220,80.0,82.0,79.0,78,80,1.2706,1.6382,0.6869,0.0474,0.0444,-0.866375
Matt Martin 2017,Matt Martin,2017,L,27.401,75,220,82.0,79.0,78.0,80,82,1.6382,0.6869,0.0474,0.0444,0.3325,-0.271725
Matt Martin 2018,Matt Martin,2018,L,28.401,75,220,79.0,78.0,80.0,82,50,0.6869,0.0474,0.0444,0.3325,,
Matt Martin 2019,Matt Martin,2019,L,29.4,75,220,78.0,80.0,82.0,50,67,0.0474,0.0444,0.3325,,0.2211,0.07966666666666666
Matt Martin 2020,Matt Martin,2020,L,30.399,75,220,80.0,82.0,50.0,67,64,0.0444,0.3325,,0.2211,0.1806,-0.018733333333333324
Matt Martin 2021,Matt Martin,2021,L,31.401,75,220,82.0,50.0,67.0,64,79,0.3325,,0.2211,0.1806,0.0364,-0.20833333333333331
Matt Martin 2022,Matt Martin,2022,L,32.401,75,220,50.0,67.0,64.0,79,71,,0.2211,0.1806,0.0364,0.0216,-0.12443333333333334
Matt Martin 2023,Matt Martin,2023,L,33.4,75,220,67.0,64.0,79.0,71,81,0.2211,0.1806,0.0364,0.0216,0.1045,-0.010425000000000004
Tyler Johnson 2016,Tyler Johnson,2016,C,25.175,68,185,,23.0,82.0,77,69,,0.65,2.0252,1.7439,0.6258,-0.8472333333333334
Tyler Johnson 2017,Tyler Johnson,2017,C,26.177,68,185,23.0,82.0,77.0,69,66,0.65,2.0252,1.7439,0.6258,2.0333,0.7720750000000001
Tyler Johnson 2018,Tyler Johnson,2018,C,27.177,68,185,82.0,77.0,69.0,66,81,2.0252,1.7439,0.6258,2.0333,1.5226,-0.08445000000000014
Tyler Johnson 2019,Tyler Johnson,2019,C,28.176,68,185,77.0,69.0,66.0,81,80,1.7439,0.6258,2.0333,1.5226,0.4654,-1.016
Tyler Johnson 2020,Tyler Johnson,2020,C,29.175,68,185,69.0,66.0,81.0,80,76,0.6258,2.0333,1.5226,0.4654,0.1067,-1.055075
Tyler Johnson 2021,Tyler Johnson,2021,C,30.177,68,185,66.0,81.0,80.0,76,80,2.0333,1.5226,0.4654,0.1067,0.0482,-0.9838
Mike Hoffman 2017,Mike Hoffman,2017,L,26.854,72,190,5.0,25.0,79.0,78,74,,0.0047,0.061,0.0395,0.0279,-0.007166666666666668
Mike Hoffman 2018,Mike Hoffman,2018,L,27.853,72,190,25.0,79.0,78.0,74,82,0.0047,0.061,0.0395,0.0279,0.0455,0.012225
Mike Hoffman 2019,Mike Hoffman,2019,L,28.852,72,190,79.0,78.0,74.0,82,82,0.061,0.0395,0.0279,0.0455,0.0291,-0.014374999999999999
Mike Hoffman 2020,Mike Hoffman,2020,L,29.852,72,190,78.0,74.0,82.0,82,81,0.0395,0.0279,0.0455,0.0291,0.037,0.0014999999999999944
Mike Hoffman 2021,Mike Hoffman,2021,L,30.854,72,190,74.0,82.0,82.0,81,76,0.0279,0.0455,0.0291,0.037,0.016,-0.018875000000000003
Mike Hoffman 2022,Mike Hoffman,2022,L,31.853,72,190,82.0,82.0,81.0,76,67,0.0455,0.0291,0.037,0.016,0.0249,-0.006999999999999999
Mike Hoffman 2023,Mike Hoffman,2023,L,32.852,72,190,82.0,81.0,76.0,67,67,0.0291,0.037,0.016,0.0249,0.0231,-0.0036500000000000005
Marcus Johansson 2013,Marcus Johansson,2013,L,21.988,73,203,,,69.0,80,58,,,1.1766,0.5469,0.9598,0.09804999999999997
Marcus Johansson 2014,Marcus Johansson,2014,L,22.988,73,203,,69.0,80.0,58,80,,1.1766,0.5469,0.9598,0.3665,-0.5279333333333334
Marcus Johansson 2015,Marcus Johansson,2015,L,23.987,73,203,69.0,80.0,58.0,80,82,1.1766,0.5469,0.9598,0.3665,0.0687,-0.6937500000000001
Marcus Johansson 2016,Marcus Johansson,2016,L,24.986,73,203,80.0,58.0,80.0,82,74,0.5469,0.9598,0.3665,0.0687,0.0502,-0.43527499999999997
Marcus Johansson 2017,Marcus Johansson,2017,L,25.988,73,203,58.0,80.0,82.0,74,82,0.9598,0.3665,0.0687,0.0502,0.038,-0.32330000000000003
Marcus Johansson 2021,Marcus Johansson,2021,L,29.989,73,203,82.0,29.0,58.0,70,52,0.038,0.0954,0.0408,0.3203,1.288,1.164375
Marcus Johansson 2022,Marcus Johansson,2022,L,30.988,73,203,29.0,58.0,70.0,52,69,0.0954,0.0408,0.3203,1.288,0.0249,-0.411225
Marcus Johansson 2023,Marcus Johansson,2023,L,31.987,73,203,58.0,70.0,52.0,69,80,0.0408,0.3203,1.288,0.0249,0.7421,0.3236
Kyle Palmieri 2015,Kyle Palmieri,2015,C,23.664,71,198,10.0,18.0,71.0,71,57,,0.0463,0.0004,0.0153,0.0061,-0.014566666666666665
Kyle Palmieri 2016,Kyle Palmieri,2016,C,24.663,71,198,18.0,71.0,71.0,57,82,0.0463,0.0004,0.0153,0.0061,0.64,0.6229750000000001
Kyle Palmieri 2017,Kyle Palmieri,2017,C,25.665,71,198,71.0,71.0,57.0,82,80,0.0004,0.0153,0.0061,0.64,0.965,0.79955
Kyle Palmieri 2018,Kyle Palmieri,2018,C,26.665,71,198,71.0,57.0,82.0,80,62,0.0153,0.0061,0.64,0.965,0.7204,0.3138
Kyle Palmieri 2019,Kyle Palmieri,2019,C,27.664,71,198,57.0,82.0,80.0,62,74,0.0061,0.64,0.965,0.7204,0.2822,-0.300675
Kyle Palmieri 2020,Kyle Palmieri,2020,C,28.663,71,198,82.0,80.0,62.0,74,76,0.64,0.965,0.7204,0.2822,0.2313,-0.42060000000000003
Kyle Palmieri 2021,Kyle Palmieri,2021,C,29.665,71,198,80.0,62.0,74.0,76,74,0.965,0.7204,0.2822,0.2313,0.5389,-0.010824999999999974
Kyle Palmieri 2022,Kyle Palmieri,2022,C,30.665,71,198,62.0,74.0,76.0,74,69,0.7204,0.2822,0.2313,0.5389,0.2283,-0.21490000000000004
Kyle Palmieri 2023,Kyle Palmieri,2023,C,31.664,71,198,74.0,76.0,74.0,69,55,0.2822,0.2313,0.5389,0.2283,0.2964,-0.02377499999999999
Ryan O'Reilly 2012,Ryan O'Reilly,2012,C,20.647,73,207,,,81.0,74,81,,,2.9191,2.4072,1.1786,-1.4845499999999998
Ryan O'Reilly 2013,Ryan O'Reilly,2013,C,21.649,73,207,,81.0,74.0,81,49,,2.9191,2.4072,1.1786,0.9201,-1.2481999999999998
Ryan O'Reilly 2014,Ryan O'Reilly,2014,C,22.648,73,207,81.0,74.0,81.0,49,80,2.9191,2.4072,1.1786,0.9201,1.1615,-0.69475
Ryan O'Reilly 2015,Ryan O'Reilly,2015,C,23.647,73,207,74.0,81.0,49.0,80,82,2.4072,1.1786,0.9201,1.1615,1.8083,0.3914500000000001
Ryan O'Reilly 2016,Ryan O'Reilly,2016,C,24.647,73,207,81.0,49.0,80.0,82,71,1.1786,0.9201,1.1615,1.8083,2.1061,0.838975
Ryan O'Reilly 2017,Ryan O'Reilly,2017,C,25.649,73,207,49.0,80.0,82.0,71,72,0.9201,1.1615,1.8083,2.1061,2.3419,0.8428999999999998
Ryan O'Reilly 2018,Ryan O'Reilly,2018,C,26.648,73,207,80.0,82.0,71.0,72,81,1.1615,1.8083,2.1061,2.3419,1.5687,-0.28574999999999995
Ryan O'Reilly 2019,Ryan O'Reilly,2019,C,27.648,73,207,82.0,71.0,72.0,81,82,1.8083,2.1061,2.3419,1.5687,1.9976,0.04135
Ryan O'Reilly 2020,Ryan O'Reilly,2020,C,28.647,73,207,71.0,72.0,81.0,82,83,2.1061,2.3419,1.5687,1.9976,2.1509,0.14732499999999993
Ryan O'Reilly 2021,Ryan O'Reilly,2021,C,29.649,73,207,72.0,81.0,82.0,83,82,2.3419,1.5687,1.9976,2.1509,2.0324,0.01762499999999978
Ryan O'Reilly 2022,Ryan O'Reilly,2022,C,30.648,73,207,81.0,82.0,83.0,82,78,1.5687,1.9976,2.1509,2.0324,1.8718,-0.0656000000000001
Ryan O'Reilly 2023,Ryan O'Reilly,2023,C,31.648,73,207,82.0,83.0,82.0,78,53,1.9976,2.1509,2.0324,1.8718,1.6261,-0.38707499999999984
Kyle Clifford 2013,Kyle Clifford,2013,L,21.717,74,217,,,76.0,81,82,,,0.0033,0.2233,0.4458,0.33249999999999996
Kyle Clifford 2014,Kyle Clifford,2014,L,22.717,74,217,,76.0,81.0,82,71,,0.0033,0.2233,0.4458,0.308,0.08386666666666667
Kyle Clifford 2015,Kyle Clifford,2015,L,23.716,74,217,76.0,81.0,82.0,71,80,0.0033,0.2233,0.4458,0.308,0.039,-0.20609999999999998
Kyle Clifford 2016,Kyle Clifford,2016,L,24.715,74,217,81.0,82.0,71.0,80,56,0.2233,0.4458,0.308,0.039,0.1015,-0.152525
Kyle Clifford 2017,Kyle Clifford,2017,L,25.717,74,217,82.0,71.0,80.0,56,73,0.4458,0.308,0.039,0.1015,0.0217,-0.201875
Kyle Clifford 2018,Kyle Clifford,2018,L,26.717,74,217,71.0,80.0,56.0,73,50,0.308,0.039,0.1015,0.0217,0.0343,-0.08325
Kyle Clifford 2019,Kyle Clifford,2019,L,27.716,74,217,80.0,56.0,73.0,50,72,0.039,0.1015,0.0217,0.0343,0.0127,-0.036425
Kyle Clifford 2020,Kyle Clifford,2020,L,28.715,74,217,56.0,73.0,50.0,72,81,0.1015,0.0217,0.0343,0.0127,0.1215,0.07894999999999999
Kyle Clifford 2021,Kyle Clifford,2021,L,29.717,74,217,73.0,50.0,72.0,81,73,0.0217,0.0343,0.0127,0.1215,0.463,0.41545000000000004
Alex Chiasson 2016,Alex Chiasson,2016,R,25.0,76,208,,11.0,79.0,76,77,,,0.5565,0.8434,1.5106,0.8106499999999999
Alex Chiasson 2017,Alex Chiasson,2017,R,26.002,76,208,11.0,79.0,76.0,77,81,,0.5565,0.8434,1.5106,0.9387,-0.03146666666666664
Alex Chiasson 2018,Alex Chiasson,2018,R,27.001,76,208,79.0,76.0,77.0,81,61,0.5565,0.8434,1.5106,0.9387,1.6645,0.7022000000000002
Alex Chiasson 2019,Alex Chiasson,2019,R,28.001,76,208,76.0,77.0,81.0,61,73,0.8434,1.5106,0.9387,1.6645,0.6139,-0.6254000000000001
Alex Chiasson 2020,Alex Chiasson,2020,R,29.0,76,208,77.0,81.0,61.0,73,76,1.5106,0.9387,1.6645,0.6139,0.029,-1.1529250000000002
Alex Chiasson 2021,Alex Chiasson,2021,R,30.002,76,208,81.0,61.0,73.0,76,65,0.9387,1.6645,0.6139,0.029,0.0156,-0.7959250000000001
Alex Chiasson 2022,Alex Chiasson,2022,R,31.002,76,208,61.0,73.0,76.0,65,67,1.6645,0.6139,0.029,0.0156,0.0042,-0.57655
Jakob Silfverberg 2015,Jakob Silfverberg,2015,R,23.968,73,207,,,82.0,52,81,,,1.1382,1.0413,1.7426,0.6528499999999999
Jakob Silfverberg 2016,Jakob Silfverberg,2016,R,24.967,73,207,,82.0,52.0,81,82,,1.1382,1.0413,1.7426,2.4016,1.0942333333333336
Jakob Silfverberg 2017,Jakob Silfverberg,2017,R,25.969,73,207,82.0,52.0,81.0,82,79,1.1382,1.0413,1.7426,2.4016,1.6293,0.048374999999999835
Jakob Silfverberg 2018,Jakob Silfverberg,2018,R,26.969,73,207,52.0,81.0,82.0,79,77,1.0413,1.7426,2.4016,1.6293,1.6991,-0.0045999999999999375
Jakob Silfverberg 2019,Jakob Silfverberg,2019,R,27.968,73,207,81.0,82.0,79.0,77,73,1.7426,2.4016,1.6293,1.6991,1.7032,-0.16494999999999993
Jakob Silfverberg 2020,Jakob Silfverberg,2020,R,28.967,73,207,82.0,79.0,77.0,73,77,2.4016,1.6293,1.6991,1.7032,1.6818,-0.1765000000000001
