,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y5 dEV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Riley Nash 2020,Riley Nash,2020,C,30.396,74,188,64.0,81.0,76.0,78,75,11.0479,11.7938,13.0401,10.4581,10.6766,0.594,0.3768,0.787,0.2207,0.3512,-0.14342499999999997,0.4396,0.5166,0.4836,0.399,0.2875
Riley Nash 2021,Riley Nash,2021,C,31.399,74,188,81.0,76.0,78.0,75,54,11.7938,13.0401,10.4581,10.6766,11.2878,0.3768,0.787,0.2207,0.3512,0.2873,-0.146625,0.5166,0.4836,0.399,0.2875,0.2809
Kyle Turris 2013,Kyle Turris,2013,C,23.133,73,190,63.0,,65.0,55,82,10.1799,,9.7451,14.9158,15.4649,0.4678,,1.0419,0.8045,0.7275,-0.04389999999999994,0.5357,,0.9733,0.9089,0.8965
Kyle Turris 2014,Kyle Turris,2014,C,24.132,73,190,,65.0,55.0,82,82,,9.7451,14.9158,15.4649,14.5622,,1.0419,0.8045,0.7275,0.9044,0.046433333333333326,,0.9733,0.9089,0.8965,0.8954
Kyle Turris 2015,Kyle Turris,2015,C,25.131,73,190,65.0,55.0,82.0,82,82,9.7451,14.9158,15.4649,14.5622,15.4439,1.0419,0.8045,0.7275,0.9044,0.9002,0.030625000000000013,0.9733,0.9089,0.8965,0.8954,1.0153
Kyle Turris 2016,Kyle Turris,2016,C,26.131,73,190,55.0,82.0,82.0,82,57,14.9158,15.4649,14.5622,15.4439,16.1351,0.8045,0.7275,0.9044,0.9002,0.6524,-0.18174999999999997,0.9089,0.8965,0.8954,1.0153,0.747
Kyle Turris 2017,Kyle Turris,2017,C,27.133,73,190,82.0,82.0,82.0,57,78,15.4649,14.5622,15.4439,16.1351,15.8408,0.7275,0.9044,0.9002,0.6524,1.0198,0.22367500000000007,0.8965,0.8954,1.0153,0.747,0.7445
Kyle Turris 2018,Kyle Turris,2018,C,28.132,73,190,82.0,82.0,57.0,78,76,14.5622,15.4439,16.1351,15.8408,14.1928,0.9044,0.9002,0.6524,1.0198,0.5006,-0.3685999999999999,0.8954,1.0153,0.747,0.7445,0.7916
Kyle Turris 2019,Kyle Turris,2019,C,29.132,73,190,82.0,57.0,78.0,76,55,15.4439,16.1351,15.8408,14.1928,13.4358,0.9002,0.6524,1.0198,0.5006,0.2436,-0.52465,1.0153,0.747,0.7445,0.7916,0.4819
Kyle Turris 2020,Kyle Turris,2020,C,30.131,73,190,57.0,78.0,76.0,55,73,16.1351,15.8408,14.1928,13.4358,12.3935,0.6524,1.0198,0.5006,0.2436,0.5466,-0.057499999999999996,0.747,0.7445,0.7916,0.4819,0.5909
Colton Sceviour 2017,Colton Sceviour,2017,C,27.45,72,190,1.0,26.0,71.0,71,80,4.85,12.5436,11.354,10.4411,11.7883,0.0,1.1038,0.6699,0.8094,0.3181,-0.327675,0.0,0.6863,0.6079,0.602,0.5467
Colton Sceviour 2018,Colton Sceviour,2018,C,28.45,72,190,26.0,71.0,71.0,80,76,12.5436,11.354,10.4411,11.7883,11.0013,1.1038,0.6699,0.8094,0.3181,0.7176,-0.007699999999999929,0.6863,0.6079,0.602,0.5467,0.5665
Colton Sceviour 2019,Colton Sceviour,2019,C,29.449,72,190,71.0,71.0,80.0,76,59,11.354,10.4411,11.7883,11.0013,10.1997,0.6699,0.8094,0.3181,0.7176,0.4985,-0.13025000000000003,0.6079,0.602,0.5467,0.5665,0.6257
Colton Sceviour 2020,Colton Sceviour,2020,C,30.448,72,190,71.0,80.0,76.0,59,81,10.4411,11.7883,11.0013,10.1997,10.6063,0.8094,0.3181,0.7176,0.4985,0.4919,-0.09399999999999997,0.602,0.5467,0.5665,0.6257,0.4834
Colton Sceviour 2021,Colton Sceviour,2021,C,31.451,72,190,80.0,76.0,59.0,81,67,11.7883,11.0013,10.1997,10.6063,8.2453,0.3181,0.7176,0.4985,0.4919,0.791,0.28447500000000003,0.5467,0.5665,0.6257,0.4834,0.4579
Carl Hagelin 2014,Carl Hagelin,2014,L,25.107,72,183,,,64.0,82,72,,,14.2729,15.5691,13.6347,,,0.7882,0.7226,0.9779,0.22249999999999992,,,0.5541,0.5756,0.5912
Carl Hagelin 2015,Carl Hagelin,2015,L,26.106,72,183,,64.0,82.0,72,82,,14.2729,15.5691,13.6347,13.1841,,0.7882,0.7226,0.9779,0.888,0.05843333333333334,,0.5541,0.5756,0.5912,0.6283
Carl Hagelin 2016,Carl Hagelin,2016,L,27.105,72,183,64.0,82.0,72.0,82,80,14.2729,15.5691,13.6347,13.1841,13.8356,0.7882,0.7226,0.9779,0.888,0.7589,-0.08527499999999999,0.5541,0.5756,0.5912,0.6283,0.5419
Carl Hagelin 2017,Carl Hagelin,2017,L,28.108,72,183,82.0,72.0,82.0,80,61,15.5691,13.6347,13.1841,13.8356,13.1033,0.7226,0.9779,0.888,0.7589,0.4504,-0.38644999999999996,0.5756,0.5912,0.6283,0.5419,0.4992
Carl Hagelin 2018,Carl Hagelin,2018,L,29.107,72,183,72.0,82.0,80.0,61,81,13.6347,13.1841,13.8356,13.1033,13.3383,0.9779,0.888,0.7589,0.4504,0.4998,-0.269,0.5912,0.6283,0.5419,0.4992,0.4758
Carl Hagelin 2019,Carl Hagelin,2019,L,30.106,72,183,82.0,80.0,61.0,81,58,13.1841,13.8356,13.1033,13.3383,12.7213,0.888,0.7589,0.4504,0.4998,0.4066,-0.24267500000000003,0.6283,0.5419,0.4992,0.4758,0.4641
Carl Hagelin 2020,Carl Hagelin,2020,L,31.106,72,183,80.0,61.0,81.0,58,68,13.8356,13.1033,13.3383,12.7213,11.2394,0.7589,0.4504,0.4998,0.4066,0.6443,0.115375,0.5419,0.4992,0.4758,0.4641,0.5586
Carl Hagelin 2021,Carl Hagelin,2021,L,32.108,72,183,61.0,81.0,58.0,68,82,13.1033,13.3383,12.7213,11.2394,11.3798,0.4504,0.4998,0.4066,0.6443,0.4708,-0.02947500000000003,0.4992,0.4758,0.4641,0.5586,0.4822
Carl Hagelin 2022,Carl Hagelin,2022,L,33.107,72,183,81.0,58.0,68.0,82,53,13.3383,12.7213,11.2394,11.3798,12.3013,0.4998,0.4066,0.6443,0.4708,0.2761,-0.229275,0.4758,0.4641,0.5586,0.4822,0.4336
Jay Beagle 2015,Jay Beagle,2015,C,28.959,75,210,31.0,41.0,82.0,62,62,9.2731,10.7256,9.841,10.2175,10.9124,0.4174,0.5458,0.254,0.3789,0.8868,0.48777500000000007,0.4274,0.4565,0.608,0.5308,0.6965
Jay Beagle 2016,Jay Beagle,2016,C,29.958,75,210,41.0,82.0,62.0,62,57,10.7256,9.841,10.2175,10.9124,11.9675,0.5458,0.254,0.3789,0.8868,0.7037,0.18732499999999996,0.4565,0.608,0.5308,0.6965,0.5826
Jay Beagle 2017,Jay Beagle,2017,C,30.96,75,210,82.0,62.0,62.0,57,81,9.841,10.2175,10.9124,11.9675,10.7669,0.254,0.3789,0.8868,0.7037,0.8256,0.26975000000000005,0.608,0.5308,0.6965,0.5826,0.4824
Jay Beagle 2018,Jay Beagle,2018,C,31.96,75,210,62.0,62.0,57.0,81,79,10.2175,10.9124,11.9675,10.7669,9.8831,0.3789,0.8868,0.7037,0.8256,0.4611,-0.23764999999999997,0.5308,0.6965,0.5826,0.4824,0.4986
Jay Beagle 2019,Jay Beagle,2019,C,32.959,75,210,62.0,57.0,81.0,79,57,10.9124,11.9675,10.7669,9.8831,10.9608,0.8868,0.7037,0.8256,0.4611,0.1921,-0.5272000000000001,0.6965,0.5826,0.4824,0.4986,0.327
Jay Beagle 2020,Jay Beagle,2020,C,33.958,75,210,57.0,81.0,79.0,57,64,11.9675,10.7669,9.8831,10.9608,9.4009,0.7037,0.8256,0.4611,0.1921,0.116,-0.42962500000000003,0.5826,0.4824,0.4986,0.327,0.5378
Tyler Ennis 2015,Tyler Ennis,2015,R,24.986,69,160,82.0,48.0,80.0,80,78,13.3848,14.1816,14.3833,15.5529,15.7895,0.82,1.1459,0.71,0.6751,0.6333,-0.20445000000000002,0.8136,0.6042,0.804,0.6073,0.5501
Tyler Ennis 2019,Tyler Ennis,2019,R,28.986,69,160,78.0,23.0,51.0,73,51,15.7895,15.2029,11.4977,11.4089,8.3288,0.6333,0.1716,0.5116,0.4323,1.4125,0.9753000000000001,0.5501,0.457,0.5546,0.6256,0.7471
Tyler Ennis 2020,Tyler Ennis,2020,R,29.986,69,160,23.0,51.0,73.0,51,82,15.2029,11.4977,11.4089,8.3288,12.4536,0.1716,0.5116,0.4323,1.4125,0.7571,0.1251,0.457,0.5546,0.6256,0.7471,0.8985
Cam Atkinson 2015,Cam Atkinson,2015,R,25.323,68,176,,27.0,59.0,79,78,,12.529,13.5562,13.38,13.6803,,1.0642,1.0117,0.9082,0.7872,-0.20750000000000002,,1.1509,1.0529,0.8992,0.9814
Cam Atkinson 2016,Cam Atkinson,2016,R,26.322,68,176,27.0,59.0,79.0,78,81,12.529,13.5562,13.38,13.6803,13.6749,1.0642,1.0117,0.9082,0.7872,1.1375,0.19467499999999993,1.1509,1.0529,0.8992,0.9814,1.1683
Cam Atkinson 2017,Cam Atkinson,2017,R,27.324,68,176,59.0,79.0,78.0,81,82,13.5562,13.38,13.6803,13.6749,13.9752,1.0117,0.9082,0.7872,1.1375,1.1519,0.19074999999999998,1.0529,0.8992,0.9814,1.1683,0.9047
Cam Atkinson 2018,Cam Atkinson,2018,R,28.324,68,176,79.0,78.0,81.0,82,65,13.38,13.6803,13.6749,13.9752,14.7215,0.9082,0.7872,1.1375,1.1519,1.254,0.25780000000000003,0.8992,0.9814,1.1683,0.9047,1.2745
Cam Atkinson 2019,Cam Atkinson,2019,R,29.323,68,176,78.0,81.0,82.0,65,80,13.6803,13.6749,13.9752,14.7215,15.3571,0.7872,1.1375,1.1519,1.254,1.3674,0.28475000000000006,0.9814,1.1683,0.9047,1.2745,1.0243
Cam Atkinson 2020,Cam Atkinson,2020,R,30.323,68,176,81.0,82.0,65.0,80,51,13.6749,13.9752,14.7215,15.3571,13.9409,1.1375,1.1519,1.254,1.3674,0.8803,-0.34740000000000004,1.1683,0.9047,1.2745,1.0243,0.9568
Cam Atkinson 2021,Cam Atkinson,2021,R,31.325,68,176,82.0,65.0,80.0,51,82,13.9752,14.7215,15.3571,13.9409,14.8801,1.1519,1.254,1.3674,0.8803,0.72,-0.4434,0.9047,1.2745,1.0243,0.9568,0.805
Cam Atkinson 2022,Cam Atkinson,2022,R,32.324,68,176,65.0,80.0,51.0,82,73,14.7215,15.3571,13.9409,14.8801,13.7982,1.254,1.3674,0.8803,0.72,1.0722,0.016774999999999984,1.2745,1.0243,0.9568,0.805,0.8976
Antoine Roussel 2015,Antoine Roussel,2015,L,24.86,71,200,,,66.0,81,80,,,8.5949,11.5146,12.116,,,1.253,0.8363,0.8047,-0.23994999999999989,,,0.8008,0.728,0.6885
Antoine Roussel 2016,Antoine Roussel,2016,L,25.86,71,200,,66.0,81.0,80,80,,8.5949,11.5146,12.116,12.0973,,1.253,0.8363,0.8047,0.806,-0.15866666666666662,,0.8008,0.728,0.6885,0.6569
Antoine Roussel 2017,Antoine Roussel,2017,L,26.862,71,200,66.0,81.0,80.0,80,60,8.5949,11.5146,12.116,12.0973,12.36,1.253,0.8363,0.8047,0.806,0.9709,0.04589999999999994,0.8008,0.728,0.6885,0.6569,0.5075
Antoine Roussel 2018,Antoine Roussel,2018,L,27.861,71,200,81.0,80.0,80.0,60,73,11.5146,12.116,12.0973,12.36,11.3441,0.8363,0.8047,0.806,0.9709,0.3623,-0.492175,0.728,0.6885,0.6569,0.5075,0.565
Antoine Roussel 2019,Antoine Roussel,2019,L,28.86,71,200,80.0,80.0,60.0,73,65,12.116,12.0973,12.36,11.3441,12.8292,0.8047,0.806,0.9709,0.3623,0.5756,-0.16037500000000005,0.6885,0.6569,0.5075,0.565,0.5302
Tyler Bozak 2013,Tyler Bozak,2013,C,26.539,73,187,,37.0,82.0,73,78,,14.2446,14.4949,15.3797,15.6576,,0.683,0.4038,0.7482,0.5831,-0.02856666666666674,,0.3061,0.4116,0.5317,0.3612
Tyler Bozak 2014,Tyler Bozak,2014,C,27.538,73,187,37.0,82.0,73.0,78,58,14.2446,14.4949,15.3797,15.6576,17.0477,0.683,0.4038,0.7482,0.5831,0.7282,0.12367499999999998,0.3061,0.4116,0.5317,0.3612,0.4151
Tyler Bozak 2015,Tyler Bozak,2015,C,28.537,73,187,82.0,73.0,78.0,58,82,14.4949,15.3797,15.6576,17.0477,14.9301,0.4038,0.7482,0.5831,0.7282,0.4411,-0.17472499999999996,0.4116,0.5317,0.3612,0.4151,0.4309
Tyler Bozak 2016,Tyler Bozak,2016,C,29.537,73,187,73.0,78.0,58.0,82,57,15.3797,15.6576,17.0477,14.9301,14.4462,0.7482,0.5831,0.7282,0.4411,0.6558,0.030650000000000066,0.5317,0.3612,0.4151,0.4309,0.5973
Tyler Bozak 2017,Tyler Bozak,2017,C,30.539,73,187,78.0,58.0,82.0,57,78,15.6576,17.0477,14.9301,14.4462,13.9942,0.5831,0.7282,0.4411,0.6558,0.6046,0.0025500000000000522,0.3612,0.4151,0.4309,0.5973,0.5744
Tyler Bozak 2018,Tyler Bozak,2018,C,31.538,73,187,58.0,82.0,57.0,78,81,17.0477,14.9301,14.4462,13.9942,13.4389,0.7282,0.4411,0.6558,0.6046,0.441,-0.166425,0.4151,0.4309,0.5973,0.5744,0.6044
Tyler Bozak 2019,Tyler Bozak,2019,C,32.538,73,187,82.0,57.0,78.0,81,72,14.9301,14.4462,13.9942,13.4389,12.6785,0.4411,0.6558,0.6046,0.441,0.723,0.18737499999999996,0.4309,0.5973,0.5744,0.6044,0.6332
Tyler Bozak 2020,Tyler Bozak,2020,C,33.537,73,187,57.0,78.0,81.0,72,79,14.4462,13.9942,13.4389,12.6785,12.2816,0.6558,0.6046,0.441,0.723,0.7292,0.12309999999999999,0.5973,0.5744,0.6044,0.6332,0.4994
Richard Panik 2019,Richard Panik,2019,R,27.648,73,203,76.0,30.0,82.0,72,75,10.3893,10.5456,13.0764,13.1111,13.4107,0.6839,1.1379,1.0072,0.6356,0.7755,-0.09065000000000001,0.5041,0.5539,0.6749,0.7834,0.6742
Richard Panik 2020,Richard Panik,2020,R,28.647,73,203,30.0,82.0,72.0,75,69,10.5456,13.0764,13.1111,13.4107,10.3831,1.1379,1.0072,0.6356,0.7755,0.8815,-0.007550000000000057,0.5539,0.6749,0.7834,0.6742,0.5047
Richard Panik 2021,Richard Panik,2021,R,29.649,73,203,82.0,72.0,75.0,69,70,13.0764,13.1111,13.4107,10.3831,11.8319,1.0072,0.6356,0.7755,0.8815,0.3169,-0.5080500000000001,0.6749,0.7834,0.6742,0.5047,0.5611
Cody Eakin 2015,Cody Eakin,2015,C,23.357,72,196,,30.0,82.0,81,78,,8.87,12.1392,13.6994,13.9036,,0.9019,0.4119,0.6489,0.7746,0.12036666666666662,,0.5527,0.5718,0.7713,0.747
Cody Eakin 2016,Cody Eakin,2016,C,24.357,72,196,30.0,82.0,81.0,78,82,8.87,12.1392,13.6994,13.9036,13.4439,0.9019,0.4119,0.6489,0.7746,0.5987,-0.08562499999999995,0.5527,0.5718,0.7713,0.747,0.7343
Cody Eakin 2017,Cody Eakin,2017,C,25.359,72,196,82.0,81.0,78.0,82,60,12.1392,13.6994,13.9036,13.4439,13.9486,0.4119,0.6489,0.7746,0.5987,0.2151,-0.39342499999999997,0.5718,0.7713,0.747,0.7343,0.6427
Cody Eakin 2018,Cody Eakin,2018,C,26.358,72,196,81.0,78.0,82.0,60,80,13.6994,13.9036,13.4439,13.9486,12.4367,0.6489,0.7746,0.5987,0.2151,0.6031,0.04377500000000001,0.7713,0.747,0.7343,0.6427,0.5659
Cody Eakin 2019,Cody Eakin,2019,C,27.357,72,196,78.0,82.0,60.0,80,78,13.9036,13.4439,13.9486,12.4367,12.9241,0.7746,0.5987,0.2151,0.6031,1.0713,0.5234249999999999,0.747,0.7343,0.6427,0.5659,0.7826
Cody Eakin 2020,Cody Eakin,2020,C,28.357,72,196,82.0,60.0,80.0,78,57,13.4439,13.9486,12.4367,12.9241,12.2276,0.5987,0.2151,0.6031,1.0713,0.5007,-0.12134999999999996,0.7343,0.6427,0.5659,0.7826,0.6965
Cody Eakin 2021,Cody Eakin,2021,C,29.359,72,196,60.0,80.0,78.0,57,67,13.9486,12.4367,12.9241,12.2276,11.2196,0.2151,0.6031,1.0713,0.5007,0.3488,-0.24875000000000003,0.6427,0.5659,0.7826,0.6965,0.4415
Cody Eakin 2022,Cody Eakin,2022,C,30.358,72,196,80.0,78.0,57.0,67,69,12.4367,12.9241,12.2276,11.2196,12.2628,0.6031,1.0713,0.5007,0.3488,0.2127,-0.41827499999999995,0.5659,0.7826,0.6965,0.4415,0.3836
Johan Larsson 2020,Johan Larsson,2020,L,27.185,71,206,74.0,36.0,80.0,73,73,13.4955,15.1472,12.0129,11.8639,12.7685,0.5407,0.5502,0.1873,0.3464,0.4547,0.04854999999999998,0.5226,0.476,0.3353,0.4871,0.4275
Johan Larsson 2021,Johan Larsson,2021,L,28.187,71,206,36.0,80.0,73.0,73,76,15.1472,12.0129,11.8639,12.7685,12.1269,0.5502,0.1873,0.3464,0.4547,0.7612,0.37655,0.476,0.3353,0.4871,0.4275,0.5003
Brett Connolly 2017,Brett Connolly,2017,R,24.417,75,198,8.0,11.0,55.0,71,66,8.4367,10.8545,10.1085,12.1087,10.2045,0.0,0.5025,1.0792,0.4885,1.2472,0.7296500000000001,2.0966,1.111,1.1298,1.1398,0.873
Brett Connolly 2018,Brett Connolly,2018,R,25.416,75,198,11.0,55.0,71.0,66,70,10.8545,10.1085,12.1087,10.2045,10.526,0.5025,1.0792,0.4885,1.2472,0.8957,0.06635000000000002,1.111,1.1298,1.1398,0.873,0.9043
Brett Connolly 2019,Brett Connolly,2019,R,26.416,75,198,55.0,71.0,66.0,70,81,10.1085,12.1087,10.2045,10.526,12.3704,1.0792,0.4885,1.2472,0.8957,1.2575,0.3298500000000001,1.1298,1.1398,0.873,0.9043,1.3971
Brett Connolly 2020,Brett Connolly,2020,R,27.415,75,198,71.0,66.0,70.0,81,81,12.1087,10.2045,10.526,12.3704,13.1133,0.4885,1.2472,0.8957,1.2575,0.9947,0.022475000000000023,1.1398,0.873,0.9043,1.3971,0.8598
Joonas Donskoi 2018,Joonas Donskoi,2018,R,25.468,72,185,,,76.0,61,66,,,12.6169,12.4117,13.322,,,0.5006,0.3962,0.8871,0.4387,,,0.7093,0.7447,0.7788
Joonas Donskoi 2019,Joonas Donskoi,2019,R,26.468,72,185,,76.0,61.0,66,80,,12.6169,12.4117,13.322,12.7804,,0.5006,0.3962,0.8871,0.7629,0.16826666666666668,,0.7093,0.7447,0.7788,0.6646
Joonas Donskoi 2020,Joonas Donskoi,2020,R,27.467,72,185,76.0,61.0,66.0,80,76,12.6169,12.4117,13.322,12.7804,13.4931,0.5006,0.3962,0.8871,0.7629,0.8209,0.18419999999999992,0.7093,0.7447,0.7788,0.6646,0.7463
Joonas Donskoi 2021,Joonas Donskoi,2021,R,28.469,72,185,61.0,66.0,80.0,76,74,12.4117,13.322,12.7804,13.4931,11.098,0.3962,0.8871,0.7629,0.8209,1.2721,0.5553250000000001,0.7447,0.7788,0.6646,0.7463,0.8692
Joonas Donskoi 2022,Joonas Donskoi,2022,R,29.468,72,185,66.0,80.0,76.0,74,75,13.322,12.7804,13.4931,11.098,11.5636,0.8871,0.7629,0.8209,1.2721,0.1384,-0.79735,0.7788,0.6646,0.7463,0.8692,0.5127
Ryan Dzingel 2019,Ryan Dzingel,2019,C,26.563,72,190,,30.0,81.0,79,78,,10.6544,12.8508,14.308,15.0246,,0.5631,0.6917,1.0086,1.0752,0.3207333333333333,,0.7093,0.9841,0.8917,0.9322
Ryan Dzingel 2020,Ryan Dzingel,2020,C,27.563,72,190,30.0,81.0,79.0,78,75,10.6544,12.8508,14.308,15.0246,11.8646,0.5631,0.6917,1.0086,1.0752,0.3161,-0.5185500000000001,0.7093,0.9841,0.8917,0.9322,0.8947
Ryan Dzingel 2021,Ryan Dzingel,2021,C,28.565,72,190,81.0,79.0,78.0,75,58,12.8508,14.308,15.0246,11.8646,10.9254,0.6917,1.0086,1.0752,0.3161,0.8238,0.050900000000000056,0.9841,0.8917,0.9322,0.8947,0.6259
Logan Shaw 2018,Logan Shaw,2018,R,24.989,75,208,,,53.0,55,72,,,10.6808,8.1994,10.1539,,,0.424,0.2661,0.3283,-0.016749999999999987,,,0.4486,0.4318,0.5591
Rocco Grimaldi 2021,Rocco Grimaldi,2021,R,27.645,66,180,4.0,6.0,53.0,77,58,11.0,9.4944,9.9601,12.4215,11.915,0.0,1.0532,0.5683,0.7319,1.133,0.5446500000000001,2.0249,0.4746,0.752,0.7915,0.6614
Dmitrij Jaskin 2017,Dmitrij Jaskin,2017,R,23.527,74,216,3.0,18.0,54.0,65,51,7.4917,9.9741,12.4099,11.59,11.1333,0.0,0.3342,0.8953,0.3186,0.1057,-0.281325,0.322,0.2591,0.4607,0.3989,0.2683
Dmitrij Jaskin 2018,Dmitrij Jaskin,2018,R,24.526,74,216,18.0,54.0,65.0,51,76,9.9741,12.4099,11.59,11.1333,11.9289,0.3342,0.8953,0.3186,0.1057,0.3971,-0.016349999999999976,0.2591,0.4607,0.3989,0.2683,0.4158
Victor Rask 2017,Victor Rask,2017,C,23.587,74,199,,,80.0,80,82,,,13.3777,14.1567,14.74,,,0.5046,0.8477,0.5957,-0.08045000000000002,,,0.8107,0.8691,0.7536
Victor Rask 2018,Victor Rask,2018,C,24.587,74,199,,80.0,80.0,82,71,,13.3777,14.1567,14.74,13.2606,,0.5046,0.8477,0.5957,0.6373,-0.01203333333333334,,0.8107,0.8691,0.7536,0.7348
Gabriel Landeskog 2014,Gabriel Landeskog,2014,L,20.855,73,215,,,82.0,61,81,,,15.0837,14.95,16.0348,,,0.7762,0.6689,0.9701,0.24754999999999994,,,0.8626,0.804,0.9105
Gabriel Landeskog 2015,Gabriel Landeskog,2015,L,21.854,73,215,,82.0,61.0,81,82,,15.0837,14.95,16.0348,15.525,,0.7762,0.6689,0.9701,0.707,-0.09806666666666675,,0.8626,0.804,0.9105,0.7177
Gabriel Landeskog 2016,Gabriel Landeskog,2016,L,22.853,73,215,82.0,61.0,81.0,82,75,15.0837,14.95,16.0348,15.525,14.7209,0.7762,0.6689,0.9701,0.707,0.8152,0.03465000000000007,0.8626,0.804,0.9105,0.7177,0.5846
Gabriel Landeskog 2017,Gabriel Landeskog,2017,L,23.856,73,215,61.0,81.0,82.0,75,72,14.95,16.0348,15.525,14.7209,14.6743,0.6689,0.9701,0.707,0.8152,0.6815,-0.10880000000000001,0.804,0.9105,0.7177,0.5846,0.7498
Gabriel Landeskog 2018,Gabriel Landeskog,2018,L,24.855,73,215,81.0,82.0,75.0,72,78,16.0348,15.525,14.7209,14.6743,15.4062,0.9701,0.707,0.8152,0.6815,0.7989,0.005450000000000066,0.9105,0.7177,0.5846,0.7498,0.7719
Gabriel Landeskog 2019,Gabriel Landeskog,2019,L,25.854,73,215,82.0,75.0,72.0,78,73,15.525,14.7209,14.6743,15.4062,16.7527,0.707,0.8152,0.6815,0.7989,1.1775,0.42684999999999995,0.7177,0.5846,0.7498,0.7719,0.9238
Gabriel Landeskog 2020,Gabriel Landeskog,2020,L,26.854,73,215,75.0,72.0,78.0,73,63,14.7209,14.6743,15.4062,16.7527,16.1065,0.8152,0.6815,0.7989,1.1775,1.0348,0.16652499999999992,0.5846,0.7498,0.7719,0.9238,1.1356
Gabriel Landeskog 2021,Gabriel Landeskog,2021,L,27.856,73,215,72.0,78.0,73.0,63,79,14.6743,15.4062,16.7527,16.1065,15.771,0.6815,0.7989,1.1775,1.0348,0.775,-0.14817499999999995,0.7498,0.7719,0.9238,1.1356,0.8937
Gabriel Landeskog 2022,Gabriel Landeskog,2022,L,28.855,73,215,78.0,73.0,63.0,79,51,15.4062,16.7527,16.1065,15.771,16.2703,0.7989,1.1775,1.0348,0.775,1.6631,0.71655,0.7719,0.9238,1.1356,0.8937,1.2334
Sean Couturier 2014,Sean Couturier,2014,C,20.816,75,211,,,77.0,78,82,,,10.9494,11.8725,14.3386,,,0.7828,0.4395,0.6124,0.0012499999999999734,,,0.7386,0.5733,0.7545
Sean Couturier 2015,Sean Couturier,2015,C,21.816,75,211,,77.0,78.0,82,82,,10.9494,11.8725,14.3386,14.4998,,0.7828,0.4395,0.6124,0.656,0.044433333333333325,,0.7386,0.5733,0.7545,0.6091
Sean Couturier 2016,Sean Couturier,2016,C,22.815,75,211,77.0,78.0,82.0,82,63,10.9494,11.8725,14.3386,14.4998,14.8492,0.7828,0.4395,0.6124,0.656,0.5772,-0.04547500000000004,0.7386,0.5733,0.7545,0.6091,0.7611
Sean Couturier 2017,Sean Couturier,2017,C,23.817,75,211,78.0,82.0,82.0,63,66,11.8725,14.3386,14.4998,14.8492,14.8179,0.4395,0.6124,0.656,0.5772,0.8589,0.287625,0.5733,0.7545,0.6091,0.7611,0.8802
Sean Couturier 2018,Sean Couturier,2018,C,24.817,75,211,82.0,82.0,63.0,66,82,14.3386,14.4998,14.8492,14.8179,16.4575,0.6124,0.656,0.5772,0.8589,1.067,0.39087499999999986,0.7545,0.6091,0.7611,0.8802,0.973
Sean Couturier 2019,Sean Couturier,2019,C,25.816,75,211,82.0,63.0,66.0,82,80,14.4998,14.8492,14.8179,16.4575,16.7025,0.656,0.5772,0.8589,1.067,1.0777,0.2879250000000001,0.6091,0.7611,0.8802,0.973,0.837
Sean Couturier 2020,Sean Couturier,2020,C,26.815,75,211,63.0,66.0,82.0,80,81,14.8492,14.8179,16.4575,16.7025,14.9126,0.5772,0.8589,1.067,1.0777,1.0496,0.1544000000000001,0.7611,0.8802,0.973,0.837,0.9962
Sean Couturier 2021,Sean Couturier,2021,C,27.817,75,211,66.0,82.0,80.0,81,65,14.8179,16.4575,16.7025,14.9126,14.6889,0.8589,1.067,1.0777,1.0496,1.3616,0.34829999999999983,0.8802,0.973,0.837,0.9962,0.9728
Sven Baertschi 2018,Sven Baertschi,2018,L,24.989,71,190,26.0,18.0,69.0,68,53,12.9109,9.4231,11.7099,13.6968,13.5204,0.1787,0.7075,0.9654,1.0307,0.5861,-0.134475,0.5857,0.5963,0.9047,0.7506,0.6273
Cedric Paquette 2017,Cedric Paquette,2017,C,23.135,72,205,,2.0,64.0,56,58,,14.1833,11.4677,11.0655,9.983,,0.0,0.8175,0.4841,0.4145,-0.0193666666666667,,0.2045,0.7329,0.4195,0.6724
Cedric Paquette 2018,Cedric Paquette,2018,C,24.135,72,205,2.0,64.0,56.0,58,56,14.1833,11.4677,11.0655,9.983,9.6199,0.0,0.8175,0.4841,0.4145,0.5569,0.12787499999999996,0.2045,0.7329,0.4195,0.6724,0.572
Cedric Paquette 2019,Cedric Paquette,2019,C,25.134,72,205,64.0,56.0,58.0,56,80,11.4677,11.0655,9.983,9.6199,9.9396,0.8175,0.4841,0.4145,0.5569,0.83,0.26175000000000004,0.7329,0.4195,0.6724,0.572,0.6254
Cedric Paquette 2020,Cedric Paquette,2020,C,26.134,72,205,56.0,58.0,56.0,80,71,11.0655,9.983,9.6199,9.9396,11.0361,0.4841,0.4145,0.5569,0.83,0.5348,-0.03657499999999991,0.4195,0.6724,0.572,0.6254,0.7448
