,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y5 dEV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
John Mitchell 2014,John Mitchell,2014,C,28.691,73,204,60.0,23.0,63.0,80,75,12.8189,11.2101,9.4574,13.6656,13.3829,0.39,0.2327,0.5035,0.8408,0.4782,-0.013549999999999951,0.5458,0.4347,0.9883,0.5094,0.4473
John Mitchell 2015,John Mitchell,2015,C,29.69,73,204,23.0,63.0,80.0,75,68,11.2101,9.4574,13.6656,13.3829,14.2855,0.2327,0.5035,0.8408,0.4782,0.4324,-0.08140000000000003,0.4347,0.9883,0.5094,0.4473,0.4568
John Mitchell 2016,John Mitchell,2016,C,30.689,73,204,63.0,80.0,75.0,68,71,9.4574,13.6656,13.3829,14.2855,12.6211,0.5035,0.8408,0.4782,0.4324,0.6696,0.10587499999999994,0.9883,0.5094,0.4473,0.4568,0.6658
John Mitchell 2017,John Mitchell,2017,C,31.691,73,204,80.0,75.0,68.0,71,65,13.6656,13.3829,14.2855,12.6211,11.7105,0.8408,0.4782,0.4324,0.6696,0.2365,-0.36874999999999997,0.5094,0.4473,0.4568,0.6658,0.4136
Drew Miller 2012,Drew Miller,2012,L,27.62,74,183,26.0,27.0,80.0,67,80,9.9814,11.3426,10.5085,9.4194,10.7538,0.4624,0.7837,0.571,0.8556,0.9764,0.3082250000000001,0.4811,0.7273,0.4944,0.6113,0.5964
Drew Miller 2013,Drew Miller,2013,L,28.622,74,183,27.0,80.0,67.0,80,75,11.3426,10.5085,9.4194,10.7538,11.3,0.7837,0.571,0.8556,0.9764,0.362,-0.43467500000000003,0.7273,0.4944,0.6113,0.5964,0.5287
Drew Miller 2014,Drew Miller,2014,L,29.622,74,183,80.0,67.0,80.0,75,82,10.5085,9.4194,10.7538,11.3,11.0362,0.571,0.8556,0.9764,0.362,0.4641,-0.22715000000000002,0.4944,0.6113,0.5964,0.5287,0.6048
Drew Miller 2015,Drew Miller,2015,L,30.621,74,183,67.0,80.0,75.0,82,82,9.4194,10.7538,11.3,11.0362,10.1955,0.8556,0.9764,0.362,0.4641,0.2871,-0.377425,0.6113,0.5964,0.5287,0.6048,0.4573
Lauri Korpikoski 2011,Lauri Korpikoski,2011,L,24.179,73,193,,,68.0,71,79,,,9.8627,10.1986,11.8074,,,0.5368,0.4143,1.0935,0.6179499999999999,,,0.4021,0.4527,0.5211
Lauri Korpikoski 2012,Lauri Korpikoski,2012,L,25.178,73,193,,68.0,71.0,79,82,,9.8627,10.1986,11.8074,13.7803,,0.5368,0.4143,1.0935,0.7434,0.061866666666666625,,0.4021,0.4527,0.5211,0.5793
Lauri Korpikoski 2013,Lauri Korpikoski,2013,L,26.18,73,193,68.0,71.0,79.0,82,61,9.8627,10.1986,11.8074,13.7803,13.5056,0.5368,0.4143,1.0935,0.7434,0.617,-0.07999999999999996,0.4021,0.4527,0.5211,0.5793,0.5345
Lauri Korpikoski 2014,Lauri Korpikoski,2014,L,27.179,73,193,71.0,79.0,82.0,61,64,10.1986,11.8074,13.7803,13.5056,13.2245,0.4143,1.0935,0.7434,0.617,0.5671,-0.14994999999999992,0.4527,0.5211,0.5793,0.5345,0.5858
Lauri Korpikoski 2015,Lauri Korpikoski,2015,L,28.179,73,193,79.0,82.0,61.0,64,69,11.8074,13.7803,13.5056,13.2245,12.622,1.0935,0.7434,0.617,0.5671,0.0689,-0.68635,0.5211,0.5793,0.5345,0.5858,0.3854
Lauri Korpikoski 2016,Lauri Korpikoski,2016,L,29.178,73,193,82.0,61.0,64.0,69,71,13.7803,13.5056,13.2245,12.622,11.1082,0.7434,0.617,0.5671,0.0689,0.5325,0.033399999999999985,0.5793,0.5345,0.5858,0.3854,0.5029
Lauri Korpikoski 2017,Lauri Korpikoski,2017,L,30.18,73,193,61.0,64.0,69.0,71,69,13.5056,13.2245,12.622,11.1082,10.7688,0.617,0.5671,0.0689,0.5325,0.646,0.199625,0.5345,0.5858,0.3854,0.5029,0.5352
Bryan Bickell 2013,Bryan Bickell,2013,L,26.566,76,223,,16.0,78.0,71,82,,9.4812,12.9075,11.642,12.5073,,1.1866,0.8939,0.6533,0.8995,-0.011766666666666703,,0.6912,0.7638,0.592,0.6553
Bryan Bickell 2014,Bryan Bickell,2014,L,27.565,76,223,16.0,78.0,71.0,82,59,9.4812,12.9075,11.642,12.5073,10.8565,1.1866,0.8939,0.6533,0.8995,1.0304,0.12207499999999993,0.6912,0.7638,0.592,0.6553,0.8833
Bryan Bickell 2015,Bryan Bickell,2015,L,28.565,76,223,78.0,71.0,82.0,59,80,12.9075,11.642,12.5073,10.8565,11.3483,0.8939,0.6533,0.8995,1.0304,0.8592,-0.010075000000000056,0.7638,0.592,0.6553,0.8833,0.8532
Rene Bourque 2010,Rene Bourque,2010,R,27.809,74,217,,,62.0,58,73,,,11.7406,12.6532,14.2014,,,0.4121,1.6351,0.9839,-0.03970000000000007,,,0.4574,0.8645,0.6942
Rene Bourque 2011,Rene Bourque,2011,R,28.808,74,217,,62.0,58.0,73,80,,11.7406,12.6532,14.2014,13.6731,,0.4121,1.6351,0.9839,1.097,0.08663333333333334,,0.4574,0.8645,0.6942,0.6354
Rene Bourque 2012,Rene Bourque,2012,R,29.808,74,217,62.0,58.0,73.0,80,76,11.7406,12.6532,14.2014,13.6731,13.5557,0.4121,1.6351,0.9839,1.097,0.8153,-0.21672499999999995,0.4574,0.8645,0.6942,0.6354,0.5463
Mason Raymond 2011,Mason Raymond,2011,L,25.038,73,179,,49.0,72.0,82,70,,10.015,11.0299,13.6593,13.3493,,0.9781,0.5289,0.9107,0.7705,-0.03539999999999999,,0.8313,0.9844,1.1545,1.2026
Mason Raymond 2012,Mason Raymond,2012,L,26.038,73,179,49.0,72.0,82.0,70,55,10.015,11.0299,13.6593,13.3493,13.5073,0.9781,0.5289,0.9107,0.7705,0.6461,-0.15095000000000003,0.8313,0.9844,1.1545,1.2026,0.7761
Mason Raymond 2013,Mason Raymond,2013,L,27.04,73,179,72.0,82.0,70.0,55,78,11.0299,13.6593,13.3493,13.5073,12.6025,0.5289,0.9107,0.7705,0.6461,0.621,-0.09304999999999997,0.9844,1.1545,1.2026,0.7761,0.6805
Mason Raymond 2014,Mason Raymond,2014,L,28.039,73,179,82.0,70.0,55.0,78,82,13.6593,13.3493,13.5073,12.6025,13.9789,0.9107,0.7705,0.6461,0.621,0.6281,-0.10897499999999993,1.1545,1.2026,0.7761,0.6805,0.7181
Mason Raymond 2015,Mason Raymond,2015,L,29.038,73,179,70.0,55.0,78.0,82,57,13.3493,13.5073,12.6025,13.9789,12.6506,0.7705,0.6461,0.621,0.6281,0.9985,0.332075,1.2026,0.7761,0.6805,0.7181,0.6617
Devin Setoguchi 2011,Devin Setoguchi,2011,R,23.749,72,205,,44.0,81.0,70,72,,11.8553,13.3792,12.9176,13.1968,,0.9202,1.1073,0.7963,1.1366,0.19533333333333336,,0.8305,0.9281,0.7261,0.969
Devin Setoguchi 2012,Devin Setoguchi,2012,R,24.748,72,205,44.0,81.0,70.0,72,69,11.8553,13.3792,12.9176,13.1968,14.7872,0.9202,1.1073,0.7963,1.1366,0.6469,-0.34319999999999995,0.8305,0.9281,0.7261,0.969,0.6148
Devin Setoguchi 2013,Devin Setoguchi,2013,R,25.75,72,205,81.0,70.0,72.0,69,82,13.3792,12.9176,13.1968,14.7872,12.417,1.1073,0.7963,1.1366,0.6469,0.8053,-0.116475,0.9281,0.7261,0.969,0.6148,0.6939
Devin Setoguchi 2014,Devin Setoguchi,2014,R,26.75,72,205,70.0,72.0,69.0,82,75,12.9176,13.1968,14.7872,12.417,13.2469,0.7963,1.1366,0.6469,0.8053,0.5435,-0.302775,0.7261,0.969,0.6148,0.6939,0.5864
Chris VandeVelde 2017,Chris VandeVelde,2017,C,29.55,74,190,18.0,18.0,72.0,79,81,6.0485,6.0111,9.9414,11.1565,9.0128,0.0,0.0,0.7544,0.0681,0.4931,0.287475,0.3904,0.2756,0.4321,0.4688,0.3815
Andrew Desjardins 2014,Andrew Desjardins,2014,"C, L",27.182,73,195,,17.0,76.0,71,81,,6.7922,8.6934,8.9472,9.8582,,0.5196,0.3633,0.3193,0.2254,-0.17533333333333334,,0.2764,0.2961,0.4625,0.2915
Andrew Desjardins 2015,Andrew Desjardins,2015,"C, L",28.181,73,195,17.0,76.0,71.0,81,69,6.7922,8.6934,8.9472,9.8582,9.5862,0.5196,0.3633,0.3193,0.2254,0.4535,0.09660000000000002,0.2764,0.2961,0.4625,0.2915,0.2087
Andrew Desjardins 2016,Andrew Desjardins,2016,"C, L",29.181,73,195,76.0,71.0,81.0,69,77,8.6934,8.9472,9.8582,9.5862,11.5009,0.3633,0.3193,0.2254,0.4535,0.542,0.20162500000000005,0.2961,0.4625,0.2915,0.2087,0.4172
Viktor Stalberg 2013,Viktor Stalberg,2013,L,26.706,75,209,,40.0,77.0,79,80,,12.3925,10.4667,13.5673,11.8812,,1.0894,0.8934,1.2316,0.967,-0.1044666666666666,,1.0643,0.7782,1.0149,0.8231
Viktor Stalberg 2014,Viktor Stalberg,2014,L,27.705,75,209,40.0,77.0,79.0,80,70,12.3925,10.4667,13.5673,11.8812,12.3226,1.0894,0.8934,1.2316,0.967,0.5565,-0.48885,1.0643,0.7782,1.0149,0.8231,0.528
Teddy Purcell 2012,Teddy Purcell,2012,"L, R",26.062,74,195,10.0,40.0,60.0,81,81,10.9933,10.7162,11.1683,11.3053,13.5405,0.5458,0.2799,0.2686,0.9173,0.8753,0.37239999999999995,0.4202,0.4482,0.6456,0.5939,0.4547
Teddy Purcell 2013,Teddy Purcell,2013,"L, R",27.064,74,195,40.0,60.0,81.0,81,82,10.7162,11.1683,11.3053,13.5405,13.3215,0.2799,0.2686,0.9173,0.8753,0.7507,0.16542500000000004,0.4482,0.6456,0.5939,0.4547,0.4565
Teddy Purcell 2014,Teddy Purcell,2014,"L, R",28.064,74,195,60.0,81.0,81.0,82,81,11.1683,11.3053,13.5405,13.3215,13.3992,0.2686,0.9173,0.8753,0.7507,0.4975,-0.20547500000000002,0.6456,0.5939,0.4547,0.4565,0.4503
Teddy Purcell 2015,Teddy Purcell,2015,"L, R",29.063,74,195,81.0,81.0,82.0,81,82,11.3053,13.5405,13.3215,13.3992,13.7685,0.9173,0.8753,0.7507,0.4975,0.372,-0.3882,0.5939,0.4547,0.4565,0.4503,0.5157
Teddy Purcell 2016,Teddy Purcell,2016,"L, R",30.062,74,195,81.0,82.0,81.0,82,76,13.5405,13.3215,13.3992,13.7685,13.7526,0.8753,0.7507,0.4975,0.372,0.6889,0.065025,0.4547,0.4565,0.4503,0.5157,0.5324
Dwight King 2015,Dwight King,2015,L,25.241,76,229,6.0,27.0,80.0,77,81,11.6472,12.8093,12.3702,13.2626,13.0529,0.0,0.8674,0.4128,0.705,0.7377,0.24140000000000006,0.2447,0.6869,0.6081,0.6967,0.7232
Joe Colborne 2016,Joe Colborne,2016,C,25.668,77,221,10.0,8.0,80.0,64,73,12.9017,8.9433,12.5869,13.2349,12.8322,0.4651,0.0,0.5363,0.425,1.0248,0.6681999999999999,0.2049,0.2728,0.4759,0.5249,0.5557
Joe Colborne 2017,Joe Colborne,2017,C,26.67,77,221,8.0,80.0,64.0,73,62,8.9433,12.5869,13.2349,12.8322,9.4142,0.0,0.5363,0.425,1.0248,0.2056,-0.290925,0.2728,0.4759,0.5249,0.5557,0.4192
