,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,3.3455,3.2124,3.0038,3.5215,3.2827,0.011900000000000244
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,82.0,82.0,82.0,82,82,3.2124,3.0038,3.5215,3.2827,3.672,0.41690000000000005
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,82.0,82.0,82.0,82,81,3.0038,3.5215,3.2827,3.672,3.322,-0.04800000000000004
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,82.0,82.0,82.0,81,82,3.5215,3.2827,3.672,3.322,3.1994,-0.25015000000000054
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,82.0,82.0,81.0,82,75,3.2827,3.672,3.322,3.1994,2.9693,-0.3997250000000001
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,82.0,81.0,82.0,75,79,3.672,3.322,3.1994,2.9693,2.6346,-0.6560750000000004
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,81.0,82.0,75.0,79,82,3.322,3.1994,2.9693,2.6346,3.0979,0.06657500000000027
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,82.0,75.0,79.0,82,82,3.1994,2.9693,2.6346,3.0979,2.737,-0.23829999999999973
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,75.0,79.0,82.0,82,82,2.9693,2.6346,3.0979,2.737,3.0856,0.22589999999999977
Alex Ovechkin 2011,Alex Ovechkin,2011,L,25.038,75,238,,82.0,79.0,72,79,,5.6803,5.4042,5.0671,4.4477,-0.9361666666666668
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,82.0,79.0,72.0,79,78,5.6803,5.4042,5.0671,4.4477,3.6338,-1.516025
Alex Ovechkin 2013,Alex Ovechkin,2013,L,27.04,75,238,79.0,72.0,79.0,78,82,5.4042,5.0671,4.4477,3.6338,4.5997,-0.03849999999999998
Alex Ovechkin 2014,Alex Ovechkin,2014,L,28.039,75,238,72.0,79.0,78.0,82,78,5.0671,4.4477,3.6338,4.5997,5.0355,0.5984249999999998
Alex Ovechkin 2015,Alex Ovechkin,2015,L,29.038,75,238,79.0,78.0,82.0,78,81,4.4477,3.6338,4.5997,5.0355,3.8181,-0.611075
Alex Ovechkin 2016,Alex Ovechkin,2016,L,30.038,75,238,78.0,82.0,78.0,81,79,3.6338,4.5997,5.0355,3.8181,4.2935,0.021724999999999994
Alex Ovechkin 2017,Alex Ovechkin,2017,L,31.04,75,238,82.0,78.0,81.0,79,82,4.5997,5.0355,3.8181,4.2935,3.7238,-0.7128999999999999
Alex Ovechkin 2018,Alex Ovechkin,2018,L,32.039,75,238,78.0,81.0,79.0,82,82,5.0355,3.8181,4.2935,3.7238,4.2083,-0.00942499999999935
Alex Ovechkin 2019,Alex Ovechkin,2019,L,33.039,75,238,81.0,79.0,82.0,82,81,3.8181,4.2935,3.7238,4.2083,4.4292,0.4182749999999995
Alex Ovechkin 2020,Alex Ovechkin,2020,L,34.038,75,238,79.0,82.0,82.0,81,80,4.2935,3.7238,4.2083,4.4292,4.8571,0.6933999999999996
Alex Ovechkin 2021,Alex Ovechkin,2021,L,35.04,75,238,82.0,82.0,81.0,80,65,3.7238,4.2083,4.4292,4.8571,4.1456,-0.1589999999999998
Alex Ovechkin 2022,Alex Ovechkin,2022,L,36.039,75,238,82.0,81.0,80.0,65,77,4.2083,4.4292,4.8571,4.1456,4.7567,0.34665000000000035
Alex Ovechkin 2023,Alex Ovechkin,2023,L,37.039,75,238,81.0,80.0,65.0,77,73,4.4292,4.8571,4.1456,4.7567,4.7075,0.16034999999999933
Evgeni Malkin 2011,Evgeni Malkin,2011,C,24.17,75,195,,82.0,82.0,67,43,,5.0311,5.5598,4.8831,5.3318,0.17379999999999995
Evgeni Malkin 2012,Evgeni Malkin,2012,C,25.17,75,195,82.0,82.0,67.0,43,75,5.0311,5.5598,4.8831,5.3318,4.3771,-0.8243499999999999
Evgeni Malkin 2013,Evgeni Malkin,2013,C,26.172,75,195,82.0,67.0,43.0,75,52,5.5598,4.8831,5.3318,4.3771,4.5059,-0.5320500000000008
Evgeni Malkin 2014,Evgeni Malkin,2014,C,27.171,75,195,67.0,43.0,75.0,52,60,4.8831,5.3318,4.3771,4.5059,4.5744,-0.200075
Evgeni Malkin 2015,Evgeni Malkin,2015,C,28.171,75,195,43.0,75.0,52.0,60,69,5.3318,4.3771,4.5059,4.5744,3.6498,-1.0475000000000003
Evgeni Malkin 2016,Evgeni Malkin,2016,C,29.17,75,195,75.0,52.0,60.0,69,57,4.3771,4.5059,4.5744,3.6498,3.8129,-0.46389999999999976
Evgeni Malkin 2017,Evgeni Malkin,2017,C,30.172,75,195,52.0,60.0,69.0,57,62,4.5059,4.5744,3.6498,3.8129,3.6823,-0.4534499999999997
Evgeni Malkin 2018,Evgeni Malkin,2018,C,31.171,75,195,60.0,69.0,57.0,62,78,4.5744,3.6498,3.8129,3.6823,3.6703,-0.25954999999999995
Evgeni Malkin 2019,Evgeni Malkin,2019,C,32.171,75,195,69.0,57.0,62.0,78,68,3.6498,3.8129,3.6823,3.6703,3.4272,-0.2766250000000001
Evgeni Malkin 2020,Evgeni Malkin,2020,C,33.17,75,195,57.0,62.0,78.0,68,64,3.8129,3.6823,3.6703,3.4272,3.6161,-0.0320750000000003
Evgeni Malkin 2021,Evgeni Malkin,2021,C,34.172,75,195,62.0,78.0,68.0,64,48,3.6823,3.6703,3.4272,3.6161,3.1313,-0.4676750000000003
Evgeni Malkin 2022,Evgeni Malkin,2022,C,35.171,75,195,78.0,68.0,64.0,48,41,3.6703,3.4272,3.6161,3.1313,3.7841,0.32287500000000025
Evgeni Malkin 2023,Evgeni Malkin,2023,C,36.171,75,195,68.0,64.0,48.0,41,82,3.4272,3.6161,3.1313,3.7841,4.0764,0.5867249999999995
Blake Wheeler 2012,Blake Wheeler,2012,R,25.085,77,220,,81.0,82.0,81,80,,0.9249,2.0707,1.33,2.6465,1.2046333333333334
Blake Wheeler 2013,Blake Wheeler,2013,R,26.087,77,220,81.0,82.0,81.0,80,82,0.9249,2.0707,1.33,2.6465,2.601,0.8579749999999999
Blake Wheeler 2014,Blake Wheeler,2014,R,27.086,77,220,82.0,81.0,80.0,82,82,2.0707,1.33,2.6465,2.601,2.64,0.4779500000000003
Blake Wheeler 2015,Blake Wheeler,2015,R,28.086,77,220,81.0,80.0,82.0,82,79,1.33,2.6465,2.601,2.64,3.2403,0.9359249999999997
