,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Alexander Edler 2011,Alexander Edler,2011,D,24.447,76,210,,75.0,80.0,76,51,,1.76,1.6431,2.2033,2.2471,0.3783000000000001
Alexander Edler 2012,Alexander Edler,2012,D,25.446,76,210,75.0,80.0,76.0,51,82,1.76,1.6431,2.2033,2.2471,2.2927,0.32932499999999987
Alexander Edler 2013,Alexander Edler,2013,D,26.448,76,210,80.0,76.0,51.0,82,76,1.6431,2.2033,2.2471,2.2927,1.9874,-0.10915000000000008
Alexander Edler 2014,Alexander Edler,2014,D,27.448,76,210,76.0,51.0,82.0,76,63,2.2033,2.2471,2.2927,1.9874,2.2016,0.018975000000000186
Alexander Edler 2015,Alexander Edler,2015,D,28.447,76,210,51.0,82.0,76.0,63,74,2.2471,2.2927,1.9874,2.2016,2.5851,0.40290000000000026
Alexander Edler 2016,Alexander Edler,2016,D,29.446,76,210,82.0,76.0,63.0,74,52,2.2927,1.9874,2.2016,2.5851,2.5837,0.3169999999999997
Alexander Edler 2017,Alexander Edler,2017,D,30.448,76,210,76.0,63.0,74.0,52,68,1.9874,2.2016,2.5851,2.5837,2.5855,0.24604999999999988
Alexander Edler 2018,Alexander Edler,2018,D,31.448,76,210,63.0,74.0,52.0,68,70,2.2016,2.5851,2.5837,2.5855,2.6686,0.17962500000000015
Alexander Edler 2019,Alexander Edler,2019,D,32.447,76,210,74.0,52.0,68.0,70,56,2.5851,2.5837,2.5855,2.6686,2.6271,0.021374999999999922
Alexander Edler 2020,Alexander Edler,2020,D,33.447,76,210,52.0,68.0,70.0,56,69,2.5837,2.5855,2.6686,2.6271,3.1271,0.510875
Alexander Edler 2021,Alexander Edler,2021,D,34.449,76,210,68.0,70.0,56.0,69,76,2.5855,2.6686,2.6271,3.1271,3.4522,0.7001249999999999
Alexander Edler 2022,Alexander Edler,2022,D,35.448,76,210,70.0,56.0,69.0,76,41,2.6686,2.6271,3.1271,3.4522,1.8764,-1.09235
Alexander Edler 2023,Alexander Edler,2023,D,36.447,76,210,56.0,69.0,76.0,41,64,2.6271,3.1271,3.4522,1.8764,1.3766,-1.3941000000000001
Jack Johnson 2010,Jack Johnson,2010,D,22.717,73,227,,,74.0,41,80,,,2.4968,1.5228,1.6452,-0.3645999999999998
Jack Johnson 2011,Jack Johnson,2011,D,23.716,73,227,,74.0,41.0,80,82,,2.4968,1.5228,1.6452,0.9833,-0.9049666666666666
Jack Johnson 2012,Jack Johnson,2012,D,24.715,73,227,74.0,41.0,80.0,82,82,2.4968,1.5228,1.6452,0.9833,1.8917,0.22967500000000007
Jack Johnson 2013,Jack Johnson,2013,D,25.717,73,227,41.0,80.0,82.0,82,75,1.5228,1.6452,0.9833,1.8917,2.7845,1.27375
Jack Johnson 2014,Jack Johnson,2014,D,26.717,73,227,80.0,82.0,82.0,75,82,1.6452,0.9833,1.8917,2.7845,2.9854,1.159225
Jack Johnson 2015,Jack Johnson,2015,D,27.716,73,227,82.0,82.0,75.0,82,79,0.9833,1.8917,2.7845,2.9854,3.1534,0.992175
Jack Johnson 2016,Jack Johnson,2016,D,28.715,73,227,82.0,75.0,82.0,79,60,1.8917,2.7845,2.9854,3.1534,2.8936,0.1898500000000003
Jack Johnson 2017,Jack Johnson,2017,D,29.717,73,227,75.0,82.0,79.0,60,82,2.7845,2.9854,3.1534,2.8936,2.4197,-0.5345249999999999
Jack Johnson 2018,Jack Johnson,2018,D,30.717,73,227,82.0,79.0,60.0,82,77,2.9854,3.1534,2.8936,2.4197,2.0926,-0.7704249999999999
Jack Johnson 2019,Jack Johnson,2019,D,31.716,73,227,79.0,60.0,82.0,77,82,3.1534,2.8936,2.4197,2.0926,2.264,-0.3758250000000003
Jack Johnson 2020,Jack Johnson,2020,D,32.715,73,227,60.0,82.0,77.0,82,79,2.8936,2.4197,2.0926,2.264,2.2256,-0.19187500000000002
Marc Staal 2010,Marc Staal,2010,D,22.717,76,208,,,80.0,82,82,,,2.16,2.9724,3.5057,0.9394999999999998
Marc Staal 2011,Marc Staal,2011,D,23.716,76,208,,80.0,82.0,82,77,,2.16,2.9724,3.5057,3.1511,0.27173333333333316
Marc Staal 2012,Marc Staal,2012,D,24.715,76,208,80.0,82.0,82.0,77,46,2.16,2.9724,3.5057,3.1511,1.7315,-1.2158000000000002
Marc Staal 2016,Marc Staal,2016,D,28.715,76,208,46.0,35.0,72.0,80,77,1.7315,3.1738,2.0352,2.2002,2.2628,-0.022375000000000256
Marc Staal 2017,Marc Staal,2017,D,29.717,76,208,35.0,72.0,80.0,77,72,3.1738,2.0352,2.2002,2.2628,1.9373,-0.4807000000000001
Marc Staal 2018,Marc Staal,2018,D,30.717,76,208,72.0,80.0,77.0,72,72,2.0352,2.2002,2.2628,1.9373,2.8063,0.6974249999999995
Marc Staal 2019,Marc Staal,2019,D,31.716,76,208,80.0,77.0,72.0,72,79,2.2002,2.2628,1.9373,2.8063,2.8998,0.59815
Marc Staal 2020,Marc Staal,2020,D,32.715,76,208,77.0,72.0,72.0,79,61,2.2628,1.9373,2.8063,2.8998,2.7173,0.2407499999999998
Marc Staal 2021,Marc Staal,2021,D,33.718,76,208,72.0,72.0,79.0,61,82,1.9373,2.8063,2.8998,2.7173,2.0812,-0.508975
Marc Staal 2022,Marc Staal,2022,D,34.717,76,208,72.0,79.0,61.0,82,71,2.8063,2.8998,2.7173,2.0812,2.219,-0.4071500000000001
Marc Staal 2023,Marc Staal,2023,D,35.716,76,208,79.0,61.0,82.0,71,82,2.8998,2.7173,2.0812,2.219,2.587,0.10767500000000041
Marc-Edouard Vlasic 2010,Marc-Edouard Vlasic,2010,D,22.508,73,205,,,82.0,82,64,,,3.1642,2.6638,2.9721,0.05810000000000004
Marc-Edouard Vlasic 2011,Marc-Edouard Vlasic,2011,D,23.508,73,205,,82.0,82.0,64,80,,3.1642,2.6638,2.9721,2.2883,-0.6450666666666667
Marc-Edouard Vlasic 2012,Marc-Edouard Vlasic,2012,D,24.507,73,205,82.0,82.0,64.0,80,82,3.1642,2.6638,2.9721,2.2883,2.1262,-0.6459000000000001
Marc-Edouard Vlasic 2013,Marc-Edouard Vlasic,2013,D,25.509,73,205,82.0,64.0,80.0,82,82,2.6638,2.9721,2.2883,2.1262,2.1399,-0.37270000000000003
Marc-Edouard Vlasic 2014,Marc-Edouard Vlasic,2014,D,26.509,73,205,64.0,80.0,82.0,82,81,2.9721,2.2883,2.1262,2.1399,2.1951,-0.18652500000000005
Marc-Edouard Vlasic 2015,Marc-Edouard Vlasic,2015,D,27.508,73,205,80.0,82.0,82.0,81,70,2.2883,2.1262,2.1399,2.1951,2.3883,0.20092500000000024
Marc-Edouard Vlasic 2016,Marc-Edouard Vlasic,2016,D,28.507,73,205,82.0,82.0,81.0,70,67,2.1262,2.1399,2.1951,2.3883,2.2644,0.05202500000000043
Marc-Edouard Vlasic 2017,Marc-Edouard Vlasic,2017,D,29.509,73,205,82.0,81.0,70.0,67,75,2.1399,2.1951,2.3883,2.2644,2.0793,-0.16762500000000014
Marc-Edouard Vlasic 2018,Marc-Edouard Vlasic,2018,D,30.509,73,205,81.0,70.0,67.0,75,81,2.1951,2.3883,2.2644,2.0793,2.8154,0.5836250000000001
Marc-Edouard Vlasic 2019,Marc-Edouard Vlasic,2019,D,31.508,73,205,70.0,67.0,75.0,81,72,2.3883,2.2644,2.0793,2.8154,2.6093,0.22245000000000026
Marc-Edouard Vlasic 2020,Marc-Edouard Vlasic,2020,D,32.507,73,205,67.0,75.0,81.0,72,82,2.2644,2.0793,2.8154,2.6093,2.8179,0.3757999999999999
Marc-Edouard Vlasic 2021,Marc-Edouard Vlasic,2021,D,33.509,73,205,75.0,81.0,72.0,82,74,2.0793,2.8154,2.6093,2.8179,2.2856,-0.2948749999999998
Marc-Edouard Vlasic 2022,Marc-Edouard Vlasic,2022,D,34.509,73,205,81.0,72.0,82.0,74,75,2.8154,2.6093,2.8179,2.2856,0.8316,-1.80045
Marc-Edouard Vlasic 2023,Marc-Edouard Vlasic,2023,D,35.508,73,205,72.0,82.0,74.0,75,78,2.6093,2.8179,2.2856,0.8316,2.6511,0.5150000000000001
Kris Letang 2010,Kris Letang,2010,D,22.44,72,201,,,63.0,74,73,,,0.8267,1.2905,1.41,0.35139999999999993
Kris Letang 2011,Kris Letang,2011,D,23.439,72,201,,63.0,74.0,73,82,,0.8267,1.2905,1.41,2.1195,0.9437666666666666
Kris Letang 2012,Kris Letang,2012,D,24.439,72,201,63.0,74.0,73.0,82,51,0.8267,1.2905,1.41,2.1195,1.6859,0.27422499999999994
Kris Letang 2013,Kris Letang,2013,D,25.441,72,201,74.0,73.0,82.0,51,59,1.2905,1.41,2.1195,1.6859,2.2248,0.5983250000000002
Kris Letang 2017,Kris Letang,2017,D,29.441,72,201,59.0,37.0,69.0,71,41,2.2248,2.0149,2.78,2.327,2.1711,-0.16557500000000003
Kris Letang 2018,Kris Letang,2018,D,30.44,72,201,37.0,69.0,71.0,41,79,2.0149,2.78,2.327,2.1711,2.5899,0.2666500000000003
Kris Letang 2019,Kris Letang,2019,D,31.44,72,201,69.0,71.0,41.0,79,65,2.78,2.327,2.1711,2.5899,2.1551,-0.31190000000000007
Kris Letang 2020,Kris Letang,2020,D,32.439,72,201,71.0,41.0,79.0,65,71,2.327,2.1711,2.5899,2.1551,2.2164,-0.09437499999999988
Kris Letang 2021,Kris Letang,2021,D,33.441,72,201,41.0,79.0,65.0,71,80,2.1711,2.5899,2.1551,2.2164,1.5009,-0.7822250000000002
Kris Letang 2022,Kris Letang,2022,D,34.44,72,201,79.0,65.0,71.0,80,78,2.5899,2.1551,2.2164,1.5009,1.4331,-0.6824750000000002
Kris Letang 2023,Kris Letang,2023,D,35.44,72,201,65.0,71.0,80.0,78,64,2.1551,2.2164,1.5009,1.4331,0.9357,-0.8906750000000001
Anton Stralman 2012,Anton Stralman,2012,D,25.167,71,193,50.0,38.0,73.0,51,53,0.0997,0.7132,0.7057,0.3373,0.605,0.141025
Anton Stralman 2013,Anton Stralman,2013,D,26.169,71,193,38.0,73.0,51.0,53,82,0.7132,0.7057,0.3373,0.605,0.9691,0.3788
Anton Stralman 2014,Anton Stralman,2014,D,27.168,71,193,73.0,51.0,53.0,82,81,0.7057,0.3373,0.605,0.9691,1.6249,0.9706250000000001
Anton Stralman 2015,Anton Stralman,2015,D,28.168,71,193,51.0,53.0,82.0,81,82,0.3373,0.605,0.9691,1.6249,2.5671,1.683025
Anton Stralman 2016,Anton Stralman,2016,D,29.167,71,193,53.0,82.0,81.0,82,73,0.605,0.9691,1.6249,2.5671,2.0897,0.6481750000000002
Anton Stralman 2017,Anton Stralman,2017,D,30.169,71,193,82.0,81.0,82.0,73,73,0.9691,1.6249,2.5671,2.0897,2.6226,0.8098999999999998
Anton Stralman 2018,Anton Stralman,2018,D,31.169,71,193,81.0,82.0,73.0,73,80,1.6249,2.5671,2.0897,2.6226,2.7388,0.5127250000000001
Anton Stralman 2019,Anton Stralman,2019,D,32.168,71,193,82.0,73.0,73.0,80,47,2.5671,2.0897,2.6226,2.7388,2.9028,0.39825
Anton Stralman 2020,Anton Stralman,2020,D,33.167,71,193,73.0,73.0,80.0,47,81,2.0897,2.6226,2.7388,2.9028,2.463,-0.12547499999999978
Anton Stralman 2021,Anton Stralman,2021,D,34.169,71,193,73.0,80.0,47.0,81,55,2.6226,2.7388,2.9028,2.463,1.611,-1.0708
Anton Stralman 2022,Anton Stralman,2022,D,35.169,71,193,80.0,47.0,81.0,55,74,2.7388,2.9028,2.463,1.611,2.9282,0.49929999999999986
Erik Johnson 2012,Erik Johnson,2012,D,23.53,76,225,69.0,,79.0,77,73,0.2819,,0.8105,2.4528,1.5838,0.4020666666666668
Erik Johnson 2013,Erik Johnson,2013,D,24.532,76,225,,79.0,77.0,73,52,,0.8105,2.4528,1.5838,2.3726,0.7568999999999999
Erik Johnson 2014,Erik Johnson,2014,D,25.531,76,225,79.0,77.0,73.0,52,80,0.8105,2.4528,1.5838,2.3726,1.0152,-0.7897249999999998
Erik Johnson 2015,Erik Johnson,2015,D,26.531,76,225,77.0,73.0,52.0,80,47,2.4528,1.5838,2.3726,1.0152,2.4968,0.6406999999999998
Erik Johnson 2016,Erik Johnson,2016,D,27.53,76,225,73.0,52.0,80.0,47,73,1.5838,2.3726,1.0152,2.4968,3.0811,1.2140000000000002
Erik Johnson 2017,Erik Johnson,2017,D,28.532,76,225,52.0,80.0,47.0,73,46,2.3726,1.0152,2.4968,3.0811,2.8094,0.5679750000000001
Erik Johnson 2018,Erik Johnson,2018,D,29.531,76,225,80.0,47.0,73.0,46,62,1.0152,2.4968,3.0811,2.8094,3.6919,1.341275
Erik Johnson 2019,Erik Johnson,2019,D,30.531,76,225,47.0,73.0,46.0,62,80,2.4968,3.0811,2.8094,3.6919,3.0869,0.06709999999999994
Erik Johnson 2020,Erik Johnson,2020,D,31.53,76,225,73.0,46.0,62.0,80,69,3.0811,2.8094,3.6919,3.0869,3.0407,-0.12662499999999977
Jeff Petry 2014,Jeff Petry,2014,D,25.813,75,209,,35.0,73.0,82,80,,1.2805,2.4984,3.367,3.056,0.6740333333333335
Jeff Petry 2015,Jeff Petry,2015,D,26.813,75,209,35.0,73.0,82.0,80,78,1.2805,2.4984,3.367,3.056,1.706,-0.8444750000000001
Jeff Petry 2016,Jeff Petry,2016,D,27.812,75,209,73.0,82.0,80.0,78,51,2.4984,3.367,3.056,1.706,2.3503,-0.3065500000000001
Jeff Petry 2017,Jeff Petry,2017,D,28.814,75,209,82.0,80.0,78.0,51,80,3.367,3.056,1.706,2.3503,1.8004,-0.8194250000000001
Jeff Petry 2018,Jeff Petry,2018,D,29.813,75,209,80.0,78.0,51.0,80,82,3.056,1.706,2.3503,1.8004,2.3561,0.1279250000000003
Jeff Petry 2019,Jeff Petry,2019,D,30.813,75,209,78.0,51.0,80.0,82,82,1.706,2.3503,1.8004,2.3561,2.1073,0.05410000000000004
Jeff Petry 2020,Jeff Petry,2020,D,31.812,75,209,51.0,80.0,82.0,82,83,2.3503,1.8004,2.3561,2.1073,2.0969,-0.056624999999999925
Jeff Petry 2021,Jeff Petry,2021,D,32.814,75,209,80.0,82.0,82.0,83,80,1.8004,2.3561,2.1073,2.0969,1.93,-0.16017499999999996
Jeff Petry 2022,Jeff Petry,2022,D,33.813,75,209,82.0,82.0,83.0,80,68,2.3561,2.1073,2.0969,1.93,2.3333,0.21072500000000005
Jeff Petry 2023,Jeff Petry,2023,D,34.813,75,209,82.0,83.0,80.0,68,61,2.1073,2.0969,1.93,2.3333,2.377,0.26012499999999994
Ian Cole 2016,Ian Cole,2016,D,26.607,73,225,26.0,25.0,46.0,74,70,0.4545,0.2622,0.6366,0.3234,2.3055,1.8863249999999998
Ian Cole 2017,Ian Cole,2017,D,27.609,73,225,25.0,46.0,74.0,70,81,0.2622,0.6366,0.3234,2.3055,2.4136,1.5316750000000003
Ian Cole 2018,Ian Cole,2018,D,28.609,73,225,46.0,74.0,70.0,81,67,0.6366,0.3234,2.3055,2.4136,2.2396,0.8198249999999998
Ian Cole 2019,Ian Cole,2019,D,29.608,73,225,74.0,70.0,81.0,67,71,0.3234,2.3055,2.4136,2.2396,3.2854,1.4648750000000001
Ian Cole 2020,Ian Cole,2020,D,30.607,73,225,70.0,81.0,67.0,71,76,2.3055,2.4136,2.2396,3.2854,2.4,-0.16102499999999997
Ian Cole 2021,Ian Cole,2021,D,31.609,73,225,81.0,67.0,71.0,76,79,2.4136,2.2396,3.2854,2.4,1.3349,-1.24975
Ian Cole 2022,Ian Cole,2022,D,32.609,73,225,67.0,71.0,76.0,79,75,2.2396,3.2854,2.4,1.3349,2.5087,0.19372500000000015
Ian Cole 2023,Ian Cole,2023,D,33.608,73,225,71.0,76.0,79.0,75,78,3.2854,2.4,1.3349,2.5087,2.8934,0.5111500000000002
Justin Braun 2014,Justin Braun,2014,D,26.64,74,205,,28.0,66.0,70,82,,1.0554,1.0278,1.5415,2.1986,0.9903666666666666
Justin Braun 2015,Justin Braun,2015,D,27.639,74,205,28.0,66.0,70.0,82,70,1.0554,1.0278,1.5415,2.1986,2.179,0.7231749999999999
Justin Braun 2016,Justin Braun,2016,D,28.639,74,205,66.0,70.0,82.0,70,80,1.0278,1.5415,2.1986,2.179,2.0056,0.268875
Justin Braun 2017,Justin Braun,2017,D,29.641,74,205,70.0,82.0,70.0,80,81,1.5415,2.1986,2.179,2.0056,2.134,0.152825
Justin Braun 2018,Justin Braun,2018,D,30.64,74,205,82.0,70.0,80.0,81,81,2.1986,2.179,2.0056,2.134,2.6897,0.5604000000000005
Justin Braun 2019,Justin Braun,2019,D,31.639,74,205,70.0,80.0,81.0,81,78,2.179,2.0056,2.134,2.6897,2.2981,0.04602499999999976
Justin Braun 2020,Justin Braun,2020,D,32.639,74,205,80.0,81.0,81.0,78,73,2.0056,2.134,2.6897,2.2981,1.914,-0.36785
Justin Braun 2021,Justin Braun,2021,D,33.641,74,205,81.0,81.0,78.0,73,77,2.134,2.6897,2.2981,1.914,2.4352,0.17625000000000002
Justin Braun 2022,Justin Braun,2022,D,34.64,74,205,81.0,78.0,73.0,77,69,2.6897,2.2981,1.914,2.4352,2.1507,-0.18354999999999988
Justin Braun 2023,Justin Braun,2023,D,35.64,74,205,78.0,73.0,77.0,69,51,2.2981,1.914,2.4352,2.1507,1.4078,-0.7917000000000001
Kevin Shattenkirk 2013,Kevin Shattenkirk,2013,D,23.672,72,212,,,72.0,81,82,,,0.4058,1.9463,1.7743,0.59825
Kevin Shattenkirk 2014,Kevin Shattenkirk,2014,D,24.671,72,212,,72.0,81.0,82,81,,0.4058,1.9463,1.7743,0.7031,-0.6723666666666667
Kevin Shattenkirk 2015,Kevin Shattenkirk,2015,D,25.671,72,212,72.0,81.0,82.0,81,56,0.4058,1.9463,1.7743,0.7031,1.7792,0.571825
Kevin Shattenkirk 2016,Kevin Shattenkirk,2016,D,26.67,72,212,81.0,82.0,81.0,56,72,1.9463,1.7743,0.7031,1.7792,1.9106,0.35987500000000017
Kevin Shattenkirk 2017,Kevin Shattenkirk,2017,D,27.672,72,212,82.0,81.0,56.0,72,80,1.7743,0.7031,1.7792,1.9106,0.3075,-1.2343000000000002
Kevin Shattenkirk 2018,Kevin Shattenkirk,2018,D,28.672,72,212,81.0,56.0,72.0,80,46,0.7031,1.7792,1.9106,0.3075,0.075,-1.1001
Kevin Shattenkirk 2019,Kevin Shattenkirk,2019,D,29.671,72,212,56.0,72.0,80.0,46,73,1.7792,1.9106,0.3075,0.075,0.4358,-0.5822750000000001
