,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Paul Gaustad 2012,Paul Gaustad,2012,C,29.657,77,227,82.0,62.0,65.0,81,70,2.972,1.9753,2.379,0.8039,0.101,-1.93155
Paul Gaustad 2014,Paul Gaustad,2014,C,31.659,77,227,65.0,81.0,70.0,39,75,2.379,0.8039,0.101,0.5384,0.0958,-0.859775
Paul Gaustad 2015,Paul Gaustad,2015,C,32.658,77,227,81.0,70.0,39.0,75,73,0.8039,0.101,0.5384,0.0958,0.0902,-0.294575
Paul Gaustad 2016,Paul Gaustad,2016,C,33.657,77,227,70.0,39.0,75.0,73,63,0.101,0.5384,0.0958,0.0902,0.0336,-0.17275000000000001
Tuomo Ruutu 2009,Tuomo Ruutu,2009,L,25.624,72,200,,,,77,79,,,,2.3253,3.7266,1.4013
Tuomo Ruutu 2010,Tuomo Ruutu,2010,L,26.624,72,200,,,77.0,79,54,,,2.3253,3.7266,2.984,-0.04194999999999993
Tuomo Ruutu 2011,Tuomo Ruutu,2011,L,27.623,72,200,,77.0,79.0,54,82,,2.3253,3.7266,2.984,3.1211,0.10913333333333375
Tuomo Ruutu 2012,Tuomo Ruutu,2012,L,28.622,72,200,77.0,79.0,54.0,82,72,2.3253,3.7266,2.984,3.1211,2.4861,-0.55315
Tuomo Ruutu 2014,Tuomo Ruutu,2014,L,30.624,72,200,54.0,82.0,72.0,29,76,2.984,3.1211,2.4861,1.3333,1.6478,-0.8333250000000001
Tuomo Ruutu 2015,Tuomo Ruutu,2015,L,31.623,72,200,82.0,72.0,29.0,76,77,3.1211,2.4861,1.3333,1.6478,0.1212,-2.025875
R.J. Umberger 2009,R.J. Umberger,2009,C,26.416,74,214,,,,74,82,,,,1.7718,2.9118,1.14
R.J. Umberger 2010,R.J. Umberger,2010,C,27.415,74,214,,,74.0,82,82,,,1.7718,2.9118,3.3366,0.9947999999999997
R.J. Umberger 2011,R.J. Umberger,2011,C,28.414,74,214,,74.0,82.0,82,82,,1.7718,2.9118,3.3366,3.2927,0.6193
R.J. Umberger 2012,R.J. Umberger,2012,C,29.414,74,214,74.0,82.0,82.0,82,77,1.7718,2.9118,3.3366,3.2927,3.1695,0.34127500000000044
R.J. Umberger 2013,R.J. Umberger,2013,C,30.416,74,214,82.0,82.0,82.0,77,82,2.9118,3.3366,3.2927,3.1695,2.684,-0.4936499999999997
R.J. Umberger 2014,R.J. Umberger,2014,C,31.415,74,214,82.0,82.0,77.0,82,74,3.3366,3.2927,3.1695,2.684,2.0541,-1.0666000000000002
R.J. Umberger 2015,R.J. Umberger,2015,C,32.414,74,214,82.0,77.0,82.0,74,67,3.2927,3.1695,2.684,2.0541,1.3192,-1.4808750000000002
Tim Jackman 2009,Tim Jackman,2009,R,26.881,74,188,,,,36,69,,,,0.037,0.0459,0.008900000000000005
Tim Jackman 2010,Tim Jackman,2010,R,27.88,74,188,,,36.0,69,54,,,0.037,0.0459,0.0296,-0.01185
Tim Jackman 2011,Tim Jackman,2011,R,28.88,74,188,,36.0,69.0,54,82,,0.037,0.0459,0.0296,0.7799,0.7424000000000001
Tim Jackman 2012,Tim Jackman,2012,R,29.879,74,188,36.0,69.0,54.0,82,75,0.037,0.0459,0.0296,0.7799,0.382,0.15889999999999999
Tim Jackman 2013,Tim Jackman,2013,R,30.881,74,188,69.0,54.0,82.0,75,71,0.0459,0.0296,0.7799,0.382,0.0952,-0.21415
Tim Jackman 2015,Tim Jackman,2015,R,32.88,74,188,82.0,75.0,71.0,36,55,0.7799,0.382,0.0952,0.0634,0.0473,-0.282825
Tomas Fleischmann 2009,Tomas Fleischmann,2009,L,24.378,73,192,,,,75,73,,,,1.6511,2.3705,0.7193999999999998
Tomas Fleischmann 2010,Tomas Fleischmann,2010,L,25.378,73,192,,,75.0,73,69,,,1.6511,2.3705,2.5488,0.5380000000000003
Tomas Fleischmann 2011,Tomas Fleischmann,2011,L,26.377,73,192,,75.0,73.0,69,45,,1.6511,2.3705,2.5488,2.4711,0.2809666666666666
Tomas Fleischmann 2012,Tomas Fleischmann,2012,L,27.377,73,192,75.0,73.0,69.0,45,82,1.6511,2.3705,2.5488,2.4711,3.1699,0.9095250000000004
Tomas Fleischmann 2013,Tomas Fleischmann,2013,L,28.379,73,192,73.0,69.0,45.0,82,82,2.3705,2.5488,2.4711,3.1699,2.4528,-0.18727500000000008
Tomas Fleischmann 2014,Tomas Fleischmann,2014,L,29.378,73,192,69.0,45.0,82.0,82,80,2.5488,2.4711,3.1699,2.4528,2.591,-0.06964999999999977
Tomas Fleischmann 2015,Tomas Fleischmann,2015,L,30.377,73,192,45.0,82.0,82.0,80,66,2.4711,3.1699,2.4528,2.591,1.1462,-1.5249999999999997
Tomas Fleischmann 2016,Tomas Fleischmann,2016,L,31.377,73,192,82.0,82.0,80.0,66,76,3.1699,2.4528,2.591,1.1462,0.5967,-1.743275
Alexander Semin 2009,Alexander Semin,2009,R,24.581,74,211,,,,63,62,,,,4.4746,4.0374,-0.4371999999999998
Alexander Semin 2010,Alexander Semin,2010,R,25.58,74,211,,,63.0,62,73,,,4.4746,4.0374,3.4037,-0.8523000000000001
Alexander Semin 2011,Alexander Semin,2011,R,26.58,74,211,,63.0,62.0,73,65,,4.4746,4.0374,3.4037,3.1997,-0.7721999999999998
Alexander Semin 2012,Alexander Semin,2012,R,27.579,74,211,63.0,62.0,73.0,65,77,4.4746,4.0374,3.4037,3.1997,2.5234,-1.2554499999999997
Alexander Semin 2013,Alexander Semin,2013,R,28.581,74,211,62.0,73.0,65.0,77,75,4.0374,3.4037,3.1997,2.5234,3.5633,0.27224999999999966
Alexander Semin 2014,Alexander Semin,2014,R,29.581,74,211,73.0,65.0,77.0,75,65,3.4037,3.1997,2.5234,3.5633,3.4246,0.2520749999999996
Alexander Semin 2015,Alexander Semin,2015,R,30.58,74,211,65.0,77.0,75.0,65,57,3.1997,2.5234,3.5633,3.4246,1.5018,-1.67595
Gregory Campbell 2009,Gregory Campbell,2009,C,24.792,72,188,,,,81,77,,,,0.1401,0.9271,0.787
Gregory Campbell 2010,Gregory Campbell,2010,C,25.791,72,188,,,81.0,77,60,,,0.1401,0.9271,0.3519,-0.18170000000000008
Gregory Campbell 2011,Gregory Campbell,2011,C,26.791,72,188,,81.0,77.0,60,80,,0.1401,0.9271,0.3519,0.2285,-0.24453333333333335
Gregory Campbell 2012,Gregory Campbell,2012,C,27.79,72,188,81.0,77.0,60.0,80,78,0.1401,0.9271,0.3519,0.2285,0.1549,-0.257
Gregory Campbell 2013,Gregory Campbell,2013,C,28.792,72,188,77.0,60.0,80.0,78,82,0.9271,0.3519,0.2285,0.1549,0.3677,-0.0479
Gregory Campbell 2014,Gregory Campbell,2014,C,29.791,72,188,60.0,80.0,78.0,82,82,0.3519,0.2285,0.1549,0.3677,0.1634,-0.11235
Gregory Campbell 2015,Gregory Campbell,2015,C,30.791,72,188,80.0,78.0,82.0,82,70,0.2285,0.1549,0.3677,0.1634,0.0755,-0.153125
Gregory Campbell 2016,Gregory Campbell,2016,C,31.79,72,188,78.0,82.0,82.0,70,82,0.1549,0.3677,0.1634,0.0755,0.0392,-0.151175
Max Talbot 2009,Max Talbot,2009,C,24.639,71,186,,,,63,75,,,,0.3135,0.3167,0.0031999999999999806
Max Talbot 2010,Max Talbot,2010,C,25.638,71,186,,,63.0,75,45,,,0.3135,0.3167,0.1044,-0.2107
Max Talbot 2011,Max Talbot,2011,C,26.637,71,186,,63.0,75.0,45,82,,0.3135,0.3167,0.1044,0.1268,-0.11806666666666668
Max Talbot 2012,Max Talbot,2012,C,27.637,71,186,63.0,75.0,45.0,82,81,0.3135,0.3167,0.1044,0.1268,0.2646,0.049250000000000016
Max Talbot 2013,Max Talbot,2013,C,28.639,71,186,75.0,45.0,82.0,81,59,0.3167,0.1044,0.1268,0.2646,0.1752,-0.027925000000000005
Max Talbot 2014,Max Talbot,2014,C,29.638,71,186,45.0,82.0,81.0,59,81,0.1044,0.1268,0.2646,0.1752,0.142,-0.025750000000000023
Max Talbot 2015,Max Talbot,2015,C,30.637,71,186,82.0,81.0,59.0,81,81,0.1268,0.2646,0.1752,0.142,0.2728,0.09564999999999999
Eric Nystrom 2009,Eric Nystrom,2009,L,25.63,73,200,,,,44,76,,,,0.2902,0.0493,-0.2409
Eric Nystrom 2010,Eric Nystrom,2010,L,26.629,73,200,,,44.0,76,82,,,0.2902,0.0493,0.1843,0.01454999999999998
Eric Nystrom 2011,Eric Nystrom,2011,L,27.628,73,200,,44.0,76.0,82,82,,0.2902,0.0493,0.1843,0.2675,0.09290000000000001
Eric Nystrom 2012,Eric Nystrom,2012,L,28.628,73,200,44.0,76.0,82.0,82,74,0.2902,0.0493,0.1843,0.2675,0.1563,-0.041525000000000006
Eric Nystrom 2013,Eric Nystrom,2013,L,29.63,73,200,76.0,82.0,82.0,74,82,0.0493,0.1843,0.2675,0.1563,0.5538,0.38944999999999996
Eric Nystrom 2014,Eric Nystrom,2014,L,30.629,73,200,82.0,82.0,74.0,82,79,0.1843,0.2675,0.1563,0.5538,0.0743,-0.21617499999999998
Eric Nystrom 2015,Eric Nystrom,2015,L,31.629,73,200,82.0,74.0,82.0,79,60,0.2675,0.1563,0.5538,0.0743,0.0544,-0.208575
Eric Nystrom 2016,Eric Nystrom,2016,L,32.628,73,200,74.0,82.0,79.0,60,46,0.1563,0.5538,0.0743,0.0544,0.0228,-0.1869
Joffrey Lupul 2009,Joffrey Lupul,2009,L,25.025,73,206,,,,56,79,,,,3.6158,2.2844,-1.3314
Joffrey Lupul 2011,Joffrey Lupul,2011,L,27.023,73,206,,56.0,79.0,23,54,,3.6158,2.2844,2.1087,2.8719,0.2022666666666666
Joffrey Lupul 2012,Joffrey Lupul,2012,L,28.023,73,206,56.0,79.0,23.0,54,66,3.6158,2.2844,2.1087,2.8719,3.2869,0.5667
Joffrey Lupul 2014,Joffrey Lupul,2014,L,30.024,73,206,23.0,54.0,66.0,27,69,2.1087,2.8719,3.2869,2.6531,2.4394,-0.29075000000000006
Joffrey Lupul 2015,Joffrey Lupul,2015,L,31.023,73,206,54.0,66.0,27.0,69,55,2.8719,3.2869,2.6531,2.4394,2.1552,-0.6576250000000003
Joffrey Lupul 2016,Joffrey Lupul,2016,L,32.023,73,206,66.0,27.0,69.0,55,46,3.2869,2.6531,2.4394,2.1552,2.3547,-0.27895000000000003
Daniel Paille 2009,Daniel Paille,2009,L,24.463,73,188,,,,77,73,,,,0.1758,0.09,-0.08580000000000002
Daniel Paille 2010,Daniel Paille,2010,L,25.463,73,188,,,77.0,73,76,,,0.1758,0.09,0.0904,-0.042500000000000024
Daniel Paille 2011,Daniel Paille,2011,L,26.462,73,188,,77.0,73.0,76,43,,0.1758,0.09,0.0904,0.0236,-0.09513333333333333
Daniel Paille 2012,Daniel Paille,2012,L,27.461,73,188,77.0,73.0,76.0,43,69,0.1758,0.09,0.0904,0.0236,0.0594,-0.035550000000000005
Daniel Paille 2013,Daniel Paille,2013,L,28.463,73,188,73.0,76.0,43.0,69,78,0.09,0.0904,0.0236,0.0594,0.0449,-0.02094999999999999
Daniel Paille 2014,Daniel Paille,2014,L,29.463,73,188,76.0,43.0,69.0,78,72,0.0904,0.0236,0.0594,0.0449,0.0764,0.021824999999999997
Daniel Paille 2015,Daniel Paille,2015,L,30.462,73,188,43.0,69.0,78.0,72,71,0.0236,0.0594,0.0449,0.0764,0.0477,-0.003375000000000003
Chris Higgins 2009,Chris Higgins,2009,L,25.334,72,205,,,,82,57,,,,3.2443,2.1664,-1.0779
Chris Higgins 2010,Chris Higgins,2010,L,26.333,72,205,,,82.0,57,67,,,3.2443,2.1664,1.5808,-1.1245500000000002
