,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Alexander Edler 2014,Alexander Edler,2014,D,27.448,76,210,76.0,51.0,82.0,76,63,17.4022,18.2454,18.0976,18.2833,18.2095,0.20237499999999642
Alexander Edler 2015,Alexander Edler,2015,D,28.447,76,210,51.0,82.0,76.0,63,74,18.2454,18.0976,18.2833,18.2095,18.4642,0.2552500000000002
Alexander Edler 2016,Alexander Edler,2016,D,29.446,76,210,82.0,76.0,63.0,74,52,18.0976,18.2833,18.2095,18.4642,18.6337,0.37005000000000265
Alexander Edler 2017,Alexander Edler,2017,D,30.448,76,210,76.0,63.0,74.0,52,68,18.2833,18.2095,18.4642,18.6337,19.6637,1.266024999999999
Alexander Edler 2018,Alexander Edler,2018,D,31.448,76,210,63.0,74.0,52.0,68,70,18.2095,18.4642,18.6337,19.6637,18.7464,0.0036249999999995453
Alexander Edler 2019,Alexander Edler,2019,D,32.447,76,210,74.0,52.0,68.0,70,56,18.4642,18.6337,19.6637,18.7464,18.7872,-0.08980000000000388
Alexander Edler 2020,Alexander Edler,2020,D,33.447,76,210,52.0,68.0,70.0,56,69,18.6337,19.6637,18.7464,18.7872,18.1435,-0.8142500000000013
Alexander Edler 2021,Alexander Edler,2021,D,34.449,76,210,68.0,70.0,56.0,69,76,19.6637,18.7464,18.7872,18.1435,17.1032,-1.7319999999999993
Alexander Edler 2022,Alexander Edler,2022,D,35.448,76,210,70.0,56.0,69.0,76,41,18.7464,18.7872,18.1435,17.1032,16.189,-2.006074999999999
Alexander Edler 2023,Alexander Edler,2023,D,36.447,76,210,56.0,69.0,76.0,41,64,18.7872,18.1435,17.1032,16.189,13.3417,-4.2140249999999995
Jack Johnson 2012,Jack Johnson,2012,D,24.715,73,227,74.0,41.0,80.0,82,82,17.9536,16.8598,18.1088,18.3128,17.8096,0.0008499999999997954
Jack Johnson 2013,Jack Johnson,2013,D,25.717,73,227,41.0,80.0,82.0,82,75,16.8598,18.1088,18.3128,17.8096,19.5655,1.7927500000000016
Jack Johnson 2014,Jack Johnson,2014,D,26.717,73,227,80.0,82.0,82.0,75,82,18.1088,18.3128,17.8096,19.5655,18.4726,0.023424999999999585
Jack Johnson 2015,Jack Johnson,2015,D,27.716,73,227,82.0,82.0,75.0,82,79,18.3128,17.8096,19.5655,18.4726,18.3044,-0.23572499999999863
Jack Johnson 2016,Jack Johnson,2016,D,28.715,73,227,82.0,75.0,82.0,79,60,17.8096,19.5655,18.4726,18.3044,18.9142,0.3761749999999999
Jack Johnson 2017,Jack Johnson,2017,D,29.717,73,227,75.0,82.0,79.0,60,82,19.5655,18.4726,18.3044,18.9142,19.1398,0.3256250000000023
Jack Johnson 2018,Jack Johnson,2018,D,30.717,73,227,82.0,79.0,60.0,82,77,18.4726,18.3044,18.9142,19.1398,17.3043,-1.4034499999999994
Jack Johnson 2019,Jack Johnson,2019,D,31.716,73,227,79.0,60.0,82.0,77,82,18.3044,18.9142,19.1398,17.3043,16.6636,-1.7520750000000014
Jack Johnson 2020,Jack Johnson,2020,D,32.715,73,227,60.0,82.0,77.0,82,79,18.9142,19.1398,17.3043,16.6636,17.1144,-0.8910750000000007
Marc Staal 2012,Marc Staal,2012,D,24.715,76,208,80.0,82.0,82.0,77,46,16.2858,17.6154,18.9577,19.9597,17.6783,-0.5263500000000008
Marc Staal 2018,Marc Staal,2018,D,30.717,76,208,72.0,80.0,77.0,72,72,18.0845,18.8175,17.3113,17.1914,15.6875,-2.163674999999998
Marc Staal 2019,Marc Staal,2019,D,31.716,76,208,80.0,77.0,72.0,72,79,18.8175,17.3113,17.1914,15.6875,16.4903,-0.7616249999999987
