,Player,Position,Age,Height,Weight,Projected A1,Projected A2,Projected Assists,StDev,5th Percentile,95th Percentile,90A Probability,80A Probability,70A Probability,60A Probability,50A Probability,40A Probability,30A Probability
594,Nick Seeler,D,30.3,74,201,4.253175610800160,4.674085844573770,8.927261455373920,1.239052811901110,6.8345125717448300,11.037468975153000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Mark Jankowski,C,29.0,76,212,4.202258024552310,2.8847932595539000,7.087051284106210,1.229336540970190,5.262426016441430,9.282704952234190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,Jani Hakanpaa,D,31.5,78,225,4.147228029197180,6.13874946822942,10.285977497426600,1.4472955811008300,7.413682607883290,12.139087179167400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,Curtis Lazar,C,28.7,72,203,4.069858370882470,3.4510472640927000,7.52090563497517,7.613768080752760,5.093677812745510,9.60453526868983,0.002,0.002,0.002,0.002,0.003,0.003,0.004
598,Alexander Holtz,R,21.7,72,195,4.007186445152700,2.189655424028060,6.196841869180760,1.3989179674320300,3.4824894603519800,8.04867265778501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,Grigori Denisenko,L,23.3,71,186,3.9377070121382400,2.513398369524030,6.451105381662270,2.8197956754183500,3.483803195239010,11.89691744474220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,Alex Chiasson,R,33.0,76,208,3.855068571198780,3.7669341854007100,7.622002756599480,3.4304652997890000,4.409776839586130,13.835041922473100,0.0,0.0,0.0,0.0,0.0,0.0,0.002
601,Lane Pederson,C,26.2,72,192,3.7699512286216500,2.1325847692342600,5.902535997855910,1.4237448273812200,3.7105259180512400,8.23299048506416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,Tyler Pitlick,C,31.9,74,200,3.7146363635904700,2.735140236255900,6.449776599846360,8.444962137214210,5.6537049586696,26.609803261613900,0.001,0.002,0.003,0.004,0.005,0.01,0.035
603,Mark Kastelic,C,24.6,75,233,3.6574681869631400,2.68145857754066,6.338926764503800,1.978406723467080,4.686453678731150,8.830431707344780,0.0,0.0,0.0,0.0,0.0,0.001,0.001
