,Player,Position,Age,Height,Weight,Projected Goals,StDev,5th Percentile,95th Percentile,60G Probability,50G Probability,40G Probability,30G Probability,20G Probability
189,Christian Dvorak,C,27.7,73,193,14.750085799708600,1.4842713140069600,11.166743879734300,15.98467345011580,0.0,0.0,0.0,0.0,0.0
190,Evan Rodrigues,C,30.2,71,184,14.67920041654730,1.7983135505357400,11.120540456345400,17.113019859336000,0.0,0.0,0.0,0.0,0.001
191,Nicholas Paul,L,28.5,75,223,14.601228052048200,1.1092683460389300,12.278675999892200,15.92168385122540,0.0,0.0,0.0,0.0,0.0
192,Mikael Backlund,C,34.5,72,206,14.560257191796900,1.1012992236447000,10.741704823742400,14.343267865435000,0.0,0.0,0.0,0.0,0.0
193,William Carrier,L,28.8,74,218,14.360439178422300,1.826439619745930,11.296684247065600,17.26256530468440,0.0,0.0,0.0,0.0,0.0
194,Evgenii Dadonov,R,34.6,71,189,14.306365408989900,2.0295601176050100,12.216029975420200,15.626288493608600,0.001,0.001,0.001,0.001,0.007
195,Kirill Marchenko,R,23.2,75,197,14.203317642345800,2.4586518883368600,9.276344740251120,17.06543194137000,0.0,0.0,0.0,0.0,0.004
196,Nicolas Roy,C,26.7,76,202,14.16203551788980,1.6294401228241900,9.916407601885240,15.361174519813100,0.0,0.0,0.0,0.0,0.0
197,Mike Hoffman,L,33.9,72,190,14.133478114014000,2.6635197638879900,10.195332854722000,15.622466750802000,0.001,0.001,0.001,0.001,0.005
198,JJ Peterka,R,21.7,72,189,14.114338863007300,2.7352130221891200,10.184866950078300,17.8009296217218,0.0,0.0,0.0,0.002,0.028
199,Arthur Kaliyev,R,22.3,74,210,14.096991878705800,2.525886422926520,9.818267715893910,17.944494073834700,0.0,0.0,0.0,0.0,0.011
200,Mikael Granlund,C,31.6,70,185,14.064845418618500,1.0892627285857400,9.540300035470570,13.053999676474100,0.0,0.0,0.0,0.0,0.0
201,Charlie Coyle,C,31.6,75,223,14.030969866850200,1.2502625972473600,12.56072816781200,16.352928083492700,0.0,0.0,0.0,0.0,0.002
202,Casey Mittelstadt,C,24.9,73,195,13.961998264761200,1.3785156817641200,10.055229422506500,14.575610491804300,0.0,0.0,0.0,0.0,0.0
203,Michael Rasmussen,C,24.5,78,211,13.977716317760400,1.6238788001146000,10.953218664136000,16.389725715155900,0.0,0.0,0.0,0.0,0.0
204,Pius Suter,C,27.4,71,179,13.94114210902420,2.4715663938241600,11.866851042337100,17.66533655026020,0.0,0.0,0.001,0.004,0.024
205,Trevor Moore,"C, L",28.5,70,195,13.914135394115200,1.723460851416060,9.570103292228930,15.283267861367300,0.0,0.0,0.0,0.0,0.0
206,Calle Jarnkrok,C,32.0,72,192,13.881976017205600,1.5344715985786100,12.186722025623800,17.147169982679500,0.0,0.0,0.0,0.0,0.002
207,Frederick Gaudreau,C,30.4,72,184,13.882302514303000,1.23302042611751,11.441796955515800,14.949270012632600,0.0,0.0,0.0,0.0,0.001
208,Warren Foegele,L,27.5,74,198,13.869013156215200,1.2985255167669200,11.615892102768500,15.879733969152000,0.0,0.0,0.0,0.0,0.0
209,James van Riemsdyk,L,34.4,75,208,13.876784573400300,2.9026962131720400,10.998352535102000,16.231733621650100,0.001,0.001,0.002,0.002,0.009
210,Erik Karlsson,D,33.3,72,190,13.853904275399000,1.7707073906374300,9.206265536991560,14.707248624606700,0.0,0.0,0.0,0.0,0.0
211,Ondrej Palat,L,32.5,72,194,13.776775770673500,2.4515846723464000,10.14935611725440,16.849350473319800,0.0,0.001,0.001,0.001,0.01
212,Evgeny Kuznetsov,C,31.4,74,207,13.793280851981800,2.1837361208493700,8.769791722914010,13.970602254487000,0.0,0.0,0.001,0.002,0.008
213,Erik Haula,L,32.5,71,191,13.787155911033900,1.3528425155853400,11.00839535364610,15.368233513648500,0.0,0.0,0.0,0.0,0.0
214,Jordan Staal,C,35.1,76,220,13.769575060126900,1.2462296619760700,12.856951037817300,16.67826165341980,0.0,0.0,0.0,0.0,0.003
215,Nick Ritchie,L,27.8,75,236,13.736875729530500,1.6008558059793000,9.71830702937337,14.932127921420300,0.0,0.0,0.0,0.0,0.0
216,Travis Boyd,C,30.0,72,190,13.557904846451000,3.6688827196444100,8.360705084743650,18.09665513687730,0.0,0.001,0.001,0.004,0.032
217,Blake Wheeler,R,37.1,77,220,13.44705158585600,2.577102520770580,9.1557944581511,14.765244970681400,0.001,0.001,0.001,0.001,0.003
218,Yakov Trenin,C,26.7,74,201,13.345289951136100,0.803521767513155,11.5236378893799,14.14086848225700,0.0,0.0,0.0,0.0,0.0
219,Ryan McLeod,C,24.0,74,207,13.206239964565900,37.004819644233800,9.384009919157140,115.51587803150400,0.115,0.125,0.138,0.172,0.244
220,Cody Glass,C,24.5,75,206,13.116927257606400,1.864493811732120,8.5922923108095,14.434283007276800,0.0,0.0,0.0,0.0,0.003
221,Thomas Novak,C,26.4,73,179,13.072785935341000,1.9764344635306600,8.391400071234200,15.063675907864100,0.0,0.0,0.0,0.0,0.0
222,Vince Dunn,D,26.9,72,200,13.024284629252800,1.1229491642002100,9.575872427457090,13.17802326774020,0.0,0.0,0.0,0.0,0.0
223,Philipp Kurashev,C,24.0,72,190,12.991422663492500,1.1641063353460300,10.077526297308700,13.725715723744800,0.0,0.0,0.0,0.0,0.0
224,Pierre Engvall,L,27.3,77,219,12.898470277088600,1.7731033787400900,10.325444981883600,16.10339981608170,0.0,0.0,0.0,0.0,0.001
225,Trent Frederic,C,25.6,75,214,12.869155532225200,1.827765643009830,9.927942166363460,16.03980614058920,0.0,0.0,0.0,0.0,0.002
226,Cale Makar,D,24.9,71,187,12.858403505656100,2.2227086590306100,6.676829598514860,13.815091372899300,0.0,0.0,0.0,0.0,0.0
227,Max Pacioretty,L,34.9,74,217,12.799510408999100,4.171512738954440,6.804958585343300,20.476208189535300,0.0,0.0,0.0,0.001,0.06
228,Jakub Vrana,L,27.6,72,190,12.790214218301000,3.069252429463670,7.7016427431029800,17.785841885115300,0.0,0.0,0.0,0.0,0.011
229,Max Comtois,L,24.7,74,210,12.796101433432000,1.7060728853575500,9.757770196221470,15.318124336007500,0.0,0.0,0.0,0.0,0.002
230,Eetu Luostarinen,C,25.1,75,190,12.778103585202900,1.4815068156878900,9.208717100639830,13.672025184124500,0.0,0.0,0.0,0.0,0.001
231,Noah Gregor,C,25.2,72,190,12.708707724177300,1.8131444004447800,10.894274312949800,16.678869505658300,0.0,0.0,0.0,0.0,0.005
232,Ryan Johansen,C,31.2,75,218,12.654194803589200,2.7057408409480100,7.774574874614340,15.012662525060200,0.0,0.0,0.0,0.003,0.011
233,Tanner Jeannot,L,26.3,74,208,12.686484702391200,1.0086274855062400,10.560418157746100,13.91283363910740,0.0,0.0,0.0,0.0,0.0
234,Josh Morrissey,D,28.5,72,185,12.718761879334300,1.1870993354504900,8.442373133451200,12.291082984929800,0.0,0.0,0.0,0.0,0.0
235,Nico Sturm,C,28.4,75,209,12.705321714152100,1.277279802883380,9.93643646571758,14.25693211308180,0.0,0.0,0.0,0.0,0.0
236,Matias Maccelli,L,23.0,71,176,12.64064357407090,1.6630169386951200,8.815332450804980,14.242950758578600,0.0,0.0,0.0,0.0,0.0
237,Jack McBain,C,23.7,75,201,12.611474863902700,1.591818419933940,10.025653775017600,14.168212396042000,0.0,0.0,0.0,0.001,0.004
238,Victor Hedman,D,32.8,79,244,12.531957729195600,0.9430640198254720,7.89576938806296,11.053459085218000,0.0,0.0,0.0,0.0,0.0
239,Alexander Barabanov,L,29.3,70,195,12.538355949671400,1.6204813354171800,7.91186862709826,13.21425797081490,0.0,0.0,0.0,0.0,0.0
240,Jesse Puljujarvi,R,25.4,76,201,12.438682930881700,1.3240361684502200,10.610661882065500,15.054324301348200,0.0,0.0,0.0,0.0,0.0
241,Shayne Gostisbehere,D,30.4,71,180,12.424318460388600,0.9119758455822990,8.60211410476658,11.385263572869600,0.0,0.0,0.0,0.0,0.0
242,Adam Fox,D,25.6,71,182,12.186029701950200,1.2114550360386100,8.414751910991160,12.280196200873000,0.0,0.0,0.0,0.0,0.0
243,Miles Wood,L,28.1,74,195,12.113386807170100,3.676468499998930,10.869284640632800,22.240001159317100,0.0,0.0,0.0,0.004,0.1
244,Zach Parise,L,39.2,71,195,12.10841180267650,1.7987844132831000,11.092748781532400,15.172878430571200,0.0,0.0,0.001,0.001,0.002
245,Nathan Bastian,R,25.8,76,205,12.114421249888000,1.7862030130020500,9.282204758841720,15.204814846532300,0.0,0.0,0.0,0.0,0.0
246,Gustav Nyquist,"C, L",34.1,71,180,12.069134563265900,1.812405011943410,8.761697291164440,14.587583401563300,0.0,0.0,0.0,0.0,0.001
247,Phil Kessel,"C, R",36.0,71,208,12.000818529335800,7.837265186465120,9.904076330868500,22.41444002587080,0.009,0.013,0.017,0.027,0.065
248,Alexis Lafreni��re,L,22.0,73,195,11.954070669118900,1.7076055237721300,8.768852162806730,14.332797069142800,0.0,0.0,0.0,0.0,0.0
249,Anthony Duclair,L,28.1,71,197,11.932760203499200,2.459418445556260,8.428681559633050,16.694678614987600,0.0,0.0,0.0,0.0,0.004
250,Noel Acciari,C,31.8,70,209,11.892526686750300,1.6158893695866300,9.073205379425330,14.387018745118100,0.0,0.0,0.0,0.0,0.0
251,Jakob Chychrun,D,25.5,74,220,11.836680458053200,1.7709511974094000,7.154051598849330,12.916658948909000,0.0,0.0,0.0,0.0,0.0
252,Brandon Tanev,L,31.8,72,189,11.74666670466800,2.671492895053480,7.325564779983560,15.902622731386500,0.0,0.0,0.0,0.0,0.001
253,Jeff Carter,C,38.7,75,219,11.693618730029000,1.9449674616124800,11.02334822802300,15.874021027664200,0.0,0.0,0.001,0.001,0.004
254,Gustav Forsling,D,27.3,72,186,11.65671207459320,1.2080441537795700,9.19931334532411,12.95630719189080,0.0,0.0,0.0,0.0,0.0
255,Brent Burns,D,38.6,77,230,11.607395717785900,2.457380817657480,7.261599684928210,14.653666035963300,0.0,0.0,0.0,0.0,0.003
256,Miro Heiskanen,D,24.2,73,195,11.5436017824442,0.8669486241390340,8.168443693170040,10.892664652885600,0.0,0.0,0.0,0.0,0.0
257,Robby Fabbri,C,27.7,71,185,11.53218972089510,2.1723708386316900,6.852771268028780,14.017159458035400,0.0,0.0,0.0,0.0,0.0
258,Sean Monahan,C,29.0,74,196,11.474720053509700,1.9562491541864400,6.429599530171920,12.683472985072700,0.0,0.0,0.0,0.0,0.0
259,Alex Pietrangelo,D,33.7,75,215,11.470693112908300,1.2557258347077700,8.318250800985560,12.253806214710800,0.0,0.0,0.0,0.0,0.0
260,Vladislav Namestnikov,C,30.9,72,179,11.465026238136900,1.4885697234866700,10.298675411914800,14.69175307742970,0.0,0.0,0.0,0.0,0.002
261,Carl Grundstrom,R,25.8,72,195,11.447885027767200,1.488175701189560,8.939062714735150,13.94797724845460,0.0,0.0,0.0,0.0,0.0
262,Brandon Montour,D,29.5,72,194,11.383260538418400,1.0241972930703100,8.201189861923400,11.583207926612100,0.0,0.0,0.0,0.0,0.0
263,Nick Bjugstad,C,31.2,78,209,11.351923140740600,1.7925231106814500,8.81846451134545,14.235283901391900,0.0,0.0,0.0,0.0,0.003
264,Jesper Fast,R,31.8,73,191,11.335371027642800,1.2822739260280000,10.231570883580400,14.044809140533400,0.0,0.0,0.0,0.0,0.002
265,Eric Robinson,L,28.3,74,205,11.255944582231400,1.2893510112728300,8.722507364608930,12.838576562938700,0.0,0.0,0.0,0.0,0.0
266,Adam Lowry,C,30.5,78,208,11.250462982380900,1.5376258546502400,7.355728584914110,11.5801550023314,0.0,0.0,0.0,0.001,0.001
267,Kasperi Kapanen,R,27.2,73,194,11.24160766176100,1.7159059156741200,8.309654330273230,13.875248294633600,0.0,0.0,0.0,0.0,0.0
268,Denis Gurianov,R,26.3,75,205,11.228453819071400,1.2882777531879600,8.597198190303610,12.95165023853640,0.0,0.0,0.0,0.0,0.0
269,Brady Skjei,D,29.5,75,210,11.205121600637300,0.9868201612822120,9.804226666167650,12.899458658988100,0.0,0.0,0.0,0.0,0.0
270,Ryan Lomberg,L,29.1,69,187,11.148504438528300,1.2515634345338000,9.51397094403005,13.347590156770400,0.0,0.0,0.0,0.0,0.0
271,Stefan Noesen,R,30.6,73,205,11.04047504487480,3.4186695282839700,6.340003746273970,16.37569681624980,0.0,0.0,0.0,0.001,0.024
272,Alexander Kerfoot,C,29.1,71,186,10.896001200531400,4.179569974519620,9.438117509887260,15.482258026846000,0.002,0.003,0.003,0.005,0.016
273,Dakota Joshua,C,27.4,75,206,10.887789590765700,1.7246706314075600,8.17986228039702,12.871511971464400,0.0,0.0,0.0,0.002,0.003
274,Kevin Labanc,R,27.8,71,185,10.859380329536000,1.6567194063418900,8.229504467715880,13.472588766808400,0.0,0.0,0.0,0.0,0.0
275,Brandon Duhaime,R,26.4,74,200,10.838120896023100,1.357161348199640,8.44029435842113,12.903456026649300,0.0,0.0,0.0,0.0,0.0
276,David Krejci,C,37.4,72,192,10.824350385075800,3.128456060850190,6.732844637752720,15.591640422153600,0.0,0.001,0.001,0.002,0.009
277,Ty Dellandrea,C,23.2,73,195,10.70597989663220,1.9920177484878100,7.468353098759180,13.748593166336300,0.0,0.0,0.0,0.0,0.002
278,Justin Faulk,D,31.5,72,214,10.6648725077015,1.1145100037256600,8.326119121424150,11.165674294848600,0.0,0.0,0.0,0.0,0.0
279,Marcus Johansson,L,33.0,73,203,10.655091687878900,2.5709185547650100,6.549145568011510,13.005411502429000,0.0,0.0,0.001,0.002,0.006
280,Anthony Mantha,R,29.0,77,234,10.657810375726100,2.057055775474460,8.73936184190747,14.408043539212400,0.0,0.0,0.0,0.001,0.008
281,Barclay Goodrow,C,30.6,74,204,10.666246618544600,2.977752795919490,7.687749159761860,15.041943553024600,0.0,0.0,0.0,0.002,0.018
282,Oskar Sundqvist,C,29.5,75,220,10.663168462060500,1.845764709195710,7.112960484768560,12.902099950274600,0.0,0.0,0.0,0.0,0.001
283,Teuvo Teravainen,L,29.1,71,191,10.64659776838080,2.002903669560650,6.468718699993830,12.779332621522200,0.0,0.0,0.0,0.0,0.0
284,Aaron Ekblad,D,27.6,76,215,10.652237680448200,1.2802146315067600,6.036955676223980,10.266045035624100,0.0,0.0,0.0,0.0,0.0
285,Zach Werenski,D,26.2,74,213,10.639108733725500,2.3184319019637300,5.1797172441789400,12.613228035752500,0.0,0.0,0.0,0.0,0.001
286,Ryan Donato,C,27.5,72,190,10.609679779320600,1.9647257397486800,8.995912589814000,15.445945937373100,0.0,0.0,0.0,0.0,0.0
287,Philip Tomasino,C,22.2,72,179,10.570684921656600,2.0709027442544300,6.483126070952630,13.12885349368120,0.0,0.0,0.0,0.0,0.0
288,Michael Amadio,"C, R",27.4,73,204,10.556192225506700,1.6859412332095500,7.8579238495397500,13.295021315779500,0.0,0.0,0.0,0.0,0.0
289,Tyson Jost,C,25.6,71,187,10.49805920381440,0.8688897039420170,8.735285501845790,11.635421984103900,0.0,0.0,0.0,0.0,0.0
290,Shea Theodore,D,28.2,74,197,10.427231255821200,1.3501773714070000,6.880233741906520,11.087202945858600,0.0,0.0,0.0,0.0,0.0
291,Darnell Nurse,D,28.7,76,221,10.394321712904900,1.0507058793797000,8.63330563435343,12.038435550867300,0.0,0.0,0.0,0.0,0.0
292,Evan Bouchard,D,23.9,75,194,10.356210264593900,1.212554981269220,8.924227831879020,12.852743291857600,0.0,0.0,0.0,0.0,0.0
293,Oliver Wahlstrom,R,23.3,74,204,10.341160196503600,2.492688062751490,7.6205093882360100,15.564638086910700,0.0,0.0,0.0,0.0,0.004
294,Jared Spurgeon,D,33.8,69,166,10.333267303469100,1.3811442552935100,7.36106645273388,11.686294242933100,0.0,0.0,0.0,0.0,0.0
295,Cole Perfetti,C,21.7,71,184,10.285789044027800,1.9057306280503300,6.434377971349670,12.951299429048600,0.0,0.0,0.0,0.0,0.0
296,Nick Bonino,C,35.4,73,195,10.209891583944200,1.6395927246651100,8.331304608500220,13.687801547422900,0.0,0.0,0.0,0.0,0.0
297,Morgan Barron,C,24.8,76,220,10.197361576967500,1.5473431301166400,7.2154811564300500,12.178891621094400,0.0,0.0,0.0,0.0,0.0
298,Rasmus Dahlin,D,23.5,75,202,10.141069932731200,1.1695752361897600,6.684935319373650,10.049841352035800,0.0,0.0,0.0,0.0,0.0
299,Jesper Boqvist,C,24.9,72,180,10.131263143230200,1.294447755708630,8.070568769226140,12.197923544823700,0.0,0.0,0.0,0.0,0.0
300,Mike Matheson,D,29.6,74,193,10.135359573064700,1.368905740636710,6.996039265328150,11.547321801032700,0.0,0.0,0.0,0.0,0.0
301,Tyson Barrie,D,32.2,71,197,10.131114005565200,1.0026815783637100,6.9655523250406,10.094457425000800,0.0,0.0,0.0,0.0,0.0
302,Cole Sillinger,C,20.4,73,201,10.004136502827300,1.9203336070685700,7.0010582481456600,13.394046461460600,0.0,0.0,0.0,0.0,0.0
303,Thomas Chabot,D,26.7,74,195,10.010331284694800,1.0193693101521700,6.437686097567230,9.746239990891600,0.0,0.0,0.0,0.0,0.0
304,Garnet Hathaway,R,31.9,75,208,10.008077255347500,43.76637932300840,7.3069752659246200,12.45689741275840,0.006,0.008,0.009,0.011,0.025
305,Paul Stastny,C,37.8,72,193,9.973781958982510,2.3366091378110200,8.509132964929950,13.70494232346050,0.0,0.001,0.002,0.002,0.004
306,Devon Toews,D,29.6,73,191,9.970438570943520,0.6737088588635190,7.894058647530800,10.104214365607600,0.0,0.0,0.0,0.0,0.0
307,Brendan Gallagher,R,31.4,69,186,9.946265456365310,2.8132097266379100,6.632859990789340,15.248220782745800,0.0,0.0,0.0,0.0,0.01
308,Colton Sissons,C,29.9,73,200,9.9273476748986,1.554843495922550,8.145915054146150,13.200621906891500,0.0,0.0,0.0,0.0,0.001
309,Logan O'Connor,R,27.1,72,175,9.888889819627130,2.307540705645150,6.12350079298178,13.628486355757600,0.0,0.0,0.0,0.0,0.001
310,Noah Dobson,D,23.7,76,194,9.834250740192560,0.8566339954078770,6.397331933423540,9.197567824886780,0.0,0.0,0.0,0.0,0.0
311,Christian Fischer,R,26.5,74,212,9.754887227361400,1.6726998569957100,7.679887323660900,12.614126044935000,0.0,0.0,0.0,0.0,0.002
312,Sonny Milano,L,27.4,72,194,9.720936238188750,1.5484839213892900,7.609715924066460,12.739698094123600,0.0,0.0,0.0,0.0,0.0
313,Paul Cotter,C,23.9,74,212,9.69654155672442,1.9806043545790000,6.38641364406872,12.941999933100500,0.0,0.0,0.0,0.0,0.0
314,Oskar Lindblom,L,27.1,73,191,9.511049850174350,1.304361098518000,8.363450599942240,12.655634714338700,0.0,0.0,0.0,0.0,0.0
315,Mason Appleton,C,27.7,75,197,9.47113631107626,1.5336047852803000,6.690023710129950,11.722655407482400,0.0,0.0,0.0,0.0,0.0
316,Connor Dewar,C,24.3,70,183,9.455479840079920,1.9500737882864700,6.75971242431985,10.58549183994270,0.0,0.001,0.001,0.001,0.001
317,John Carlson,D,33.7,75,215,9.417961905387470,1.6145310603439700,4.778986080485650,10.110768462177700,0.0,0.0,0.0,0.0,0.0
318,K'Andre Miller,D,23.7,77,215,9.413867789478240,0.8757074350890350,7.885933074223370,10.60336257935690,0.0,0.0,0.0,0.0,0.0
319,Radek Faksa,C,29.7,75,225,9.38665332494171,1.8552619699594000,7.8799817605870300,13.201054676205600,0.0,0.0,0.0,0.001,0.002
320,Seth Jones,D,29.0,76,213,9.398292403386840,0.831621186475577,5.645927912077300,8.261765582091810,0.0,0.0,0.0,0.0,0.0
321,Luke Kunin,C,25.8,72,197,9.401408485382660,2.143375085836570,6.263014876387140,12.668562499608600,0.0,0.0,0.0,0.001,0.001
322,Mikhail Sergachev,D,25.3,73,217,9.390274686936680,0.4782402307921280,7.614530393667520,9.101549942517380,0.0,0.0,0.0,0.0,0.0
323,Tony DeAngelo,D,27.9,71,180,9.385159019122150,1.3438619890404600,5.723292484122000,10.026155581806800,0.0,0.0,0.0,0.0,0.0
324,Jason Dickinson,C,28.2,74,200,9.329243012168550,1.3865919770688500,7.373115263113130,11.059617958930500,0.0,0.0,0.0,0.0,0.001
325,Lukas Reichel,L,21.4,72,170,9.317052769301380,2.385959605786930,5.496414391266530,13.125236004196300,0.0,0.0,0.0,0.0,0.0
326,Sam Gagner,C,34.1,71,201,9.265531975637320,2.43826377678909,6.367251068261700,13.306889221978000,0.0,0.0,0.0,0.0,0.006
327,Matt Nieto,L,30.9,71,187,9.237359895502950,1.181289326137940,7.046217758012050,10.860110613349200,0.0,0.0,0.0,0.0,0.0
328,Jimmy Vesey,L,30.4,75,202,9.215102454387870,1.0269966136123400,7.327739824777070,10.648406394239600,0.0,0.0,0.0,0.0,0.0
329,Rasmus Andersson,D,26.9,73,202,9.179336255274830,0.5037414114892080,6.272769259420720,7.88100986872173,0.0,0.0,0.0,0.0,0.0
330,Mattias Ekholm,D,33.4,76,215,9.13221527154976,0.8444215056652300,7.539791348403460,10.101538311282200,0.0,0.0,0.0,0.0,0.0
331,Kyle Okposo,R,35.5,72,218,9.093784426346080,1.5279977184258100,7.600777014805230,12.477203940951700,0.0,0.0,0.0,0.0,0.0
332,Derick Brassard,C,36.0,73,200,9.007946036695220,6.237982498503680,6.4341993437323900,17.228034363973700,0.004,0.007,0.012,0.016,0.034
333,Casey Cizikas,C,32.6,71,190,8.980308410150810,1.010430824162090,7.04394746687613,10.24354875670080,0.0,0.0,0.0,0.0,0.0
334,Zemgus Girgensons,L,29.7,74,200,8.953943467678800,0.8319045239569170,7.201733778514320,9.914370016525550,0.0,0.0,0.0,0.0,0.0
335,Jonatan Berggren,R,23.2,71,197,8.902484168520510,2.2471822552987900,5.243773748731820,12.216026527006800,0.0,0.0,0.0,0.0,0.002
336,Ryan Poehling,C,24.7,74,196,8.878681634915410,1.6845211430463000,6.558060282498040,11.477078779285,0.0,0.0,0.0,0.0,0.002
337,Kris Letang,D,36.4,72,201,8.854550383291590,0.848855193623082,5.315340219544130,7.812415889422620,0.0,0.0,0.0,0.0,0.0
338,Connor Brown,R,29.7,72,181,8.828579886836080,2.2295197917174300,5.014826105277430,11.84195010328860,0.0,0.0,0.0,0.0,0.001
339,Quinton Byfield,C,21.1,77,220,8.797100171944940,3.1673315694815700,4.829809703976860,14.863063722527700,0.0,0.0,0.0,0.0,0.004
340,Jakob Silfverberg,R,33.0,73,207,8.767288902607740,44.28522312200880,4.3088420201393200,68.20573889439650,0.051,0.055,0.066,0.074,0.101
341,Rem Pitlick,C,26.5,71,186,8.740427560830310,1.5415231305797500,6.137343988275370,11.15058769533120,0.0,0.0,0.0,0.0,0.0
342,Nic Dowd,C,33.3,73,193,8.721583181925970,1.3633529297134800,6.040321725871550,10.404635778120500,0.0,0.0,0.0,0.0,0.0
343,Dmitry Orlov,D,32.2,71,214,8.73638895316416,0.7491380269072390,6.9286595492668300,9.318691835943380,0.0,0.0,0.0,0.0,0.0
344,Cam Fowler,D,31.8,74,215,8.718077957685830,0.7922989189076140,6.665750771727370,8.69989712477824,0.0,0.0,0.0,0.0,0.0
345,Sebastian Aho,C,26.2,72,176,8.714117944055980,4.27098637720016,6.703520430314090,18.353381669300000,0.0,0.001,0.001,0.007,0.037
346,Eric Staal,C,38.9,76,195,8.70490416588794,3.4109071454196200,5.914364746691710,13.700023081092200,0.001,0.001,0.002,0.002,0.007
347,Steven Lorentz,C,27.5,76,206,8.671198818746150,1.994610958613280,6.086573171850670,12.008668208576100,0.0,0.0,0.0,0.0,0.001
348,Marcus Foligno,L,32.1,75,226,8.650131425357620,1.4965639546902500,6.210857493079220,11.193302241268900,0.0,0.0,0.0,0.0,0.0
349,Nikita Zadorov,D,28.5,78,248,8.654848922396170,1.4123645116921300,6.8295259890009300,11.06618105542660,0.0,0.0,0.0,0.0,0.0
350,Hampus Lindholm,D,29.7,76,215,8.639980869966640,1.0902618273388700,6.383717549284710,9.27954069392124,0.0,0.0,0.0,0.0,0.0
351,Joe Veleno,C,23.7,73,203,8.627704725069910,1.1647687963260600,6.9325884817794400,10.699384794059600,0.0,0.0,0.0,0.0,0.0
352,Blake Lizotte,C,25.8,69,170,8.621196105261440,1.370597193749010,5.974051206781630,10.482220911104700,0.0,0.0,0.0,0.0,0.0
353,Brock McGinn,L,29.7,72,187,8.59485568018877,1.0914696391520900,6.048939138047550,9.596904305386660,0.0,0.0,0.0,0.0,0.0
354,Craig Smith,C,34.1,72,204,8.56955129510759,2.591985510767160,7.393983149730570,12.97973196936210,0.001,0.001,0.001,0.001,0.004
355,Jonathan Toews,C,35.4,74,201,8.566437106373650,1.8130005410050200,4.656785129018900,10.407530628740500,0.0,0.0,0.0,0.0,0.0
356,Michael McLeod,C,25.7,74,190,8.555255589000240,0.6650507638604200,7.272980317605010,9.453879839097680,0.0,0.0,0.0,0.0,0.0
357,Zach Sanford,L,28.9,76,206,8.539118772238880,1.7209171423176100,5.86880015686886,11.367794248212500,0.0,0.0,0.0,0.0,0.0
358,Charlie McAvoy,D,25.8,73,209,8.527357523827000,2.259948334445320,5.2279714868248300,9.582552823406760,0.0,0.0,0.001,0.001,0.006
359,Brett Howden,C,25.5,74,203,8.52254045352693,1.4324989796190700,6.188445736862870,10.822760360606800,0.0,0.0,0.0,0.0,0.0
360,Nils Aman,C,23.6,74,179,8.512491941554700,1.7339970825345000,5.713336699729830,10.91704158379730,0.0,0.0,0.0,0.0,0.002
361,Jake Sanderson,D,21.2,75,195,8.509316626344000,0.849276238576765,5.564193001771170,8.163591699474270,0.0,0.0,0.0,0.0,0.0
362,Noah Hanifin,D,26.7,75,207,8.499928762273760,0.9025014118561270,6.642202198888820,8.696330586674070,0.0,0.0,0.0,0.0,0.0
363,David Kampf,C,28.7,74,197,8.51563664960417,1.7502647837138500,5.71929395446795,11.005056501409600,0.0,0.0,0.0,0.0,0.001
364,Nils Hoglander,L,22.8,69,185,8.529784793951620,2.4459323118817500,5.922664772334560,12.76947202302530,0.0,0.0,0.001,0.001,0.001
365,Tanner Pearson,L,31.1,73,201,8.526051536182160,1.9224595903392200,5.393758745776510,11.47475320464590,0.0,0.0,0.0,0.0,0.0
366,Danton Heinen,L,28.2,73,188,8.51755161859881,1.4250081062221900,6.803315754422080,11.186704313523600,0.0,0.0,0.0,0.0,0.0
367,Rafael Harvey-Pinard,L,24.7,69,181,8.504973628800210,1.9687596466669500,5.181838560893650,11.528152840605900,0.0,0.0,0.0,0.0,0.0
368,Keegan Kolesar,R,26.5,74,217,8.48927445018441,1.8645212253280200,6.070960302830510,12.097315866484000,0.0,0.0,0.0,0.0,0.0
369,Denis Malgin,C,26.7,69,182,8.454659042806340,1.6587298653399000,5.722979058861800,11.146258174969400,0.0,0.0,0.0,0.0,0.0
370,Mathieu Joseph,R,26.6,73,187,8.428049966652470,1.8255212719776800,5.500759564530770,10.713759030777000,0.0,0.0,0.0,0.0,0.001
371,Ryan Graves,D,28.4,77,220,8.405218596905080,0.6812987768592690,7.3408677871439,9.390873771609300,0.0,0.0,0.0,0.0,0.0
372,Pavel Dorofeyev,L,22.9,73,194,8.360627093081880,2.257232785589290,4.744685842010250,12.27396576941730,0.0,0.0,0.0,0.0,0.0
373,Josh Bailey,R,34.0,73,200,8.295283690266440,1.8841489618183600,6.3432068929014300,11.643262941131300,0.0,0.0,0.0,0.001,0.001
374,Sean Kuraly,C,30.7,74,213,8.249308161415050,1.1659624963604600,6.214693410086690,9.785795830347840,0.0,0.0,0.0,0.0,0.0
375,Isac Lundestrom,C,23.9,72,193,8.213245568605820,0.9180895262794650,6.036233503215080,9.010097664721300,0.0,0.0,0.0,0.0,0.0
376,Drew Doughty,D,33.8,73,210,8.12008504710688,0.9236073574167380,4.434845516443300,7.288496603773090,0.0,0.0,0.0,0.0,0.0
