,Player,Projected Goals,Projected A1,Projected A2,Projected Assists,Projected Points,StDev,5th Percentile,95th Percentile,150P Probability,140P Probability,130P Probability,120P Probability,110P Probability,100P Probability,90P Probability,80P Probability,70P Probability,60P Probability,50P Probability,40P Probability,30P Probability
502,Danil Gushchin,5.201587775080710,3.552326461266260,2.7969547368638000,6.349281198130060,11.550868973210800,2.756635896759160,6.86421563888612,16.055590940971500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,Zack MacEwen,5.201371929471950,3.4640503462745200,3.7497430042583200,7.213793350532840,12.415165280004800,1.7879508326122800,9.742361091372200,15.664813183408000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,Mason Shaw,5.16185822354403,3.645981070871260,2.745403411798960,6.3913844826702100,11.553242706214200,2.676980793084450,7.246336127194430,15.996650936845800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,Jani Hakanpaa,5.1470906973226900,4.147228029197180,6.13874946822942,10.285977497426600,15.433068194749300,1.8768121972033600,11.684313458133700,17.709797412321700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,Patric Hornqvist,5.127008779230780,4.564509674795760,3.4615476253770900,8.026057300172850,13.153066079403600,4.584481941539590,7.675977120953960,21.07543047123640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.009
507,Michael Carcone,5.111489796356000,2.807469088903030,2.7602809798634500,5.567750068766480,10.67923986512250,2.892209218894230,6.284750685085790,15.893098400541400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,Egor Sokolov,5.112440722157940,5.024042642007290,1.4709296606590800,6.494972302666370,11.607413024824300,4.616249729368780,6.2254988425356200,20.975576225577200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
509,Jaret Anderson-Dolan,5.103278250795620,3.321825476626920,2.172822497859850,5.4946479744867700,10.597926225282400,2.5272314758923200,6.614065630896520,14.786692692593900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,Samuel Fagemo,5.103655828431750,3.3041327756627400,1.4008663453343800,4.704999120997120,9.80865494942887,3.1199444092808200,5.289045713838030,15.264129061738200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,Joey Anderson,5.122357183117570,3.3287950808036800,1.5250278233822200,4.853822904185900,9.976180087303480,2.516063126694830,6.075406702705930,14.270148270245600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,Scott Mayfield,5.121463486118540,9.63408670527915,9.71438494729077,19.34847165256990,24.469935138688500,1.830942462326860,20.90551835392950,26.75633914771030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
513,Vinnie Hinostroza,5.1374362020808600,6.005114924389540,4.388636741543620,10.393751665933200,15.531187868014000,3.407652084023790,10.503616588352800,21.158237570163800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
514,Walker Duehr,5.136922820316780,3.4329824269614000,1.3761297521134800,4.809112179074880,9.946034999391660,2.8149468057267500,5.651253185989260,14.99577682756420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,Jalen Chatfield,5.146701495299880,6.070453494830340,6.914836391040950,12.985289885871300,18.13199138117120,2.3670976053687500,14.244177796559200,21.921086137524900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,Adam Larsson,5.1694141525734000,8.017018445801260,8.728642859854360,16.745661305655600,21.915075458229000,2.411974253053810,17.644663626900600,25.68385796691450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,Adam Ruzicka,5.19162030429856,5.185565327629970,3.4344822301397300,8.620047557769700,13.811667862068300,2.90138317212868,8.388595311433240,17.900687895013800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,Cal Clutterbuck,5.19796811846429,3.5819169450582800,3.7733150040897400,7.355231949148020,12.553200067612300,3.1112038074101400,8.857437001170560,18.761926520517400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,Brendan Lemieux,5.199103273294760,5.440102705798580,3.4713285526973900,8.911431258495960,14.110534531790700,2.579162861820760,10.188456386323300,18.738804336564400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,Dylan Guenther,5.229716173408670,4.825875334537,4.376896514309540,9.202771848846540,14.432488022255200,3.650150284147480,7.437911651611670,19.6912337234485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,John Hayden,5.233952418863670,1.2981161742503000,1.021437560712660,2.3195537349629600,7.553506153826630,2.578031093616400,3.7667490183627200,12.117602192372400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
