,Player,Position,Team,Age,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
423,Carl Grundstrom,LW/RW,LA,25.8,62,11.4,11,6,3,9,21
424,Casey Cizikas,C,NYI,32.6,66,13.4,9,7,5,12,21
425,Ryan Suter,D,DAL,38.7,72,18.4,3,8,10,17,21
426,Brenden Dillon,D,WPG,32.9,77,18.4,2,9,10,19,21
427,Milan Lucic,LW,BOS,35.3,71,11.0,7,8,6,14,21
428,Isac Lundestrom,C,ANA,23.9,71,13.8,8,7,5,12,20
429,Dylan DeMelo,D,WPG,30.4,72,18.5,3,8,9,17,20
430,Tyler Myers,D,VAN,33.7,74,20.9,3,9,9,18,20
431,Ryan Poehling,C,PHI,24.7,61,11.8,9,8,4,11,20
432,Justin Holl,D,DET,31.7,74,18.9,3,7,11,18,20
433,Ryan Lindgren,D,NYR,25.6,61,19.9,3,10,7,17,20
434,Derick Brassard,C/LW,OTT,36,58,11.1,9,6,5,11,20
435,Nicklas Backstrom,C,WSH,35.9,34,15.2,6,8,6,14,20
436,Calen Addison,D,MIN,23.5,44,18.1,3,8,8,17,20
437,Nicolas Aube-Kubel,RW,WSH,27.4,62,10.9,8,7,5,12,20
438,Derek Grant,C,ANA,33.4,56,13.0,8,7,5,12,20
439,Jake Middleton,D,MIN,27.7,77,18.4,5,7,8,15,20
440,Nils Hoglander,LW,VAN,22.8,46,12.3,9,7,4,11,20
441,Brett Howden,C,VGK,25.5,56,13.1,9,6,5,11,20
442,Craig Smith,C/RW,DAL,34.1,53,10.7,9,6,5,11,20
443,Corey Perry,RW,CHI,38.4,62,10.4,7,7,6,12,20
444,Erik Cernak,D,TB,26.3,67,18.3,3,8,8,16,20
445,Cole Smith,LW,NSH,27.9,57,12.3,7,8,5,12,20
446,Adam Erne,LW,DET,28.4,60,12.7,8,6,6,12,19
447,Ryan McDonagh,D,NSH,34.3,63,20.1,3,8,8,16,19
448,Colin Blackwell,C,CHI,30.5,65,12.2,8,8,4,11,19
449,Mario Ferraro,D,SJ,25,74,20.9,4,6,9,15,19
450,Will Borgen,D,SEA,26.8,74,16.5,4,8,8,16,19
451,Colin Miller,D,NJ,30.9,68,16.6,4,7,8,15,19
452,Sammy Blais,LW,STL,27.3,60,11.5,8,6,5,11,19
453,Ethan Bear,D,CAR,26.3,62,19.1,5,7,7,14,19
454,Brandon Duhaime,LW/RW,MIN,26.4,66,11.5,11,5,3,8,19
455,Rasmus Kupari,C,WPG,23.5,61,11.8,6,8,5,13,19
456,Nic Dowd,C,WSH,33.3,52,12.9,9,6,4,10,19
457,Lars Eller,C,PIT,34.4,51,13.7,7,7,5,12,19
458,Matthew Benning,D,SJS,29.4,71,18.2,2,9,8,17,19
459,Sean Kuraly,C,CBJ,30.7,55,14.4,8,6,5,11,19
460,Lukas Reichel,LW,CHI,21.4,40,15.5,9,6,3,9,19
461,Martin Fehervary,D,WSH,24,62,20.7,6,6,7,13,19
462,Zemgus Girgensons,LW,BUF,29.7,69,12.3,9,5,4,10,19
463,Filip Zadina,RW,SJ,23.8,49,12.7,7,6,5,11,19
464,Alexander Edler,D,LA,37.4,61,16.5,3,8,8,16,19
465,Ian Cole,D,VAN,34.6,67,18.0,3,8,8,16,18
466,Cody Ceci,D,EDM,29.8,70,18.8,3,7,9,16,18
467,Alexandre Carrier,D,NSH,27,59,18.2,4,7,8,15,18
468,Josh Mahura,D,FLA,25.4,70,15.1,4,8,6,14,18
469,Zach Sanford,LW,NSH,28.9,49,13.6,9,6,4,10,18
470,Travis Hamonic,D,OTT,33.1,67,17.6,5,6,7,13,18
471,Boris Katchouk,LW,CHI,25.3,59,12.0,7,7,4,12,18
472,Mark Giordano,D,TOR,40,58,16.6,3,7,8,15,18
473,Brock McGinn,LW,ANA,29.7,55,12.7,9,5,4,10,18
474,Henri Jokiharju,D,BUF,24.3,65,21.7,4,7,8,15,18
475,Juuso Parssinen,C,NSH,22.7,41,14.3,6,7,5,12,18
476,Joel Armia,RW,MTL,30.3,51,13.5,8,6,4,10,18
477,Liam Foudy,C,CBJ,23.7,53,12.9,8,7,3,10,18
478,Jalen Chatfield,D,CAR,27.4,66,15.6,5,6,7,13,18
479,Olli Maatta,D,DET,29.1,70,18.0,3,7,8,15,18
480,Brayden McNabb,D,VGK,32.7,69,19.2,2,7,9,16,18
481,Connor Clifton,D,BUF,28.4,61,18.4,4,6,8,14,18
482,Artem Zub,D,OTT,28,59,19.9,4,6,8,14,18
483,Rasmus Asplund,C,NSH,25.8,62,11.5,6,7,5,12,18
484,Jamie Drysdale,D,ANA,21.5,51,19.1,4,7,7,14,18
485,Caleb Jones,D,CHI,26.3,65,17.8,4,7,7,14,18
486,Luke Hughes,D,NJ,20.1,44,17.7,7,3,8,11,18
487,Paul Cotter,C,VGK,23.9,47,12.8,10,5,3,8,18
488,Steven Lorentz,C,FLA,27.5,61,12.2,9,4,5,9,18
489,Jake Bean,D,CBJ,25.3,48,17.5,4,6,8,14,18
490,TJ Brodie,D,TOR,33.3,64,19.9,3,6,9,15,18
491,Luke Evangelista,RW,NSH,21.6,38,15.6,8,6,3,10,17
492,Jacob Peterson,C,DAL,24.2,43,13.5,6,6,5,11,17
493,Max Jones,LW,ANA,25.6,52,12.4,8,5,4,9,17
494,David Savard,D,MTL,32.9,69,21.1,3,6,9,15,17
495,Derek Ryan,C,EDM,36.8,63,10.8,8,5,4,10,17
496,Tyson Foerster,C,PHI,21.7,40,13.2,8,7,3,10,17
497,Evgeny Svechnikov,LW,SJ,26.9,54,11.0,8,6,3,10,17
498,Johnathan Kovacevic,D,MTL,26.2,74,16.0,5,6,7,13,17
499,Andrew Peeke,D,CBJ,25.5,77,21.3,4,5,7,13,17
500,Joe Veleno,C,DET,23.7,73,12.4,9,5,3,8,17
501,Brandon Carlo,D,BOS,26.8,74,18.1,4,7,6,13,17
502,Rasmus Ristolainen,D,PHI,28.9,64,18.8,3,7,7,14,17
503,Sheldon Dries,C,VAN,29.4,51,11.2,7,5,4,10,17
504,Radko Gudas,D,ANA,33.3,65,16.3,2,7,8,15,17
505,Rafael Harvey-Pinard,LW,MTL,24.7,39,15.9,9,5,3,8,17
506,Zach Whitecloud,D,VGK,26.8,65,16.9,6,5,6,11,17
507,Klim Kostin,C/LW,DET,24.4,49,9.6,8,6,3,9,17
508,Nils Lundkvist,D,DAL,23.2,46,16.8,4,6,6,12,17
509,Troy Stecher,D,ARI,29.5,66,17.2,4,7,6,13,17
510,Ridly Greig,C,OTT,21.1,43,14.2,7,6,3,9,16
511,Pat Maroon,LW,MIN,35.4,63,9.7,5,6,5,11,16
512,Yegor Chinakhov,RW,CBJ,22.7,41,12.8,6,5,5,10,16
513,Jordan Harris,D,MTL,23.2,54,18.6,4,6,7,13,16
514,Dante Fabbro,D,NSH,25.3,64,18.2,3,6,7,13,16
515,Mattias Samuelsson,D,BUF,23.5,58,21.7,3,6,6,13,16
516,Sean Walker,D,PHI,28.9,59,16.0,4,6,6,12,16
517,Anders Bjork,LW,CHI,27.2,42,12.6,6,7,3,10,16
518,Rudolfs Balcers,LW,SJS,26.5,41,12.9,8,5,3,8,16
519,Tyler Motte,LW/RW,TB,28.6,46,12.8,7,5,4,9,16
520,Aliaksei Protas,C,WSH,22.7,45,12.0,6,6,4,10,16
521,Zach Aston-Reese,C/LW,TOR,29.1,58,11.9,8,5,3,8,16
522,Connor Murphy,D,CHI,30.5,61,19.4,4,6,6,12,16
523,Braden Schneider,D,NYR,22,67,16.7,4,6,6,12,16
524,Wade Allison,RW,PHI,26,44,12.8,8,4,3,8,16
525,Pierre-Olivier Joseph,D,PIT,24.3,62,15.2,3,6,6,12,16
526,Jake Walman,D,DET,27.6,53,17.9,7,4,5,9,16
527,Thomas Bordeleau,C,SJ,21.7,44,14.0,5,6,4,10,16
528,Kaiden Guhle,D,MTL,21.7,46,21.4,4,7,5,12,16
529,Vasily Podkolzin,RW,VAN,22.3,48,12.3,7,5,3,9,16
530,Pavel Dorofeyev,LW,VGK,22.9,43,13.8,8,5,3,7,16
531,Vinnie Hinostroza,C,BUF,29.5,41,12.8,5,6,4,10,16
532,Alex Chiasson,RW,DET,33,42,11.0,8,4,4,8,15
533,Mikey Anderson,D,LA,24.4,59,20.6,3,4,8,12,15
534,Jani Hakanpaa,D,DAL,31.5,73,17.8,5,4,6,10,15
535,Timothy Liljegren,D,TOR,24.4,50,17.7,4,6,6,12,15
536,Denis Malgin,C,COL,26.7,44,10.5,8,4,3,7,15
537,Erik Gudbranson,D,CBJ,31.7,65,19.7,3,5,7,13,15
538,Brett Kulak,D,EDM,29.7,67,16.5,3,5,7,13,15
539,Alexey Toropchenko,RW,STL,24.3,48,11.6,7,5,3,8,15
540,Juraj Slafkovsky,LW,MTL,19.5,46,14.6,7,5,4,8,15
541,Andrew Cogliano,C,COL,36.3,71,11.9,6,5,4,9,15
542,Jake Neighbours,LW,STL,21.5,49,13.5,7,5,3,8,15
543,Trevor van Riemsdyk,D,WSH,32.2,57,17.8,4,5,6,12,15
544,Alex Goligoski,D,MIN,38.2,60,17.1,3,6,6,12,15
545,Michael Eyssimont,C,TBL,27.1,39,11.9,6,5,3,9,15
546,Dmitry Kulikov,D,FLA,32.9,60,17.5,3,6,6,12,15
547,Mathieu Olivier,RW,CBJ,26.6,49,11.1,6,5,3,9,15
548,MacKenzie Entwistle,RW,CHI,24.2,64,12.7,7,4,4,8,15
549,Derek Forbort,D,BOS,31.6,65,17.4,3,5,6,11,15
550,Marc-Edouard Vlasic,D,SJ,36.5,65,15.9,2,5,8,13,15
551,Chris Tierney,C,NJ,29.3,48,11.7,5,5,4,9,15
552,Ty Smith,D,PIT,23.5,43,17.6,4,5,5,10,15
553,Nick Foligno,LW,CHI,35.9,39,11.9,5,6,4,10,15
554,Shane Wright,C,SEA,19.7,46,12.0,7,4,4,8,15
555,Matt Martin,LW,NYI,34.4,70,10.2,5,5,4,9,14
556,Brad Hunt,D,COL,35.1,49,14.8,5,5,5,10,14
557,Austin Watson,LW/RW,TB,31.7,60,10.4,7,3,4,7,14
558,Jaycob Megna,D,SEA,30.8,57,18.8,2,6,6,13,14
559,Dylan Guenther,LW,ARI,20.5,35,15.5,5,5,4,9,14
560,Nick Holden,D,OTT,36.4,52,18.5,2,6,6,12,14
561,Elmer Soderblom,LW,DET,22.2,44,12.3,7,4,3,7,14
562,Hudson Fasching,RW,NYI,28.2,40,12.2,7,5,3,7,14
563,William Eklund,C/LW,SJ,21,47,14.4,7,5,3,8,14
564,Nick Perbix,D,TB,25.3,49,14.7,3,6,5,11,14
565,Carson Soucy,D,VAN,29.2,57,15.3,3,5,6,11,14
566,Curtis Lazar,C,NJ,28.7,62,11.8,7,4,3,8,14
567,Brendan Lemieux,LW,CAR,27.5,52,9.5,5,5,3,9,14
568,Mark Kastelic,C,OTT,24.6,56,9.3,8,4,3,6,14
569,Chris Tanev,D,CGY,33.8,50,18.3,2,6,6,12,14
570,Tomas Nosek,LW,NJ,31.1,48,11.9,5,4,4,9,14
571,Joel Edmundson,D,WSH,30.3,59,18.2,3,5,6,11,14
572,Jujhar Khaira,LW,MIN,29.1,43,12.9,6,4,3,8,14
573,Alec Martinez,D,VGK,36.2,53,17.0,3,5,6,11,14
574,Colin White,C,FLA,26.7,47,9.8,6,5,3,8,14
575,Adam Ruzicka,C,CGY,24.4,40,11.4,5,5,3,9,14
576,Nicholas Robertson,LW,TOR,22.1,41,11.8,6,4,4,8,14
577,Karson Kuhlman,C,WPG,28,53,11.5,6,4,4,8,14
578,Jesse Ylonen,RW,MTL,24,36,12.9,5,5,4,8,14
579,Julien Gauthier,RW,NYI,26,52,8.8,7,4,3,6,14
580,Trevor Lewis,C,LA,36.7,61,10.7,5,5,3,9,13
581,Nick Blankenburg,D,CBJ,25.4,44,18.0,4,5,4,10,13
582,Nikita Alexandrov,C,STL,23,38,11.5,6,5,3,7,13
583,Mark Jankowski,C,NSH,29,45,12.3,6,4,3,7,13
584,Michael Pezzetta,LW,MTL,25.6,50,8.9,6,5,2,7,13
585,Justin Danforth,RW,CBJ,30.5,33,12.6,8,4,2,5,13
586,Josh Leivo,LW,STL,30.4,37,11.0,5,5,3,8,13
587,Patric Hornqvist,RW,-,36.7,39,10.4,5,5,3,8,13
588,Josh Archibald,RW,PIT,31,43,10.5,6,4,3,7,13
589,Cole Guttman,C,CHI,24.5,35,12.7,7,4,2,7,13
590,Jon Merrill,D,MIN,31.7,65,15.2,2,5,6,11,13
591,Marc Staal,D,PHI,36.7,64,17.1,2,5,6,11,13
592,Luke Schenn,D,NSH,33.9,43,16.7,3,5,5,10,13
593,Cal Clutterbuck,RW,NYI,35.9,56,12.1,5,4,4,7,13
594,Gavin Bayreuther,D,CBJ,29.4,50,15.6,2,5,6,11,12
595,Josh Manson,D,COL,32,45,17.1,3,5,4,10,12
596,Jake Muzzin,D,TOR,34.6,45,16.6,3,6,4,10,12
597,Zack MacEwen,C,OTT,27.2,64,10.6,5,3,4,7,12
598,Nicolas Deslauriers,LW,PHI,32.6,62,9.8,6,3,4,6,12
599,Patrick Brown,C,BOS,31.3,61,10.9,4,5,3,8,12
600,Tyler Angle,C,CBJ,23,33,11.6,8,3,2,4,12
601,Simon Benoit,D,TOR,25,56,18.1,3,3,6,9,12
602,Damien Giroux,C,MIN,23.6,32,11.0,3,2,7,9,12
603,Drew O'Connor,LW,PIT,25.3,38,9.9,6,4,3,6,12
604,Jordan Oesterle,D,CGY,31.3,50,15.0,2,4,5,10,12
605,Ilya Lyubushkin,D,ANA,29.5,65,15.1,1,4,6,10,12
606,Nick Seeler,D,PHI,30.3,64,14.4,3,4,5,9,12
607,Joel Kiviranta,LW,DAL,27.5,49,11.7,6,3,3,6,12
608,Chris Wideman,D,MTL,33.7,52,15.3,1,5,5,10,12
609,Calle Rosen,D,STL,29.7,36,16.2,3,4,4,8,12
610,Egor Sokolov,LW,OTT,23.3,34,10.2,5,5,1,6,12
611,Sean Farrell,C,MTL,21.9,43,12.1,6,3,2,6,12
612,Mason Shaw,C,MIN,24.9,36,11.8,5,4,3,6,12
613,Danil Gushchin,RW,SJ,21.6,43,13.5,5,4,3,6,12
614,Jansen Harkins,C,PIT,26.4,40,11.0,5,3,3,6,12
615,Jack Drury,C,CAR,23.7,35,11.5,5,4,3,7,11
616,Devin Shore,C,EDM,29.2,48,8.9,3,5,3,8,11
617,Parker Kelly,LW,OTT,24.4,48,11.1,6,3,3,5,11
618,Nikita Zaitsev,D,CHI,31.9,54,16.7,1,5,5,10,11
619,Derek Stepan,C,CAR,33.3,43,9.8,5,3,3,6,11
620,Marco Rossi,C,MIN,22,46,13.0,4,4,3,7,11
621,Brendan Smith,D,NJ,34.6,56,15.3,3,3,5,9,11
622,Tyler Pitlick,C,NYR,31.9,41,10.0,5,4,3,6,11
623,Riley Stillman,D,VAN,25.6,47,15.8,2,4,5,9,11
624,Connor McMichael,C,WSH,22.7,39,11.2,5,4,2,6,11
625,Dylan Holloway,LW,EDM,22,43,10.2,4,4,3,6,11
626,Axel Jonsson-Fjallby,LW,WPG,25.6,35,11.4,5,3,3,6,11
627,Jakob Pelletier,LW,CGY,22.6,36,13.1,5,4,3,6,11
628,Pierre-Edouard Bellemare,LW,SEA,38.6,58,10.0,4,4,3,6,11
629,Phillip Di Giuseppe,LW,VAN,30,34,12.5,5,3,3,6,11
630,Simon Holmstrom,RW,NYI,22.4,40,10.6,5,3,3,6,11
631,Chad Ruhwedel,D,PIT,33.4,53,14.6,1,3,6,9,11
632,Kurtis MacDermid,D,COL,29.5,47,14.5,3,4,4,8,11
633,Michael Carcone,LW,ARI,27.4,31,11.8,5,3,3,6,11
634,Sam Carrick,C,ANA,31.7,51,10.1,5,3,3,6,11
635,Kevin Bahl,D,NJ,23.3,41,15.8,2,4,5,8,11
636,Jaret Anderson-Dolan,C,LA,24.1,38,11.1,5,3,2,5,11
637,Conor Timmins,D,TOR,25,39,14.8,2,4,4,9,11
638,Aleksi Heponiemi,C,FLA,24.7,31,11.7,4,3,3,6,11
639,Niko Mikkola,D,FLA,27.4,58,16.4,3,3,5,8,11
640,Alexander Holtz,RW,NJ,21.7,41,12.5,4,4,2,6,10
641,Cal Foote,D,NJ,24.8,50,15.5,3,3,4,7,10
642,Marco Kasper,C,DET,19.5,40,13.2,4,3,3,6,10
643,Lane Pederson,C,VAN,26.2,39,11.5,5,4,2,6,10
644,Brett Leason,RW,ANA,24.4,40,10.8,5,3,2,5,10
645,Vitali Kravtsov,RW,NYR,23.8,37,12.0,5,3,3,6,10
646,Jakub Lauko,C,BOS,23.5,33,10.6,5,4,2,5,10
647,Jacob MacDonald,D,SJ,30.6,45,13.4,3,3,4,8,10
648,Jordan Spence,D,LA,22.6,45,16.6,2,5,3,9,10
649,Brett Ritchie,RW,CGY,30.3,47,9.7,6,2,2,4,10
650,Matthew Knies,LW,TOR,21,33,12.3,3,5,2,7,10
651,Kiefer Sherwood,LW,NSH,28.5,31,11.3,5,3,2,6,10
