,Player,Position,Team,Age,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
854,William Bitten,C,STL,25.2,24,8.7,1,3,1,4,5
855,Jackson LaCombe,D,ANA,22.7,35,16.2,1,2,3,4,5
856,Brock Faber,D,MIN,21.1,35,16.6,1,2,3,4,5
857,Marc McLaughlin,C,BOS,24.2,28,10.8,3,2,1,3,5
858,Joel Hanley,D,DAL,32.3,34,13.6,1,2,3,5,5
859,Gabriel Fortier,LW,TB,23.6,27,10.4,3,2,1,3,5
860,Anthony Richard,C,MTL,26.8,19,10.3,3,1,1,3,5
861,James Hamblin,LW,EDM,24.4,28,9.7,3,2,1,3,5
862,Tyce Thompson,RW,NJ,24.2,26,11.0,2,2,1,3,5
863,Daniil Miromanov,D,VGK,26.2,28,14.7,1,2,2,4,5
864,Brett Seney,LW,CHI,27.6,25,10.9,3,2,1,3,5
865,Jacob Lucchini,C,MIN,28.4,27,10.9,2,2,1,3,5
866,Cale Fleury,D,SEA,24.9,33,13.8,1,1,3,4,5
867,Chris Wagner,RW,COL,32.3,30,11.2,3,1,1,3,5
868,Samuel Knazko,D,CBJ,21.1,34,16.1,1,2,3,4,5
869,Lassi Thomson,D,OTT,23,38,15.0,1,2,2,4,5
870,Jonathan Gruden,LW,PIT,23.4,27,10.4,2,2,1,3,5
871,Alex Steeves,LW,TOR,23.8,29,9.6,2,2,1,3,5
872,Corey Schueneman,D,COL,28.1,27,15.1,1,1,3,4,5
873,Shane Bowers,C,COL,24.2,30,8.8,2,2,1,3,5
874,Alec Regula,D,CHI,23.2,38,14.9,1,2,2,4,5
875,Darren Raddysh,D,TB,27.6,27,15.3,1,2,2,4,5
876,Jonny Brodzinski,C,NYR,30.3,26,9.9,2,1,1,2,5
877,Brayden Pachal,D,VGK,24.1,30,14.4,1,1,3,4,5
878,Radim Zohorna,LW,TOR,27.4,22,10.1,3,1,1,2,5
879,Matthew Phillips,C,WSH,25.5,23,12.7,2,2,1,3,5
880,Fredrik Karlstrom,C,DAL,25.7,28,9.9,2,2,1,3,5
881,Henrik Borgstrom,C,WSH,26.2,28,10.7,2,1,1,3,5
882,Joona Luoto,LW,CBJ,26,27,9.3,3,1,1,2,5
883,Nikolai Knyzhov,D,SJ,26.5,32,14.9,2,1,2,3,5
884,Vincent Desharnais,D,EDM,27.3,29,14.0,1,2,2,3,4
885,David Gust,RW,CHI,29.6,19,10.6,3,1,1,2,4
886,Drake Caggiula,LW,PIT,29.3,25,10.5,2,2,1,3,4
887,Riley Tufte,LW,COL,25.5,27,9.8,2,1,1,2,4
888,Hugh McGing,LW,STL,25.2,24,10.9,2,1,1,2,4
889,Lucas Carlsson,D,FLA,26.2,29,13.9,1,1,2,3,4
890,Filip Kral,D,TOR,23.9,35,14.5,1,1,2,3,4
891,Sheldon Rempal,RW,VGK,28.2,25,10.8,2,1,1,2,4
892,Steven Fogarty,C,MIN,30.5,26,11.3,2,1,1,3,4
