,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
106,38,4,1,MinMaxScaler(),0.52,0.53,0.14,1.09,1.84,1.53,2.02
107,86,8,1,MinMaxScaler(),0.52,0.53,0.21,1.18,1.96,1.61,2.11
108,50,5,1,MinMaxScaler(),0.52,0.54,0.11,1.1,1.92,1.53,2.01
109,98,9,1,MinMaxScaler(),0.53,0.54,0.07,1.03,1.93,1.43,1.94
110,136,12,5,MinMaxScaler(),0.53,0.54,0.13,1.1,1.96,1.41,1.94
111,12,1,100,MinMaxScaler(),0.53,0.39,0.27,0.93,2.17,0.99,2.44
112,14,2,1,MinMaxScaler(),0.53,0.53,0.27,1.21,1.95,1.66,2.08
113,79,7,30,StandardScaler(),0.53,0.45,0.01,1.16,2.2,1.59,2.14
114,84,7,100,MinMaxScaler(),0.53,0.43,0.04,1.22,2.34,1.56,2.11
115,122,11,1,MinMaxScaler(),0.53,0.55,0.13,1.05,2.0,1.5,1.89
116,69,6,50,StandardScaler(),0.53,0.44,0.12,1.11,2.43,1.44,2.0
117,33,3,50,StandardScaler(),0.53,0.41,-0.01,1.07,2.63,1.41,2.45
118,49,5,1,StandardScaler(),0.53,0.53,0.46,1.31,2.06,1.69,2.38
119,46,4,50,MinMaxScaler(),0.53,0.43,0.02,1.05,2.3,1.37,2.42
120,62,6,1,MinMaxScaler(),0.54,0.56,0.08,1.04,2.01,1.41,1.91
121,95,8,100,StandardScaler(),0.54,0.38,0.08,0.98,2.49,1.4,2.03
122,81,7,50,StandardScaler(),0.54,0.39,0.15,1.23,2.47,1.51,2.11
123,107,9,100,StandardScaler(),0.54,0.43,0.16,1.32,2.38,1.56,2.36
124,25,3,1,StandardScaler(),0.54,0.56,0.23,1.16,2.12,1.36,2.11
125,24,2,100,MinMaxScaler(),0.54,0.4,0.13,0.66,2.46,1.12,1.96
126,21,2,50,StandardScaler(),0.55,0.39,0.43,1.28,2.86,1.25,2.15
127,71,6,100,StandardScaler(),0.55,0.4,0.26,1.11,2.46,0.81,2.2
128,121,11,1,StandardScaler(),0.55,0.56,0.47,1.33,1.57,1.16,1.84
129,110,10,1,MinMaxScaler(),0.55,0.56,0.04,1.02,1.99,1.41,1.9
130,26,3,1,MinMaxScaler(),0.55,0.56,0.07,1.1,2.04,1.47,1.99
131,61,6,1,StandardScaler(),0.55,0.57,0.14,1.12,1.94,1.43,1.96
132,135,12,5,StandardScaler(),0.55,0.55,0.19,1.27,2.27,1.17,2.32
133,134,12,1,MinMaxScaler(),0.56,0.57,0.01,1.03,1.97,1.35,1.85
134,59,5,100,StandardScaler(),0.56,0.35,0.26,0.94,2.26,1.57,2.06
135,45,4,50,StandardScaler(),0.57,0.35,0.22,1.14,2.35,1.46,1.78
136,9,1,50,StandardScaler(),0.57,0.4,0.22,1.24,2.47,1.48,2.42
137,35,3,100,StandardScaler(),0.57,0.37,0.15,0.95,2.5,1.63,2.3
138,83,7,100,StandardScaler(),0.57,0.31,0.39,0.98,2.44,1.52,1.9
139,48,4,100,MinMaxScaler(),0.57,0.35,0.28,1.2,2.41,1.34,1.9
140,109,10,1,StandardScaler(),0.58,0.59,-0.12,0.88,1.6,1.41,1.79
141,47,4,100,StandardScaler(),0.59,0.28,0.14,0.92,2.25,1.13,1.78
142,11,1,100,StandardScaler(),0.6,0.31,-0.0,0.85,2.62,1.18,1.74
143,23,2,100,StandardScaler(),0.6,0.32,0.09,1.17,2.2,0.42,2.23
144,133,12,1,StandardScaler(),0.7,0.71,-0.0,1.19,2.44,0.83,2.19
