,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
103,47,4,100,StandardScaler(),1.12,0.0,5.39,2.85,4.01,6.92,3.02
104,22,2,50,MinMaxScaler(),1.12,0.07,7.11,1.89,-0.32,5.08,3.63
105,96,8,100,MinMaxScaler(),1.14,0.02,4.73,3.98,1.49,3.37,2.38
106,62,6,1,MinMaxScaler(),1.15,1.35,1.65,1.13,1.31,1.3,0.78
107,7,1,30,StandardScaler(),1.15,0.01,4.95,1.12,2.31,1.45,2.51
108,19,2,30,StandardScaler(),1.16,0.02,8.72,0.34,-0.17,4.91,4.38
109,81,7,50,StandardScaler(),1.17,0.0,6.39,4.28,3.85,6.31,3.98
110,45,4,50,StandardScaler(),1.17,0.0,5.05,2.25,3.39,6.95,3.08
111,117,10,50,StandardScaler(),1.18,0.33,4.58,0.93,1.38,2.32,3.05
112,57,5,50,StandardScaler(),1.18,0.0,8.39,6.48,3.14,4.86,3.25
113,123,11,5,StandardScaler(),1.21,1.17,6.47,3.53,3.92,7.47,2.81
114,24,2,100,MinMaxScaler(),1.24,0.05,7.59,3.03,0.52,5.57,3.29
115,131,11,100,StandardScaler(),1.29,0.18,7.25,3.32,-0.52,4.28,2.13
116,69,6,50,StandardScaler(),1.32,0.08,8.1,3.53,3.18,3.08,1.55
117,105,9,50,StandardScaler(),1.4,0.1,7.94,2.17,1.52,5.6,3.85
118,72,6,100,MinMaxScaler(),1.43,0.06,8.39,4.54,1.83,5.08,5.07
119,111,10,5,StandardScaler(),1.43,1.43,1.93,0.5,1.71,2.01,0.63
120,135,12,5,StandardScaler(),1.44,1.66,6.02,5.23,4.86,7.14,2.08
121,9,1,50,StandardScaler(),1.48,0.01,5.01,1.0,2.4,1.85,2.46
122,93,8,50,StandardScaler(),1.55,0.0,9.91,3.77,2.66,6.39,2.33
123,33,3,50,StandardScaler(),1.56,0.04,10.2,5.68,3.01,7.51,5.51
124,83,7,100,StandardScaler(),1.56,0.0,6.72,4.98,4.61,7.65,3.96
125,11,1,100,StandardScaler(),1.57,0.02,5.22,1.12,2.38,3.08,2.01
126,21,2,50,StandardScaler(),1.57,0.01,9.47,0.49,-1.28,7.12,4.51
127,119,10,100,StandardScaler(),1.62,0.15,4.37,1.61,1.35,1.35,3.39
128,36,3,100,MinMaxScaler(),1.64,0.04,8.38,4.31,2.77,6.7,4.14
129,59,5,100,StandardScaler(),1.87,0.0,8.64,7.5,1.21,6.83,2.64
130,23,2,100,StandardScaler(),1.9,0.01,9.8,3.23,-1.54,7.14,4.26
131,35,3,100,StandardScaler(),1.92,0.01,10.23,6.92,1.94,9.23,5.87
132,133,12,1,StandardScaler(),2.01,2.47,5.24,4.93,4.6,6.46,1.71
133,107,9,100,StandardScaler(),2.03,0.02,8.84,1.9,1.45,4.91,3.73
134,1,1,1,StandardScaler(),2.1,2.24,1.1,0.76,0.72,1.08,0.51
135,61,6,1,StandardScaler(),2.14,2.29,3.18,0.96,1.54,1.51,0.48
136,121,11,1,StandardScaler(),2.15,2.2,2.12,2.7,2.54,4.83,2.57
137,110,10,1,MinMaxScaler(),2.22,2.4,0.16,0.25,0.22,0.07,0.31
138,71,6,100,StandardScaler(),2.46,0.03,11.62,4.53,2.73,1.18,4.04
139,26,3,1,MinMaxScaler(),2.47,2.62,0.36,0.3,0.33,0.37,0.28
140,98,9,1,MinMaxScaler(),2.78,2.93,-0.04,0.07,-0.0,0.12,0.05
141,95,8,100,StandardScaler(),2.88,0.0,7.95,4.81,2.99,5.47,1.87
142,25,3,1,StandardScaler(),3.0,3.15,0.32,0.14,0.14,0.38,-0.63
143,109,10,1,StandardScaler(),3.44,3.39,-0.04,-0.39,-0.6,-0.95,-0.07
144,97,9,1,StandardScaler(),4.86,5.06,-2.67,-1.41,-2.77,-1.4,-0.48
