,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
92,50,5,1,MinMaxScaler(),0.22,0.22,1.41,1.69,1.6,0.44,0.52
93,63,6,5,StandardScaler(),0.22,0.21,1.39,1.54,1.54,0.54,0.58
94,49,5,1,StandardScaler(),0.22,0.22,1.2,1.55,1.36,0.47,0.55
95,62,6,1,MinMaxScaler(),0.22,0.23,1.4,1.69,1.62,0.44,0.52
96,46,4,50,MinMaxScaler(),0.22,0.19,1.48,1.32,1.25,0.64,0.65
97,73,7,1,StandardScaler(),0.22,0.22,1.48,1.75,1.63,0.53,0.66
98,44,4,30,MinMaxScaler(),0.22,0.2,1.47,1.49,1.55,0.56,0.64
99,74,7,1,MinMaxScaler(),0.22,0.22,1.42,1.71,1.61,0.47,0.55
100,75,7,5,StandardScaler(),0.22,0.2,1.42,1.61,1.56,0.51,0.56
101,29,3,10,StandardScaler(),0.22,0.19,1.31,1.95,1.45,0.45,0.6
102,77,7,10,StandardScaler(),0.22,0.19,1.34,1.66,1.3,0.63,0.6
103,37,4,1,StandardScaler(),0.22,0.21,1.6,1.75,1.82,0.48,0.59
104,80,7,30,MinMaxScaler(),0.22,0.2,1.52,1.64,1.67,0.52,0.62
105,41,4,10,StandardScaler(),0.22,0.19,1.27,1.41,1.29,0.57,0.59
106,7,1,30,StandardScaler(),0.23,0.15,1.46,1.41,1.27,0.51,0.52
107,55,5,30,StandardScaler(),0.23,0.17,1.91,1.6,1.87,0.57,0.62
108,119,10,100,StandardScaler(),0.23,0.2,1.28,1.27,1.36,0.5,0.59
109,60,5,100,MinMaxScaler(),0.23,0.18,1.54,1.7,1.57,0.55,0.59
110,131,11,100,StandardScaler(),0.23,0.2,1.48,1.29,1.62,0.62,0.56
111,12,1,100,MinMaxScaler(),0.23,0.17,1.59,0.8,1.62,0.55,0.62
112,61,6,1,StandardScaler(),0.23,0.23,1.46,1.71,1.61,0.56,0.58
113,84,7,100,MinMaxScaler(),0.23,0.17,1.51,1.01,1.37,0.64,0.64
114,69,6,50,StandardScaler(),0.23,0.17,1.44,1.59,1.44,0.71,0.47
115,79,7,30,StandardScaler(),0.23,0.16,1.6,1.74,1.54,0.57,0.51
116,19,2,30,StandardScaler(),0.23,0.16,1.52,1.46,1.61,0.55,0.53
117,103,9,30,StandardScaler(),0.23,0.19,1.23,1.59,1.17,0.62,0.61
118,105,9,50,StandardScaler(),0.23,0.18,1.26,1.6,1.05,0.68,0.65
119,31,3,30,StandardScaler(),0.23,0.17,1.35,1.52,1.55,0.47,0.57
120,91,8,30,StandardScaler(),0.23,0.17,1.54,1.81,1.6,0.57,0.55
121,57,5,50,StandardScaler(),0.24,0.14,1.83,1.53,1.7,0.57,0.59
122,43,4,30,StandardScaler(),0.24,0.15,1.62,1.37,1.47,0.53,0.48
123,48,4,100,MinMaxScaler(),0.24,0.15,1.58,1.2,1.33,0.62,0.51
124,93,8,50,StandardScaler(),0.24,0.15,1.44,1.72,1.33,0.54,0.49
125,97,9,1,StandardScaler(),0.24,0.26,1.54,1.73,1.69,0.5,0.55
126,21,2,50,StandardScaler(),0.24,0.13,1.83,1.5,2.06,0.62,0.47
127,24,2,100,MinMaxScaler(),0.24,0.17,1.68,1.4,1.35,0.62,0.62
128,9,1,50,StandardScaler(),0.25,0.11,1.44,1.46,1.08,0.49,0.59
129,71,6,100,StandardScaler(),0.25,0.15,1.55,1.05,1.61,0.69,0.42
130,81,7,50,StandardScaler(),0.25,0.13,1.67,1.43,1.64,0.64,0.5
131,107,9,100,StandardScaler(),0.25,0.17,1.28,1.86,1.22,0.63,0.57
132,109,10,1,StandardScaler(),0.25,0.26,1.17,1.66,1.28,0.48,0.6
133,33,3,50,StandardScaler(),0.25,0.14,1.28,1.61,1.44,0.42,0.62
134,95,8,100,StandardScaler(),0.26,0.13,1.78,1.79,1.65,0.44,0.37
135,23,2,100,StandardScaler(),0.26,0.11,1.6,1.69,1.16,0.59,0.39
136,35,3,100,StandardScaler(),0.26,0.12,1.2,1.45,1.19,0.44,0.58
137,59,5,100,StandardScaler(),0.26,0.12,1.46,1.2,1.52,0.47,0.49
138,45,4,50,StandardScaler(),0.26,0.11,1.69,1.75,1.29,0.45,0.41
139,11,1,100,StandardScaler(),0.27,0.09,1.8,0.99,1.58,0.46,0.54
140,135,12,5,StandardScaler(),0.27,0.29,1.23,2.08,1.0,0.62,0.59
141,83,7,100,StandardScaler(),0.27,0.09,1.86,1.12,1.61,0.42,0.48
142,47,4,100,StandardScaler(),0.28,0.07,1.39,1.28,1.16,0.3,0.45
143,121,11,1,StandardScaler(),0.31,0.32,1.14,1.5,1.29,0.25,0.5
144,133,12,1,StandardScaler(),0.56,0.58,-0.38,1.15,-1.1,0.64,0.57
