,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
48,2,1,1,MinMaxScaler(),0.47,0.37,1.2,0.83,0.73,1.41,1.03
49,54,5,10,MinMaxScaler(),0.47,0.3,0.58,0.62,0.53,1.1,0.53
50,65,6,10,StandardScaler(),0.48,0.28,0.91,0.73,0.45,1.19,0.3
51,37,4,1,StandardScaler(),0.48,0.4,1.08,0.61,0.49,1.11,1.14
52,92,8,30,MinMaxScaler(),0.48,0.23,0.15,0.5,0.59,1.1,0.62
53,17,2,10,StandardScaler(),0.49,0.21,0.4,0.55,0.58,1.11,0.1
54,73,7,1,StandardScaler(),0.5,0.41,0.75,0.5,0.79,1.29,0.82
55,132,11,100,MinMaxScaler(),0.5,0.25,0.01,0.65,0.47,0.99,0.37
56,32,3,30,MinMaxScaler(),0.5,0.24,0.06,0.44,0.57,0.9,0.52
57,51,5,5,StandardScaler(),0.5,0.31,0.66,0.36,0.46,1.16,0.76
58,63,6,5,StandardScaler(),0.51,0.34,1.17,0.84,0.43,1.44,0.55
59,139,12,30,StandardScaler(),0.51,0.32,0.27,0.99,0.38,0.57,0.26
60,14,2,1,MinMaxScaler(),0.51,0.43,0.62,0.42,0.47,0.73,0.57
61,20,2,30,MinMaxScaler(),0.51,0.18,0.25,0.88,0.73,1.19,0.46
62,115,10,30,StandardScaler(),0.51,0.27,0.84,0.48,0.46,1.18,0.74
63,87,8,5,StandardScaler(),0.51,0.32,0.49,0.34,0.42,1.5,0.96
64,77,7,10,StandardScaler(),0.51,0.16,-0.15,0.6,0.63,0.78,0.46
65,127,11,30,StandardScaler(),0.52,0.26,0.05,0.67,0.49,1.4,0.29
66,141,12,50,StandardScaler(),0.52,0.27,0.22,0.87,0.47,0.66,0.17
67,5,1,10,StandardScaler(),0.52,0.18,0.15,0.91,0.83,1.14,0.6
68,113,10,10,StandardScaler(),0.52,0.36,0.81,0.45,0.35,1.22,0.74
69,25,3,1,StandardScaler(),0.53,0.45,0.93,0.93,0.4,1.08,0.77
70,120,10,100,MinMaxScaler(),0.53,0.25,0.61,0.49,0.49,0.83,0.52
71,89,8,10,StandardScaler(),0.54,0.21,-0.15,0.25,0.44,1.02,0.99
72,1,1,1,StandardScaler(),0.54,0.43,1.08,0.66,0.43,1.33,0.97
73,70,6,50,MinMaxScaler(),0.54,0.2,0.52,0.29,0.15,1.58,0.43
74,41,4,10,StandardScaler(),0.54,0.1,0.15,0.56,0.74,0.87,0.44
75,53,5,10,StandardScaler(),0.54,0.19,0.51,0.26,0.62,1.03,0.48
76,143,12,100,StandardScaler(),0.54,0.23,-0.22,0.6,0.57,0.79,-0.11
77,67,6,30,StandardScaler(),0.55,0.17,0.82,0.85,0.35,1.49,0.28
78,103,9,30,StandardScaler(),0.55,0.16,0.24,0.21,0.84,1.35,0.71
79,49,5,1,StandardScaler(),0.55,0.49,0.42,0.47,0.61,1.11,0.92
80,125,11,10,StandardScaler(),0.55,0.35,0.1,0.43,0.38,1.42,0.3
81,108,9,100,MinMaxScaler(),0.56,0.15,-0.12,0.4,0.46,0.92,0.16
82,80,7,30,MinMaxScaler(),0.56,0.15,-0.3,0.58,0.5,1.07,0.52
83,94,8,50,MinMaxScaler(),0.57,0.16,0.02,0.64,0.47,1.37,0.76
84,129,11,50,StandardScaler(),0.57,0.2,-0.2,1.02,0.44,1.21,0.27
85,111,10,5,StandardScaler(),0.57,0.44,0.88,0.51,0.26,1.43,0.67
86,31,3,30,StandardScaler(),0.58,0.12,0.28,0.32,0.72,0.81,0.22
87,44,4,30,MinMaxScaler(),0.59,0.07,-0.02,0.71,0.41,1.5,0.55
88,56,5,30,MinMaxScaler(),0.59,0.19,0.1,0.48,0.42,1.72,0.34
89,137,12,10,StandardScaler(),0.6,0.51,0.1,0.93,0.01,0.52,0.32
90,22,2,50,MinMaxScaler(),0.6,0.06,0.06,1.15,0.71,0.95,0.44
91,85,8,1,StandardScaler(),0.6,0.47,0.79,0.57,0.6,2.29,1.34
92,8,1,30,MinMaxScaler(),0.6,0.14,-0.29,0.62,0.57,1.36,0.35
93,117,10,50,StandardScaler(),0.6,0.21,0.8,0.34,0.46,1.12,0.66
94,48,4,100,MinMaxScaler(),0.64,0.0,0.13,0.46,0.21,1.83,1.07
95,96,8,100,MinMaxScaler(),0.64,0.05,-0.49,0.7,0.41,1.04,0.48
96,62,6,1,MinMaxScaler(),0.64,0.56,0.48,0.45,0.32,0.6,0.45
97,46,4,50,MinMaxScaler(),0.65,0.0,0.04,0.55,0.16,1.82,0.93
98,123,11,5,StandardScaler(),0.65,0.5,0.08,0.42,0.12,1.17,0.51
99,34,3,50,MinMaxScaler(),0.66,0.12,-0.01,0.5,0.46,1.49,0.8
100,82,7,50,MinMaxScaler(),0.67,0.05,-0.81,0.68,0.49,1.43,0.42
101,10,1,50,MinMaxScaler(),0.67,0.03,-0.37,0.29,0.36,1.01,0.21
102,91,8,30,StandardScaler(),0.68,0.07,-0.51,0.04,0.4,1.07,0.89
103,43,4,30,StandardScaler(),0.69,0.0,0.25,0.59,0.19,1.02,0.87
104,19,2,30,StandardScaler(),0.69,0.04,0.46,0.85,0.51,1.67,0.29
105,55,5,30,StandardScaler(),0.69,0.05,0.23,0.1,0.53,0.79,0.02
106,12,1,100,MinMaxScaler(),0.69,0.0,-0.24,0.16,0.58,0.79,0.47
107,61,6,1,StandardScaler(),0.69,0.58,0.63,0.48,0.23,0.81,0.41
108,131,11,100,StandardScaler(),0.7,0.15,-0.3,1.28,0.36,1.06,0.56
109,119,10,100,StandardScaler(),0.7,0.14,0.71,0.19,0.41,0.69,0.57
110,72,6,100,MinMaxScaler(),0.7,0.09,0.48,0.58,-0.04,2.17,0.54
111,69,6,50,StandardScaler(),0.7,0.08,0.64,1.11,0.44,1.64,0.07
112,24,2,100,MinMaxScaler(),0.71,0.01,0.13,1.23,0.82,0.54,0.66
113,58,5,50,MinMaxScaler(),0.72,0.07,-0.16,0.3,0.32,2.07,0.11
114,110,10,1,MinMaxScaler(),0.72,0.66,0.36,0.42,0.18,0.55,0.32
115,7,1,30,StandardScaler(),0.73,0.02,0.1,0.86,0.85,1.34,0.49
116,79,7,30,StandardScaler(),0.73,0.03,-0.48,0.59,0.54,0.54,0.79
117,84,7,100,MinMaxScaler(),0.73,0.01,-0.7,0.5,0.42,1.71,0.27
118,98,9,1,MinMaxScaler(),0.73,0.68,0.23,0.3,0.25,0.32,0.25
119,33,3,50,StandardScaler(),0.76,0.02,0.15,0.3,0.6,0.29,0.43
120,109,10,1,StandardScaler(),0.76,0.65,0.84,0.51,0.11,1.08,0.38
121,105,9,50,StandardScaler(),0.76,0.07,-0.23,-0.13,1.16,1.24,0.65
122,36,3,100,MinMaxScaler(),0.76,0.03,0.03,0.49,0.54,1.64,1.07
123,13,2,1,StandardScaler(),0.78,0.67,0.59,0.05,0.21,0.28,0.22
124,21,2,50,StandardScaler(),0.82,0.02,-0.44,1.03,0.46,2.09,0.2
125,93,8,50,StandardScaler(),0.84,0.02,-0.55,-0.03,0.38,1.51,1.29
126,60,5,100,MinMaxScaler(),0.84,0.01,-0.11,0.1,0.44,2.1,-0.05
127,45,4,50,StandardScaler(),0.87,0.0,0.11,0.21,0.03,0.5,1.0
128,81,7,50,StandardScaler(),0.88,0.01,-1.07,0.14,0.64,0.91,1.05
129,47,4,100,StandardScaler(),0.89,0.0,0.17,0.1,0.08,0.83,1.21
130,134,12,1,MinMaxScaler(),0.9,0.85,-0.4,0.15,0.02,-0.17,-0.02
131,71,6,100,StandardScaler(),0.91,0.03,0.59,1.31,0.52,2.36,0.08
132,57,5,50,StandardScaler(),0.93,0.01,-0.02,0.02,0.53,0.71,-0.02
133,107,9,100,StandardScaler(),0.93,0.03,-0.75,-0.09,1.14,0.6,1.8
134,135,12,5,StandardScaler(),0.99,0.96,-1.55,0.37,-0.37,-0.37,-0.14
135,9,1,50,StandardScaler(),1.01,0.01,0.28,0.6,0.88,1.6,-0.11
136,23,2,100,StandardScaler(),1.02,0.01,-0.21,1.39,0.62,1.09,0.82
137,95,8,100,StandardScaler(),1.05,0.0,-0.82,-0.32,0.1,1.29,1.04
138,35,3,100,StandardScaler(),1.12,0.02,0.18,0.02,0.95,0.7,0.29
139,121,11,1,StandardScaler(),1.19,0.98,-0.25,0.11,-0.57,0.85,0.48
140,59,5,100,StandardScaler(),1.21,0.01,0.74,-0.16,0.49,0.84,-0.56
141,11,1,100,StandardScaler(),1.31,0.0,0.14,1.3,0.92,1.46,0.15
142,97,9,1,StandardScaler(),1.37,1.17,0.17,-0.35,0.12,0.16,-0.9
143,83,7,100,StandardScaler(),1.43,0.0,-1.57,-0.45,0.22,1.94,0.47
144,133,12,1,StandardScaler(),3.02,2.84,-3.59,-0.18,-0.36,-2.95,-1.07
