,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
24,64,6,5,MinMaxScaler(),0.03,0.02,0.76,0.64,0.66,0.66,0.55
25,66,6,10,MinMaxScaler(),0.03,0.02,0.81,0.65,0.65,0.76,0.58
26,86,8,1,MinMaxScaler(),0.03,0.02,0.93,0.7,0.55,0.99,0.6
27,68,6,30,MinMaxScaler(),0.03,0.02,0.9,0.74,0.63,0.8,0.65
28,70,6,50,MinMaxScaler(),0.03,0.01,1.17,0.81,0.5,0.78,0.71
29,143,12,100,StandardScaler(),0.03,0.01,0.26,0.7,0.6,0.29,0.28
30,80,7,30,MinMaxScaler(),0.03,0.01,0.83,0.95,0.71,0.9,0.84
31,74,7,1,MinMaxScaler(),0.03,0.02,0.88,0.67,0.66,0.88,0.58
32,115,10,30,StandardScaler(),0.03,0.02,1.2,0.85,0.82,1.18,0.56
33,116,10,30,MinMaxScaler(),0.03,0.02,0.8,0.61,0.65,0.86,0.57
34,38,4,1,MinMaxScaler(),0.03,0.02,0.94,0.77,0.79,1.04,0.69
35,32,3,30,MinMaxScaler(),0.03,0.01,0.94,0.7,0.58,0.67,0.65
36,117,10,50,StandardScaler(),0.03,0.01,1.29,0.86,0.76,1.12,0.54
37,15,2,5,StandardScaler(),0.03,0.02,1.11,0.87,0.86,1.5,0.86
38,14,2,1,MinMaxScaler(),0.03,0.02,0.81,0.73,0.71,0.9,0.63
39,130,11,50,MinMaxScaler(),0.03,0.02,0.83,0.58,0.59,0.9,0.61
40,132,11,100,MinMaxScaler(),0.03,0.01,0.79,0.6,0.59,0.97,0.59
41,136,12,5,MinMaxScaler(),0.03,0.03,0.52,0.53,0.5,0.29,0.37
42,17,2,10,StandardScaler(),0.03,0.01,1.17,0.85,0.71,1.45,0.8
43,138,12,10,MinMaxScaler(),0.03,0.02,0.54,0.5,0.49,0.49,0.4
44,140,12,30,MinMaxScaler(),0.03,0.02,0.61,0.57,0.57,0.67,0.51
45,141,12,50,StandardScaler(),0.03,0.02,0.63,0.77,0.7,0.6,0.34
46,6,1,10,MinMaxScaler(),0.03,0.02,0.74,0.58,0.54,0.78,0.47
47,142,12,50,MinMaxScaler(),0.03,0.02,0.65,0.58,0.6,0.73,0.54
48,3,1,5,StandardScaler(),0.03,0.01,0.86,1.01,0.85,1.08,0.5
49,2,1,1,MinMaxScaler(),0.03,0.02,0.62,0.59,0.6,0.71,0.49
50,139,12,30,StandardScaler(),0.03,0.02,0.71,0.73,0.85,0.63,0.46
51,18,2,10,MinMaxScaler(),0.03,0.02,0.92,0.64,0.64,1.04,0.65
52,16,2,5,MinMaxScaler(),0.03,0.02,0.73,0.57,0.57,0.84,0.56
53,76,7,5,MinMaxScaler(),0.03,0.02,0.79,0.62,0.64,0.83,0.6
54,118,10,50,MinMaxScaler(),0.03,0.02,0.82,0.6,0.61,0.86,0.61
55,20,2,30,MinMaxScaler(),0.03,0.01,1.26,0.69,0.52,1.26,0.62
56,128,11,30,MinMaxScaler(),0.03,0.02,0.9,0.62,0.65,0.94,0.61
57,30,3,10,MinMaxScaler(),0.03,0.02,0.96,0.62,0.64,0.89,0.54
58,29,3,10,StandardScaler(),0.03,0.01,1.74,0.75,0.84,0.99,0.92
59,126,11,10,MinMaxScaler(),0.03,0.02,0.93,0.67,0.69,0.95,0.64
60,28,3,5,MinMaxScaler(),0.03,0.02,0.92,0.63,0.66,0.87,0.58
61,124,11,5,MinMaxScaler(),0.03,0.02,1.07,0.8,0.79,1.14,0.69
62,26,3,1,MinMaxScaler(),0.03,0.02,0.82,0.64,0.64,0.76,0.55
63,120,10,100,MinMaxScaler(),0.03,0.01,1.12,0.65,0.66,1.28,0.82
64,82,7,50,MinMaxScaler(),0.04,0.0,0.98,1.02,0.69,1.04,0.81
65,84,7,100,MinMaxScaler(),0.04,0.0,0.94,1.02,0.79,1.04,0.72
66,119,10,100,StandardScaler(),0.04,0.01,1.36,0.84,0.74,1.33,0.72
67,101,9,10,StandardScaler(),0.04,0.02,1.04,0.82,0.68,1.08,0.69
68,129,11,50,StandardScaler(),0.04,0.01,1.22,0.75,0.7,0.91,0.77
69,108,9,100,MinMaxScaler(),0.04,0.01,0.77,0.56,0.59,1.01,0.41
70,89,8,10,StandardScaler(),0.04,0.01,1.32,0.99,1.01,1.7,1.03
71,92,8,30,MinMaxScaler(),0.04,0.01,0.87,0.66,0.49,0.9,0.72
72,94,8,50,MinMaxScaler(),0.04,0.0,1.19,0.82,0.65,1.15,0.78
73,127,11,30,StandardScaler(),0.04,0.02,1.19,0.85,0.73,1.01,0.75
74,103,9,30,StandardScaler(),0.04,0.01,1.01,0.54,0.77,1.06,0.62
75,87,8,5,StandardScaler(),0.04,0.02,1.78,1.34,0.98,1.88,1.01
76,111,10,5,StandardScaler(),0.04,0.03,1.95,1.33,1.21,1.73,0.64
77,72,6,100,MinMaxScaler(),0.04,0.01,1.57,1.01,0.6,1.0,0.82
78,75,7,5,StandardScaler(),0.04,0.01,1.7,0.71,1.07,1.38,0.62
79,50,5,1,MinMaxScaler(),0.04,0.03,0.63,0.57,0.48,0.64,0.56
80,41,4,10,StandardScaler(),0.04,0.0,0.98,0.92,0.7,1.38,0.65
81,37,4,1,StandardScaler(),0.04,0.03,0.92,0.92,0.7,1.14,0.55
82,36,3,100,MinMaxScaler(),0.04,0.0,1.1,0.77,0.38,0.65,0.64
83,34,3,50,MinMaxScaler(),0.04,0.0,0.8,0.58,0.44,0.39,0.64
84,31,3,30,StandardScaler(),0.04,0.0,1.33,0.79,0.72,0.73,0.83
85,27,3,5,StandardScaler(),0.04,0.02,1.52,0.82,0.93,1.1,0.87
86,24,2,100,MinMaxScaler(),0.04,0.0,1.37,0.74,0.5,1.09,0.65
87,22,2,50,MinMaxScaler(),0.04,0.0,1.41,0.82,0.6,1.21,0.6
88,19,2,30,StandardScaler(),0.04,0.0,1.33,0.75,0.61,1.74,0.76
89,12,1,100,MinMaxScaler(),0.04,0.0,1.29,1.11,0.68,0.73,0.57
90,10,1,50,MinMaxScaler(),0.04,0.0,1.43,1.19,0.89,1.13,0.68
91,8,1,30,MinMaxScaler(),0.04,0.01,0.81,0.87,0.62,0.96,0.48
92,7,1,30,StandardScaler(),0.04,0.0,0.95,1.02,0.71,1.02,0.48
93,5,1,10,StandardScaler(),0.04,0.0,0.88,0.89,0.73,1.16,0.52
94,51,5,5,StandardScaler(),0.04,0.02,1.08,0.77,0.84,0.97,0.66
95,53,5,10,StandardScaler(),0.04,0.01,0.91,0.77,0.63,0.68,0.56
96,43,4,30,StandardScaler(),0.04,0.0,0.77,0.86,0.73,1.29,0.66
97,58,5,50,MinMaxScaler(),0.04,0.0,1.41,1.19,0.51,1.45,0.67
98,67,6,30,StandardScaler(),0.04,0.0,2.22,1.44,1.18,1.35,1.07
99,65,6,10,StandardScaler(),0.04,0.01,1.93,1.07,1.13,0.86,0.81
100,60,5,100,MinMaxScaler(),0.04,0.0,1.4,1.23,0.37,1.19,0.65
101,25,3,1,StandardScaler(),0.05,0.04,2.42,1.12,1.33,1.24,1.2
102,79,7,30,StandardScaler(),0.05,0.0,1.5,1.08,1.13,1.3,0.89
103,9,1,50,StandardScaler(),0.05,0.0,1.53,1.21,0.93,1.2,0.27
104,131,11,100,StandardScaler(),0.05,0.01,1.17,0.76,0.76,1.16,0.81
105,13,2,1,StandardScaler(),0.05,0.04,0.8,1.06,0.73,1.18,0.84
106,21,2,50,StandardScaler(),0.05,0.0,2.13,0.98,0.72,2.2,0.68
107,122,11,1,MinMaxScaler(),0.05,0.04,0.79,0.82,0.81,1.07,0.69
108,96,8,100,MinMaxScaler(),0.05,0.0,1.29,0.66,0.7,1.11,0.69
109,63,6,5,StandardScaler(),0.05,0.02,1.71,0.91,0.92,0.45,0.64
110,33,3,50,StandardScaler(),0.05,0.0,2.25,0.85,0.64,1.16,0.62
111,91,8,30,StandardScaler(),0.05,0.0,1.2,0.59,0.67,1.28,1.04
112,1,1,1,StandardScaler(),0.05,0.04,0.89,0.57,0.85,1.06,0.19
113,77,7,10,StandardScaler(),0.05,0.0,1.37,1.03,0.96,1.13,0.69
114,99,9,5,StandardScaler(),0.05,0.04,1.24,0.89,0.54,1.42,0.67
115,45,4,50,StandardScaler(),0.05,0.0,0.95,1.05,0.86,1.64,1.07
116,47,4,100,StandardScaler(),0.05,0.0,1.28,0.92,0.7,1.27,0.86
117,55,5,30,StandardScaler(),0.05,0.0,0.98,0.99,0.94,0.16,0.71
118,105,9,50,StandardScaler(),0.05,0.0,1.06,0.68,0.66,0.99,0.7
119,57,5,50,StandardScaler(),0.06,0.0,1.56,1.39,0.69,1.0,0.61
120,73,7,1,StandardScaler(),0.06,0.04,1.96,0.68,0.9,1.53,0.62
121,11,1,100,StandardScaler(),0.06,0.0,1.34,0.59,0.7,1.1,0.22
122,69,6,50,StandardScaler(),0.06,0.0,1.6,1.86,0.47,1.22,1.01
123,23,2,100,StandardScaler(),0.06,0.0,1.96,0.69,0.65,1.81,0.46
124,71,6,100,StandardScaler(),0.07,0.0,1.32,1.58,0.4,0.89,1.2
125,59,5,100,StandardScaler(),0.07,0.0,1.63,0.96,0.29,1.89,1.01
126,85,8,1,StandardScaler(),0.07,0.05,1.74,1.15,0.55,1.85,0.73
127,93,8,50,StandardScaler(),0.07,0.0,2.89,0.91,0.78,2.27,1.52
128,107,9,100,StandardScaler(),0.07,0.0,1.09,0.72,0.59,1.2,0.62
129,35,3,100,StandardScaler(),0.07,0.0,1.36,0.65,0.85,2.0,0.5
130,125,11,10,StandardScaler(),0.07,0.05,1.75,1.01,0.93,1.48,0.95
131,110,10,1,MinMaxScaler(),0.09,0.08,0.47,0.33,0.31,0.45,0.2
132,81,7,50,StandardScaler(),0.09,0.0,1.14,1.26,1.29,1.65,1.36
133,49,5,1,StandardScaler(),0.1,0.08,0.56,1.36,0.26,-0.33,0.76
134,61,6,1,StandardScaler(),0.11,0.09,1.23,0.14,0.16,-0.29,-0.12
135,137,12,10,StandardScaler(),0.12,0.1,0.0,0.98,1.14,-0.92,-0.19
136,95,8,100,StandardScaler(),0.12,0.0,2.7,0.46,0.51,2.25,1.54
137,83,7,100,StandardScaler(),0.13,0.0,1.9,1.81,1.35,1.41,1.2
138,123,11,5,StandardScaler(),0.15,0.12,1.39,0.75,0.72,1.59,0.86
139,109,10,1,StandardScaler(),0.21,0.21,0.88,0.84,0.57,0.55,-0.2
140,97,9,1,StandardScaler(),0.33,0.3,0.39,-1.5,-0.46,1.05,-0.43
141,134,12,1,MinMaxScaler(),0.36,0.35,-0.8,0.04,-0.44,-1.52,-0.68
142,121,11,1,StandardScaler(),0.55,0.51,-0.26,0.4,0.72,0.37,0.53
143,135,12,5,StandardScaler(),0.87,0.84,-0.89,0.83,0.36,-4.11,-2.02
144,133,12,1,StandardScaler(),3.21,3.45,-6.33,-1.86,-4.15,-11.15,-4.91
