,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
133,49,5,1,StandardScaler(),0.21,0.18,1.34,1.0,0.34,1.25,0.69
134,123,11,5,StandardScaler(),0.23,0.22,1.4,0.22,0.09,1.22,0.48
135,111,10,5,StandardScaler(),0.26,0.24,1.0,0.6,0.43,0.72,0.06
136,62,6,1,MinMaxScaler(),0.27,0.28,0.04,0.05,0.05,0.04,0.05
137,110,10,1,MinMaxScaler(),0.27,0.29,-0.1,0.14,0.01,-0.08,0.03
138,134,12,1,MinMaxScaler(),0.27,0.29,0.76,0.28,0.55,0.89,0.4
139,61,6,1,StandardScaler(),0.33,0.34,-0.4,0.2,0.13,0.03,-0.01
140,97,9,1,StandardScaler(),0.37,0.39,-0.69,0.94,-0.85,1.07,1.71
141,135,12,5,StandardScaler(),0.46,0.45,3.17,0.89,2.12,3.91,2.0
142,121,11,1,StandardScaler(),0.52,0.53,1.23,0.09,-0.22,1.41,0.69
143,133,12,1,StandardScaler(),0.91,0.93,0.89,-0.94,0.07,1.23,0.55
144,109,10,1,StandardScaler(),1.0,1.01,-5.17,-3.8,-3.22,-6.48,-2.26
